Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC)
01/01/2010,00:00,182,0.7,21.8,0.5,20.9
01/01/2010,01:00,184,1.0,24.8,0.8,20.9
01/01/2010,02:00,52,0.7,71.1,1.5,21.1
01/01/2010,03:00,48,2.6,53.9,1.9,21.7
01/01/2010,04:00,61,2.6,89.9,3.2,21.5
01/01/2010,05:00,70,2.2,35.2,1.2,22.5
01/01/2010,06:00,181,0.6,40.7,0.8,22.2
01/01/2010,07:00,229,0.4,71.4,1.0,22.5
01/01/2010,08:00,48,1.6,60.6,1.6,25.0
01/01/2010,09:00,43,4.8,15.4,1.5,26.0
01/01/2010,10:00,52,5.0,16.8,1.3,26.8
01/01/2010,11:00,79,4.7,17.8,1.4,27.0
01/01/2010,12:00,81,5.4,14.8,1.4,27.2
01/01/2010,13:00,81,5.5,14.9,1.4,27.0
01/01/2010,14:00,81,5.5,16.5,1.3,27.1
01/01/2010,15:00,79,5.7,15.1,1.4,26.8
01/01/2010,16:00,78,5.0,13.0,1.3,26.3
01/01/2010,17:00,79,4.5,15.2,1.1,25.7
01/01/2010,18:00,74,3.9,11.7,1.1,24.8
01/01/2010,19:00,64,3.5,10.0,0.9,24.4
01/01/2010,20:00,63,3.2,11.3,0.9,24.2
01/01/2010,21:00,64,2.7,10.6,0.7,24.1
01/01/2010,22:00,82,0.6,41.5,0.9,23.2
01/01/2010,23:00,67,2.4,16.9,1.1,23.4
02/01/2010,00:00,66,2.8,7.9,0.7,23.3
02/01/2010,01:00,,0.0,73.0,0.3,22.5
02/01/2010,02:00,,0.0,25.6,0.2,21.9
02/01/2010,03:00,217,0.2,81.3,0.3,21.7
02/01/2010,04:00,199,0.3,52.3,0.5,21.8
02/01/2010,05:00,,0.0,16.0,0.0,22.1
02/01/2010,06:00,180,0.4,33.3,0.6,22.7
02/01/2010,07:00,176,1.0,26.9,0.7,24.3
02/01/2010,08:00,156,0.4,86.2,0.7,25.5
02/01/2010,09:00,11,1.0,128.2,1.0,26.5
02/01/2010,10:00,45,2.2,150.5,1.5,27.9
02/01/2010,11:00,47,3.4,30.3,1.7,28.0
02/01/2010,12:00,57,2.9,35.4,1.5,28.8
02/01/2010,13:00,42,3.6,30.5,1.5,29.7
02/01/2010,14:00,46,4.1,15.8,1.2,28.9
02/01/2010,15:00,16,3.4,172.1,1.2,28.6
02/01/2010,16:00,5,3.6,15.5,1.0,27.9
02/01/2010,17:00,17,3.5,16.8,1.1,26.8
02/01/2010,18:00,37,2.2,14.6,0.8,25.6
02/01/2010,19:00,22,2.0,14.8,0.9,25.1
02/01/2010,20:00,22,1.3,16.7,0.9,24.7
02/01/2010,21:00,31,2.8,14.8,1.0,24.7
02/01/2010,22:00,22,1.8,14.0,1.2,24.6
02/01/2010,23:00,21,1.1,173.2,1.0,24.4
03/01/2010,00:00,,0.0,45.3,0.1,24.0
03/01/2010,01:00,11,0.5,175.5,0.7,23.9
03/01/2010,02:00,347,0.7,31.4,0.9,23.4
03/01/2010,03:00,,0.0,23.5,0.0,22.4
03/01/2010,04:00,,0.0,45.2,0.0,21.6
03/01/2010,05:00,,0.0,74.9,0.0,21.4
03/01/2010,06:00,,0.0,63.2,0.1,23.4
03/01/2010,07:00,345,2.1,31.3,1.5,26.6
03/01/2010,08:00,351,2.9,25.7,1.2,28.4
03/01/2010,09:00,3,2.4,170.1,1.2,29.0
03/01/2010,10:00,356,3.0,31.9,1.3,29.7
03/01/2010,11:00,11,2.9,174.2,1.1,29.8
03/01/2010,12:00,38,2.9,31.1,1.2,30.2
03/01/2010,13:00,38,3.4,25.3,1.4,30.3
03/01/2010,14:00,27,4.0,21.1,1.6,30.8
03/01/2010,15:00,3,4.4,21.4,1.2,30.6
03/01/2010,16:00,13,4.4,169.2,1.3,29.0
03/01/2010,17:00,27,4.7,14.0,1.2,27.6
03/01/2010,18:00,24,3.1,14.0,1.0,26.3
03/01/2010,19:00,24,2.3,15.0,0.7,25.1
03/01/2010,20:00,29,1.2,16.2,0.8,24.6
03/01/2010,21:00,36,0.7,45.9,0.9,24.8
03/01/2010,22:00,119,0.1,56.9,0.3,24.6
03/01/2010,23:00,42,1.3,18.9,0.7,24.4
04/01/2010,00:00,13,1.3,23.8,0.8,24.4
04/01/2010,01:00,53,0.1,43.3,0.4,23.2
04/01/2010,02:00,41,2.7,12.3,1.1,23.9
04/01/2010,03:00,43,1.2,51.8,1.1,23.9
04/01/2010,04:00,,0.0,20.8,0.1,23.3
04/01/2010,05:00,,0.0,29.5,0.0,23.9
04/01/2010,06:00,52,0.2,27.7,0.4,24.8
04/01/2010,07:00,48,2.2,25.7,1.1,26.4
04/01/2010,08:00,62,3.1,22.1,1.2,26.6
04/01/2010,09:00,315,0.4,140.3,1.3,26.6
04/01/2010,10:00,57,3.8,32.3,1.5,27.7
04/01/2010,11:00,94,3.7,31.8,1.7,27.5
04/01/2010,12:00,144,2.6,39.1,1.3,26.7
04/01/2010,13:00,114,1.6,45.5,1.1,26.9
04/01/2010,14:00,82,3.3,24.3,1.4,27.0
