Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%RH),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2010,00:00,68,1.2,28.0,0.7,22.5,84.2,,,,,,7.1,
01/01/2010,01:00,83,0.8,26.0,0.4,22.5,83.5,0.008,0.001,0.002,0.003,0.000,9.8,10
01/01/2010,02:00,98,0.6,24.4,0.4,21.8,86.1,0.007,0.001,0.002,0.002,0.000,7.2,12
01/01/2010,03:00,87,0.7,25.3,0.4,21.4,86.2,0.005,0.001,0.003,0.004,0.000,8.2,12
01/01/2010,04:00,109,0.7,20.3,0.3,21.2,86.2,0.006,0.001,0.001,0.002,0.000,9.4,11
01/01/2010,05:00,107,0.5,29.6,0.3,21.6,84.9,0.007,0.001,0.001,0.002,0.000,11.6,10
01/01/2010,06:00,56,0.2,75.2,0.3,23.0,80.2,0.008,0.002,0.000,0.002,0.000,15.3,10
01/01/2010,07:00,358,0.6,49.3,0.4,24.3,71.6,0.011,0.002,0.001,0.002,0.000,6.3,9
01/01/2010,08:00,2,0.7,58.1,0.8,25.3,68.4,0.015,0.001,0.000,0.001,0.000,15.2,9
01/01/2010,09:00,5,1.0,158.9,0.8,25.8,64.3,0.016,0.001,0.000,0.001,0.000,4.1,8
01/01/2010,10:00,35,1.7,31.2,0.8,27.2,59.3,0.018,0.002,0.000,0.002,0.000,16.1,9
01/01/2010,11:00,23,1.7,29.1,0.9,28.2,54.3,0.021,0.001,0.000,0.001,0.000,3.1,9
01/01/2010,12:00,19,1.7,32.1,0.9,28.7,52.0,0.021,0.001,0.000,0.001,0.000,15.3,9
01/01/2010,13:00,359,2.0,21.4,1.0,28.0,57.4,0.020,0.001,0.000,0.001,0.000,18.7,9
01/01/2010,14:00,15,2.8,20.4,1.1,27.2,62.7,0.019,0.001,0.000,0.001,0.000,11.0,9
01/01/2010,15:00,25,2.8,20.0,1.1,26.9,62.7,0.017,0.001,0.000,0.001,0.000,12.4,9
01/01/2010,16:00,21,2.5,18.2,1.0,26.8,63.4,0.017,0.002,0.000,0.002,0.000,10.3,9
01/01/2010,17:00,25,2.6,18.8,1.1,25.8,67.9,0.014,0.001,0.001,0.002,0.000,13.7,9
01/01/2010,18:00,26,2.0,19.2,0.9,25.0,72.2,0.011,0.002,0.002,0.003,0.000,15.4,9
01/01/2010,19:00,36,1.5,20.8,0.8,24.3,78.5,0.009,0.001,0.003,0.004,0.000,21.1,10
01/01/2010,20:00,60,0.8,20.5,0.3,23.4,86.8,0.007,0.001,0.004,0.005,0.001,20.3,12
01/01/2010,21:00,70,0.8,17.7,0.3,23.1,89.3,0.005,0.001,0.004,0.005,0.001,12.4,11
01/01/2010,22:00,76,0.7,15.9,0.2,23.1,90.3,0.003,0.002,0.005,0.007,0.000,10.9,11
01/01/2010,23:00,83,0.7,17.7,0.3,22.9,91.3,0.002,0.002,0.004,0.005,0.000,8.0,10
02/01/2010,00:00,78,0.7,30.7,0.4,22.8,92.0,,,,,,8.7,
02/01/2010,01:00,319,0.1,126.9,0.3,22.8,92.2,0.003,0.001,0.003,0.004,0.000,5.4,10
02/01/2010,02:00,91,0.7,23.9,0.3,22.7,92.1,0.002,0.002,0.002,0.004,0.000,8.0,10
02/01/2010,03:00,88,0.7,35.5,0.4,22.7,92.1,0.001,0.003,0.002,0.005,0.000,8.6,10
02/01/2010,04:00,116,0.2,62.8,0.3,22.6,92.0,0.001,0.002,0.002,0.004,0.000,8.0,10
02/01/2010,05:00,196,0.1,57.4,0.2,22.8,91.9,0.000,0.004,0.002,0.006,0.000,17.7,11
02/01/2010,06:00,258,0.3,62.3,0.2,23.5,89.5,0.003,0.003,0.001,0.004,0.000,10.6,12
02/01/2010,07:00,243,0.3,62.4,0.4,24.8,81.4,0.006,0.002,0.001,0.003,0.000,8.0,11
02/01/2010,08:00,306,0.8,44.4,0.5,26.5,69.8,0.011,0.002,0.001,0.003,0.000,3.4,11
