Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC)
01/01/2010,00:00,117,2.8,11.5,0.6,17.7
01/01/2010,01:00,137,2.1,17.3,0.8,17.5
01/01/2010,02:00,137,1.0,46.5,0.9,17.2
01/01/2010,03:00,156,0.1,85.7,0.3,17.2
01/01/2010,04:00,198,0.3,75.3,0.5,16.8
01/01/2010,05:00,163,2.0,7.2,0.5,17.1
01/01/2010,06:00,146,2.1,10.1,0.5,18.0
01/01/2010,07:00,120,1.9,21.8,0.9,20.3
01/01/2010,08:00,86,3.1,23.1,1.3,22.4
01/01/2010,09:00,71,3.1,26.9,1.2,23.4
01/01/2010,10:00,98,4.1,17.5,1.5,24.6
01/01/2010,11:00,47,3.6,26.5,1.3,25.2
01/01/2010,12:00,61,3.0,39.6,1.5,26.4
01/01/2010,13:00,87,4.1,19.6,1.3,25.8
01/01/2010,14:00,44,3.8,21.8,1.0,25.1
01/01/2010,15:00,87,3.6,24.4,1.0,24.9
01/01/2010,16:00,88,4.5,11.7,1.0,23.0
01/01/2010,17:00,88,4.5,10.5,1.0,21.8
01/01/2010,18:00,83,3.7,9.1,0.9,20.6
01/01/2010,19:00,85,2.8,7.3,0.6,19.4
01/01/2010,20:00,86,2.0,9.7,0.5,18.9
01/01/2010,21:00,104,0.9,22.3,0.8,18.7
01/01/2010,22:00,115,1.9,6.8,0.4,18.3
01/01/2010,23:00,140,1.5,10.4,0.4,18.3
02/01/2010,00:00,164,0.5,20.9,0.5,18.2
02/01/2010,01:00,148,0.7,28.5,0.6,18.1
02/01/2010,02:00,133,1.0,14.4,0.8,17.8
02/01/2010,03:00,133,0.3,33.6,0.4,17.5
02/01/2010,04:00,117,0.6,8.1,0.4,17.0
02/01/2010,05:00,313,0.3,32.3,0.4,17.2
02/01/2010,06:00,180,0.2,72.8,0.4,18.7
02/01/2010,07:00,71,1.1,29.0,0.7,20.8
02/01/2010,08:00,76,2.1,31.9,1.1,23.3
02/01/2010,09:00,47,1.7,53.1,1.2,25.7
02/01/2010,10:00,34,2.3,40.6,1.3,26.6
02/01/2010,11:00,4,2.5,31.6,1.2,25.9
02/01/2010,12:00,280,1.1,108.2,1.4,25.6
02/01/2010,13:00,228,2.8,37.6,1.6,26.6
02/01/2010,14:00,30,1.8,157.8,1.3,27.8
02/01/2010,15:00,48,3.0,27.7,1.0,27.2
02/01/2010,16:00,296,1.0,120.3,2.3,25.4
02/01/2010,17:00,174,1.3,33.1,1.0,23.9
02/01/2010,18:00,52,1.6,38.3,1.0,22.5
02/01/2010,19:00,120,1.1,24.3,0.9,21.5
02/01/2010,20:00,114,1.6,26.1,0.5,21.1
02/01/2010,21:00,142,0.4,44.2,0.5,20.3
02/01/2010,22:00,158,1.7,23.2,0.8,20.0
02/01/2010,23:00,163,1.9,25.7,0.7,19.8
03/01/2010,00:00,102,0.5,42.8,0.5,19.5
03/01/2010,01:00,217,0.8,75.1,0.9,18.9
03/01/2010,02:00,163,0.2,82.1,0.7,18.4
03/01/2010,03:00,268,1.6,10.0,0.5,17.7
03/01/2010,04:00,313,1.3,35.7,0.4,17.5
03/01/2010,05:00,276,1.5,34.9,0.9,17.7
03/01/2010,06:00,273,2.6,11.6,0.9,20.5
03/01/2010,07:00,277,1.7,27.4,0.7,23.6
03/01/2010,08:00,264,4.0,18.2,1.2,25.6
03/01/2010,09:00,270,6.9,13.0,1.4,26.6
03/01/2010,10:00,266,5.5,22.9,2.4,27.7
03/01/2010,11:00,246,5.5,23.4,2.0,27.1
03/01/2010,12:00,61,3.7,63.6,2.7,25.8
03/01/2010,13:00,47,6.0,16.7,1.3,25.2
03/01/2010,14:00,63,5.6,28.2,1.6,26.5
03/01/2010,15:00,117,7.3,26.8,2.1,22.5
03/01/2010,16:00,101,3.1,27.8,1.7,18.8
03/01/2010,17:00,93,2.7,17.8,1.2,18.8
03/01/2010,18:00,61,3.7,17.3,0.8,18.3
03/01/2010,19:00,61,2.5,12.1,0.8,18.1
03/01/2010,20:00,42,1.0,161.4,1.1,18.0
03/01/2010,21:00,43,0.3,51.4,0.5,17.9
03/01/2010,22:00,2,0.4,157.2,0.4,18.0
03/01/2010,23:00,33,0.1,29.1,0.3,18.0
04/01/2010,00:00,196,0.4,101.6,0.7,17.7
04/01/2010,01:00,131,1.1,33.8,0.9,17.5
04/01/2010,02:00,122,2.2,11.3,0.5,17.8
04/01/2010,03:00,135,2.6,8.7,0.7,17.6
04/01/2010,04:00,128,2.1,8.8,0.6,17.4
04/01/2010,05:00,129,2.3,11.1,0.6,17.5
04/01/2010,06:00,134,2.7,10.5,0.9,18.4
04/01/2010,07:00,140,3.8,12.0,1.0,19.3
04/01/2010,08:00,139,4.9,11.1,1.0,20.0
04/01/2010,09:00,126,5.4,13.1,1.3,20.8
04/01/2010,10:00,128,6.7,12.9,1.5,21.9
04/01/2010,11:00,130,6.0,13.4,1.5,22.3
04/01/2010,12:00,135,6.0,12.6,1.8,22.3
04/01/2010,13:00,125,6.8,12.8,1.3,22.5
04/01/2010,14:00,117,7.2,12.1,1.5,22.5
04/01/2010,15:00,107,7.1,12.6,1.5,22.3
04/01/2010,16:00,143,7.0,28.0,1.5,20.7
04/01/2010,17:00,164,7.7,10.0,1.6,17.5
04/01/2010,18:00,158,6.4,12.6,1.5,16.2
04/01/2010,19:00,148,3.8,13.5,1.0,16.3
04/01/2010,20:00,138,2.5,9.4,0.7,16.3
04/01/2010,21:00,120,1.6,20.7,1.0,16.3
04/01/2010,22:00,105,1.3,25.8,0.4,15.7
04/01/2010,23:00,139,2.0,9.5,0.6,16.1
