Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%RH),Rainfall (mm)
01/01/2010,00:00,184,0.3,33.4,0.2,21.4,80.1,0.0
01/01/2010,01:00,215,0.2,49.3,0.2,20.9,82.4,0.0
01/01/2010,02:00,256,0.1,92.8,0.1,20.7,84.1,0.0
01/01/2010,03:00,212,0.7,10.2,0.4,20.4,85.1,0.0
01/01/2010,04:00,213,0.7,19.5,0.4,20.0,86.8,0.0
01/01/2010,05:00,212,0.8,18.2,0.4,19.9,87.6,0.0
01/01/2010,06:00,199,0.5,32.1,0.3,21.2,85.4,0.0
01/01/2010,07:00,220,0.4,67.8,0.4,23.5,73.8,0.0
01/01/2010,08:00,7,0.8,170.3,0.7,24.2,68.9,0.0
01/01/2010,09:00,51,1.0,41.9,0.6,24.9,63.5,0.0
01/01/2010,10:00,36,1.1,52.1,0.8,26.4,54.6,0.0
01/01/2010,11:00,344,1.7,158.9,0.8,26.3,55.1,0.0
01/01/2010,12:00,314,0.7,41.9,0.5,26.6,56.6,0.0
01/01/2010,13:00,15,0.7,159.7,0.4,27.5,55.1,0.0
01/01/2010,14:00,74,1.6,38.3,0.9,27.2,56.1,0.0
01/01/2010,15:00,78,2.3,22.6,1.0,26.0,63.7,0.0
01/01/2010,16:00,52,1.7,27.1,0.9,25.3,65.7,0.0
01/01/2010,17:00,52,1.5,24.3,0.7,25.0,65.7,0.0
01/01/2010,18:00,63,1.3,23.1,0.6,24.6,68.3,0.0
01/01/2010,19:00,45,0.8,26.1,0.5,23.9,72.0,0.0
01/01/2010,20:00,47,0.7,24.3,0.4,23.2,75.5,0.0
01/01/2010,21:00,12,0.3,158.1,0.2,22.4,82.3,0.3
01/01/2010,22:00,208,0.2,49.0,0.2,21.8,84.9,0.0
01/01/2010,23:00,23,0.1,189.3,0.1,22.0,85.0,0.1
02/01/2010,00:00,295,0.2,68.4,0.2,21.9,87.7,0.0
02/01/2010,01:00,10,0.3,153.6,0.4,21.6,88.3,0.5
02/01/2010,02:00,70,0.3,43.4,0.2,21.3,89.6,0.0
02/01/2010,03:00,116,0.3,56.3,0.2,21.2,89.9,0.0
02/01/2010,04:00,165,0.1,86.9,0.2,21.3,90.3,0.0
02/01/2010,05:00,213,0.3,75.8,0.2,21.3,90.8,0.0
02/01/2010,06:00,319,0.1,94.4,0.2,21.7,90.1,0.0
02/01/2010,07:00,67,0.9,25.2,0.4,23.2,83.5,0.0
02/01/2010,08:00,29,0.9,51.2,0.7,24.9,74.7,0.0
02/01/2010,09:00,7,1.4,179.8,0.7,26.3,65.6,0.0
02/01/2010,10:00,343,1.7,35.8,0.8,27.6,58.3,0.0
02/01/2010,11:00,342,1.7,35.4,0.9,28.4,55.1,0.0
02/01/2010,12:00,2,1.8,34.6,0.9,29.6,48.9,0.0
02/01/2010,13:00,4,2.0,176.6,1.1,30.3,46.2,0.0
02/01/2010,14:00,317,2.5,22.1,1.0,30.0,46.5,0.0
02/01/2010,15:00,23,1.8,33.7,0.9,29.6,55.5,0.0
02/01/2010,16:00,29,1.7,26.5,0.7,29.3,58.0,0.0
02/01/2010,17:00,20,1.7,27.6,0.9,28.3,59.0,0.0
02/01/2010,18:00,26,1.4,28.3,0.7,27.4,65.8,0.0
02/01/2010,19:00,38,1.0,27.2,0.6,25.6,72.7,0.0
02/01/2010,20:00,44,0.7,34.2,0.4,24.9,76.0,0.0
02/01/2010,21:00,59,0.6,36.8,0.4,24.3,79.6,0.0
02/01/2010,22:00,256,0.1,89.6,0.2,24.2,81.8,0.0
02/01/2010,23:00,218,0.2,79.8,0.2,23.8,83.8,0.0
03/01/2010,00:00,302,0.1,141.2,0.2,23.6,85.0,0.0
03/01/2010,01:00,204,0.2,72.0,0.3,23.3,86.1,0.0
03/01/2010,02:00,263,0.1,88.7,0.2,23.3,87.4,0.0
03/01/2010,03:00,162,0.2,77.6,0.2,23.1,88.2,0.0
03/01/2010,04:00,35,0.2,125.6,0.2,22.8,89.4,0.0
03/01/2010,05:00,352,0.5,62.1,0.4,22.6,89.1,0.0
03/01/2010,06:00,147,0.3,67.6,0.3,24.1,85.9,0.0
03/01/2010,07:00,139,0.5,58.8,0.5,25.7,77.4,0.0
03/01/2010,08:00,222,0.5,69.0,0.4,26.9,70.4,0.0
03/01/2010,09:00,176,0.6,66.9,0.5,27.8,66.9,0.0
03/01/2010,10:00,192,1.0,51.6,0.9,28.6,61.5,1.7
03/01/2010,11:00,344,0.4,94.7,0.5,26.1,74.7,1.8
03/01/2010,12:00,199,1.2,37.0,0.8,30.3,53.4,0.0
03/01/2010,13:00,51,1.2,77.0,1.5,28.9,60.2,0.0
03/01/2010,14:00,312,1.6,130.2,1.5,23.6,86.4,1.3
03/01/2010,15:00,77,0.9,31.7,0.6,23.1,87.2,1.2
03/01/2010,16:00,330,0.4,82.8,0.4,23.0,86.8,0.0
03/01/2010,17:00,309,0.7,26.5,0.3,23.5,83.1,0.0
03/01/2010,18:00,267,0.4,78.9,0.4,23.8,84.6,0.0
03/01/2010,19:00,245,0.3,110.1,0.3,23.4,83.9,0.0
03/01/2010,20:00,255,0.3,142.4,0.5,23.2,86.3,0.0
03/01/2010,21:00,269,0.3,76.7,0.3,23.3,82.8,0.0
03/01/2010,22:00,160,0.2,85.3,0.3,23.7,78.8,0.0
03/01/2010,23:00,244,0.2,84.1,0.4,23.2,78.2,0.0
04/01/2010,00:00,198,0.6,26.1,0.4,22.8,81.0,0.0
04/01/2010,01:00,218,0.7,21.2,0.4,22.1,82.0,0.0
04/01/2010,02:00,202,0.6,22.1,0.3,22.0,80.9,0.0
04/01/2010,03:00,202,0.7,32.3,0.4,21.7,82.1,0.0
04/01/2010,04:00,217,1.1,15.6,0.5,21.8,80.5,0.0
04/01/2010,05:00,202,0.9,21.7,0.5,22.0,79.9,0.0
04/01/2010,06:00,209,1.0,19.9,0.4,22.4,78.8,0.0
04/01/2010,07:00,186,0.8,36.3,0.6,23.7,75.4,0.0
04/01/2010,08:00,188,0.9,30.3,0.5,24.6,69.3,0.0
04/01/2010,09:00,205,1.1,29.3,0.7,24.9,65.0,0.0
04/01/2010,10:00,149,0.9,54.7,0.8,24.9,66.2,0.0
04/01/2010,11:00,153,1.0,55.4,0.9,24.5,66.7,0.0
04/01/2010,12:00,221,0.9,45.5,0.6,25.3,65.7,0.0
04/01/2010,13:00,106,1.8,27.9,0.9,25.6,63.2,0.0
04/01/2010,14:00,169,1.4,48.6,1.1,25.1,63.9,0.0
04/01/2010,15:00,262,1.1,31.8,0.6,22.5,79.4,0.0
04/01/2010,16:00,248,1.5,19.9,0.6,21.7,81.7,0.0
04/01/2010,17:00,234,0.3,84.3,0.5,22.0,73.9,0.0
04/01/2010,18:00,109,0.8,32.7,0.4,22.4,68.2,0.0
04/01/2010,19:00,273,0.9,17.8,0.4,21.9,72.2,0.0
04/01/2010,20:00,269,1.0,20.1,0.5,21.6,71.5,0.0
04/01/2010,21:00,272,1.1,16.6,0.5,21.1,72.5,0.0
04/01/2010,22:00,266,0.2,89.9,0.5,20.6,73.6,0.0
04/01/2010,23:00,270,1.4,18.9,0.6,20.6,73.2,0.0
05/01/2010,00:00,198,1.3,21.3,0.6,20.2,74.4,0.0
05/01/2010,01:00,201,1.3,16.9,0.6,20.1,75.0,0.0
05/01/2010,02:00,210,1.3,16.8,0.6,19.6,75.7,0.0
05/01/2010,03:00,211,1.6,17.8,0.7,19.5,76.0,0.0
