Date,Time,Ozone,Sulfur Dioxide (SO2) (ppm),Nitrogen Dioxide (NO2) (ppm),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
01/01/2010,00:00,,0.001,,,,,
01/01/2010,01:00,,0.000,,,,,
01/01/2010,02:00,0.010,0.000,0.003,,,,
01/01/2010,03:00,0.008,0.001,,,,,
01/01/2010,04:00,,,0.008,,,,
01/01/2010,05:00,0.005,0.000,0.009,,,,
01/01/2010,06:00,,,,,,,
01/01/2010,07:00,0.009,0.003,0.003,,,,
01/01/2010,08:00,0.008,0.003,0.001,,,,
01/01/2010,09:00,0.007,0.004,,,,,
01/01/2010,10:00,0.011,0.003,0.005,,,,
01/01/2010,11:00,0.010,0.002,,,,,
01/01/2010,12:00,0.007,0.002,,,,,
01/01/2010,13:00,0.005,0.002,0.005,,,,
01/01/2010,14:00,0.009,0.003,0.006,,,,
01/01/2010,15:00,0.003,0.001,,,,,
01/01/2010,16:00,0.007,0.002,0.001,,,,
01/01/2010,17:00,0.009,0.001,0.004,,,,
01/01/2010,18:00,,0.001,0.002,,,,
01/01/2010,19:00,,0.001,0.005,,,,
01/01/2010,20:00,,0.002,0.006,,,,
01/01/2010,21:00,0.003,0.001,0.003,,,,
01/01/2010,22:00,0.010,0.001,0.004,,,,
01/01/2010,23:00,0.009,0.002,,,,,
02/01/2010,00:00,0.004,0.001,0.005,,,,
02/01/2010,01:00,0.004,0.001,0.006,,,,
02/01/2010,02:00,0.007,0.001,0.005,,,,
02/01/2010,03:00,0.008,0.001,0.005,,,,
02/01/2010,04:00,,0.000,,,,,
02/01/2010,05:00,,0.001,0.004,,,,
02/01/2010,06:00,0.005,0.003,,,,,
02/01/2010,07:00,0.008,0.002,,,,,
02/01/2010,08:00,0.009,0.003,,,,,
02/01/2010,09:00,,0.005,0.008,,,,
02/01/2010,10:00,0.005,0.002,0.008,,,,
02/01/2010,11:00,0.008,0.002,0.002,,,,
02/01/2010,12:00,,0.002,0.004,,,,
02/01/2010,13:00,0.007,0.001,0.003,,,,
02/01/2010,14:00,,0.002,0.004,,,,
02/01/2010,15:00,0.009,0.002,0.001,,,,
02/01/2010,16:00,0.010,0.002,0.001,,,,
02/01/2010,17:00,0.005,0.001,0.003,,,,
02/01/2010,18:00,,0.001,0.004,,,,
02/01/2010,19:00,,0.000,,,,,
02/01/2010,20:00,0.004,0.001,,,,,
02/01/2010,21:00,,0.002,,,,,
02/01/2010,22:00,0.011,0.001,,,,,
02/01/2010,23:00,0.008,0.001,,,,,
03/01/2010,00:00,0.007,0.001,,,,,
03/01/2010,01:00,0.006,0.001,,,,,
03/01/2010,02:00,0.006,0.002,,,,,
03/01/2010,03:00,,0.012,0.011,,,,
03/01/2010,04:00,0.001,0.001,0.014,,,,
03/01/2010,05:00,,0.001,0.013,,,,
03/01/2010,06:00,,0.004,,,,,
03/01/2010,07:00,,0.008,0.009,,,,
03/01/2010,08:00,,0.001,,,,,
03/01/2010,09:00,0.006,0.003,,,,,
03/01/2010,10:00,0.007,0.002,0.001,,,,
03/01/2010,11:00,0.007,0.002,,,,,
03/01/2010,12:00,,0.002,,,,,
03/01/2010,13:00,0.004,0.002,,,,,
03/01/2010,14:00,0.004,0.002,,,,,
03/01/2010,15:00,0.003,0.001,,,,,
03/01/2010,16:00,0.007,0.001,0.001,,,,
03/01/2010,17:00,,0.001,0.002,,,,
03/01/2010,18:00,0.007,0.002,0.002,,,,
03/01/2010,19:00,0.006,0.001,0.002,,,,
03/01/2010,20:00,0.006,0.000,0.000,,,,
03/01/2010,21:00,0.006,0.000,,,,,
03/01/2010,22:00,0.008,0.001,0.000,,,,
03/01/2010,23:00,0.007,0.001,,,,,
04/01/2010,00:00,,0.001,,,,,
04/01/2010,01:00,,0.001,0.005,,,,
04/01/2010,02:00,0.005,0.001,,,,,
04/01/2010,03:00,,0.000,,,,,
04/01/2010,04:00,0.008,0.000,,,,,
04/01/2010,05:00,,0.003,0.007,,,,
04/01/2010,06:00,,0.003,,,,,
04/01/2010,07:00,,0.003,0.004,,,,
04/01/2010,08:00,,0.002,0.003,,,,
04/01/2010,09:00,0.005,0.002,0.001,,,,
04/01/2010,10:00,0.008,0.005,0.005,,,,
04/01/2010,11:00,0.009,0.010,0.004,,,,
04/01/2010,12:00,0.010,0.010,0.002,,,,
04/01/2010,13:00,0.007,0.003,0.006,,,,
04/01/2010,14:00,0.007,0.002,0.003,,,,
04/01/2010,15:00,0.005,0.002,0.005,,,,
04/01/2010,16:00,0.010,0.002,,,,,
04/01/2010,17:00,0.013,0.006,0.004,,,,
04/01/2010,18:00,0.015,0.006,0.002,,,,
04/01/2010,19:00,0.014,0.006,0.008,,,,
04/01/2010,20:00,0.017,0.009,0.002,,,,
04/01/2010,21:00,0.014,0.003,,,,,
04/01/2010,22:00,0.013,0.001,0.000,,,,
04/01/2010,23:00,0.014,0.001,0.000,,,,
05/01/2010,00:00,0.012,0.001,,,,,
05/01/2010,01:00,0.013,0.001,,,,,
05/01/2010,02:00,0.014,0.001,0.001,,,,
05/01/2010,03:00,0.011,0.001,0.003,,,,
05/01/2010,04:00,0.014,0.001,0.000,,,,
05/01/2010,05:00,0.013,0.000,0.001,,,,
05/01/2010,06:00,,,,,,,
05/01/2010,07:00,0.011,0.002,0.007,,,,
05/01/2010,08:00,0.011,0.002,0.002,,,,
05/01/2010,09:00,0.012,0.003,0.003,,,,
05/01/2010,10:00,0.010,0.010,,,,,
05/01/2010,11:00,0.007,0.011,0.012,,,,
05/01/2010,12:00,0.012,0.002,,,,,
05/01/2010,13:00,0.010,0.002,0.003,,,,
05/01/2010,14:00,0.010,0.002,,,,,
05/01/2010,15:00,,0.000,0.005,,,,
05/01/2010,16:00,0.007,0.002,0.001,,,,
05/01/2010,17:00,0.005,0.002,0.002,,,,
05/01/2010,18:00,0.004,0.002,0.003,,,,
05/01/2010,19:00,0.006,0.002,0.001,,,,
05/01/2010,20:00,0.004,0.004,0.002,,,,
05/01/2010,21:00,0.006,0.008,0.002,,,,
05/01/2010,22:00,0.004,0.013,0.006,,,,
05/01/2010,23:00,,0.004,0.005,,,,
06/01/2010,00:00,,0.002,,,,,
06/01/2010,01:00,,0.001,,,,,
06/01/2010,02:00,,0.000,0.002,,,,
06/01/2010,03:00,0.005,0.000,0.003,,,,
06/01/2010,04:00,0.005,0.001,0.002,,,,
06/01/2010,05:00,0.003,0.003,,,,,
06/01/2010,06:00,0.003,0.003,,,,,
06/01/2010,07:00,0.008,0.012,0.004,,,,
06/01/2010,08:00,0.009,0.003,0.002,,,,
06/01/2010,09:00,0.007,0.009,0.004,,,,
06/01/2010,10:00,0.005,0.009,0.008,,,,
06/01/2010,11:00,0.007,0.005,0.002,,,,
06/01/2010,12:00,0.009,0.003,0.001,,,,
06/01/2010,13:00,0.008,0.002,0.003,,,,
06/01/2010,14:00,0.007,0.002,0.003,,,,
06/01/2010,15:00,0.006,0.003,0.002,,,,
06/01/2010,16:00,0.004,0.006,0.005,,,,
06/01/2010,17:00,0.002,0.009,0.011,,,,
06/01/2010,18:00,0.004,0.003,,,,,
06/01/2010,19:00,0.002,0.001,0.001,,,,
06/01/2010,20:00,0.003,0.002,0.001,,,,
06/01/2010,21:00,,0.004,0.003,,,,
06/01/2010,22:00,0.004,0.009,0.002,,,,
06/01/2010,23:00,,0.011,0.004,,,,
07/01/2010,00:00,0.005,0.007,0.005,,,,
07/01/2010,01:00,0.003,0.008,0.002,,,,
07/01/2010,02:00,,0.002,0.003,,,,
07/01/2010,03:00,0.006,0.005,0.002,,,,
07/01/2010,04:00,0.004,0.001,0.001,,,,
07/01/2010,05:00,0.004,0.001,0.003,,,,
07/01/2010,06:00,0.006,0.003,,,,,
07/01/2010,07:00,0.004,0.002,0.003,,,,
07/01/2010,08:00,,0.004,0.003,,,,
07/01/2010,09:00,0.007,0.004,0.003,,,,
07/01/2010,10:00,0.005,0.004,0.002,,,,
07/01/2010,11:00,0.005,0.002,0.002,,,,
07/01/2010,12:00,0.008,0.002,0.003,,,,
07/01/2010,13:00,,,0.008,,,,
07/01/2010,14:00,0.009,0.015,0.006,,,,
07/01/2010,15:00,0.007,0.008,0.004,,,,
07/01/2010,16:00,0.009,0.010,0.004,,,,
07/01/2010,17:00,0.006,0.006,,,,,
07/01/2010,18:00,0.012,0.008,0.004,,,,
07/01/2010,19:00,0.013,0.010,0.004,,,,
07/01/2010,20:00,0.011,0.004,0.007,,,,
07/01/2010,21:00,0.012,0.009,0.003,,,,
07/01/2010,22:00,0.015,0.006,0.006,,,,
07/01/2010,23:00,,0.001,0.003,,,,
08/01/2010,00:00,,0.001,0.004,,,,
08/01/2010,01:00,0.026,0.001,,,,,
08/01/2010,02:00,0.032,0.001,,,,,
08/01/2010,03:00,0.027,0.001,,,,,
08/01/2010,04:00,0.026,0.001,,,,,
08/01/2010,05:00,0.024,0.001,0.005,,,,
08/01/2010,06:00,0.014,0.012,,,,,
08/01/2010,07:00,0.014,0.010,0.011,,,,
08/01/2010,08:00,0.014,0.010,0.011,,,,
08/01/2010,09:00,0.013,0.011,0.008,,,,
08/01/2010,10:00,,0.009,,,,,
08/01/2010,11:00,,0.004,0.013,,,,
08/01/2010,12:00,,0.002,0.008,,,,
08/01/2010,13:00,0.020,0.005,0.009,,,,
08/01/2010,14:00,0.014,0.003,0.008,,,,
08/01/2010,15:00,0.007,0.001,0.005,,,,
08/01/2010,16:00,0.006,0.002,0.007,,,,
08/01/2010,17:00,0.011,0.002,,,,,
08/01/2010,18:00,,0.002,,,,,
08/01/2010,19:00,0.008,0.002,0.004,,,,
08/01/2010,20:00,0.006,0.003,,,,,
08/01/2010,21:00,,0.007,0.008,,,,
08/01/2010,22:00,0.004,0.007,0.003,,,,
08/01/2010,23:00,0.005,0.009,,,,,
09/01/2010,00:00,0.005,0.008,0.001,,,,
09/01/2010,01:00,0.004,0.003,0.000,,,,
09/01/2010,02:00,0.003,0.005,0.000,,,,
09/01/2010,03:00,0.005,0.002,0.001,,,,
09/01/2010,04:00,0.005,0.001,0.002,,,,
09/01/2010,05:00,,0.001,0.002,,,,
09/01/2010,06:00,,,,,,,
09/01/2010,07:00,0.007,0.012,,,,,
09/01/2010,08:00,,0.010,0.007,,,,
09/01/2010,09:00,0.003,0.006,0.007,,,,
09/01/2010,10:00,0.003,0.001,0.001,,,,
09/01/2010,11:00,0.005,0.001,0.003,,,,
09/01/2010,12:00,0.009,0.001,,,,,
09/01/2010,13:00,,,,,,,
09/01/2010,14:00,0.009,0.002,0.004,,,,
09/01/2010,15:00,0.009,0.002,0.005,,,,
09/01/2010,16:00,0.006,0.002,,,,,
09/01/2010,17:00,0.007,0.002,,,,,
09/01/2010,18:00,0.009,0.001,,,,,
09/01/2010,19:00,,0.001,,,,,
09/01/2010,20:00,,0.001,0.003,,,,
09/01/2010,21:00,,0.006,0.005,,,,
09/01/2010,22:00,0.009,0.007,0.004,,,,
09/01/2010,23:00,0.006,0.009,0.005,,,,
10/01/2010,00:00,0.008,0.007,,,,,
10/01/2010,01:00,,0.002,,,,,
10/01/2010,02:00,0.006,0.000,0.002,,,,
10/01/2010,03:00,0.006,0.002,,,,,
10/01/2010,04:00,0.003,0.000,0.001,,,,
10/01/2010,05:00,0.003,0.000,0.002,,,,
10/01/2010,06:00,,,,,,,
10/01/2010,07:00,0.011,0.011,0.003,,,,
10/01/2010,08:00,0.004,0.013,0.006,,,,
10/01/2010,09:00,,0.007,0.009,,,,
10/01/2010,10:00,,0.000,0.006,,,,
10/01/2010,11:00,0.008,0.000,0.005,,,,
10/01/2010,12:00,,0.001,0.000,,,,
