Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),PM10 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2010,00:00,63,2.7,18.1,1.1,24.5,,,,,10.4,
01/01/2010,01:00,60,2.0,19.4,0.9,24.1,0.014,0.000,0.001,0.001,11.8,10
01/01/2010,02:00,55,1.8,20.0,0.8,23.8,0.015,0.000,0.000,0.000,12.4,9
01/01/2010,03:00,53,2.0,18.5,0.9,23.6,0.016,0.000,0.000,0.000,9.9,9
01/01/2010,04:00,54,1.8,19.2,0.8,23.6,0.016,0.000,0.000,0.000,16.0,10
01/01/2010,05:00,54,1.8,17.8,0.8,24.2,0.016,0.000,0.000,0.000,20.4,12
01/01/2010,06:00,54,1.9,26.1,0.9,25.8,0.016,0.000,0.000,0.000,14.5,12
01/01/2010,07:00,47,1.9,27.9,0.9,27.2,0.017,0.000,0.000,0.000,21.3,11
01/01/2010,08:00,56,2.2,28.4,1.0,29.4,0.017,0.001,0.000,0.001,20.2,11
01/01/2010,09:00,45,2.2,31.2,0.9,30.3,0.017,0.000,0.001,0.001,19.3,11
01/01/2010,10:00,55,2.9,27.0,1.4,31.3,0.016,0.000,0.000,0.000,18.3,9
01/01/2010,11:00,55,3.6,19.9,1.3,30.7,0.016,0.001,0.000,0.001,,9
01/01/2010,12:00,64,2.9,21.2,1.2,30.9,0.016,0.000,0.000,0.000,18.5,10
01/01/2010,13:00,63,3.1,21.2,1.3,30.7,0.017,0.001,0.000,0.001,18.0,10
01/01/2010,14:00,58,2.9,20.8,1.1,28.9,0.016,0.001,0.000,0.001,9.0,10
01/01/2010,15:00,50,2.3,22.4,0.9,27.9,0.013,0.001,0.001,0.001,,10
01/01/2010,16:00,52,2.2,23.4,0.9,26.5,0.013,0.001,0.001,0.002,18.2,11
01/01/2010,17:00,50,2.1,21.4,0.9,25.7,0.018,0.001,0.001,0.001,18.4,12
01/01/2010,18:00,43,1.8,25.1,0.9,25.3,0.012,0.000,0.001,0.001,18.6,12
01/01/2010,19:00,41,2.2,23.5,1.0,24.9,0.012,0.000,0.001,0.001,16.9,12
01/01/2010,20:00,42,2.2,25.2,1.0,24.9,0.013,0.000,0.000,0.000,10.2,11
01/01/2010,21:00,43,2.2,22.5,1.0,24.8,0.013,0.000,0.001,0.001,16.6,10
01/01/2010,22:00,33,2.0,28.4,1.1,24.8,0.014,0.000,0.000,0.000,13.3,11
01/01/2010,23:00,30,2.3,27.4,1.0,24.6,0.013,0.000,0.000,0.000,7.4,10
02/01/2010,00:00,27,1.9,28.2,0.9,24.6,,,,,8.2,
02/01/2010,01:00,14,1.6,179.5,0.9,24.4,0.014,0.001,0.000,0.000,11.5,12
02/01/2010,02:00,348,1.5,33.1,0.7,24.5,0.014,0.000,0.000,0.000,19.2,15
02/01/2010,03:00,323,1.6,23.1,0.6,24.2,0.013,0.000,0.000,0.000,20.0,14
02/01/2010,04:00,321,2.0,9.8,0.4,23.8,0.012,0.000,0.000,0.000,15.6,12
02/01/2010,05:00,338,1.1,30.3,0.5,23.6,0.009,0.000,0.002,0.002,16.4,13
02/01/2010,06:00,323,1.7,20.0,0.6,24.4,0.010,0.001,0.002,0.002,13.5,12
02/01/2010,07:00,331,2.8,25.0,1.0,26.6,0.013,0.001,0.001,0.002,8.9,10
02/01/2010,08:00,351,2.5,154.6,1.2,28.4,0.015,0.000,0.000,0.000,,10
02/01/2010,09:00,38,2.7,28.0,1.2,30.2,0.016,0.001,0.001,0.001,20.1,13
02/01/2010,10:00,49,2.9,25.0,1.2,31.3,0.015,0.001,0.001,0.001,24.9,13
02/01/2010,11:00,43,3.0,23.4,1.3,30.2,0.015,0.001,0.001,0.001,11.1,12
02/01/2010,12:00,40,2.9,29.0,1.3,30.0,0.016,0.001,0.001,0.002,14.1,12
02/01/2010,13:00,41,3.0,24.7,1.3,29.8,0.016,0.001,0.000,0.001,10.6,11
02/01/2010,14:00,40,3.1,25.8,1.3,30.3,0.015,0.001,0.001,0.001,14.8,11
02/01/2010,15:00,32,2.8,32.0,1.4,26.9,0.015,0.001,0.001,0.001,12.1,11
02/01/2010,16:00,24,2.7,30.6,1.3,27.0,0.015,0.000,0.002,0.002,18.1,12
02/01/2010,17:00,17,2.5,33.2,1.4,26.6,0.017,0.000,0.002,0.002,21.8,13
02/01/2010,18:00,19,2.4,32.6,1.2,25.9,0.017,0.000,0.001,0.001,16.0,13
02/01/2010,19:00,11,2.4,182.6,1.3,25.7,0.016,0.000,0.001,0.001,16.2,14
02/01/2010,20:00,0,2.5,34.5,1.4,25.6,0.017,0.000,0.001,0.001,25.5,16
02/01/2010,21:00,350,2.2,28.8,1.0,25.7,0.015,0.000,0.001,0.001,21.6,19
02/01/2010,22:00,344,2.4,27.2,1.1,25.4,0.012,0.000,0.001,0.001,5.2,12
02/01/2010,23:00,331,2.7,16.7,0.8,25.1,0.011,0.000,0.001,0.000,6.8,9
03/01/2010,00:00,329,2.2,14.0,0.6,24.6,,,,,8.3,
03/01/2010,01:00,331,2.2,14.1,0.6,24.6,0.009,0.000,0.001,0.001,9.0,11
03/01/2010,02:00,337,2.5,20.4,0.9,24.6,0.009,0.000,0.001,0.001,9.1,11
03/01/2010,03:00,334,2.2,19.6,0.8,24.3,0.010,0.000,0.000,0.000,12.6,10
03/01/2010,04:00,339,2.1,22.3,0.8,24.1,0.009,0.000,0.002,0.002,9.2,10
