Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%RH),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm)
01/01/2010,00:00,130,0.3,77.8,0.3,21.3,84.0,,,,
01/01/2010,01:00,82,0.5,135.1,0.5,20.5,86.6,0.002,0.001,0.002,0.003
01/01/2010,02:00,131,0.4,42.9,0.2,19.8,87.0,0.002,0.001,0.001,0.002
01/01/2010,03:00,325,0.4,138.4,0.3,19.6,87.3,0.001,0.001,0.002,0.003
01/01/2010,04:00,241,0.6,32.0,0.2,19.6,87.1,0.000,0.003,0.002,0.005
01/01/2010,05:00,240,0.5,42.7,0.2,19.9,86.8,0.001,0.002,0.002,0.003
01/01/2010,06:00,216,1.0,20.2,0.3,21.3,84.3,0.003,0.002,0.001,0.003
01/01/2010,07:00,77,1.3,47.6,0.8,24.6,71.3,0.009,0.001,0.001,0.002
01/01/2010,08:00,68,2.2,20.2,0.7,25.3,67.0,0.014,0.001,0.000,0.001
01/01/2010,09:00,83,2.6,22.7,0.8,26.2,61.8,0.016,0.001,0.000,0.001
01/01/2010,10:00,65,2.7,29.8,1.0,27.9,52.6,0.018,0.000,0.000,0.000
01/01/2010,11:00,33,3.1,29.1,1.2,28.1,48.0,0.021,0.001,0.000,0.001
01/01/2010,12:00,43,2.9,19.9,0.9,27.9,50.7,0.020,0.001,0.000,0.001
01/01/2010,13:00,53,3.4,19.7,1.0,28.2,51.1,0.020,0.001,0.000,0.001
01/01/2010,14:00,31,3.8,18.5,1.1,27.7,55.8,0.020,0.001,0.000,0.001
01/01/2010,15:00,50,4.0,17.4,1.3,26.5,62.5,0.016,0.001,0.000,0.001
01/01/2010,16:00,44,2.9,18.7,0.8,26.1,61.7,0.016,0.001,0.000,0.001
01/01/2010,17:00,41,2.7,21.1,0.9,25.6,61.6,0.015,0.000,0.001,0.001
01/01/2010,18:00,59,2.4,11.7,0.6,24.8,66.2,0.013,0.000,0.001,0.001
01/01/2010,19:00,75,1.9,8.5,0.3,23.9,74.8,0.011,0.000,0.002,0.002
01/01/2010,20:00,82,1.5,12.3,0.5,23.2,81.6,0.007,0.000,0.002,0.002
01/01/2010,21:00,143,0.4,45.5,0.2,22.6,84.8,0.004,0.001,0.001,0.002
01/01/2010,22:00,110,0.1,119.7,0.2,22.3,85.9,0.003,0.001,0.001,0.002
01/01/2010,23:00,220,0.6,49.6,0.2,22.2,86.3,0.003,0.001,0.001,0.002
02/01/2010,00:00,207,0.5,48.8,0.3,22.2,86.2,,,,
02/01/2010,01:00,200,0.6,37.9,0.2,22.3,86.3,0.002,0.001,0.002,0.003
02/01/2010,02:00,208,0.6,37.8,0.2,22.1,86.3,0.001,0.001,0.001,0.002
02/01/2010,03:00,243,1.1,15.2,0.3,22.1,86.3,0.002,0.001,0.002,0.002
02/01/2010,04:00,111,0.2,89.1,0.3,22.0,86.3,0.002,0.001,0.001,0.002
02/01/2010,05:00,87,0.7,54.6,0.4,22.2,86.3,0.001,0.001,0.001,0.002
02/01/2010,06:00,359,0.3,128.0,0.4,23.3,83.6,0.003,0.002,0.001,0.002
02/01/2010,07:00,315,1.6,31.3,0.7,25.0,73.3,0.009,0.001,0.001,0.002
02/01/2010,08:00,329,1.9,34.1,0.7,26.5,63.2,0.013,0.001,0.001,0.001
02/01/2010,09:00,354,2.1,33.7,1.0,28.1,56.0,0.016,0.001,0.000,0.001
02/01/2010,10:00,5,1.4,43.1,0.7,28.7,52.8,0.020,0.000,0.001,0.001
02/01/2010,11:00,297,2.5,33.0,1.3,30.0,47.6,0.020,0.001,0.000,0.001
02/01/2010,12:00,5,1.7,178.3,0.9,30.5,44.9,0.023,0.001,0.001,0.001
02/01/2010,13:00,44,3.1,34.2,1.3,29.6,54.0,0.028,0.001,0.001,0.002
02/01/2010,14:00,24,2.8,21.8,0.9,29.4,55.0,0.029,0.001,0.002,0.003
02/01/2010,15:00,28,3.2,23.0,1.2,29.2,55.2,0.028,0.001,0.002,0.003
02/01/2010,16:00,31,3.2,21.8,1.1,29.0,54.6,0.025,0.001,0.001,0.002
02/01/2010,17:00,36,3.3,19.9,1.0,28.0,60.5,0.018,0.001,0.002,0.003
02/01/2010,18:00,42,2.9,17.7,0.9,26.5,66.5,0.011,0.001,0.003,0.004
02/01/2010,19:00,45,2.8,18.2,0.9,25.8,71.6,0.010,0.000,0.004,0.004
02/01/2010,20:00,52,2.4,17.5,0.8,25.5,75.2,0.008,0.001,0.003,0.004
02/01/2010,21:00,52,1.8,20.3,0.8,25.3,76.5,0.009,0.001,0.003,0.004
02/01/2010,22:00,64,1.3,32.5,0.7,24.9,78.0,0.009,0.001,0.002,0.003
02/01/2010,23:00,121,0.6,27.8,0.2,24.6,80.5,0.006,0.000,0.003,0.003
03/01/2010,00:00,60,0.7,35.7,0.4,24.3,82.7,,,,
03/01/2010,01:00,252,0.4,68.9,0.3,24.2,83.5,0.003,0.001,0.003,0.004
03/01/2010,02:00,296,0.4,65.1,0.3,23.7,84.7,0.002,0.001,0.003,0.004
03/01/2010,03:00,63,0.5,49.2,0.2,23.4,85.6,0.001,0.002,0.003,0.004
03/01/2010,04:00,44,0.4,92.2,0.4,23.0,86.2,0.001,0.001,0.003,0.004
03/01/2010,05:00,123,0.4,75.1,0.3,23.0,86.4,0.001,0.002,0.003,0.004
03/01/2010,06:00,298,0.8,55.5,0.5,25.3,77.5,0.006,0.002,0.002,0.004
03/01/2010,07:00,312,1.9,28.5,0.8,26.7,71.1,0.012,0.001,0.002,0.003
03/01/2010,08:00,275,1.7,33.9,0.8,28.5,64.9,0.018,0.001,0.002,0.003
03/01/2010,09:00,228,1.7,33.5,0.7,30.3,57.7,0.023,0.001,0.001,0.002
03/01/2010,10:00,198,1.5,45.6,0.8,28.8,65.2,0.024,0.001,0.001,0.001
03/01/2010,11:00,163,1.7,27.4,0.8,30.0,61.2,0.026,0.001,0.000,0.001
03/01/2010,12:00,81,2.1,66.4,2.1,28.1,67.4,0.024,0.001,0.000,0.001
03/01/2010,13:00,37,3.4,32.6,1.2,23.3,84.1,0.021,0.001,0.001,0.002
03/01/2010,14:00,88,3.2,25.8,1.4,24.6,82.2,0.023,0.001,0.001,0.002
03/01/2010,15:00,109,2.5,31.9,1.2,24.6,77.8,0.023,0.001,0.001,0.002
03/01/2010,16:00,86,1.7,60.4,1.1,24.2,77.1,0.022,0.000,0.001,0.001
03/01/2010,17:00,75,2.2,18.0,0.6,24.0,77.5,0.020,0.001,0.001,0.001
03/01/2010,18:00,99,0.9,52.2,0.5,23.8,79.0,0.018,0.001,0.001,0.001
03/01/2010,19:00,131,1.0,45.0,0.5,24.4,74.5,0.018,0.000,0.001,0.001
03/01/2010,20:00,150,1.9,31.6,0.9,24.9,70.0,0.020,0.000,0.001,0.001
03/01/2010,21:00,134,1.9,28.0,0.9,25.2,66.5,0.023,0.000,0.000,0.000
03/01/2010,22:00,136,2.1,24.7,1.0,25.0,68.1,0.023,0.000,0.000,0.000
03/01/2010,23:00,146,1.4,32.1,0.8,24.6,70.3,0.022,0.000,0.000,0.000
04/01/2010,00:00,135,1.2,22.2,0.5,23.9,74.5,,,,
04/01/2010,01:00,145,1.3,20.5,0.5,23.9,72.4,0.021,0.000,0.000,0.000
04/01/2010,02:00,179,1.0,22.7,0.3,23.3,75.4,0.019,0.001,0.000,0.001
04/01/2010,03:00,197,1.2,21.7,0.4,22.7,78.6,0.016,0.000,0.001,0.001
04/01/2010,04:00,220,1.0,22.7,0.3,22.4,80.5,0.012,0.000,0.001,0.001
04/01/2010,05:00,194,1.0,25.7,0.3,22.5,80.6,0.011,0.001,0.001,0.002
04/01/2010,06:00,139,2.4,24.3,1.0,24.4,70.5,0.020,0.000,0.001,0.001
04/01/2010,07:00,139,2.9,24.4,1.2,25.0,65.9,0.023,0.000,0.000,0.000
04/01/2010,08:00,137,3.3,20.5,1.5,25.9,59.9,0.025,0.000,0.000,0.000
04/01/2010,09:00,127,2.6,27.9,1.1,26.2,59.0,0.027,0.000,0.001,0.001
04/01/2010,10:00,122,3.1,25.0,1.3,26.6,57.7,0.027,0.001,0.001,0.001
04/01/2010,11:00,125,2.7,25.5,1.1,26.5,60.2,0.027,0.000,0.001,0.001
04/01/2010,12:00,123,3.4,24.8,1.4,25.9,62.9,0.025,0.001,0.000,0.001
04/01/2010,13:00,126,3.1,24.3,1.3,26.3,60.0,0.026,0.001,0.000,0.001
04/01/2010,14:00,120,3.0,25.9,1.3,26.0,60.1,0.025,0.000,0.000,0.000
04/01/2010,15:00,120,3.5,25.1,1.6,25.9,59.8,0.024,0.000,0.000,0.000
04/01/2010,16:00,127,2.9,24.2,1.3,24.9,64.5,0.023,0.000,0.001,0.001
04/01/2010,17:00,134,2.4,26.6,1.2,24.2,65.8,0.022,0.000,0.001,0.001
04/01/2010,18:00,155,2.3,25.0,0.9,23.9,61.6,0.022,0.001,0.000,0.001
04/01/2010,19:00,158,2.2,22.7,0.9,23.1,62.3,0.022,0.000,0.000,0.000
04/01/2010,20:00,163,1.6,22.2,0.5,22.5,63.4,0.021,0.000,0.000,0.000
04/01/2010,21:00,184,2.0,14.9,0.6,22.1,62.7,0.020,0.000,0.000,0.000
04/01/2010,22:00,214,1.5,13.0,0.3,21.3,67.1,0.018,0.000,0.001,0.001
04/01/2010,23:00,218,2.1,10.9,0.4,21.1,71.8,0.015,0.001,0.000,0.001
05/01/2010,00:00,217,2.3,13.1,0.6,21.2,71.1,,,,
05/01/2010,01:00,215,2.3,11.8,0.6,20.7,73.5,0.015,0.001,0.001,0.001
05/01/2010,02:00,215,2.3,13.6,0.6,20.3,74.8,0.014,0.000,0.001,0.001
05/01/2010,03:00,216,2.5,13.4,0.7,20.3,73.5,0.014,0.000,0.001,0.001
