Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),Bsp (Mm^-1)
01/01/2010,00:00,85,1.8,37.9,1.1,20.0,,,,,,6.8,
01/01/2010,01:00,71,1.4,42.1,0.9,19.9,0.008,0.002,0.001,0.003,0.0,4.4,8
01/01/2010,02:00,75,1.3,41.8,0.9,19.7,0.009,0.001,0.000,0.000,0.0,5.7,8
01/01/2010,03:00,64,1.6,42.2,1.3,19.7,0.009,0.000,0.000,0.000,0.0,5.4,9
01/01/2010,04:00,69,1.5,40.4,1.0,19.6,0.009,0.003,0.001,0.003,0.0,8.7,9
01/01/2010,05:00,68,1.4,42.2,1.0,19.8,0.008,0.002,0.001,0.002,0.0,8.7,9
01/01/2010,06:00,70,1.6,39.7,0.9,20.1,0.010,0.000,0.000,0.000,0.0,8.4,10
01/01/2010,07:00,67,1.6,44.6,1.1,21.6,0.011,0.001,0.000,0.000,0.0,10.6,9
01/01/2010,08:00,85,1.6,39.2,1.0,23.5,0.012,0.004,0.000,0.004,0.0,13.1,10
01/01/2010,09:00,85,1.6,40.1,1.0,25.2,0.014,0.001,0.000,0.001,0.0,12.6,9
01/01/2010,10:00,67,1.5,39.4,1.1,26.5,0.016,0.000,0.000,0.000,0.0,4.5,8
01/01/2010,11:00,58,1.6,41.2,1.1,27.8,0.015,0.001,0.000,0.001,0.0,12.0,8
01/01/2010,12:00,57,1.5,45.3,1.0,29.1,0.015,0.001,0.000,0.001,0.0,11.8,8
01/01/2010,13:00,43,1.3,45.0,0.9,26.7,0.015,0.002,0.000,0.001,0.0,9.5,8
01/01/2010,14:00,26,1.1,40.1,0.8,25.6,0.014,0.001,0.001,0.002,0.0,14.3,9
01/01/2010,15:00,63,0.9,51.3,0.7,25.4,0.014,0.002,0.001,0.003,0.0,9.8,9
01/01/2010,16:00,88,0.7,41.6,0.5,24.7,0.013,0.002,0.002,0.003,0.6,45.2,39
01/01/2010,17:00,84,0.7,41.9,0.5,23.7,0.013,0.001,0.001,0.002,0.0,27.6,11
01/01/2010,18:00,91,0.9,46.3,0.7,22.9,0.012,0.004,0.004,0.008,0.0,20.2,12
01/01/2010,19:00,79,0.9,42.4,0.7,22.3,0.011,0.008,0.004,0.012,0.0,13.3,12
01/01/2010,20:00,77,0.8,43.7,0.6,22.0,0.010,0.002,0.001,0.003,0.0,10.7,10
01/01/2010,21:00,41,1.4,41.1,0.9,21.6,0.010,0.000,0.000,0.000,0.0,4.3,9
01/01/2010,22:00,47,1.3,32.6,0.9,21.4,0.009,0.001,0.002,0.003,0.0,4.8,8
01/01/2010,23:00,37,1.1,37.4,0.7,21.2,0.009,0.002,0.001,0.003,0.0,6.6,9
02/01/2010,00:00,46,0.9,33.5,0.5,21.1,,,,,,6.1,
02/01/2010,01:00,28,1.3,35.3,0.8,21.1,0.008,0.005,0.001,0.005,0.0,8.1,9
02/01/2010,02:00,18,1.0,36.6,0.7,21.0,0.008,0.000,0.000,0.000,0.0,8.5,9
02/01/2010,03:00,36,1.0,35.8,0.6,20.8,0.008,0.000,0.000,0.000,0.0,8.9,9
02/01/2010,04:00,11,1.2,170.4,0.7,20.8,0.009,0.003,0.001,0.004,0.0,10.4,9
02/01/2010,05:00,352,0.9,29.9,0.5,21.1,0.008,0.001,0.000,0.001,0.0,10.5,9
02/01/2010,06:00,338,1.2,30.0,0.8,21.6,0.008,0.001,0.000,0.001,0.0,11.9,10
02/01/2010,07:00,341,2.2,23.1,1.0,22.5,0.006,0.005,0.004,0.009,0.0,15.6,33
02/01/2010,08:00,339,2.6,26.3,1.1,24.2,0.011,0.002,0.001,0.003,0.0,12.6,24
02/01/2010,09:00,338,2.5,24.5,1.0,25.4,0.013,0.002,0.001,0.002,0.0,8.4,17
02/01/2010,10:00,334,2.4,22.3,0.9,26.7,0.017,0.001,0.000,0.001,0.0,6.6,8
02/01/2010,11:00,331,2.0,20.9,1.0,26.2,0.016,0.001,0.000,0.001,0.0,7.3,6
02/01/2010,12:00,325,1.8,37.1,1.0,27.0,0.016,0.002,0.001,0.003,0.0,8.1,7
02/01/2010,13:00,337,1.7,30.7,0.9,27.7,0.018,0.001,0.000,0.001,0.0,8.2,7
02/01/2010,14:00,334,1.7,37.1,0.8,27.9,0.018,0.001,0.001,0.002,0.0,2.5,7
02/01/2010,15:00,20,0.7,47.7,0.5,27.1,0.016,0.001,0.001,0.002,0.0,23.4,8
02/01/2010,16:00,50,0.9,40.1,0.6,27.4,0.016,0.001,0.001,0.002,0.0,8.8,7
02/01/2010,17:00,73,0.5,69.8,0.5,26.2,0.016,0.001,0.001,0.002,0.0,12.0,8
02/01/2010,18:00,123,0.2,129.5,0.4,25.0,0.012,0.008,0.004,0.011,0.0,10.6,10
02/01/2010,19:00,127,0.7,44.4,0.5,24.2,0.012,0.001,0.003,0.004,0.0,9.6,8
02/01/2010,20:00,107,0.6,53.9,0.4,23.5,0.014,0.002,0.003,0.005,0.0,11.0,10
02/01/2010,21:00,212,0.3,86.3,0.4,23.1,0.008,0.003,0.007,0.009,0.0,10.3,10
02/01/2010,22:00,117,0.5,61.6,0.5,23.0,0.008,0.002,0.005,0.007,0.0,7.5,11
02/01/2010,23:00,48,0.7,53.5,0.6,23.4,0.012,0.001,0.002,0.002,0.0,10.8,16
03/01/2010,00:00,352,0.3,169.3,0.4,23.0,,,,,,12.5,
03/01/2010,01:00,,0.0,132.3,0.1,22.4,0.004,0.002,0.006,0.007,0.0,9.2,22
03/01/2010,02:00,301,0.2,145.7,0.2,22.2,0.002,0.002,0.006,0.008,0.0,14.9,21
03/01/2010,03:00,320,0.3,59.6,0.4,22.5,0.002,0.002,0.005,0.007,0.0,10.5,16
03/01/2010,04:00,324,0.5,43.4,0.3,22.0,0.002,0.002,0.005,0.007,0.0,7.3,13
03/01/2010,05:00,299,0.3,110.2,0.6,22.0,0.003,0.003,0.006,0.009,0.0,14.7,13
03/01/2010,06:00,304,1.5,24.1,0.9,23.8,0.011,0.002,0.002,0.004,0.0,11.2,15
03/01/2010,07:00,290,2.3,23.3,1.0,24.3,0.014,0.001,0.001,0.002,0.0,13.4,20
03/01/2010,08:00,265,2.6,23.8,0.9,24.8,0.016,0.002,0.001,0.002,0.0,12.3,18
03/01/2010,09:00,283,2.2,27.1,1.0,25.6,0.019,0.001,0.000,0.001,0.0,17.0,18
