Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3)
01/01/2010,00:00,75,1.5,19.2,0.8,28.3,,,,,,15.7
01/01/2010,01:00,74,1.5,18.4,0.7,28.1,0.020,0.000,0.001,0.001,,16.9
01/01/2010,02:00,86,1.3,23.8,0.8,27.8,0.020,0.000,0.001,0.001,,17.5
01/01/2010,03:00,92,1.2,25.3,0.7,28.0,0.019,0.000,0.001,0.001,,18.1
01/01/2010,04:00,99,1.2,18.4,0.6,27.6,0.018,0.000,0.001,0.001,,17.4
01/01/2010,05:00,108,0.9,20.5,0.4,27.5,0.017,0.000,0.001,0.001,,20.6
01/01/2010,06:00,71,1.3,24.8,0.7,28.2,0.016,0.000,0.002,0.002,,18.4
01/01/2010,07:00,51,1.6,16.9,0.8,29.2,0.019,0.001,0.001,0.002,,18.9
01/01/2010,08:00,46,2.2,16.0,0.8,29.7,0.027,0.001,0.000,0.001,,17.7
01/01/2010,09:00,33,2.6,18.4,0.9,30.2,0.034,0.000,0.000,0.000,,17.8
01/01/2010,10:00,46,2.1,17.6,1.0,30.6,0.029,0.000,0.000,0.000,,18.4
01/01/2010,11:00,47,2.2,19.7,0.9,31.2,0.031,0.001,0.000,0.001,,16.8
01/01/2010,12:00,41,2.2,19.5,1.0,31.8,0.040,0.001,0.000,0.001,,17.7
01/01/2010,13:00,41,2.4,18.3,1.0,32.0,0.031,0.000,0.000,0.000,,12.2
01/01/2010,14:00,45,2.3,20.3,1.0,31.8,0.030,0.001,0.000,0.001,,11.2
01/01/2010,15:00,43,2.5,19.5,1.0,31.5,0.023,0.001,0.000,0.001,,9.9
01/01/2010,16:00,47,2.8,15.9,1.1,30.8,0.024,0.001,0.000,0.001,,11.2
01/01/2010,17:00,48,2.8,14.7,1.1,29.8,0.023,0.000,0.001,0.001,,12.1
01/01/2010,18:00,49,2.5,16.8,1.0,29.3,0.018,0.000,0.001,0.001,,11.2
01/01/2010,19:00,56,2.0,17.6,1.1,29.0,0.019,0.001,0.002,0.002,,11.6
01/01/2010,20:00,58,1.7,17.1,0.9,29.0,0.018,0.001,0.001,0.001,,11.5
01/01/2010,21:00,54,1.7,17.3,0.8,29.0,0.018,0.001,0.001,0.001,,12.1
01/01/2010,22:00,64,1.3,21.9,0.8,28.7,0.018,0.000,0.001,0.001,,11.4
01/01/2010,23:00,77,0.8,31.5,0.4,28.4,0.029,0.000,0.002,0.002,,10.6
02/01/2010,00:00,112,1.1,41.5,0.9,26.4,,,,,,4.4
