Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb)
01/01/2010,00:00,,,,,,,,,,,,,
01/01/2010,01:00,,,,,,,,,,,,,
01/01/2010,02:00,,,,,,,,,,,,,
01/01/2010,03:00,,,,,,,,,,,,,
01/01/2010,04:00,,,,,,,,,,,,,
01/01/2010,05:00,,,,,,,,,,,,,
01/01/2010,06:00,,,,,,,,,,,,,
01/01/2010,07:00,,,,,,,,,,,,,
01/01/2010,08:00,,,,,,,,,,,,,
01/01/2010,09:00,,,,,,,,,,,,,
01/01/2010,10:00,,,,,,,,,,,,,
01/01/2010,11:00,,,,,,,,,,,,,
01/01/2010,12:00,,,,,,,,,,,,,
01/01/2010,13:00,,,,,,,,,,,,,
01/01/2010,14:00,,,,,,,,,,,,,
01/01/2010,15:00,,,,,,,,,,,,,
01/01/2010,16:00,,,,,,,,,,,,,
01/01/2010,17:00,,,,,,,,,,,,,
01/01/2010,18:00,,,,,,,,,,,,,
01/01/2010,19:00,,,,,,,,,,,,,
01/01/2010,20:00,,,,,,,,,,,,,
01/01/2010,21:00,,,,,,,,,,,,,
01/01/2010,22:00,,,,,,,,,,,,,
01/01/2010,23:00,,,,,,,,,,,,,
02/01/2010,00:00,,,,,,,,,,,,,
02/01/2010,01:00,,,,,,,,,,,,,
02/01/2010,02:00,,,,,,,,,,,,,
02/01/2010,03:00,,,,,,,,,,,,,
02/01/2010,04:00,,,,,,,,,,,,,
02/01/2010,05:00,,,,,,,,,,,,,
02/01/2010,06:00,,,,,,,,,,,,,
02/01/2010,07:00,,,,,,,,,,,,,
02/01/2010,08:00,,,,,,,,,,,,,
02/01/2010,09:00,,,,,,,,,,,,,
02/01/2010,10:00,,,,,,,,,,,,,
02/01/2010,11:00,,,,,,,,,,,,,
02/01/2010,12:00,,,,,,,,,,,,,
02/01/2010,13:00,,,,,,,,,,,,,
02/01/2010,14:00,,,,,,,,,,,,,
02/01/2010,15:00,,,,,,,,,,,,,
02/01/2010,16:00,,,,,,,,,,,,,
02/01/2010,17:00,,,,,,,,,,,,,
02/01/2010,18:00,,,,,,,,,,,,,
02/01/2010,19:00,,,,,,,,,,,,,
02/01/2010,20:00,,,,,,,,,,,,,
02/01/2010,21:00,,,,,,,,,,,,,
02/01/2010,22:00,,,,,,,,,,,,,
02/01/2010,23:00,,,,,,,,,,,,,
03/01/2010,00:00,,,,,,,,,,,,,
03/01/2010,01:00,,,,,,,,,,,,,
03/01/2010,02:00,,,,,,,,,,,,,
03/01/2010,03:00,,,,,,,,,,,,,
03/01/2010,04:00,,,,,,,,,,,,,
03/01/2010,05:00,,,,,,,,,,,,,
03/01/2010,06:00,,,,,,,,,,,,,
03/01/2010,07:00,,,,,,,,,,,,,
03/01/2010,08:00,,,,,,,,,,,,,
03/01/2010,09:00,,,,,,,,,,,,,
03/01/2010,10:00,,,,,,,,,,,,,
03/01/2010,11:00,,,,,,,,,,,,,
03/01/2010,12:00,,,,,,,,,,,,,
03/01/2010,13:00,,,,,,,,,,,,,
03/01/2010,14:00,,,,,,,,,,,,,
03/01/2010,15:00,,,,,,,,,,,,,
03/01/2010,16:00,,,,,,,,,,,,,
03/01/2010,17:00,,,,,,,,,,,,,
03/01/2010,18:00,,,,,,,,,,,,,
03/01/2010,19:00,,,,,,,,,,,,,
03/01/2010,20:00,,,,,,,,,,,,,
03/01/2010,21:00,,,,,,,,,,,,,
03/01/2010,22:00,,,,,,,,,,,,,
03/01/2010,23:00,,,,,,,,,,,,,
04/01/2010,00:00,,,,,,,,,,,,,
04/01/2010,01:00,,,,,,,,,,,,,
04/01/2010,02:00,,,,,,,,,,,,,
04/01/2010,03:00,,,,,,,,,,,,,
04/01/2010,04:00,,,,,,,,,,,,,
04/01/2010,05:00,,,,,,,,,,,,,
04/01/2010,06:00,,,,,,,,,,,,,
04/01/2010,07:00,,,,,,,,,,,,,
04/01/2010,08:00,,,,,,,,,,,,,
04/01/2010,09:00,,,,,,,,,,,,,
04/01/2010,10:00,,,,,,,,,,,,,
04/01/2010,11:00,,,,,,,,,,,,,
04/01/2010,12:00,,,,25.8,0.008,0.001,0.003,0.000,,,1.1,0.1,
04/01/2010,13:00,,,,25.3,0.011,0.003,0.001,0.000,,,0.6,0.1,1.5
04/01/2010,14:00,,,,25.3,0.012,0.003,0.001,0.000,,24.2,0.6,0.5,1.7
04/01/2010,15:00,,,,25.2,0.012,0.002,0.002,0.000,,17.5,0.7,0.9,1.2
04/01/2010,16:00,,,,24.9,0.012,0.003,0.002,0.000,,15.4,0.5,0.3,1.1
04/01/2010,17:00,,,,24.4,0.013,0.003,0.002,0.000,,7.8,0.4,0.5,1.3
04/01/2010,18:00,,,,23.4,0.013,0.004,0.006,0.000,,6.3,1.0,0.9,1.1
04/01/2010,19:00,,,,22.6,0.010,0.003,0.013,0.000,,4.3,0.8,0.9,1.8
04/01/2010,20:00,,,,22.2,0.008,0.004,0.014,0.000,,6.9,0.9,0.2,1.1
04/01/2010,21:00,,,,21.8,0.010,0.003,0.009,0.000,5.4,5.7,0.7,0.4,1.6
04/01/2010,22:00,,,,21.5,0.010,0.003,0.010,0.000,8.9,5.0,0.7,0.1,1.4
04/01/2010,23:00,,,,21.2,0.009,0.003,0.010,0.000,11.5,4.1,0.5,0.5,1.4
05/01/2010,00:00,,,,20.8,0.009,0.002,0.013,0.000,7.4,2.6,0.7,0.9,1.4
05/01/2010,01:00,,,,20.5,0.008,0.002,0.011,0.000,8.0,3.1,0.8,0.6,1.7
05/01/2010,02:00,,,,20.5,0.008,0.000,0.010,0.000,10.0,3.2,0.8,0.6,0.8
05/01/2010,03:00,,,,20.3,0.007,0.001,0.010,0.000,14.4,6.0,0.7,0.3,
05/01/2010,04:00,,,,19.8,0.008,0.001,0.012,0.000,7.9,1.4,0.5,0.5,0.9
05/01/2010,05:00,,,,19.9,0.007,0.003,0.015,0.000,10.6,2.5,0.7,0.9,1.1
05/01/2010,06:00,,,,21.4,0.008,0.007,0.019,0.000,20.9,5.4,0.7,1.4,1.7
05/01/2010,07:00,,,,22.8,0.008,0.008,0.018,0.000,28.6,6.6,0.7,1.2,1.9
05/01/2010,08:00,,,,24.5,0.010,0.003,0.008,0.000,25.0,10.2,0.6,0.5,1.8
05/01/2010,09:00,,,,25.3,0.010,0.004,0.002,0.000,20.7,3.5,0.6,0.2,1.8
05/01/2010,10:00,,,,26.7,0.012,0.004,0.002,0.000,17.8,2.0,0.4,0.3,1.9
05/01/2010,11:00,,,,26.3,0.011,0.004,0.002,0.000,13.5,2.0,0.5,0.2,1.7
05/01/2010,12:00,105.0,1.6,32.4,27.0,0.012,0.004,0.002,0.000,18.0,1.6,0.6,0.3,1.7
05/01/2010,13:00,94.0,1.7,29.9,27.2,0.013,0.003,0.002,0.000,19.4,4.3,0.4,,1.4
05/01/2010,14:00,90.0,1.8,27.3,26.4,0.010,0.004,0.002,0.000,14.1,3.1,0.6,0.7,2.2
05/01/2010,15:00,95.0,1.8,26.4,25.9,0.010,0.004,0.002,0.000,14.9,3.4,0.5,0.4,1.1
05/01/2010,16:00,101.0,1.2,27.7,25.1,0.008,0.005,0.002,0.000,16.9,8.5,0.3,0.6,1.6
05/01/2010,17:00,98.0,1.5,25.5,24.3,0.010,0.005,0.003,0.000,15.6,3.1,0.5,0.7,1.5
05/01/2010,18:00,99.0,1.0,28.0,23.6,0.008,0.004,0.003,0.000,21.3,5.4,0.5,0.5,1.2
05/01/2010,19:00,104.0,0.9,26.8,23.2,0.007,0.005,0.003,0.000,19.8,6.0,0.4,0.2,1.2
05/01/2010,20:00,106.0,0.7,34.2,22.9,0.007,0.004,0.003,0.000,18.6,3.5,0.6,0.3,1.5
05/01/2010,21:00,136.0,0.1,71.5,22.5,0.007,0.004,0.007,0.000,19.2,6.2,0.6,0.6,1.8
05/01/2010,22:00,119.0,0.1,67.8,22.1,0.004,0.004,0.014,0.000,17.3,4.7,0.4,0.7,1.4
05/01/2010,23:00,28.0,0.1,181.5,21.8,0.005,0.004,0.016,0.000,17.2,3.9,0.7,1.3,1.7
06/01/2010,00:00,175.0,0.1,137.1,21.6,0.005,0.003,0.014,0.000,20.1,0.3,0.4,1.4,1.1
06/01/2010,01:00,189.0,0.1,95.2,20.6,0.005,0.003,0.010,0.000,16.3,4.5,0.7,0.9,1.7
06/01/2010,02:00,196.0,0.1,91.1,20.6,0.005,0.002,0.011,0.000,14.5,4.4,0.8,1.0,1.7
06/01/2010,03:00,32.0,0.1,75.3,20.8,0.006,0.001,0.010,0.000,9.7,2.2,0.5,0.5,1.3
06/01/2010,04:00,191.0,0.1,83.8,21.0,0.007,0.002,0.012,0.000,11.2,2.1,0.7,0.9,1.0
06/01/2010,05:00,189.0,0.2,23.9,21.3,0.007,0.004,0.016,0.000,15.3,3.5,0.5,1.1,1.5
06/01/2010,06:00,182.0,0.4,22.9,22.7,0.006,0.007,0.017,0.000,21.1,5.6,0.6,0.5,1.4
06/01/2010,07:00,158.0,0.6,26.6,25.1,0.006,0.010,0.015,0.000,34.2,11.7,0.4,1.0,1.7
06/01/2010,08:00,126.0,1.1,35.0,26.5,0.006,0.009,0.010,0.000,23.4,6.9,0.3,0.8,1.2
06/01/2010,09:00,107.0,1.1,32.1,26.5,0.007,0.005,0.002,0.000,15.0,3.5,0.3,0.5,2.2
06/01/2010,10:00,95.0,0.7,31.9,25.4,0.007,0.005,0.003,0.000,10.6,3.5,0.4,0.5,
06/01/2010,11:00,112.0,0.2,141.2,26.0,0.006,0.004,0.002,0.000,10.7,2.3,0.2,0.6,2.0
06/01/2010,12:00,90.0,0.5,39.7,27.6,0.009,0.004,0.002,0.000,8.2,1.3,0.5,0.3,1.5
06/01/2010,13:00,85.0,0.6,27.8,27.7,0.009,0.004,0.002,0.000,12.6,2.5,0.3,0.1,1.5
06/01/2010,14:00,61.0,0.8,27.3,28.2,0.008,0.003,0.002,0.000,11.0,0.7,0.3,0.5,1.4
06/01/2010,15:00,69.0,1.4,24.6,27.0,0.007,0.003,0.002,0.000,14.4,3.6,0.2,0.5,2.3
06/01/2010,16:00,65.0,1.4,20.2,26.1,0.004,0.004,0.003,0.000,10.5,1.6,0.2,0.5,0.9
06/01/2010,17:00,64.0,0.8,19.6,25.3,0.001,0.004,0.003,0.000,12.1,2.1,0.2,0.5,1.0
06/01/2010,18:00,65.0,0.7,19.7,24.7,0.001,0.005,0.003,0.000,13.2,2.3,0.4,0.6,1.1
06/01/2010,19:00,70.0,0.3,18.4,24.1,0.002,0.004,0.003,0.000,13.6,9.6,0.1,0.8,1.5
06/01/2010,20:00,70.0,0.1,91.5,23.6,0.002,0.004,0.003,0.000,12.4,3.6,0.5,0.7,1.8
06/01/2010,21:00,79.0,0.1,73.5,23.2,0.003,0.004,0.003,0.000,9.9,1.2,0.4,0.7,1.3
06/01/2010,22:00,53.0,0.1,130.1,22.8,0.003,0.004,0.006,0.000,15.6,5.5,0.5,0.6,2.1
06/01/2010,23:00,315.0,0.1,127.2,22.4,0.001,0.004,0.003,0.000,22.2,5.0,0.6,0.9,1.8
07/01/2010,00:00,315.0,0.2,69.2,22.4,0.001,0.004,0.004,0.000,14.5,3.8,0.5,1.2,1.4
07/01/2010,01:00,279.0,0.4,37.9,21.9,0.000,0.004,0.009,0.000,13.3,-0.1,0.4,1.0,1.2
07/01/2010,02:00,270.0,0.3,73.9,21.4,0.000,0.005,0.009,0.000,14.9,1.0,0.4,0.4,1.2
07/01/2010,03:00,301.0,0.2,111.2,21.1,0.002,0.005,0.009,0.000,12.2,1.3,0.2,0.5,1.3
07/01/2010,04:00,321.0,0.2,63.9,21.4,0.003,0.006,0.013,0.000,15.9,4.2,0.3,0.9,1.1
07/01/2010,05:00,29.0,0.3,208.2,21.7,0.004,0.007,0.014,0.000,17.9,5.0,0.5,0.9,1.7
07/01/2010,06:00,,0.0,92.4,23.0,0.005,0.008,0.014,0.000,22.3,8.0,0.2,0.5,1.7
07/01/2010,07:00,116.0,0.4,26.5,24.8,0.005,0.005,0.010,0.000,11.0,2.5,0.5,1.0,1.8
07/01/2010,08:00,92.0,1.0,29.8,26.1,0.003,0.005,0.003,0.000,7.7,-1.0,0.6,0.9,1.2
07/01/2010,09:00,76.0,0.8,27.6,26.2,0.005,0.004,0.002,0.000,9.2,0.7,0.2,0.6,1.9
07/01/2010,10:00,74.0,1.2,26.9,27.0,0.005,0.003,0.002,0.000,10.1,1.1,0.6,0.3,1.7
07/01/2010,11:00,82.0,1.2,27.9,27.7,0.005,0.004,0.002,0.000,4.3,-1.5,0.3,0.9,1.3
07/01/2010,12:00,74.0,1.2,28.0,27.4,0.005,0.004,0.002,0.000,12.5,2.4,0.5,0.3,2.1
07/01/2010,13:00,72.0,1.4,31.1,28.1,0.004,0.003,0.002,0.000,8.5,0.2,0.2,0.4,1.3
07/01/2010,14:00,68.0,2.0,20.5,27.3,0.005,0.003,0.002,0.000,9.1,0.9,0.5,0.4,2.4
07/01/2010,15:00,85.0,1.7,26.9,27.3,0.004,0.003,0.002,0.000,8.7,0.1,0.5,0.6,2.1
07/01/2010,16:00,72.0,1.8,23.1,26.4,0.004,0.003,0.003,0.000,14.2,3.2,0.3,0.9,1.0
07/01/2010,17:00,72.0,1.3,19.9,25.2,0.003,0.004,0.003,0.000,11.8,2.7,0.5,1.1,2.2
07/01/2010,18:00,84.0,0.6,23.5,24.3,0.002,0.004,0.003,0.000,15.3,4.5,0.2,0.7,1.5
07/01/2010,19:00,87.0,0.2,70.1,23.6,0.002,0.004,0.003,0.000,15.2,3.7,0.3,0.6,1.2
07/01/2010,20:00,89.0,0.2,49.6,23.3,0.003,0.004,0.002,0.000,15.2,3.5,0.1,0.6,1.6
07/01/2010,21:00,78.0,0.4,64.2,23.0,0.002,0.004,0.003,0.000,13.5,2.3,0.5,0.4,1.4
07/01/2010,22:00,78.0,0.3,66.4,22.8,0.002,0.003,0.003,0.000,11.1,1.0,0.3,0.8,1.1
07/01/2010,23:00,79.0,0.2,63.2,22.4,0.002,0.003,0.003,0.000,11.1,-1.0,0.3,0.7,1.3
08/01/2010,00:00,77.0,0.3,18.3,22.5,0.001,0.004,0.004,0.000,11.1,0.7,0.4,0.8,1.6
08/01/2010,01:00,22.0,0.1,155.2,22.3,0.000,0.004,0.003,0.000,10.0,-0.9,0.2,0.9,1.5
08/01/2010,02:00,299.0,0.2,18.5,21.6,0.001,0.004,0.008,0.000,7.3,1.3,0.5,1.2,1.4
08/01/2010,03:00,,0.0,92.7,21.6,0.002,0.005,0.009,0.000,11.7,1.2,0.3,0.5,1.9
08/01/2010,04:00,,0.0,91.6,21.4,0.003,0.003,0.012,0.000,9.5,0.3,0.3,1.0,1.6
