Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%RH),Rainfall (mm),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2010,00:00,132,0.7,29.9,0.5,24.1,86.3,0.0,1009,,,,,7.2,-2.1,
01/01/2010,01:00,122,1.4,19.1,1.0,24.3,85.8,0.5,1008,0.000,0.001,0.001,0.000,13.3,4.0,8
01/01/2010,02:00,58,1.2,51.3,0.8,23.5,89.4,1.8,1008,0.000,0.000,0.000,0.000,8.5,0.9,6
01/01/2010,03:00,297,0.6,89.5,0.9,22.9,90.7,0.8,1008,0.000,0.000,0.000,0.000,8.1,2.2,6
01/01/2010,04:00,67,1.0,76.7,1.4,23.2,89.0,0.0,1008,0.000,0.000,0.000,0.000,,,6
01/01/2010,05:00,194,0.9,31.9,0.4,23.4,82.9,0.0,1009,0.000,0.000,0.000,0.000,,,6
01/01/2010,06:00,284,0.4,71.2,0.5,24.3,82.8,0.1,1009,0.000,0.000,0.000,0.000,12.9,4.8,6
01/01/2010,07:00,200,0.5,59.2,0.4,24.2,85.7,0.0,1010,0.000,0.000,0.000,0.000,12.0,7.2,7
01/01/2010,08:00,60,2.2,57.6,1.8,26.7,72.8,0.0,1010,0.000,0.000,0.000,0.000,9.7,1.8,9
01/01/2010,09:00,77,4.5,15.1,1.2,28.0,62.1,0.0,1010,0.000,0.000,0.000,0.000,14.1,0.4,8
01/01/2010,10:00,71,4.2,18.8,1.1,28.2,60.4,0.0,1010,0.000,0.000,0.000,0.000,11.9,1.2,8
01/01/2010,11:00,76,4.2,16.1,1.1,28.1,59.9,0.0,1009,0.000,0.000,0.000,0.000,9.5,-0.3,8
01/01/2010,12:00,66,4.4,17.3,1.2,28.3,57.6,0.0,1009,0.000,0.000,0.000,0.000,13.6,2.9,7
01/01/2010,13:00,70,4.3,15.6,1.2,28.2,58.7,0.0,1008,0.000,0.000,0.000,0.000,11.4,1.1,7
01/01/2010,14:00,68,3.9,16.4,1.0,28.0,61.2,0.0,1008,0.000,0.000,0.000,0.000,8.8,0.2,7
01/01/2010,15:00,78,3.6,20.4,1.1,27.9,62.0,0.0,1007,0.000,0.000,0.000,0.000,13.6,3.7,8
01/01/2010,16:00,82,3.5,17.1,1.0,27.5,63.6,0.0,1007,0.000,0.000,0.000,0.000,16.1,4.9,8
01/01/2010,17:00,80,3.0,18.2,0.9,27.2,65.6,0.0,1007,0.000,0.000,0.000,0.000,19.0,6.0,9
01/01/2010,18:00,80,2.6,12.5,0.8,26.7,68.2,0.0,1008,0.000,0.000,0.000,0.000,14.2,1.4,10
01/01/2010,19:00,93,1.9,13.6,0.5,26.3,72.1,0.0,1009,0.000,0.000,0.000,0.000,12.2,-0.1,10
01/01/2010,20:00,141,1.0,46.1,0.5,26.2,72.9,0.0,1009,0.000,0.000,0.000,0.000,12.5,0.2,10
01/01/2010,21:00,181,1.0,16.2,0.5,26.0,74.4,0.0,1009,0.000,0.000,0.000,0.000,11.5,-0.8,11
01/01/2010,22:00,179,0.8,35.0,0.6,25.8,77.5,0.0,1009,0.000,0.000,0.000,0.000,10.9,-2.4,11
01/01/2010,23:00,117,0.4,30.3,0.2,25.3,80.0,0.0,1009,0.000,0.001,0.001,0.000,13.3,0.6,11
02/01/2010,00:00,187,0.4,21.5,0.2,25.2,80.2,0.0,1008,,,,,20.4,6.7,
02/01/2010,01:00,212,0.8,12.3,0.3,24.9,81.8,0.0,1007,0.000,0.001,0.001,0.000,15.6,2.9,11
02/01/2010,02:00,224,0.3,52.2,0.3,24.5,84.1,0.0,1007,0.000,0.000,0.000,0.000,14.9,2.0,10
02/01/2010,03:00,183,0.3,66.4,0.3,24.2,86.7,0.0,1007,0.000,0.001,0.001,0.000,17.4,5.1,9
02/01/2010,04:00,208,0.7,26.4,0.4,24.5,83.2,0.0,1007,0.000,0.001,0.001,0.000,11.6,-1.1,9
02/01/2010,05:00,208,0.3,57.8,0.2,24.5,85.1,0.0,1007,0.000,0.001,0.001,0.000,14.8,2.4,9
02/01/2010,06:00,103,0.1,69.7,0.2,25.0,86.2,0.0,1008,0.001,0.001,0.001,0.000,14.4,3.8,10
02/01/2010,07:00,25,0.6,171.7,0.6,26.5,74.2,0.0,1008,0.000,0.000,0.000,0.000,13.7,0.4,10
02/01/2010,08:00,40,1.3,28.0,0.7,27.0,70.6,0.0,1008,0.000,0.000,0.000,0.000,13.7,2.7,9
02/01/2010,09:00,54,1.8,37.8,1.2,28.0,64.7,0.0,1008,0.000,0.000,0.000,0.000,14.7,5.0,9
02/01/2010,10:00,76,3.3,20.4,1.3,28.1,65.0,0.0,1008,0.000,0.000,0.000,0.000,4.3,-1.5,9
02/01/2010,11:00,73,1.8,33.9,0.9,28.4,61.4,0.0,1008,0.000,0.000,0.000,0.000,13.4,3.9,8
02/01/2010,12:00,31,2.2,36.5,1.5,29.6,53.7,0.0,1007,0.001,0.001,0.001,0.000,15.7,1.9,8
02/01/2010,13:00,51,2.3,30.1,1.2,29.9,53.0,0.0,1006,0.000,0.000,0.000,0.000,13.9,1.0,8
02/01/2010,14:00,22,2.0,25.4,0.9,29.8,53.9,0.0,1006,0.000,0.000,0.000,0.000,19.3,7.8,9
02/01/2010,15:00,37,2.6,22.6,1.1,29.5,56.1,0.0,1005,0.000,0.000,0.000,0.000,17.6,7.5,10
02/01/2010,16:00,328,1.3,131.0,1.0,28.9,57.1,0.0,1005,0.000,0.000,0.000,0.000,14.0,2.6,9
02/01/2010,17:00,47,2.6,17.4,0.8,27.8,64.0,0.0,1005,0.000,0.000,0.000,0.000,15.1,2.3,9
02/01/2010,18:00,45,1.6,15.1,0.8,27.1,67.3,0.0,1006,0.001,0.000,0.001,0.000,17.8,4.2,9
02/01/2010,19:00,29,1.2,14.5,0.4,26.9,70.2,0.0,1007,0.000,0.000,0.000,0.000,18.9,7.0,10
02/01/2010,20:00,326,0.2,59.8,0.3,26.6,72.5,0.0,1007,0.000,0.000,0.000,0.000,12.9,1.8,9
02/01/2010,21:00,297,0.2,66.5,0.2,26.4,73.7,0.0,1007,0.000,0.001,0.001,0.000,14.3,3.8,9
02/01/2010,22:00,348,0.3,42.0,0.2,26.2,74.1,0.0,1007,0.000,0.000,0.000,0.000,10.9,1.2,9
02/01/2010,23:00,251,0.1,83.5,0.2,26.1,75.0,0.0,1007,0.000,0.000,0.000,0.000,11.7,2.6,9
03/01/2010,00:00,274,0.4,58.2,0.2,26.1,76.5,0.0,1007,,,,,10.9,1.9,
03/01/2010,01:00,304,0.3,54.5,0.3,25.5,81.1,0.0,1006,0.000,0.001,0.001,0.000,7.0,-0.6,8
03/01/2010,02:00,282,1.0,19.9,0.4,25.5,77.8,0.0,1006,0.000,0.001,0.001,0.000,14.4,7.0,9
03/01/2010,03:00,280,0.9,14.3,0.4,25.4,77.0,0.0,1006,0.000,0.000,0.000,0.000,11.4,0.4,8
03/01/2010,04:00,231,0.4,59.5,0.3,24.8,79.3,0.0,1006,0.000,0.001,0.001,0.000,12.5,2.8,8
03/01/2010,05:00,235,0.2,92.7,0.2,23.8,85.3,0.0,1007,0.001,0.001,0.002,0.000,13.9,3.5,8
03/01/2010,06:00,336,0.2,129.5,0.3,26.1,76.9,0.0,1007,0.000,0.001,0.001,0.000,4.7,-4.0,9
03/01/2010,07:00,322,1.0,38.6,0.7,28.1,64.7,0.0,1008,0.000,0.000,0.000,0.000,12.1,1.3,8
03/01/2010,08:00,331,1.1,45.4,0.7,29.0,58.3,0.0,1007,0.000,0.000,0.000,0.000,9.0,0.7,8
03/01/2010,09:00,311,1.1,32.6,0.6,29.3,57.2,0.0,1007,0.000,0.000,0.000,0.000,,,8
03/01/2010,10:00,286,1.5,42.7,1.0,29.6,57.0,0.0,1007,0.000,0.000,0.000,0.000,14.0,7.3,9
03/01/2010,11:00,355,0.9,46.8,0.7,29.8,56.2,0.0,1007,0.000,0.000,0.000,0.000,9.4,0.3,10
03/01/2010,12:00,32,1.8,30.2,0.9,30.1,56.0,0.0,1006,0.000,0.000,0.000,0.000,11.9,4.5,12
03/01/2010,13:00,31,2.1,31.9,1.1,30.8,54.0,0.0,1005,0.000,0.000,0.000,0.000,14.1,4.1,13
03/01/2010,14:00,41,2.8,23.4,1.1,30.5,54.9,0.0,1005,0.000,0.000,0.000,0.000,11.4,2.9,15
03/01/2010,15:00,31,3.3,18.9,1.1,30.4,55.0,0.0,1004,0.000,0.000,0.000,0.000,8.3,0.2,12
03/01/2010,16:00,19,2.7,21.4,1.2,29.5,58.5,0.0,1004,0.000,0.000,0.000,0.000,12.5,3.6,13
03/01/2010,17:00,17,2.1,19.7,0.9,28.4,64.1,0.0,1005,0.000,0.000,0.000,0.000,14.9,6.8,17
03/01/2010,18:00,19,1.4,18.8,0.7,27.7,68.8,0.0,1005,0.000,0.000,0.000,0.000,12.7,5.5,13
03/01/2010,19:00,334,0.5,35.1,0.3,26.9,73.1,0.0,1006,0.001,0.001,0.001,0.000,14.7,6.8,18
03/01/2010,20:00,251,0.4,30.2,0.2,26.4,76.5,0.0,1007,0.000,0.001,0.001,0.000,13.3,4.3,11
03/01/2010,21:00,254,0.4,40.0,0.2,26.1,79.4,0.0,1007,0.000,0.001,0.001,0.000,6.3,-2.0,9
03/01/2010,22:00,247,0.2,83.5,0.2,26.2,79.4,0.0,1008,0.000,0.001,0.001,0.000,,,8
03/01/2010,23:00,254,0.1,101.3,0.2,25.9,82.5,0.0,1007,0.000,0.002,0.002,0.000,10.3,-0.4,8
04/01/2010,00:00,263,0.5,32.5,0.3,26.0,81.4,0.0,1007,,,,,9.0,-0.1,
04/01/2010,01:00,244,0.3,76.5,0.2,25.9,81.7,0.0,1006,0.000,0.001,0.001,0.000,12.5,4.2,8
04/01/2010,02:00,235,0.7,16.3,0.2,25.6,81.2,0.0,1006,0.000,0.001,0.001,0.000,10.1,1.3,8
04/01/2010,03:00,232,0.5,71.9,0.4,25.7,79.8,0.0,1006,0.000,0.001,0.001,0.000,8.8,1.1,8
04/01/2010,04:00,206,0.4,53.3,0.3,25.3,82.3,0.0,1006,0.000,0.002,0.002,0.000,11.6,3.3,8
04/01/2010,05:00,203,0.4,33.9,0.3,25.4,82.0,0.0,1007,0.000,0.001,0.001,0.000,,,8
04/01/2010,06:00,245,0.5,38.1,0.2,26.1,78.2,0.0,1008,0.000,0.001,0.001,0.000,,,8
04/01/2010,07:00,48,1.3,26.8,0.7,27.4,70.2,0.0,1008,0.000,0.000,0.000,0.000,15.7,6.5,10
04/01/2010,08:00,76,2.2,28.6,0.9,28.0,66.2,0.0,1009,0.000,0.000,0.000,0.000,9.6,2.6,10
04/01/2010,09:00,87,2.4,31.5,1.2,28.1,62.9,0.0,1009,0.000,0.000,0.000,0.000,12.0,3.1,7
04/01/2010,10:00,84,2.6,39.7,1.5,28.1,64.8,0.2,1009,0.000,0.000,0.000,0.000,4.7,-0.7,7
04/01/2010,11:00,102,4.1,16.4,1.3,27.9,68.9,0.2,1009,0.002,0.001,0.003,0.001,11.3,3.4,9
04/01/2010,12:00,112,2.9,27.3,1.5,28.4,62.6,0.0,1008,0.014,0.008,0.022,0.006,11.9,6.4,8
04/01/2010,13:00,95,3.2,15.6,1.1,28.2,62.3,0.0,1008,0.017,0.010,0.027,0.009,17.1,8.1,6
04/01/2010,14:00,127,2.1,54.6,1.0,27.8,64.6,0.0,1008,0.002,0.002,0.003,0.001,14.9,6.6,6
04/01/2010,15:00,187,2.9,14.3,0.9,27.4,68.1,0.0,1007,0.000,0.000,0.000,0.000,13.1,5.4,6
04/01/2010,16:00,142,2.4,41.9,1.0,27.0,71.1,0.0,1007,0.006,0.004,0.010,0.001,6.7,0.0,6
04/01/2010,17:00,173,2.5,14.2,1.1,26.1,70.1,0.0,1008,0.000,0.002,0.002,0.001,11.2,2.8,5
04/01/2010,18:00,170,1.7,23.7,0.8,26.1,68.9,0.0,1009,0.002,0.011,0.012,0.002,8.5,2.0,5
04/01/2010,19:00,160,1.8,39.8,1.3,24.4,80.3,0.0,1010,0.017,0.016,0.033,0.003,5.3,-0.5,5
04/01/2010,20:00,136,0.8,42.8,0.7,23.5,86.9,0.0,1010,0.020,0.022,0.042,0.004,4.8,-1.8,7
04/01/2010,21:00,141,0.8,37.8,0.5,24.3,81.9,0.0,1010,0.001,0.009,0.010,0.004,6.4,-2.9,6
04/01/2010,22:00,138,1.1,38.0,0.8,24.2,82.4,0.0,1010,0.000,0.001,0.001,0.001,4.1,-1.4,6
04/01/2010,23:00,143,1.1,36.7,0.7,23.6,82.6,0.0,1010,0.000,0.000,0.000,0.000,5.3,0.6,5
05/01/2010,00:00,148,0.9,39.7,0.6,23.5,84.2,0.0,1009,,,,,1.5,-1.3,
