Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),PM10 (ug/m^3)
01/01/2010,00:00,74,6.1,7.3,0.9,16.0
01/01/2010,01:00,70,5.8,7.4,0.9,17.0
01/01/2010,02:00,72,5.9,9.8,1.1,21.2
01/01/2010,03:00,72,5.9,7.0,0.9,17.8
01/01/2010,04:00,71,5.8,8.9,0.8,16.8
01/01/2010,05:00,60,5.2,9.2,0.8,23.1
01/01/2010,06:00,50,5.3,7.6,0.8,19.4
01/01/2010,07:00,42,5.0,6.8,0.7,19.5
01/01/2010,08:00,36,5.0,9.1,0.7,18.4
01/01/2010,09:00,32,4.7,7.5,0.7,16.2
01/01/2010,10:00,25,4.6,7.7,0.6,17.5
01/01/2010,11:00,36,3.6,9.3,0.5,14.9
01/01/2010,12:00,43,3.5,10.1,0.5,16.1
01/01/2010,13:00,50,3.6,12.0,0.6,16.0
01/01/2010,14:00,45,4.0,9.0,0.6,13.7
01/01/2010,15:00,40,4.4,9.2,0.6,13.4
01/01/2010,16:00,42,4.6,9.2,0.7,9.7
01/01/2010,17:00,45,5.1,7.6,0.7,14.5
01/01/2010,18:00,49,5.1,7.9,0.8,13.0
01/01/2010,19:00,48,4.7,9.1,0.8,13.5
01/01/2010,20:00,48,4.7,8.6,0.8,14.6
01/01/2010,21:00,46,4.6,9.3,0.7,15.0
01/01/2010,22:00,59,3.3,12.6,0.7,16.8
01/01/2010,23:00,42,2.3,45.5,1.3,11.2
02/01/2010,00:00,99,3.8,24.1,1.2,4.1
02/01/2010,01:00,154,2.6,20.0,0.9,6.1
02/01/2010,02:00,104,2.1,62.3,1.6,5.7
02/01/2010,03:00,31,6.9,8.4,0.8,
02/01/2010,04:00,31,3.2,12.6,1.5,
02/01/2010,05:00,145,2.4,29.1,0.7,17.1
02/01/2010,06:00,135,2.5,21.3,0.7,13.1
02/01/2010,07:00,142,3.4,14.7,0.9,12.2
02/01/2010,08:00,113,3.4,32.0,1.0,31.7
02/01/2010,09:00,84,3.0,18.9,1.0,
02/01/2010,10:00,357,1.2,141.6,0.9,9.7
02/01/2010,11:00,298,1.0,20.2,0.5,4.4
02/01/2010,12:00,349,0.7,38.7,0.3,
02/01/2010,13:00,350,1.2,24.0,0.3,9.3
02/01/2010,14:00,37,2.3,13.5,0.8,9.3
02/01/2010,15:00,37,3.3,10.8,0.5,14.5
02/01/2010,16:00,38,3.9,13.3,0.6,18.6
02/01/2010,17:00,51,4.6,9.3,0.8,12.4
02/01/2010,18:00,62,4.6,8.6,0.7,21.1
02/01/2010,19:00,108,3.3,38.3,0.9,18.7
02/01/2010,20:00,80,2.6,38.9,1.3,12.9
02/01/2010,21:00,67,3.6,13.5,0.9,16.8
02/01/2010,22:00,62,3.8,8.7,0.6,16.5
02/01/2010,23:00,65,3.5,8.8,0.5,15.3
03/01/2010,00:00,49,3.3,11.0,0.5,12.3
03/01/2010,01:00,37,3.1,13.1,0.6,15.5
03/01/2010,02:00,30,3.1,15.5,0.8,12.1
03/01/2010,03:00,22,2.6,18.4,1.3,18.0
03/01/2010,04:00,171,1.7,50.3,0.9,14.1
03/01/2010,05:00,200,2.6,9.3,0.4,5.2
03/01/2010,06:00,196,2.6,7.9,0.5,8.6
03/01/2010,07:00,161,2.3,17.6,0.5,9.2
03/01/2010,08:00,139,2.0,21.6,0.7,12.2
03/01/2010,09:00,75,1.8,35.5,0.8,11.8
03/01/2010,10:00,45,3.2,11.3,0.6,8.7
03/01/2010,11:00,40,4.2,8.6,0.6,15.3
03/01/2010,12:00,38,4.6,7.4,0.6,10.1
03/01/2010,13:00,38,4.6,8.7,0.7,13.0
03/01/2010,14:00,39,4.8,8.2,0.7,7.4
03/01/2010,15:00,34,4.5,8.4,0.6,12.8
03/01/2010,16:00,40,4.7,7.4,0.7,12.8
03/01/2010,17:00,44,5.2,7.7,0.7,10.1
03/01/2010,18:00,48,4.2,9.3,0.7,14.6
03/01/2010,19:00,48,4.1,9.7,0.6,17.2
03/01/2010,20:00,54,3.7,10.5,0.6,13.9
03/01/2010,21:00,55,3.9,10.9,0.7,15.3
03/01/2010,22:00,60,3.9,11.7,0.7,16.4
03/01/2010,23:00,53,3.0,11.3,0.5,14.4
04/01/2010,00:00,50,3.0,19.4,1.1,18.6
04/01/2010,01:00,29,1.3,102.1,1.6,19.7
04/01/2010,02:00,335,0.8,87.5,0.9,10.4
04/01/2010,03:00,206,1.2,16.4,0.4,13.4
04/01/2010,04:00,194,1.5,19.8,0.5,7.2
04/01/2010,05:00,185,0.3,114.3,1.0,6.7
04/01/2010,06:00,65,1.5,51.4,0.8,
04/01/2010,07:00,115,1.8,38.9,0.7,13.3
04/01/2010,08:00,83,1.7,22.7,0.6,12.0
04/01/2010,09:00,65,2.1,23.6,0.8,12.2
04/01/2010,10:00,48,4.2,15.4,0.9,6.4
04/01/2010,11:00,43,5.0,7.7,0.7,9.6
04/01/2010,12:00,47,5.0,9.3,0.8,12.9
04/01/2010,13:00,42,5.4,7.0,0.7,10.4
04/01/2010,14:00,52,5.5,9.8,0.8,8.4
04/01/2010,15:00,51,5.4,9.6,0.8,15.4
04/01/2010,16:00,46,5.5,8.6,0.9,21.4
04/01/2010,17:00,53,5.1,9.7,0.9,20.7
04/01/2010,18:00,65,5.2,9.2,0.9,15.0
04/01/2010,19:00,72,5.2,9.5,0.7,12.5
04/01/2010,20:00,72,4.9,8.6,0.8,10.4
04/01/2010,21:00,68,5.4,8.0,0.8,11.7
04/01/2010,22:00,75,5.1,7.8,0.8,14.5
04/01/2010,23:00,77,4.7,9.6,0.9,13.9
05/01/2010,00:00,70,5.7,7.7,0.9,19.8
05/01/2010,01:00,77,5.1,9.1,0.7,16.0
05/01/2010,02:00,85,3.8,11.2,0.8,20.4
05/01/2010,03:00,99,3.0,27.5,1.4,26.9
05/01/2010,04:00,82,5.0,9.9,1.3,16.6
05/01/2010,05:00,128,2.4,32.9,1.0,17.8
05/01/2010,06:00,162,2.6,18.6,0.9,15.4
05/01/2010,07:00,128,3.0,35.9,1.4,16.3
05/01/2010,08:00,70,4.7,17.6,1.4,17.3
05/01/2010,09:00,112,2.4,42.0,1.2,13.5
05/01/2010,10:00,120,3.3,23.9,0.9,7.3
05/01/2010,11:00,82,4.1,15.4,0.8,11.6
05/01/2010,12:00,63,4.5,9.9,1.0,11.9
05/01/2010,13:00,51,4.7,9.6,0.8,20.2
05/01/2010,14:00,47,4.9,9.3,0.8,18.8
05/01/2010,15:00,50,4.9,11.1,0.9,18.0
05/01/2010,16:00,49,5.6,9.4,0.8,18.8
05/01/2010,17:00,64,5.8,9.4,1.0,18.7
05/01/2010,18:00,62,5.5,8.5,0.8,19.7
05/01/2010,19:00,71,4.8,9.9,0.9,26.2
05/01/2010,20:00,67,5.6,8.0,1.0,52.1
05/01/2010,21:00,76,5.7,8.4,1.0,23.8
05/01/2010,22:00,80,4.8,10.5,1.0,24.7
05/01/2010,23:00,78,4.3,9.7,0.9,16.6
06/01/2010,00:00,67,5.2,8.9,0.9,23.4
06/01/2010,01:00,75,5.2,9.6,0.9,34.9
06/01/2010,02:00,80,5.1,8.1,0.9,13.4
06/01/2010,03:00,85,4.6,15.4,1.4,10.7
06/01/2010,04:00,136,2.2,24.7,0.7,20.6
06/01/2010,05:00,140,2.4,15.5,0.6,14.7
06/01/2010,06:00,142,1.3,82.6,1.4,19.0
06/01/2010,07:00,136,3.8,11.9,0.9,17.0
06/01/2010,08:00,117,3.1,26.1,1.0,13.0
06/01/2010,09:00,77,3.2,17.8,0.7,14.4
06/01/2010,10:00,64,3.2,27.3,1.3,15.4
06/01/2010,11:00,38,4.7,9.0,0.6,8.3
06/01/2010,12:00,37,5.2,7.9,0.6,10.9
06/01/2010,13:00,38,5.2,7.5,0.6,13.5
06/01/2010,14:00,37,5.5,8.5,0.7,9.6
06/01/2010,15:00,33,5.3,8.3,0.7,13.0
06/01/2010,16:00,31,5.3,7.7,0.7,10.2
06/01/2010,17:00,40,4.9,7.9,0.6,11.7
06/01/2010,18:00,51,4.3,10.6,0.7,8.7
06/01/2010,19:00,62,4.0,10.1,0.6,13.2
06/01/2010,20:00,61,5.0,7.6,0.7,5.1
06/01/2010,21:00,66,3.9,15.5,0.9,7.0
06/01/2010,22:00,72,4.1,9.8,0.7,16.9
06/01/2010,23:00,68,4.5,9.6,0.7,24.8
07/01/2010,00:00,76,4.2,14.0,1.6,12.9
07/01/2010,01:00,86,3.2,13.2,1.2,8.5
07/01/2010,02:00,74,4.6,9.0,0.8,10.8
07/01/2010,03:00,64,4.5,7.7,0.7,12.7
07/01/2010,04:00,70,3.6,8.7,0.6,10.7
07/01/2010,05:00,69,2.7,25.7,1.1,14.3
07/01/2010,06:00,193,1.7,17.8,0.5,16.4
07/01/2010,07:00,161,1.1,37.8,0.6,19.2
07/01/2010,08:00,135,1.4,27.2,0.6,16.7
07/01/2010,09:00,45,1.8,29.3,0.6,11.6
07/01/2010,10:00,26,2.5,12.6,0.5,11.0
07/01/2010,11:00,24,3.7,6.9,0.4,12.0
07/01/2010,12:00,28,4.5,7.0,0.5,10.3
07/01/2010,13:00,36,5.0,7.3,0.6,9.8
07/01/2010,14:00,38,5.0,7.3,0.5,10.0
07/01/2010,15:00,34,5.3,7.5,0.7,9.6
07/01/2010,16:00,31,5.2,7.4,0.6,10.1
07/01/2010,17:00,32,5.1,8.8,0.6,16.9
07/01/2010,18:00,43,5.0,6.7,0.6,8.4
07/01/2010,19:00,43,4.3,6.9,0.6,13.3
07/01/2010,20:00,53,4.0,10.8,0.7,10.1
07/01/2010,21:00,62,4.0,11.8,0.7,16.2
07/01/2010,22:00,92,3.6,30.1,1.0,17.3
07/01/2010,23:00,109,1.9,48.1,1.2,12.3
08/01/2010,00:00,167,2.3,39.9,0.9,9.1
08/01/2010,01:00,64,3.5,35.1,1.8,13.2
08/01/2010,02:00,31,2.6,34.2,1.0,10.2
08/01/2010,03:00,91,4.4,21.9,2.4,
08/01/2010,04:00,40,4.2,29.6,0.8,
08/01/2010,05:00,204,1.8,65.2,1.4,8.9
08/01/2010,06:00,196,1.5,30.8,0.8,6.6
08/01/2010,07:00,192,2.9,9.8,0.6,13.7
08/01/2010,08:00,180,2.9,20.1,0.9,14.5
08/01/2010,09:00,144,2.4,23.0,0.7,11.3
08/01/2010,10:00,137,3.6,14.7,0.9,15.1
08/01/2010,11:00,124,1.4,44.6,0.8,6.8
08/01/2010,12:00,96,2.7,25.1,0.9,12.9
08/01/2010,13:00,65,2.4,27.4,0.8,14.0
08/01/2010,14:00,51,3.0,12.6,0.7,9.2
08/01/2010,15:00,46,3.9,8.1,0.6,8.8
08/01/2010,16:00,42,3.8,9.5,0.5,11.8
08/01/2010,17:00,48,3.6,9.4,0.5,10.8
08/01/2010,18:00,61,3.6,16.5,0.8,10.5
08/01/2010,19:00,67,3.2,12.3,0.5,9.2
08/01/2010,20:00,130,5.1,19.5,2.3,16.8
08/01/2010,21:00,136,6.0,10.7,1.6,2.6
08/01/2010,22:00,150,3.7,14.5,1.4,3.2
08/01/2010,23:00,153,3.0,10.2,0.6,2.9
09/01/2010,00:00,135,5.6,11.4,2.0,1.2
09/01/2010,01:00,137,4.9,13.1,1.8,4.6
09/01/2010,02:00,140,4.8,12.5,1.3,4.4
09/01/2010,03:00,146,4.9,12.5,1.4,4.9
09/01/2010,04:00,147,3.8,16.2,1.1,5.4
09/01/2010,05:00,150,4.2,17.3,1.4,9.5
09/01/2010,06:00,139,5.1,15.1,1.6,7.1
09/01/2010,07:00,131,5.4,17.5,1.5,13.9
09/01/2010,08:00,135,5.4,14.2,1.5,8.6
09/01/2010,09:00,133,5.1,16.9,1.7,9.4
09/01/2010,10:00,118,4.8,21.9,1.7,10.8
09/01/2010,11:00,107,4.8,19.5,1.6,18.3
09/01/2010,12:00,105,4.9,26.8,2.2,11.5
09/01/2010,13:00,93,6.1,14.4,1.7,10.8
09/01/2010,14:00,103,6.1,19.2,2.0,7.0
09/01/2010,15:00,140,6.2,13.6,1.3,11.3
09/01/2010,16:00,136,6.0,9.4,1.3,15.2
09/01/2010,17:00,138,3.0,19.8,0.9,13.4
09/01/2010,18:00,130,4.1,30.5,2.5,15.9
09/01/2010,19:00,140,4.5,10.8,1.0,12.3
09/01/2010,20:00,146,3.6,9.5,0.8,11.1
09/01/2010,21:00,147,4.2,11.4,1.0,9.0
09/01/2010,22:00,150,4.2,9.2,0.9,10.8
09/01/2010,23:00,127,4.5,22.9,1.6,15.3
