Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2010,00:00,69,1.9,26.4,0.9,27.0,12.2,
01/01/2010,01:00,69,1.7,28.8,0.8,26.9,13.8,9
01/01/2010,02:00,55,1.5,45.3,1.0,25.6,12.1,9
01/01/2010,03:00,40,0.5,49.5,0.5,23.6,9.0,9
01/01/2010,04:00,235,0.3,102.3,0.5,23.7,8.0,8
01/01/2010,05:00,195,0.9,35.2,0.5,23.7,7.2,7
01/01/2010,06:00,67,0.5,110.0,0.7,24.2,9.8,8
01/01/2010,07:00,65,2.3,29.7,1.2,26.7,13.8,9
01/01/2010,08:00,70,2.1,27.8,1.0,28.9,13.4,10
01/01/2010,09:00,29,2.4,31.9,1.3,25.5,6.5,9
01/01/2010,10:00,24,1.2,36.5,0.9,26.6,13.0,11
01/01/2010,11:00,9,2.9,175.9,1.1,28.5,14.7,13
01/01/2010,12:00,356,3.0,165.5,1.2,28.7,15.6,12
01/01/2010,13:00,358,2.0,25.2,0.8,30.5,17.1,13
01/01/2010,14:00,8,2.6,168.4,1.0,29.5,16.7,14
01/01/2010,15:00,22,3.0,24.4,1.3,29.5,16.1,13
01/01/2010,16:00,33,2.4,30.7,1.2,28.7,16.6,14
01/01/2010,17:00,60,1.4,33.3,0.7,27.9,13.7,12
01/01/2010,18:00,50,1.1,36.8,0.7,27.9,16.8,13
01/01/2010,19:00,22,1.7,26.8,1.1,24.8,13.5,10
01/01/2010,20:00,285,1.2,54.5,0.7,24.1,12.3,10
01/01/2010,21:00,239,1.3,36.2,0.7,24.1,9.5,8
01/01/2010,22:00,234,1.1,47.5,0.6,24.0,6.1,7
01/01/2010,23:00,162,0.8,59.2,0.8,23.7,4.6,7
02/01/2010,00:00,193,0.8,26.8,0.4,23.9,5.9,
02/01/2010,01:00,237,1.4,18.8,0.4,23.6,7.4,8
02/01/2010,02:00,242,1.6,13.7,0.5,23.4,7.5,7
02/01/2010,03:00,233,1.5,24.6,0.6,23.2,7.7,8
02/01/2010,04:00,198,1.1,30.0,0.5,23.1,8.7,8
02/01/2010,05:00,307,1.3,39.8,0.5,23.1,8.5,7
02/01/2010,06:00,263,0.8,39.5,0.3,23.7,8.5,6
02/01/2010,07:00,180,1.4,22.5,0.5,24.6,8.7,7
02/01/2010,08:00,224,1.8,16.3,0.5,25.9,11.5,8
02/01/2010,09:00,232,0.9,49.8,0.6,28.0,12.6,10
02/01/2010,10:00,28,0.6,72.6,0.7,27.9,10.3,10
02/01/2010,11:00,71,1.3,47.3,0.8,29.4,12.5,10
02/01/2010,12:00,40,2.2,36.4,1.1,28.6,5.8,8
02/01/2010,13:00,16,1.5,178.9,1.0,29.9,4.6,7
02/01/2010,14:00,33,1.1,39.9,0.6,30.9,13.5,10
02/01/2010,15:00,65,1.9,29.1,1.1,29.3,14.6,10
02/01/2010,16:00,92,1.7,27.1,0.8,27.9,10.4,11
02/01/2010,17:00,81,1.3,39.5,0.7,28.2,9.1,11
02/01/2010,18:00,37,1.3,32.7,0.7,27.6,17.8,12
02/01/2010,19:00,55,0.6,38.4,0.4,27.1,14.0,12
02/01/2010,20:00,34,0.3,30.9,0.2,27.0,18.5,13
02/01/2010,21:00,318,0.3,53.9,0.2,26.5,22.2,16
02/01/2010,22:00,231,0.8,30.4,0.4,26.0,20.8,14
02/01/2010,23:00,211,0.8,15.7,0.3,25.7,15.3,12
03/01/2010,00:00,235,0.6,32.9,0.2,25.3,15.6,
03/01/2010,01:00,239,1.0,34.4,0.4,25.2,16.8,13
03/01/2010,02:00,240,1.0,19.0,0.3,24.9,14.3,12
03/01/2010,03:00,228,0.5,42.7,0.4,24.5,15.1,13
03/01/2010,04:00,218,0.8,35.4,0.4,24.4,16.1,12
03/01/2010,05:00,241,0.9,36.7,0.4,24.0,18.5,13
03/01/2010,06:00,201,1.0,22.1,0.4,27.1,21.1,13
03/01/2010,07:00,196,0.9,45.4,0.5,32.2,19.2,14
03/01/2010,08:00,21,0.6,73.4,0.5,31.9,18.4,17
03/01/2010,09:00,50,0.7,56.5,0.6,30.5,11.5,23
03/01/2010,10:00,79,2.1,36.6,1.0,32.8,17.4,33
03/01/2010,11:00,97,2.3,30.4,1.0,32.8,17.7,41
03/01/2010,12:00,42,2.0,34.6,0.9,31.2,17.7,38
03/01/2010,13:00,22,2.7,27.9,1.2,31.5,18.2,44
03/01/2010,14:00,12,2.8,20.9,1.0,32.2,21.3,44
03/01/2010,15:00,45,2.0,34.6,1.1,31.6,19.7,48
03/01/2010,16:00,58,2.1,27.6,0.9,30.4,15.9,49
03/01/2010,17:00,44,1.6,34.0,0.9,30.4,25.5,50
03/01/2010,18:00,30,1.2,25.2,0.6,28.2,33.8,50
03/01/2010,19:00,44,0.5,42.3,0.4,27.5,21.4,46
03/01/2010,20:00,27,0.7,22.7,0.4,26.8,19.3,39
03/01/2010,21:00,31,0.7,25.9,0.5,26.4,18.5,29
03/01/2010,22:00,43,0.6,35.1,0.4,26.3,13.1,17
03/01/2010,23:00,31,0.6,25.4,0.3,25.7,10.4,13
04/01/2010,00:00,25,0.7,23.0,0.4,25.7,10.4,
04/01/2010,01:00,27,0.8,23.1,0.5,25.6,9.9,11
04/01/2010,02:00,16,0.3,152.7,0.3,25.3,11.5,14
04/01/2010,03:00,224,0.5,42.0,0.3,24.5,14.5,21
04/01/2010,04:00,227,0.9,16.3,0.3,24.0,17.0,26
04/01/2010,05:00,229,1.1,14.3,0.3,23.6,20.7,26
04/01/2010,06:00,219,0.8,41.7,0.4,26.0,31.3,30
04/01/2010,07:00,188,0.7,69.9,0.6,30.9,28.8,20
04/01/2010,08:00,66,1.6,37.5,1.0,31.6,13.3,13
04/01/2010,09:00,81,2.2,28.9,1.0,32.3,,12
04/01/2010,10:00,85,2.1,34.1,1.1,31.8,16.5,15
