Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2011,00:00,156,2.1,14.4,0.7,22.8,71.4,0.0,1009,,,,,18.3,6.1,
01/01/2011,01:00,174,2.2,16.8,0.7,22.5,72.9,0.0,1008,0.001,0.001,0.002,0.001,20.6,9.6,11
01/01/2011,02:00,183,2.3,12.2,0.8,21.9,75.6,0.0,1008,0.000,0.001,0.001,0.001,15.0,4.1,10
01/01/2011,03:00,187,1.9,12.0,0.5,22.1,74.6,0.0,1007,0.001,0.001,0.002,0.000,11.7,1.5,10
01/01/2011,04:00,190,1.9,12.9,0.6,22.2,75.1,0.0,1007,0.000,0.002,0.002,0.001,10.9,1.1,9
01/01/2011,05:00,183,1.7,15.9,0.6,22.4,76.0,0.0,1007,0.001,0.001,0.002,0.001,12.0,2.1,9
01/01/2011,06:00,189,1.7,18.1,0.7,23.4,73.5,0.0,1008,0.001,0.001,0.002,0.001,10.8,0.8,9
01/01/2011,07:00,196,2.4,19.0,1.0,24.7,70.3,0.0,1008,0.000,0.000,0.000,0.001,7.5,-2.5,8
01/01/2011,08:00,205,2.8,18.4,1.0,25.6,68.6,0.0,1008,0.001,0.001,0.001,0.001,7.1,-0.4,6
01/01/2011,09:00,178,2.6,23.3,1.0,26.6,67.0,0.0,1008,0.001,0.001,0.002,0.000,4.6,-0.6,6
01/01/2011,10:00,143,2.7,18.8,0.9,27.5,66.1,0.0,1008,0.001,0.001,0.002,0.000,4.8,-0.1,5
01/01/2011,11:00,164,1.8,29.4,0.8,27.8,66.4,0.0,1008,0.002,0.001,0.002,0.001,15.6,12.1,5
01/01/2011,12:00,102,2.5,24.6,0.8,27.8,68.0,0.0,1007,0.001,0.001,0.001,0.000,9.6,6.2,7
01/01/2011,13:00,92,4.5,13.2,1.3,28.8,65.4,0.0,1007,0.001,0.001,0.002,0.001,7.3,4.5,6
01/01/2011,14:00,88,6.0,10.6,0.9,28.5,68.4,0.0,1006,0.001,0.001,0.001,0.001,25.2,23.2,4
01/01/2011,15:00,98,6.2,8.4,1.0,28.1,69.8,0.0,1006,0.002,0.002,0.003,0.001,4.3,0.2,4
01/01/2011,16:00,96,6.6,8.8,0.8,28.0,72.2,0.0,1006,0.002,0.002,0.003,0.001,6.5,2.7,4
01/01/2011,17:00,93,6.3,8.7,1.0,27.5,75.5,0.0,1007,0.002,0.002,0.004,0.001,9.4,4.2,4
01/01/2011,18:00,98,5.8,7.9,1.1,27.3,76.7,0.0,1007,0.002,0.006,0.007,0.001,8.1,3.6,6
01/01/2011,19:00,107,4.4,8.3,0.9,26.8,80.8,0.0,1008,0.001,0.004,0.004,0.001,10.4,5.6,10
01/01/2011,20:00,100,4.6,24.6,1.1,26.7,83.0,0.0,1008,0.001,0.001,0.002,0.001,13.8,5.8,14
01/01/2011,21:00,67,4.7,22.4,2.2,25.6,82.5,2.0,1009,0.001,0.002,0.003,0.001,13.1,2.0,16
01/01/2011,22:00,36,1.5,58.9,1.5,23.5,88.2,5.1,1009,0.001,0.003,0.003,0.001,11.3,2.7,9
01/01/2011,23:00,181,0.6,38.1,0.4,23.9,88.9,0.0,1008,0.001,0.003,0.003,0.001,8.3,2.3,11
02/01/2011,00:00,111,2.0,16.7,0.8,25.5,88.6,0.0,1008,,,,,12.4,1.7,
02/01/2011,01:00,111,3.2,7.5,0.9,25.9,86.5,0.0,1007,0.000,0.002,0.002,0.001,22.7,9.4,15
02/01/2011,02:00,111,3.1,17.5,0.9,25.5,86.9,2.0,1007,0.000,0.002,0.002,0.001,11.1,-0.1,13
02/01/2011,03:00,116,2.2,14.6,0.8,25.4,87.7,0.0,1007,0.000,0.001,0.001,0.001,10.9,1.3,14
02/01/2011,04:00,137,1.6,14.6,0.5,25.1,88.2,0.0,1007,0.001,0.002,0.003,0.001,12.0,1.1,14
02/01/2011,05:00,153,1.9,12.9,0.6,24.9,87.7,0.0,1008,0.001,0.001,0.001,0.001,10.2,-0.7,13
02/01/2011,06:00,137,2.1,18.9,0.7,25.6,83.7,0.0,1008,0.001,0.001,0.001,0.001,14.7,3.9,13
02/01/2011,07:00,132,2.3,19.2,0.7,26.3,80.2,0.0,1009,0.001,0.001,0.002,0.001,15.4,5.0,13
02/01/2011,08:00,124,3.4,19.0,0.9,27.6,73.2,0.0,1009,0.002,0.002,0.003,0.001,12.1,1.7,16
02/01/2011,09:00,98,5.2,14.7,1.2,28.5,66.4,0.0,1009,0.002,0.002,0.004,0.002,13.8,5.2,14
02/01/2011,10:00,95,6.4,12.5,1.1,28.5,66.4,0.0,1009,0.002,0.002,0.004,0.001,13.9,8.0,11
