Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm)
01/01/2011,00:00,198,2.3,15.7,0.6,,,,
01/01/2011,01:00,194,2.2,18.3,0.7,0.005,0.001,0.008,0.009
01/01/2011,02:00,196,2.6,13.4,0.8,0.008,0.001,0.006,0.006
01/01/2011,03:00,196,2.8,14.8,0.7,0.007,0.001,0.005,0.006
01/01/2011,04:00,197,3.3,13.1,0.8,0.008,0.001,0.005,0.006
01/01/2011,05:00,201,3.2,11.7,0.8,0.007,0.001,0.005,0.006
01/01/2011,06:00,200,3.6,11.3,1.0,0.010,0.001,0.003,0.004
01/01/2011,07:00,200,3.9,11.9,0.9,0.009,0.001,0.003,0.004
01/01/2011,08:00,193,3.8,14.1,1.1,0.010,0.002,0.003,0.005
01/01/2011,09:00,177,2.8,19.2,1.1,0.010,0.002,0.003,0.005
01/01/2011,10:00,158,3.2,20.1,1.3,0.012,0.002,0.003,0.005
01/01/2011,11:00,152,3.2,21.4,1.4,0.013,0.001,0.002,0.003
01/01/2011,12:00,149,2.9,22.3,1.3,0.013,0.001,0.003,0.004
01/01/2011,13:00,145,1.9,46.2,1.5,0.011,0.001,0.003,0.004
01/01/2011,14:00,52,2.0,50.5,1.6,0.009,0.001,0.001,0.002
01/01/2011,15:00,176,0.7,96.7,0.8,0.008,0.001,0.001,0.002
01/01/2011,16:00,2,0.4,109.3,1.0,0.007,0.001,0.002,0.003
01/01/2011,17:00,81,1.8,17.0,0.6,0.007,0.001,0.001,0.002
01/01/2011,18:00,78,1.8,15.6,0.6,0.005,0.001,0.001,0.002
01/01/2011,19:00,98,1.5,17.1,0.5,0.004,0.001,0.001,0.002
01/01/2011,20:00,100,1.0,21.8,0.4,0.004,0.001,0.001,0.002
01/01/2011,21:00,121,1.1,10.2,0.3,0.003,0.001,0.001,0.002
01/01/2011,22:00,103,1.3,20.7,0.5,0.004,0.000,0.002,0.002
01/01/2011,23:00,120,1.4,22.9,0.4,0.004,0.001,0.001,0.002
02/01/2011,00:00,146,1.1,16.5,0.3,,,,
02/01/2011,01:00,160,0.9,18.5,0.3,0.003,0.001,0.003,0.004
02/01/2011,02:00,174,0.8,16.3,0.3,0.003,0.001,0.002,0.003
02/01/2011,03:00,145,1.0,15.2,0.3,0.003,0.001,0.002,0.003
02/01/2011,04:00,154,0.9,22.3,0.3,0.003,0.001,0.001,0.002
02/01/2011,05:00,174,1.2,17.9,0.4,0.004,0.001,0.002,0.003
02/01/2011,06:00,141,1.0,38.0,0.6,0.005,0.002,0.002,0.004
02/01/2011,07:00,84,1.8,22.6,0.6,0.006,0.001,0.001,0.002
02/01/2011,08:00,66,1.8,14.0,0.6,0.007,0.001,0.001,0.002
02/01/2011,09:00,69,2.3,12.9,0.7,0.007,0.001,0.001,0.001
02/01/2011,10:00,68,2.5,13.2,0.7,0.010,0.001,0.001,0.002
02/01/2011,11:00,68,2.4,15.1,0.7,0.009,0.001,0.001,0.002
02/01/2011,12:00,70,2.6,14.8,0.8,0.011,0.001,0.001,0.002
02/01/2011,13:00,69,3.1,16.5,1.1,0.008,0.001,0.000,0.001
02/01/2011,14:00,71,3.0,18.3,1.0,0.008,0.001,0.001,0.002
