Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2011,00:00,158,0.6,11.3,0.2,20.2,82.6,,,,,,8.4,
01/01/2011,01:00,174,0.9,11.5,0.3,20.2,82.0,0.006,0.002,0.006,0.008,0.000,9.1,16
01/01/2011,02:00,170,1.3,12.6,0.4,20.9,77.9,0.012,0.000,0.003,0.003,0.000,10.0,15
01/01/2011,03:00,172,1.0,29.4,0.5,21.2,76.4,0.013,0.000,0.001,0.001,0.000,10.5,15
01/01/2011,04:00,229,0.3,59.2,0.2,21.4,76.8,0.012,0.000,0.001,0.001,0.000,11.3,15
01/01/2011,05:00,239,0.5,22.0,0.2,21.4,78.3,0.010,0.000,0.002,0.002,0.000,11.9,15
01/01/2011,06:00,186,0.5,33.1,0.2,22.0,76.9,0.010,0.000,0.002,0.002,0.000,12.1,12
01/01/2011,07:00,137,1.1,32.6,0.8,23.6,71.9,0.012,0.000,0.002,0.002,0.000,11.0,9
01/01/2011,08:00,123,1.6,28.5,0.9,25.4,67.1,0.014,0.000,0.001,0.001,0.000,10.7,7
01/01/2011,09:00,105,1.8,31.5,1.1,26.3,66.0,0.015,0.000,0.001,0.001,0.000,9.1,7
01/01/2011,10:00,83,1.6,31.9,1.0,26.5,69.0,0.014,0.000,0.002,0.002,0.001,8.8,6
01/01/2011,11:00,79,1.8,34.7,1.0,27.4,68.5,0.013,0.003,0.004,0.007,0.005,8.8,5
01/01/2011,12:00,113,1.6,28.1,0.9,27.2,70.1,0.013,0.000,0.001,0.001,0.001,4.7,4
01/01/2011,13:00,96,1.6,30.4,1.0,26.1,78.0,0.013,0.000,0.002,0.002,0.000,9.6,5
01/01/2011,14:00,92,1.5,28.1,0.9,25.0,89.2,0.012,0.000,0.001,0.001,0.000,6.4,4
01/01/2011,15:00,99,1.4,24.9,0.8,24.7,90.0,0.011,0.000,0.001,0.001,0.000,3.8,3
01/01/2011,16:00,97,1.4,25.5,0.9,24.3,90.5,0.010,0.000,0.001,0.001,0.000,2.4,3
01/01/2011,17:00,97,1.2,25.6,0.6,24.1,92.1,0.008,0.000,0.002,0.002,0.000,5.9,5
01/01/2011,18:00,85,1.4,21.9,0.7,24.1,91.1,0.007,0.000,0.002,0.002,0.000,3.3,5
01/01/2011,19:00,95,0.9,27.8,0.5,23.9,92.1,0.006,0.000,0.003,0.003,0.000,7.3,11
01/01/2011,20:00,59,1.4,25.4,0.7,24.2,91.9,0.004,0.001,0.004,0.005,0.000,15.1,26
01/01/2011,21:00,58,1.2,20.0,0.6,24.2,91.9,0.004,0.001,0.004,0.005,0.000,19.6,35
01/01/2011,22:00,53,1.1,23.0,0.5,24.1,92.1,0.004,0.001,0.004,0.004,0.000,18.7,36
01/01/2011,23:00,66,1.3,24.2,0.7,24.1,91.5,0.004,0.000,0.003,0.003,0.000,17.6,36
02/01/2011,00:00,67,1.4,22.1,0.6,24.0,91.7,,,,,,16.5,
02/01/2011,01:00,72,0.8,29.0,0.5,23.6,92.6,0.005,0.000,0.003,0.003,0.000,14.3,33
02/01/2011,02:00,73,0.8,21.5,0.4,23.1,93.8,0.004,0.000,0.003,0.003,0.000,12.2,32
02/01/2011,03:00,87,0.8,25.6,0.5,22.8,94.7,0.004,0.000,0.003,0.003,0.000,13.5,30
02/01/2011,04:00,79,1.0,19.4,0.5,22.8,94.4,0.005,0.000,0.002,0.002,0.000,13.8,29
