Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm)
01/01/2011,00:00,219,0.7,24.4,0.4,19.2,76.7,0.0
01/01/2011,01:00,214,1.0,18.5,0.5,19.0,79.3,0.0
01/01/2011,02:00,210,1.1,20.3,0.5,19.2,78.9,0.0
01/01/2011,03:00,199,1.0,24.6,0.5,19.7,78.6,0.0
01/01/2011,04:00,202,1.0,20.9,0.5,19.7,78.0,0.0
01/01/2011,05:00,198,0.9,28.1,0.5,20.1,77.0,0.0
01/01/2011,06:00,202,1.1,27.7,0.7,21.5,72.6,0.0
01/01/2011,07:00,203,1.4,28.7,0.8,23.1,66.4,0.0
01/01/2011,08:00,194,1.2,38.1,0.8,24.6,61.7,0.0
01/01/2011,09:00,196,1.2,39.3,0.8,25.6,58.6,0.0
01/01/2011,10:00,189,0.8,42.1,0.6,26.1,59.0,0.0
01/01/2011,11:00,191,0.7,49.8,0.6,26.4,59.1,0.0
01/01/2011,12:00,178,0.8,48.1,0.6,26.2,61.9,0.0
01/01/2011,13:00,194,0.7,42.8,0.6,25.9,65.5,0.0
01/01/2011,14:00,216,0.4,53.9,0.5,24.4,76.7,0.0
01/01/2011,15:00,188,0.5,42.3,0.4,24.6,77.0,0.0
01/01/2011,16:00,114,0.4,51.6,0.4,24.5,75.9,0.0
01/01/2011,17:00,303,0.3,72.6,0.3,23.4,83.5,0.0
01/01/2011,18:00,198,0.3,44.7,0.3,23.0,86.9,0.1
01/01/2011,19:00,133,0.3,51.6,0.3,22.9,89.3,0.0
01/01/2011,20:00,222,0.3,29.0,0.2,22.5,88.2,0.0
01/01/2011,21:00,215,0.3,25.9,0.2,22.6,88.7,0.0
01/01/2011,22:00,211,0.2,50.2,0.2,22.6,88.9,0.0
01/01/2011,23:00,178,0.2,55.8,0.2,22.5,88.9,0.0
02/01/2011,00:00,195,0.1,104.2,0.1,22.4,89.2,0.0
02/01/2011,01:00,222,0.6,14.0,0.3,22.2,89.6,0.0
02/01/2011,02:00,217,0.3,24.0,0.2,22.0,89.4,0.0
02/01/2011,03:00,224,0.5,26.8,0.3,21.7,89.7,0.0
02/01/2011,04:00,281,0.3,47.0,0.2,21.4,89.8,0.0
02/01/2011,05:00,206,0.4,41.0,0.2,21.2,90.4,0.0
02/01/2011,06:00,221,0.5,27.8,0.3,21.7,90.1,0.0
02/01/2011,07:00,253,0.2,83.3,0.3,23.4,85.5,0.0
02/01/2011,08:00,261,0.4,58.3,0.4,24.7,75.0,0.0
02/01/2011,09:00,107,1.1,38.5,0.6,26.9,64.6,0.0
02/01/2011,10:00,30,1.0,156.9,0.7,27.8,61.9,0.0
02/01/2011,11:00,10,1.1,182.7,0.7,28.1,59.0,0.0
02/01/2011,12:00,26,1.4,35.1,0.8,28.0,62.0,0.0
02/01/2011,13:00,18,1.5,40.5,0.9,28.5,57.2,0.0
02/01/2011,14:00,54,1.5,39.4,0.8,29.3,53.6,0.0
02/01/2011,15:00,72,1.6,25.5,0.7,28.9,55.7,0.0
02/01/2011,16:00,40,1.2,32.1,0.7,28.8,57.6,0.0
02/01/2011,17:00,28,1.1,29.8,0.6,28.0,61.5,0.0
02/01/2011,18:00,50,1.0,29.5,0.6,26.4,67.6,0.0
02/01/2011,19:00,17,0.8,32.1,0.5,24.8,75.9,0.0
02/01/2011,20:00,9,0.8,179.2,0.4,23.8,79.5,0.0
02/01/2011,21:00,354,0.9,12.7,0.3,23.0,82.3,0.0
02/01/2011,22:00,35,0.5,42.9,0.2,22.9,83.9,0.0
02/01/2011,23:00,6,0.5,39.7,0.3,22.7,83.7,0.0
03/01/2011,00:00,356,0.2,73.4,0.3,22.6,83.6,0.0
03/01/2011,01:00,,0.0,122.0,0.2,22.7,84.5,0.0
