Date,Time,Ozone (ppm),Sulfur Dioxide (SO2) (ppm),Nitrogen Dioxide (NO2) (ppm),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
01/01/2011,00:00,0.011,0.001,0.001,1.3,1.3,4.6,3.3
01/01/2011,01:00,0.010,0.002,0.001,1.8,1.3,7.4,1.8
01/01/2011,02:00,0.011,0.001,0.001,2.4,0.9,5.9,2.0
01/01/2011,03:00,0.012,0.001,0.001,1.4,0.8,5.9,1.0
01/01/2011,04:00,0.010,0.001,0.002,1.6,,4.9,2.6
01/01/2011,05:00,0.011,0.001,0.001,1.4,1.2,5.7,2.8
01/01/2011,06:00,0.008,0.001,0.001,0.7,1.1,4.0,3.6
01/01/2011,07:00,0.010,0.001,0.001,1.0,1.4,6.1,2.4
01/01/2011,08:00,0.008,0.000,0.001,1.0,0.7,3.8,2.8
01/01/2011,09:00,0.007,0.000,0.001,2.2,1.5,4.6,1.5
01/01/2011,10:00,0.009,0.001,0.004,1.9,1.0,3.6,1.4
01/01/2011,11:00,0.009,0.001,0.003,1.3,0.9,4.9,3.3
01/01/2011,12:00,0.007,0.005,0.008,1.1,0.7,4.1,1.9
01/01/2011,13:00,0.009,0.001,0.002,1.2,1.1,4.2,2.2
01/01/2011,14:00,0.008,0.002,0.003,,1.6,1.8,1.5
01/01/2011,15:00,0.007,0.001,0.002,1.6,0.6,2.7,0.4
01/01/2011,16:00,0.009,0.001,0.002,1.3,,5.3,0.5
01/01/2011,17:00,0.004,0.002,0.003,1.1,1.6,2.7,1.4
01/01/2011,18:00,0.005,0.003,0.003,1.8,0.6,2.6,1.8
01/01/2011,19:00,0.004,0.002,0.002,1.8,1.2,3.9,1.0
01/01/2011,20:00,0.005,0.002,0.002,1.1,1.9,6.2,2.4
01/01/2011,21:00,0.007,0.001,0.002,,,3.9,1.4
01/01/2011,22:00,0.006,0.004,0.003,,1.1,4.0,1.2
01/01/2011,23:00,0.005,0.003,0.003,,1.5,7.4,
02/01/2011,00:00,0.002,0.002,0.002,,1.5,4.6,
02/01/2011,01:00,0.006,0.001,0.001,1.0,1.0,4.0,1.3
02/01/2011,02:00,0.003,0.001,0.001,,1.0,4.0,1.5
02/01/2011,03:00,0.001,0.002,0.001,1.5,1.1,4.4,
02/01/2011,04:00,0.003,0.005,0.003,,0.5,5.2,
02/01/2011,05:00,0.004,0.001,0.006,,1.0,5.9,0.8
02/01/2011,06:00,0.004,0.001,0.011,2.5,1.7,3.9,2.0
02/01/2011,07:00,0.004,0.001,0.012,,1.2,2.8,2.1
02/01/2011,08:00,0.001,0.008,0.022,1.9,1.5,1.8,
02/01/2011,09:00,,,,,,,
02/01/2011,10:00,0.005,0.001,0.001,0.8,1.3,3.7,2.1
02/01/2011,11:00,0.005,0.001,0.000,,1.4,5.1,2.4
02/01/2011,12:00,0.007,0.001,0.002,1.4,0.7,5.6,1.5
02/01/2011,13:00,0.005,0.001,0.002,1.1,1.2,3.5,1.7
02/01/2011,14:00,0.009,0.001,0.003,1.8,0.5,3.1,2.4
02/01/2011,15:00,0.009,0.001,0.002,0.9,1.2,6.0,2.5
02/01/2011,16:00,0.010,0.000,0.001,2.3,1.4,5.3,1.7
02/01/2011,17:00,0.006,0.001,0.001,1.0,1.0,3.8,1.7
02/01/2011,18:00,0.004,0.003,0.001,2.3,1.1,4.8,1.8
02/01/2011,19:00,0.008,0.003,0.002,0.9,1.1,3.6,2.1
02/01/2011,20:00,0.004,0.004,0.002,,1.5,5.0,2.1
02/01/2011,21:00,0.006,0.003,0.002,0.7,0.7,7.4,2.6
02/01/2011,22:00,0.004,0.002,0.003,1.9,0.9,2.7,3.3
02/01/2011,23:00,0.006,0.001,0.003,0.8,0.9,4.9,1.6
03/01/2011,00:00,0.004,0.001,0.001,1.3,1.0,3.9,2.2
03/01/2011,01:00,0.005,0.001,0.001,1.9,0.9,5.3,2.0
03/01/2011,02:00,0.005,0.001,0.001,1.1,0.5,3.1,2.1
03/01/2011,03:00,0.005,0.002,0.001,0.3,1.9,6.9,2.6
03/01/2011,04:00,,0.002,0.001,2.0,1.6,3.6,2.0
03/01/2011,05:00,0.002,0.002,0.000,0.5,0.8,4.4,2.0
03/01/2011,06:00,0.004,0.001,0.001,0.9,1.3,,3.4
03/01/2011,07:00,0.006,0.001,0.002,2.2,1.7,4.2,2.7
03/01/2011,08:00,0.010,0.001,0.008,0.6,1.4,,1.4
03/01/2011,09:00,0.005,0.002,0.003,1.2,0.8,6.4,
03/01/2011,10:00,0.006,0.002,0.003,2.6,0.6,6.2,1.4
03/01/2011,11:00,0.006,0.001,0.002,2.1,0.6,5.0,1.1
03/01/2011,12:00,,,,,,,
03/01/2011,13:00,,,,,0.5,4.9,
03/01/2011,14:00,0.006,0.003,0.002,2.0,1.5,4.6,3.1
03/01/2011,15:00,0.005,0.002,0.001,1.8,0.8,3.9,1.6
03/01/2011,16:00,0.007,0.001,0.001,1.9,2.0,4.2,1.4
03/01/2011,17:00,0.006,0.001,0.001,1.0,0.8,2.4,1.9
03/01/2011,18:00,0.004,0.001,0.001,,1.7,3.8,1.7
03/01/2011,19:00,0.003,0.002,0.002,,,,
03/01/2011,20:00,0.004,0.002,0.001,1.8,1.6,7.1,2.7
03/01/2011,21:00,0.002,0.004,0.002,1.8,0.9,4.9,2.1
03/01/2011,22:00,0.004,0.004,0.001,1.9,1.1,5.3,1.4
03/01/2011,23:00,0.001,0.008,0.001,0.7,1.3,6.9,1.8
04/01/2011,00:00,0.003,0.004,0.001,1.2,0.7,1.8,1.7
04/01/2011,01:00,0.008,0.002,0.002,0.9,1.8,5.4,1.4
04/01/2011,02:00,,0.004,0.002,,,,
04/01/2011,03:00,,,,,,,
04/01/2011,04:00,0.015,0.002,0.001,0.6,0.7,3.2,1.5
04/01/2011,05:00,0.011,0.004,0.001,2.7,1.6,2.5,1.8
04/01/2011,06:00,0.008,0.005,0.001,2.1,1.5,4.8,2.3
04/01/2011,07:00,0.009,0.003,0.001,0.9,1.0,3.4,1.6
04/01/2011,08:00,0.012,0.005,0.003,,0.6,5.0,1.7
04/01/2011,09:00,,0.010,0.009,,,,
04/01/2011,10:00,0.016,0.003,0.005,2.1,1.2,6.4,3.1
04/01/2011,11:00,0.014,0.002,0.004,2.3,1.4,6.7,2.2
04/01/2011,12:00,0.014,0.006,0.011,0.7,1.5,4.8,2.2
04/01/2011,13:00,0.012,0.002,0.006,1.0,1.2,8.1,1.9
04/01/2011,14:00,0.010,0.002,0.001,1.2,1.4,2.0,1.1
04/01/2011,15:00,0.013,0.003,0.001,,1.3,,0.8
04/01/2011,16:00,0.013,0.004,0.001,1.6,1.3,3.2,1.4
04/01/2011,17:00,0.014,0.002,0.001,1.6,1.2,3.7,2.4
04/01/2011,18:00,0.014,0.005,0.007,1.5,1.2,7.5,2.4
04/01/2011,19:00,0.012,0.011,0.010,1.1,1.2,2.4,2.2
04/01/2011,20:00,0.015,0.005,0.010,1.9,1.0,2.0,2.3
04/01/2011,21:00,0.015,0.004,0.004,1.7,0.8,5.7,3.3
04/01/2011,22:00,0.015,0.003,0.003,,0.4,3.2,1.6
04/01/2011,23:00,0.012,0.002,0.001,0.7,,9.0,1.6
05/01/2011,00:00,0.012,0.003,0.001,,,15.4,2.8
05/01/2011,01:00,0.007,0.003,0.001,,,9.9,2.2
05/01/2011,02:00,0.008,0.002,0.001,,1.3,3.1,2.0
05/01/2011,03:00,0.011,0.002,0.002,,0.7,6.5,1.8
05/01/2011,04:00,0.008,0.002,0.001,0.9,1.5,6.2,1.4
05/01/2011,05:00,0.006,0.006,0.001,1.6,2.5,7.8,2.5
05/01/2011,06:00,0.006,0.005,0.010,0.2,1.5,6.0,1.4
05/01/2011,07:00,0.011,0.005,0.017,1.6,1.2,,1.4
05/01/2011,08:00,0.005,0.007,0.008,2.1,0.8,,1.4
05/01/2011,09:00,0.008,0.001,0.001,,,,
05/01/2011,10:00,0.012,0.002,0.001,1.5,1.0,2.6,1.2
05/01/2011,11:00,0.011,0.003,0.002,2.4,1.6,5.4,
05/01/2011,12:00,0.012,0.002,0.001,1.0,1.6,5.9,0.9
05/01/2011,13:00,0.013,0.001,0.001,1.0,1.4,4.6,1.5
05/01/2011,14:00,0.010,0.001,0.001,1.9,1.2,5.0,1.9
05/01/2011,15:00,0.010,0.002,0.000,,,,
05/01/2011,16:00,0.010,0.001,0.001,2.3,1.7,6.0,1.1
05/01/2011,17:00,0.009,0.002,0.001,2.3,0.8,6.5,1.6
05/01/2011,18:00,0.011,0.002,0.001,1.2,1.7,2.5,1.9
05/01/2011,19:00,0.009,0.002,0.001,0.4,0.9,6.0,1.6
05/01/2011,20:00,0.009,0.002,0.001,1.2,0.7,2.3,1.2
05/01/2011,21:00,0.010,0.001,0.001,1.0,1.1,6.1,0.2
05/01/2011,22:00,0.009,0.001,0.001,1.4,0.8,8.1,1.6
05/01/2011,23:00,0.011,0.000,0.001,2.0,1.1,5.4,1.0
06/01/2011,00:00,0.010,0.001,0.001,0.7,1.5,5.3,1.3
06/01/2011,01:00,0.008,0.000,0.001,1.3,0.9,3.0,1.3
06/01/2011,02:00,0.015,0.001,0.001,2.2,2.1,6.1,
06/01/2011,03:00,0.017,0.002,0.001,1.3,1.3,3.2,2.3
06/01/2011,04:00,0.011,0.004,0.001,,,,0.2
