Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Sulfur Dioxide (SO2) (ppm)
01/01/2011,00:00,103,1.9,57.0,1.8,
01/01/2011,01:00,112,1.9,94.5,2.7,0.000
01/01/2011,02:00,8,1.5,167.8,0.6,0.000
01/01/2011,03:00,3,1.9,174.3,0.8,0.000
01/01/2011,04:00,1,1.3,174.8,0.6,0.001
01/01/2011,05:00,9,1.6,21.0,0.6,0.000
01/01/2011,06:00,36,1.1,26.1,0.5,0.000
01/01/2011,07:00,279,0.1,104.3,0.5,0.001
01/01/2011,08:00,26,0.8,60.8,0.8,0.001
01/01/2011,09:00,12,0.9,174.1,0.5,0.001
01/01/2011,10:00,282,0.1,134.2,0.2,0.071
01/01/2011,11:00,174,0.4,100.0,0.6,0.234
01/01/2011,12:00,177,1.8,19.8,0.7,0.334
01/01/2011,13:00,189,2.1,17.7,0.9,0.140
01/01/2011,14:00,190,2.3,21.4,0.8,0.192
01/01/2011,15:00,200,2.1,21.5,1.1,0.175
01/01/2011,16:00,162,0.2,119.3,0.4,0.007
01/01/2011,17:00,178,3.1,58.4,2.4,0.031
01/01/2011,18:00,141,1.4,22.3,0.6,0.005
01/01/2011,19:00,172,1.1,13.4,0.4,0.002
01/01/2011,20:00,122,0.5,61.9,0.4,0.001
01/01/2011,21:00,67,0.8,23.6,0.5,0.001
01/01/2011,22:00,42,0.8,33.1,0.3,0.001
01/01/2011,23:00,73,0.3,64.2,0.3,0.000
02/01/2011,00:00,155,0.6,29.2,0.2,
02/01/2011,01:00,136,0.4,61.5,0.3,0.000
02/01/2011,02:00,145,0.6,40.0,0.3,0.000
02/01/2011,03:00,142,0.9,11.6,0.3,0.000
02/01/2011,04:00,104,1.3,15.8,0.4,0.000
02/01/2011,05:00,98,1.4,20.8,0.6,0.000
02/01/2011,06:00,59,2.0,18.3,0.9,0.000
02/01/2011,07:00,53,2.7,16.2,1.2,0.000
02/01/2011,08:00,45,2.1,21.4,0.9,0.000
02/01/2011,09:00,45,1.6,32.5,0.8,0.000
02/01/2011,10:00,44,1.3,51.4,0.9,0.000
02/01/2011,11:00,63,1.1,65.6,1.0,0.000
02/01/2011,12:00,78,1.7,37.4,1.0,0.000
02/01/2011,13:00,46,2.2,34.2,1.3,0.000
02/01/2011,14:00,47,2.4,28.0,1.1,0.000
02/01/2011,15:00,35,2.7,21.8,1.3,0.000
02/01/2011,16:00,54,2.3,22.3,1.1,0.000
02/01/2011,17:00,50,1.7,31.6,0.8,0.000
02/01/2011,18:00,51,2.0,19.9,0.8,0.000
02/01/2011,19:00,42,2.0,10.2,0.6,0.000
02/01/2011,20:00,34,1.5,12.0,0.5,0.001
02/01/2011,21:00,352,0.6,29.6,0.4,0.000
02/01/2011,22:00,343,0.8,23.2,0.5,0.000
02/01/2011,23:00,345,0.7,25.2,0.4,0.000
03/01/2011,00:00,14,0.5,47.4,0.4,
03/01/2011,01:00,136,0.3,55.9,0.2,0.000
03/01/2011,02:00,86,0.7,20.9,0.3,0.000
03/01/2011,03:00,166,0.9,32.8,0.4,0.000
03/01/2011,04:00,142,0.9,44.2,0.4,0.000
03/01/2011,05:00,158,1.0,18.2,0.3,0.000
03/01/2011,06:00,30,0.4,49.2,0.2,0.000
03/01/2011,07:00,113,0.2,99.5,0.3,0.000
03/01/2011,08:00,207,1.1,26.7,0.6,0.101
03/01/2011,09:00,182,0.6,72.4,0.6,0.109
03/01/2011,10:00,72,1.4,40.4,0.9,0.016
03/01/2011,11:00,43,2.3,28.8,1.1,0.005
03/01/2011,12:00,45,1.5,55.5,1.1,0.001
03/01/2011,13:00,39,1.7,40.6,1.1,0.001
03/01/2011,14:00,28,2.1,32.0,1.3,0.001
03/01/2011,15:00,59,1.7,53.3,1.2,0.001
03/01/2011,16:00,62,1.5,51.2,1.0,0.001
03/01/2011,17:00,53,1.4,53.5,1.1,0.000
03/01/2011,18:00,22,1.3,22.4,0.6,0.000
03/01/2011,19:00,14,1.3,16.4,0.5,0.000
03/01/2011,20:00,350,1.0,11.7,0.5,0.000
03/01/2011,21:00,354,0.6,17.5,0.3,0.000
03/01/2011,22:00,0,0.4,18.8,0.2,0.001
03/01/2011,23:00,42,0.4,32.0,0.2,0.001
04/01/2011,00:00,12,0.2,132.9,0.3,
04/01/2011,01:00,359,0.5,171.4,0.2,0.001
04/01/2011,02:00,1,0.7,169.3,0.2,0.001
04/01/2011,03:00,338,0.7,13.3,0.3,0.000
04/01/2011,04:00,327,0.5,18.8,0.2,0.000
04/01/2011,05:00,328,0.5,31.1,0.4,0.000
04/01/2011,06:00,353,0.4,44.3,0.3,0.009
04/01/2011,07:00,314,0.6,56.2,0.4,0.003
04/01/2011,08:00,232,1.1,25.8,0.7,0.021
04/01/2011,09:00,247,1.2,25.3,0.7,0.012
04/01/2011,10:00,254,1.1,33.7,0.6,0.008
04/01/2011,11:00,304,0.7,54.8,0.6,0.002
04/01/2011,12:00,187,0.7,83.3,0.8,0.005
04/01/2011,13:00,42,0.1,134.3,0.8,0.002
04/01/2011,14:00,47,1.7,43.6,1.0,0.000
04/01/2011,15:00,251,1.7,38.8,1.4,0.013
04/01/2011,16:00,246,1.0,37.5,0.9,0.089
04/01/2011,17:00,289,0.3,132.2,0.5,0.062
04/01/2011,18:00,209,1.3,20.7,0.5,0.014
04/01/2011,19:00,181,1.7,18.7,0.8,0.016
04/01/2011,20:00,176,0.6,41.0,0.4,0.001
04/01/2011,21:00,59,1.9,40.0,1.6,0.001
04/01/2011,22:00,8,0.8,167.2,0.5,0.001
04/01/2011,23:00,349,0.4,23.2,0.3,0.001
05/01/2011,00:00,351,0.7,12.3,0.3,
05/01/2011,01:00,16,0.5,161.8,0.3,0.001
05/01/2011,02:00,23,0.4,147.9,0.3,0.001
05/01/2011,03:00,44,0.4,141.6,0.4,0.001
05/01/2011,04:00,168,0.5,50.4,0.4,0.001
05/01/2011,05:00,173,1.3,15.3,0.5,0.003
05/01/2011,06:00,163,0.6,39.2,0.3,0.003
05/01/2011,07:00,196,0.3,67.2,0.3,0.047
05/01/2011,08:00,89,1.5,46.7,1.3,0.018
05/01/2011,09:00,114,2.0,30.7,1.3,0.002
05/01/2011,10:00,51,2.0,32.9,1.0,0.001
05/01/2011,11:00,42,1.5,23.8,0.7,0.001
05/01/2011,12:00,19,2.6,157.5,1.3,0.000
05/01/2011,13:00,358,2.4,23.8,1.3,0.000
05/01/2011,14:00,3,1.1,180.9,0.7,0.000
05/01/2011,15:00,197,0.6,65.7,0.5,0.000
05/01/2011,16:00,19,0.8,69.6,0.7,0.000
05/01/2011,17:00,52,0.8,53.5,0.6,0.000
05/01/2011,18:00,58,2.2,19.3,0.9,0.000
05/01/2011,19:00,48,1.8,12.9,0.6,0.000
05/01/2011,20:00,38,1.7,15.3,0.7,0.000
05/01/2011,21:00,24,0.8,23.9,0.4,0.000
05/01/2011,22:00,66,0.2,85.0,0.2,0.000
05/01/2011,23:00,114,0.4,45.2,0.2,0.000
06/01/2011,00:00,142,0.6,50.0,0.3,
06/01/2011,01:00,172,0.4,68.3,0.4,0.000
06/01/2011,02:00,141,0.4,63.1,0.2,0.000
06/01/2011,03:00,119,0.2,80.2,0.2,0.000
06/01/2011,04:00,58,0.6,33.2,0.2,0.000
06/01/2011,05:00,107,0.3,51.8,0.2,0.000
06/01/2011,06:00,104,0.6,24.3,0.3,0.001
06/01/2011,07:00,130,1.2,27.1,0.7,0.000
06/01/2011,08:00,112,1.5,27.5,0.7,0.000
06/01/2011,09:00,85,1.1,46.7,0.7,0.000
06/01/2011,10:00,26,0.7,84.7,0.7,0.000
06/01/2011,11:00,6,0.5,158.5,0.8,0.000
06/01/2011,12:00,333,0.5,74.5,0.6,0.000
06/01/2011,13:00,59,0.9,63.7,0.8,0.024
06/01/2011,14:00,144,0.2,114.4,0.6,0.034
06/01/2011,15:00,80,0.1,114.1,0.6,0.054
06/01/2011,16:00,153,0.7,67.8,0.8,0.068
06/01/2011,17:00,174,1.8,23.0,0.9,0.005
06/01/2011,18:00,175,1.5,26.4,0.8,0.021
06/01/2011,19:00,52,1.0,41.5,0.7,0.005
06/01/2011,20:00,26,0.6,36.7,0.3,0.003
06/01/2011,21:00,12,0.6,28.0,0.3,0.003
06/01/2011,22:00,56,0.5,49.9,0.3,0.004
06/01/2011,23:00,73,0.2,73.3,0.2,0.003
07/01/2011,00:00,24,0.6,30.4,0.3,
07/01/2011,01:00,59,0.3,83.2,0.3,0.002
07/01/2011,02:00,63,0.5,20.0,0.2,0.002
07/01/2011,03:00,150,0.3,47.1,0.2,0.001
07/01/2011,04:00,125,0.4,60.3,0.4,0.001
07/01/2011,05:00,166,0.7,22.0,0.3,0.001
07/01/2011,06:00,158,1.0,22.5,0.2,0.001
07/01/2011,07:00,178,0.9,26.3,0.3,0.001
07/01/2011,08:00,83,1.4,33.2,0.7,0.000
07/01/2011,09:00,57,0.7,77.2,0.8,0.000
07/01/2011,10:00,25,1.0,53.9,0.8,0.000
07/01/2011,11:00,10,1.2,178.6,0.8,0.155
07/01/2011,12:00,34,1.2,51.9,0.9,0.056
07/01/2011,13:00,306,0.4,74.8,0.5,0.024
07/01/2011,14:00,148,0.8,64.0,0.7,0.063
07/01/2011,15:00,141,0.8,69.9,0.9,0.022
07/01/2011,16:00,121,0.7,77.4,0.7,0.007
07/01/2011,17:00,61,1.7,43.6,1.2,0.002
07/01/2011,18:00,51,2.7,14.2,0.9,0.000
07/01/2011,19:00,42,2.7,9.9,0.9,0.000
07/01/2011,20:00,44,2.3,12.8,0.8,0.000
07/01/2011,21:00,6,1.4,170.4,0.7,0.000
07/01/2011,22:00,353,0.9,17.5,0.3,0.000
07/01/2011,23:00,346,0.6,17.5,0.3,0.000
08/01/2011,00:00,4,0.7,176.7,0.3,
