Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm)
01/01/2011,00:00,220,1.1,12.4,0.3,19.3,86.7,,,,
01/01/2011,01:00,209,1.6,10.0,0.4,19.5,86.3,0.005,0.001,0.002,0.003
01/01/2011,02:00,214,1.4,12.7,0.4,20.2,81.5,0.008,0.001,0.002,0.002
01/01/2011,03:00,216,1.6,10.9,0.4,20.3,80.7,0.008,0.000,0.001,0.001
01/01/2011,04:00,207,1.7,13.1,0.4,20.5,79.8,0.009,0.000,0.001,0.001
01/01/2011,05:00,200,1.7,14.8,0.6,20.9,78.5,0.010,0.000,0.000,0.000
01/01/2011,06:00,196,1.4,17.1,0.4,21.8,76.4,0.010,0.000,0.000,0.000
01/01/2011,07:00,191,1.1,23.5,0.5,23.1,73.6,0.011,0.000,0.000,0.000
01/01/2011,08:00,176,1.4,34.6,0.7,24.1,72.4,0.012,0.000,0.000,0.000
01/01/2011,09:00,154,2.4,23.2,1.0,24.9,70.7,0.014,0.000,0.000,0.000
01/01/2011,10:00,132,2.3,30.9,1.1,25.8,69.2,0.015,0.000,0.000,0.000
01/01/2011,11:00,125,2.6,27.3,1.2,26.6,67.8,0.014,0.000,0.000,0.000
01/01/2011,12:00,110,2.3,27.4,1.2,26.4,70.7,0.015,0.000,0.000,0.000
01/01/2011,13:00,110,1.5,37.6,0.8,24.7,83.7,0.015,0.000,0.000,0.000
01/01/2011,14:00,131,1.0,34.9,0.6,24.1,87.9,0.012,0.000,0.000,0.000
01/01/2011,15:00,142,1.3,38.9,0.9,24.4,85.7,0.010,0.000,0.000,0.000
01/01/2011,16:00,124,1.8,27.4,0.8,24.4,84.1,0.010,0.000,0.000,0.000
01/01/2011,17:00,114,1.1,30.0,0.5,23.5,90.1,0.009,0.000,0.001,0.001
01/01/2011,18:00,164,0.2,95.9,0.4,23.2,93.3,0.007,0.000,0.001,0.001
01/01/2011,19:00,88,1.3,25.8,0.7,23.5,93.6,0.005,0.001,0.001,0.001
01/01/2011,20:00,69,1.6,10.1,0.4,23.7,92.5,0.005,0.000,0.002,0.002
01/01/2011,21:00,76,1.6,12.2,0.4,23.6,92.3,0.004,0.001,0.002,0.002
01/01/2011,22:00,83,1.0,23.5,0.5,23.3,92.8,0.004,0.001,0.000,0.001
01/01/2011,23:00,74,0.7,27.7,0.4,23.3,93.0,0.004,0.001,0.001,0.002
02/01/2011,00:00,54,0.4,60.0,0.3,23.0,93.6,,,,
02/01/2011,01:00,262,0.3,62.1,0.2,22.6,94.0,0.003,0.001,0.001,0.002
02/01/2011,02:00,243,0.4,50.9,0.3,21.9,94.5,0.002,0.001,0.001,0.002
02/01/2011,03:00,209,0.4,46.5,0.2,21.3,94.8,0.001,0.003,0.001,0.004
02/01/2011,04:00,279,0.4,63.3,0.3,21.3,94.9,0.001,0.003,0.001,0.004
02/01/2011,05:00,195,0.2,110.3,0.2,21.7,94.9,0.002,0.003,0.001,0.003
02/01/2011,06:00,61,0.7,67.4,0.6,23.8,91.7,0.004,0.002,0.001,0.002
02/01/2011,07:00,62,2.3,24.3,0.9,25.4,81.5,0.006,0.001,0.000,0.001
02/01/2011,08:00,46,2.3,19.3,0.7,26.7,73.6,0.009,0.001,0.000,0.001
02/01/2011,09:00,83,1.8,28.7,0.9,27.9,67.7,0.010,0.000,0.000,0.000
02/01/2011,10:00,62,2.7,19.2,0.9,27.6,69.0,0.011,0.001,0.000,0.001
02/01/2011,11:00,73,3.1,16.5,1.0,27.7,68.7,0.012,0.001,0.000,0.001
02/01/2011,12:00,80,2.4,29.5,1.2,28.5,65.8,0.013,0.001,0.000,0.001
02/01/2011,13:00,69,2.8,25.8,1.0,29.0,64.4,0.013,0.000,0.000,0.000
