Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Carbon Monoxide (CO) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3)
01/01/2011,00:00,156,1.6,20.9,0.5,22.0,81.4,,,,,12.2,3.5
01/01/2011,01:00,157,1.6,17.6,0.5,22.1,80.4,0.020,0.009,0.029,0.1,14.8,7.0
01/01/2011,02:00,161,1.7,18.5,0.6,21.9,80.6,0.018,0.009,0.027,0.1,13.1,5.8
01/01/2011,03:00,162,1.9,18.6,0.7,21.8,80.8,0.011,0.006,0.016,0.1,12.4,5.6
01/01/2011,04:00,158,1.7,18.3,0.6,22.0,80.3,0.010,0.006,0.016,0.1,11.5,4.4
01/01/2011,05:00,158,2.0,21.3,0.8,22.0,80.3,0.008,0.005,0.013,0.1,12.6,6.0
01/01/2011,06:00,155,2.0,20.1,0.8,22.1,82.1,0.011,0.006,0.017,0.1,9.0,3.3
01/01/2011,07:00,157,2.1,19.7,0.7,21.8,89.9,0.009,0.004,0.013,0.0,6.0,1.2
01/01/2011,08:00,155,2.5,15.5,1.1,22.5,90.2,0.010,0.006,0.016,0.1,4.3,1.3
01/01/2011,09:00,141,2.6,18.0,1.2,22.9,90.6,0.007,0.004,0.011,0.0,1.7,0.2
01/01/2011,10:00,135,2.1,22.2,0.9,23.5,90.9,0.006,0.005,0.011,0.0,1.6,0.3
01/01/2011,11:00,138,1.9,39.0,1.3,24.7,87.2,0.006,0.004,0.010,0.0,2.1,1.7
01/01/2011,12:00,141,2.3,41.8,1.5,25.1,83.7,0.004,0.003,0.007,0.0,3.3,2.5
01/01/2011,13:00,137,2.1,32.9,1.2,24.7,87.1,0.005,0.003,0.008,0.1,3.4,2.9
01/01/2011,14:00,135,1.3,45.8,1.0,24.1,90.7,0.005,0.004,0.009,0.1,-1.9,-1.5
01/01/2011,15:00,139,1.2,44.9,0.9,24.1,91.3,0.007,0.006,0.013,0.1,-1.2,-1.7
01/01/2011,16:00,161,0.4,82.4,0.5,24.4,91.7,0.009,0.006,0.015,0.1,0.3,-0.2
01/01/2011,17:00,37,0.2,119.3,0.5,25.2,89.5,0.007,0.005,0.011,0.1,6.6,3.4
01/01/2011,18:00,41,0.4,82.7,0.5,25.1,89.5,0.004,0.004,0.007,0.1,15.3,6.2
01/01/2011,19:00,41,0.7,65.0,0.6,24.7,90.2,0.004,0.003,0.007,0.1,18.1,6.2
01/01/2011,20:00,77,0.4,79.3,0.4,24.5,91.0,0.005,0.003,0.008,0.1,16.3,5.0
01/01/2011,21:00,109,0.7,31.2,0.4,24.1,93.3,0.006,0.005,0.010,0.1,17.1,7.0
01/01/2011,22:00,112,0.7,25.2,0.3,24.0,94.0,0.006,0.004,0.010,0.1,12.1,2.3
01/01/2011,23:00,113,0.9,19.4,0.3,23.8,94.1,0.007,0.004,0.011,0.1,16.7,7.2
02/01/2011,00:00,136,1.0,17.6,0.4,23.7,93.8,,,,,16.5,7.3
02/01/2011,01:00,115,1.0,11.6,0.2,23.3,93.9,0.003,0.003,0.006,0.1,14.4,5.7
02/01/2011,02:00,123,0.9,16.9,0.3,23.2,94.3,0.009,0.005,0.014,0.1,15.8,7.9
02/01/2011,03:00,115,1.1,12.8,0.3,23.2,94.4,0.002,0.003,0.005,0.1,12.6,4.8
02/01/2011,04:00,94,1.5,19.6,0.5,23.1,93.9,0.001,0.001,0.002,0.0,11.1,4.9
02/01/2011,05:00,92,0.7,41.5,0.4,22.9,93.9,0.006,0.003,0.009,0.1,7.9,4.5
02/01/2011,06:00,242,0.5,60.9,0.4,25.0,89.0,0.008,0.004,0.011,0.1,8.2,4.2
02/01/2011,07:00,326,1.2,46.9,0.9,26.8,79.7,0.002,0.001,0.002,0.0,9.0,3.8
02/01/2011,08:00,,,,,28.6,71.0,0.002,0.001,0.003,0.0,8.7,4.2
02/01/2011,09:00,,,,,28.8,69.4,0.003,0.001,0.004,0.0,10.0,6.8
02/01/2011,10:00,,,,,29.4,66.7,0.003,0.001,0.004,0.1,9.6,6.4
02/01/2011,11:00,,,,,29.2,67.2,0.003,0.001,0.004,0.0,12.4,9.2
02/01/2011,12:00,,,,,29.3,66.4,0.003,0.001,0.004,0.0,10.1,6.3
02/01/2011,13:00,,,,,30.1,62.7,0.002,0.002,0.004,0.0,8.7,5.5
02/01/2011,14:00,,,,,29.9,64.1,0.003,0.001,0.004,0.1,12.0,8.8
02/01/2011,15:00,,,,,29.5,65.6,0.003,0.001,0.004,0.0,9.5,6.3
02/01/2011,16:00,2,1.7,41.7,1.0,28.7,67.4,0.003,0.002,0.005,0.1,10.4,6.5
02/01/2011,17:00,359,1.6,38.6,0.8,28.0,69.4,0.004,0.003,0.007,0.1,14.8,11.3
02/01/2011,18:00,17,1.1,44.8,0.7,26.4,75.7,0.004,0.003,0.007,0.1,7.2,3.3
02/01/2011,19:00,353,0.9,41.6,0.6,25.7,80.1,0.007,0.005,0.012,0.1,11.4,6.9
02/01/2011,20:00,346,0.8,42.1,0.4,25.2,83.7,0.007,0.006,0.013,0.1,10.6,5.4
02/01/2011,21:00,334,0.9,26.8,0.3,24.8,85.7,0.014,0.006,0.020,0.1,11.8,7.0
02/01/2011,22:00,358,0.7,36.2,0.4,24.7,86.7,0.014,0.007,0.021,0.1,10.0,5.9
02/01/2011,23:00,339,0.6,40.7,0.3,24.4,88.6,0.012,0.007,0.018,0.1,9.2,4.8
03/01/2011,00:00,90,0.2,79.4,0.3,24.1,90.0,,,,,8.2,3.0
