Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm),Solar Radiation (w/m^2),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
01/01/2011,00:00,,,,,22.7,75.7,0.0,0,1010,,,,,14.0,4.9,
01/01/2011,01:00,,,,,22.3,77.2,0.0,0,1009,0.000,0.001,0.001,0.002,16.2,9.0,11
01/01/2011,02:00,,,,,22.8,75.1,0.0,0,1008,0.000,0.000,0.000,0.001,8.8,0.6,10
01/01/2011,03:00,,,,,23.1,74.2,0.0,0,1008,0.000,0.000,0.000,0.001,13.1,3.2,10
01/01/2011,04:00,,,,,23.1,76.5,0.0,0,1008,0.000,0.000,0.000,0.001,10.7,3.2,9
01/01/2011,05:00,,,,,23.1,78.3,0.0,26,1008,0.000,0.001,0.001,0.001,11.0,3.4,9
01/01/2011,06:00,,,,,24.1,74.8,0.0,189,1009,0.000,0.001,0.001,0.001,7.9,-0.1,8
01/01/2011,07:00,,,,,25.2,72.8,0.0,303,1009,0.000,0.000,0.000,0.001,,,6
01/01/2011,08:00,,,,,26.5,70.0,0.0,514,1009,0.001,0.000,0.001,0.001,12.4,8.4,6
01/01/2011,09:00,,,,,27.7,66.7,0.0,762,1009,0.002,0.000,0.002,0.002,11.7,8.1,5
01/01/2011,10:00,,,,,27.9,67.5,0.0,635,1009,0.003,0.001,0.004,0.002,9.5,5.3,6
01/01/2011,11:00,,,,,27.9,68.1,0.0,399,1008,0.003,0.002,0.005,0.002,9.3,5.9,8
01/01/2011,12:00,,,,,27.9,71.5,0.0,578,1008,0.001,0.001,0.002,0.002,11.4,6.8,6
01/01/2011,13:00,,,,,28.9,69.7,0.0,623,1007,0.029,0.007,0.036,0.009,7.0,3.0,6
01/01/2011,14:00,,,,,28.7,72.5,0.0,756,1007,0.031,0.005,0.036,0.014,12.4,9.1,5
01/01/2011,15:00,,,,,27.9,77.6,0.0,408,1007,0.017,0.004,0.021,0.008,11.1,5.4,6
01/01/2011,16:00,,,,,27.8,79.7,0.0,221,1007,0.058,0.009,0.066,0.018,11.1,5.2,6
01/01/2011,17:00,,,,,27.5,81.4,0.0,161,1008,0.007,0.003,0.010,0.006,9.6,1.8,6
01/01/2011,18:00,,,,,27.2,82.4,0.0,34,1008,0.003,0.003,0.006,0.003,8.8,3.5,7
01/01/2011,19:00,,,,,26.7,86.5,0.0,0,1009,0.002,0.001,0.003,0.002,7.5,3.3,9
01/01/2011,20:00,,,,,26.6,87.1,0.0,0,1009,0.001,0.001,0.002,0.001,9.9,3.7,13
01/01/2011,21:00,,,,,25.7,84.6,1.4,0,1009,0.015,0.003,0.018,0.005,13.9,3.2,17
01/01/2011,22:00,,,,,23.6,92.0,1.2,0,1010,0.000,0.001,0.001,0.002,19.5,6.7,13
01/01/2011,23:00,,,,,24.9,92.7,0.0,0,1009,0.003,0.003,0.006,0.001,3.9,-4.5,16
02/01/2011,00:00,,,,,26.2,89.1,0.0,0,1009,,,,,9.7,-1.4,
02/01/2011,01:00,,,,,26.0,89.3,0.0,0,1008,0.000,0.000,0.000,0.002,15.5,5.5,13
02/01/2011,02:00,,,,,25.7,90.3,0.5,0,1007,0.000,0.000,0.000,0.002,12.5,4.6,12
02/01/2011,03:00,,,,,25.6,90.6,0.0,0,1007,0.000,0.001,0.001,0.001,,,12
02/01/2011,04:00,,,,,25.4,91.4,0.0,0,1008,0.001,0.001,0.001,0.001,,,12
02/01/2011,05:00,,,,,24.9,91.4,0.0,35,1008,0.001,0.001,0.001,0.002,13.7,5.0,12
02/01/2011,06:00,,,,,25.3,88.1,0.0,90,1009,0.001,0.001,0.002,0.004,11.8,1.4,12
02/01/2011,07:00,,,,,26.5,83.1,0.0,407,1009,0.001,0.001,0.001,0.004,,,12
02/01/2011,08:00,,,,,27.8,75.9,0.0,701,1010,0.001,0.000,0.001,0.002,9.2,1.0,14
02/01/2011,09:00,,,,,28.3,72.9,0.0,872,1010,0.002,0.001,0.003,0.002,13.4,6.0,13
02/01/2011,10:00,,,,,28.2,72.2,0.0,1005,1010,0.002,0.000,0.002,0.001,9.3,3.0,9
02/01/2011,11:00,,,,,28.7,70.7,0.0,1056,1009,0.006,0.001,0.006,0.001,11.5,6.7,12
02/01/2011,12:00,,,,,29.2,69.1,0.0,1029,1008,0.013,0.003,0.016,0.004,13.6,6.1,14
02/01/2011,13:00,,,,,29.3,69.7,0.0,873,1008,0.016,0.004,0.020,0.007,14.2,2.4,14
02/01/2011,14:00,,,,,28.9,72.4,0.0,842,1007,0.048,0.007,0.055,0.018,14.7,0.7,16
02/01/2011,15:00,,,,,28.3,71.6,0.0,490,1007,0.039,0.007,0.045,0.021,21.9,3.8,10
02/01/2011,16:00,,,,,27.6,74.1,0.0,400,1007,0.003,0.001,0.003,0.003,15.9,4.6,9
02/01/2011,17:00,,,,,27.2,76.3,0.0,46,1007,0.004,0.002,0.005,0.002,13.0,6.9,9
02/01/2011,18:00,,,,,26.8,78.9,0.0,16,1008,0.003,0.002,0.004,0.002,3.4,-3.6,11
02/01/2011,19:00,,,,,26.2,82.7,0.0,0,1008,0.002,0.001,0.003,0.001,6.7,0.1,10
02/01/2011,20:00,,,,,25.5,84.6,0.0,0,1008,0.001,0.002,0.003,0.001,10.4,5.0,9
02/01/2011,21:00,,,,,25.3,85.3,0.0,0,1009,0.001,0.001,0.002,0.002,,,12
02/01/2011,22:00,,,,,25.0,86.2,0.0,0,1009,0.001,0.000,0.001,0.001,12.9,8.2,10
02/01/2011,23:00,,,,,25.0,86.1,0.0,0,1008,0.000,0.000,0.000,0.001,11.4,4.7,10
03/01/2011,00:00,,,,,25.0,85.0,0.0,0,1008,,,,,5.5,-1.8,
03/01/2011,01:00,,,,,24.7,85.7,0.0,0,1007,0.000,0.000,0.000,0.002,10.4,4.0,10
03/01/2011,02:00,,,,,24.3,87.0,0.0,0,1006,0.000,0.000,0.000,0.001,6.3,-0.9,10
03/01/2011,03:00,,,,,24.2,86.5,0.0,0,1006,0.000,0.000,0.000,0.001,6.3,-0.8,11
03/01/2011,04:00,,,,,24.0,86.8,0.0,0,1006,0.001,0.001,0.001,0.001,8.5,1.4,10
03/01/2011,05:00,,,,,23.8,86.9,0.0,26,1006,0.002,0.002,0.004,0.001,6.3,-0.2,10
03/01/2011,06:00,,,,,24.9,82.2,0.0,186,1006,0.001,0.001,0.002,0.001,13.0,7.0,9
03/01/2011,07:00,,,,,26.4,74.0,0.0,437,1007,0.002,0.001,0.002,0.001,10.2,4.1,8
03/01/2011,08:00,,,,,27.5,69.5,0.0,628,1007,0.003,0.002,0.004,0.006,4.8,-1.4,9
03/01/2011,09:00,,,,,28.0,70.0,0.0,809,1007,0.003,0.001,0.004,0.004,16.2,9.2,10
03/01/2011,10:00,,,,,28.7,67.3,0.0,960,1007,0.005,0.002,0.006,0.004,13.7,5.6,13
03/01/2011,11:00,,,,,28.9,66.3,0.0,1086,1006,0.003,0.001,0.004,0.002,16.5,4.6,11
03/01/2011,12:00,,,,,28.5,70.7,1.8,651,1006,0.001,0.001,0.002,0.002,11.8,6.3,14
03/01/2011,13:00,,,,,27.4,79.5,0.4,685,1005,0.003,0.001,0.004,0.002,14.3,3.8,15
03/01/2011,14:00,,,,,27.0,78.0,0.0,64,1005,0.003,0.002,0.005,0.002,10.0,2.3,12
03/01/2011,15:00,,,,,27.0,77.8,0.0,268,1004,0.003,0.002,0.005,0.002,6.9,1.6,11
03/01/2011,16:00,,,,,27.6,73.9,0.0,443,1003,0.002,0.001,0.002,0.002,11.6,6.7,11
03/01/2011,17:00,,,,,27.6,73.7,0.0,195,1003,0.002,0.001,0.003,0.002,8.0,2.8,11
03/01/2011,18:00,,,,,27.0,76.2,0.0,20,1004,0.002,0.002,0.003,0.002,5.9,0.8,11
03/01/2011,19:00,,,,,26.4,78.0,0.0,0,1005,0.002,0.002,0.004,0.002,11.4,6.7,11
03/01/2011,20:00,,,,,25.9,82.6,0.0,0,1006,0.003,0.004,0.007,0.001,10.6,4.0,12
03/01/2011,21:00,,,,,25.3,86.6,0.0,0,1006,0.003,0.005,0.008,0.001,4.8,-1.5,12
03/01/2011,22:00,,,,,25.0,88.0,0.0,0,1006,0.002,0.006,0.008,0.001,7.5,2.6,13
03/01/2011,23:00,,,,,24.7,89.5,0.0,0,1006,0.001,0.005,0.006,0.001,9.6,3.4,13
04/01/2011,00:00,,,,,24.7,87.2,0.0,0,1005,,,,,11.0,4.9,
04/01/2011,01:00,,,,,24.0,84.0,0.0,0,1005,0.000,0.001,0.001,0.002,3.6,-2.6,9
04/01/2011,02:00,,,,,22.2,88.0,1.4,0,1004,0.000,0.001,0.001,0.002,,,9
04/01/2011,03:00,,,,,21.4,91.6,0.0,0,1005,0.000,0.001,0.001,0.002,3.5,-1.5,11
04/01/2011,04:00,,,,,21.5,90.5,0.0,0,1005,0.000,0.001,0.001,0.001,6.7,1.9,11
04/01/2011,05:00,,,,,21.8,88.3,0.0,13,1005,0.004,0.005,0.008,0.002,8.4,4.0,10
04/01/2011,06:00,,,,,23.3,83.8,0.0,188,1005,0.008,0.007,0.015,0.002,13.3,7.7,12
04/01/2011,07:00,,,,,25.1,77.7,0.0,426,1006,0.005,0.003,0.007,0.001,13.3,7.1,12
04/01/2011,08:00,,,,,26.5,70.7,0.0,568,1005,0.005,0.004,0.009,0.006,9.7,3.5,13
04/01/2011,09:00,,,,,27.4,67.2,0.0,881,1005,0.008,0.009,0.017,0.010,13.9,6.4,21
04/01/2011,10:00,,,,,27.9,64.9,0.0,897,1005,0.007,0.007,0.014,0.006,34.9,11.2,23
04/01/2011,11:00,,,,,28.6,60.0,0.0,1034,1004,0.005,0.003,0.007,0.003,31.9,9.0,16
