Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
01/01/2011,00:00,204,1.3,7.1,21.7,0.003,0.004,0.010,0.001,17.0,5.9,1.5,2.7,3.6,1.0
01/01/2011,01:00,213,0.7,52.9,21.8,0.002,0.005,0.010,0.001,16.7,7.0,1.3,3.0,3.0,1.8
01/01/2011,02:00,175,1.5,15.2,22.0,0.005,0.004,0.009,0.001,17.2,5.6,1.3,2.4,3.3,1.9
01/01/2011,03:00,152,2.3,10.8,22.7,0.011,0.002,0.003,0.001,14.2,3.1,1.4,1.7,1.6,1.6
01/01/2011,04:00,155,2.1,14.0,21.9,0.011,0.004,0.003,0.001,16.4,4.7,1.4,2.2,5.2,1.1
01/01/2011,05:00,160,2.3,9.5,22.0,0.011,0.003,0.003,0.001,13.5,2.9,1.2,1.9,2.2,0.9
01/01/2011,06:00,176,2.3,7.8,22.1,0.011,0.003,0.003,0.001,15.4,5.9,1.0,1.8,2.2,1.3
01/01/2011,07:00,175,2.6,5.6,22.7,0.010,0.003,0.003,0.001,12.0,4.4,1.2,1.6,1.5,1.2
01/01/2011,08:00,177,2.7,9.6,23.1,0.012,0.003,0.003,0.001,10.2,4.0,1.1,2.0,2.1,1.5
01/01/2011,09:00,146,2.6,15.2,23.9,0.010,0.003,0.004,0.001,8.7,3.2,0.9,1.4,2.1,1.3
01/01/2011,10:00,127,3.4,7.9,25.5,0.012,0.002,0.002,0.001,8.5,2.6,1.2,1.4,1.7,1.9
01/01/2011,11:00,126,3.8,7.2,26.1,0.014,0.001,0.002,0.001,11.3,3.1,1.2,1.6,4.0,2.2
01/01/2011,12:00,129,3.7,11.5,25.9,0.014,0.002,0.000,0.001,4.2,0.9,1.4,1.6,3.6,2.9
01/01/2011,13:00,133,3.1,12.0,24.4,0.013,0.003,0.003,0.001,2.5,0.0,0.7,1.7,3.3,1.9
01/01/2011,14:00,118,3.1,8.6,24.3,0.011,0.003,0.003,0.001,4.1,0.6,1.2,1.9,1.8,1.6
01/01/2011,15:00,120,2.3,11.4,24.1,0.008,0.002,0.003,0.001,5.2,0.6,1.7,2.0,2.6,1.4
01/01/2011,16:00,122,1.6,16.7,24.2,0.007,0.002,0.003,0.001,7.8,3.3,1.3,2.0,2.3,2.3
01/01/2011,17:00,90,1.7,11.4,24.6,0.005,0.002,0.002,0.001,13.0,5.4,1.3,1.6,2.7,1.4
01/01/2011,18:00,79,2.3,20.2,24.5,0.004,0.003,0.002,0.001,16.4,6.2,1.3,1.6,3.0,1.3
01/01/2011,19:00,75,2.7,5.0,24.3,0.004,0.003,0.003,0.000,15.6,5.0,1.1,1.8,3.2,0.8
01/01/2011,20:00,77,2.3,5.7,24.1,0.003,0.003,0.001,0.000,13.3,3.6,0.9,2.3,3.2,1.1
01/01/2011,21:00,78,2.6,3.3,24.0,0.002,0.002,0.001,0.000,15.9,4.7,1.0,1.9,3.6,0.5
01/01/2011,22:00,76,1.7,5.4,23.9,0.003,0.002,0.001,0.001,12.6,3.9,0.7,1.5,2.7,0.4
01/01/2011,23:00,77,0.9,88.9,23.5,0.003,0.002,0.001,0.001,4.9,-0.1,0.5,2.0,2.7,1.5
02/01/2011,00:00,175,0.3,60.5,23.1,0.003,0.002,0.001,0.001,5.8,1.1,0.8,1.9,3.8,0.4
02/01/2011,01:00,107,0.6,19.0,22.6,0.002,0.002,0.001,0.001,20.9,1.8,1.0,2.2,3.5,1.3
02/01/2011,02:00,127,0.8,27.6,23.1,0.003,0.003,0.001,0.001,7.4,5.4,0.5,2.2,,0.7
02/01/2011,03:00,72,0.7,69.9,23.0,0.003,0.001,0.000,0.001,5.9,2.6,0.7,1.7,3.5,1.4
02/01/2011,04:00,63,0.8,27.3,23.3,0.003,0.003,0.000,0.001,10.2,4.5,0.4,1.6,2.5,0.0
02/01/2011,05:00,110,0.7,22.2,23.5,0.002,0.006,0.000,0.000,13.5,5.1,1.1,2.2,3.4,0.2
02/01/2011,06:00,73,2.1,7.0,25.0,0.006,0.003,0.000,0.001,17.3,7.7,0.8,2.0,1.3,1.4
02/01/2011,07:00,71,2.6,13.6,26.9,0.007,0.001,0.000,0.001,,0.9,0.6,1.5,1.7,1.1
02/01/2011,08:00,50,2.0,19.3,27.6,0.006,0.001,0.000,0.001,3.9,2.0,1.1,1.3,1.5,1.3
02/01/2011,09:00,52,2.4,16.7,29.0,0.006,0.000,0.000,0.001,9.5,4.3,0.9,1.5,1.9,1.9
02/01/2011,10:00,75,2.8,17.4,27.7,0.007,0.002,0.000,0.001,8.3,2.8,1.3,1.3,2.3,2.3
02/01/2011,11:00,65,3.2,12.4,28.9,0.007,0.001,0.000,0.001,8.7,4.3,1.3,1.3,2.0,3.6
02/01/2011,12:00,64,3.4,14.9,30.1,0.009,0.001,0.000,0.001,10.4,3.7,1.6,1.8,2.5,2.8
02/01/2011,13:00,69,3.8,17.9,30.6,0.008,0.000,0.000,0.000,8.8,3.1,1.2,1.4,2.3,2.9
02/01/2011,14:00,63,4.2,13.6,30.4,0.006,0.001,0.000,0.001,8.4,3.3,1.2,1.4,2.1,3.2
02/01/2011,15:00,75,3.6,12.3,29.5,0.007,0.001,0.000,0.001,8.0,3.0,1.6,1.6,2.9,2.4
02/01/2011,16:00,68,3.1,8.8,28.1,0.009,0.001,0.000,0.001,9.3,3.0,1.4,1.7,2.3,2.8
02/01/2011,17:00,54,2.7,10.2,27.0,0.006,0.001,0.000,0.001,8.7,3.0,1.4,1.7,3.1,2.5
02/01/2011,18:00,80,1.8,7.9,25.8,0.005,0.002,0.001,0.001,8.7,4.0,1.2,2.3,3.3,1.9
02/01/2011,19:00,79,1.2,16.1,24.4,0.004,0.003,0.001,0.001,9.8,4.3,1.0,1.3,2.8,1.3
02/01/2011,20:00,89,1.2,14.5,23.7,0.001,0.003,0.002,0.001,6.4,2.4,1.2,2.1,3.4,2.4
02/01/2011,21:00,61,0.6,61.5,23.2,0.001,0.003,0.003,0.000,8.7,3.1,1.5,2.6,4.1,0.6
02/01/2011,22:00,76,1.5,6.9,23.0,0.002,0.002,0.003,0.001,12.9,3.5,1.0,2.3,3.5,1.1
02/01/2011,23:00,88,0.8,70.7,23.0,0.002,0.003,0.003,0.001,,1.3,0.9,1.7,3.3,1.7
03/01/2011,00:00,194,0.3,78.6,22.8,0.000,0.003,0.003,0.001,12.8,1.8,1.2,2.1,3.7,1.5
03/01/2011,01:00,228,0.4,67.9,22.8,0.000,0.002,0.004,0.001,0.2,0.4,1.2,2.8,4.2,1.4
03/01/2011,02:00,236,0.4,68.0,22.7,0.000,0.007,0.005,0.001,,3.7,0.7,2.5,3.4,0.9
03/01/2011,03:00,162,0.6,25.2,22.3,0.001,0.008,0.005,0.001,,1.5,0.6,2.9,4.0,0.8
03/01/2011,04:00,186,0.4,55.8,22.8,0.001,0.004,0.004,0.001,,5.8,0.9,1.9,3.0,1.3
03/01/2011,05:00,190,0.3,74.2,22.8,0.001,0.007,0.004,0.001,7.8,5.1,0.5,2.6,3.3,1.0
03/01/2011,06:00,206,1.0,13.1,23.8,0.000,0.011,0.006,0.001,25.3,10.7,1.5,2.9,4.2,1.9
03/01/2011,07:00,208,1.3,22.3,26.9,0.004,0.006,0.004,0.000,,5.9,1.2,2.1,3.7,3.1
03/01/2011,08:00,214,1.7,22.4,29.3,0.008,0.002,0.001,0.001,,-0.5,1.2,1.4,1.8,1.5
03/01/2011,09:00,162,2.1,24.1,30.9,0.010,0.001,0.000,0.001,5.6,3.7,1.3,1.3,1.8,2.1
03/01/2011,10:00,167,1.9,30.6,31.8,0.015,0.002,0.000,0.000,5.1,3.5,1.3,1.1,6.4,2.4
03/01/2011,11:00,120,2.5,17.6,31.9,0.020,0.001,0.001,0.001,11.6,5.0,1.4,0.9,2.2,3.0
03/01/2011,12:00,112,3.1,16.1,32.7,0.020,0.000,0.000,0.001,7.9,3.8,1.2,0.8,2.4,2.7
03/01/2011,13:00,102,3.4,19.5,31.3,0.013,0.001,0.000,0.001,5.3,2.6,1.2,1.0,1.4,2.2
03/01/2011,14:00,96,3.9,10.6,28.5,0.008,0.002,0.000,0.001,7.9,2.5,1.0,1.5,1.8,2.3
03/01/2011,15:00,95,4.6,4.6,28.0,0.008,0.001,0.001,0.001,9.3,4.3,1.3,0.9,2.9,3.0
03/01/2011,16:00,101,3.9,5.4,27.9,0.006,0.002,0.000,0.001,8.6,5.0,1.0,0.9,2.4,3.0
03/01/2011,17:00,106,3.3,8.5,26.5,0.007,0.002,0.000,0.001,14.0,6.8,0.9,1.0,2.2,2.4
03/01/2011,18:00,85,2.5,10.4,25.5,0.004,0.003,0.002,0.001,14.8,7.3,0.8,1.4,3.1,2.4
