Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3)
01/01/2011,00:00,128,2.9,56.6,3.1,30.5,,7.7
01/01/2011,01:00,112,1.9,114.9,3.1,26.7,0.001,2.6
01/01/2011,02:00,7,1.3,167.6,0.6,27.2,0.000,2.1
01/01/2011,03:00,3,1.8,177.7,0.7,27.1,0.000,
01/01/2011,04:00,357,1.3,24.5,0.5,27.1,0.000,1.7
01/01/2011,05:00,354,1.2,25.4,0.6,27.4,0.000,4.7
01/01/2011,06:00,29,0.9,29.8,0.6,27.7,0.000,4.5
01/01/2011,07:00,358,0.5,167.0,0.5,28.3,0.000,6.4
01/01/2011,08:00,12,0.7,150.0,0.6,28.8,0.000,5.7
01/01/2011,09:00,345,0.8,34.0,0.3,29.1,0.000,3.4
01/01/2011,10:00,325,0.8,36.4,0.4,30.1,0.036,4.5
01/01/2011,11:00,148,0.3,87.0,0.5,31.9,0.126,30.9
01/01/2011,12:00,202,1.5,29.9,0.6,33.4,0.146,24.8
01/01/2011,13:00,199,1.9,27.2,0.9,34.4,0.045,9.6
01/01/2011,14:00,199,1.8,33.9,0.9,35.8,0.004,
01/01/2011,15:00,186,1.6,33.1,0.9,36.2,0.003,4.9
01/01/2011,16:00,179,0.3,88.4,0.5,36.4,0.006,11.1
01/01/2011,17:00,185,2.8,35.2,2.2,31.8,0.003,7.9
01/01/2011,18:00,125,1.2,28.9,0.6,29.5,0.001,7.1
01/01/2011,19:00,132,0.9,41.8,0.5,30.0,0.001,5.2
01/01/2011,20:00,113,0.2,91.0,0.3,29.8,0.000,11.0
01/01/2011,21:00,59,0.7,44.2,0.5,29.8,0.000,8.1
01/01/2011,22:00,31,0.7,29.2,0.3,29.7,0.000,2.3
01/01/2011,23:00,352,0.5,181.9,0.5,29.5,0.000,4.6
02/01/2011,00:00,226,0.1,98.8,0.3,29.3,,3.2
02/01/2011,01:00,166,0.3,65.0,0.4,29.5,0.001,
02/01/2011,02:00,144,0.6,31.0,0.3,29.4,0.000,2.5
02/01/2011,03:00,150,0.9,20.3,0.4,29.3,0.000,3.4
02/01/2011,04:00,86,0.7,34.9,0.4,29.4,0.000,4.4
02/01/2011,05:00,80,0.8,31.2,0.5,29.5,0.000,4.5
02/01/2011,06:00,52,1.9,20.9,1.0,29.9,0.000,5.7
02/01/2011,07:00,52,2.5,19.2,1.2,30.3,0.000,5.6
