Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Carbon Monoxide (CO) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3)
01/01/2011,00:00,223,0.9,36.9,0.6,22.6,80.2,,,,,18.4,7.7
01/01/2011,01:00,217,0.7,41.5,0.5,22.3,80.7,0.001,0.007,0.007,0.1,14.5,4.3
01/01/2011,02:00,220,0.7,39.0,0.5,22.1,80.9,0.001,0.005,0.006,0.0,16.5,6.4
01/01/2011,03:00,225,0.8,36.9,0.5,22.1,81.0,0.001,0.005,0.006,0.0,14.3,3.7
01/01/2011,04:00,206,1.3,28.1,0.7,22.3,80.9,0.001,0.004,0.005,0.0,16.0,5.4
01/01/2011,05:00,200,1.1,27.5,0.6,22.2,81.0,0.002,0.003,0.005,0.0,12.1,1.0
01/01/2011,06:00,192,1.8,25.7,0.8,22.2,82.8,0.002,0.004,0.006,0.0,12.4,2.8
01/01/2011,07:00,195,2.1,23.1,0.9,22.0,89.4,0.002,0.003,0.004,0.0,6.7,-0.8
01/01/2011,08:00,177,2.0,25.5,0.9,22.8,90.0,0.004,0.003,0.006,0.0,6.3,1.1
01/01/2011,09:00,159,2.3,22.9,1.1,23.2,90.4,0.007,0.005,0.012,0.1,5.3,0.8
01/01/2011,10:00,142,2.4,22.7,0.9,23.7,90.8,0.010,0.005,0.015,0.1,4.0,0.1
01/01/2011,11:00,141,2.9,23.8,1.2,25.0,86.9,0.010,0.005,0.015,0.1,4.3,0.2
01/01/2011,12:00,140,3.3,22.4,1.2,25.6,83.0,0.009,0.004,0.013,0.1,4.0,1.2
01/01/2011,13:00,141,2.9,23.1,1.1,24.9,88.4,0.011,0.005,0.016,0.1,3.9,1.0
01/01/2011,14:00,146,2.6,20.5,1.0,24.1,91.6,0.012,0.006,0.017,0.1,3.1,0.7
01/01/2011,15:00,145,1.7,24.8,0.8,24.1,92.3,0.018,0.008,0.026,0.2,2.2,-1.3
01/01/2011,16:00,134,1.7,27.1,0.7,24.6,91.6,0.020,0.007,0.027,0.2,3.4,0.5
01/01/2011,17:00,88,1.3,35.8,0.7,25.1,90.7,0.019,0.006,0.025,0.3,6.4,1.1
01/01/2011,18:00,69,1.9,25.0,0.8,25.3,90.0,0.018,0.006,0.023,0.2,19.6,5.4
01/01/2011,19:00,64,1.7,19.6,0.6,25.0,90.6,0.017,0.006,0.023,0.1,23.8,5.6
01/01/2011,20:00,87,1.0,30.0,0.5,24.8,91.2,0.024,0.008,0.032,0.3,25.9,8.9
01/01/2011,21:00,105,1.1,27.8,0.5,24.4,92.7,0.020,0.006,0.026,0.2,25.7,10.4
