Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3)
1/01/2012,0:00,195,0.7,37.3,0.4,20.2,67.9,0,1012,,,,,18.6,5.5
1/01/2012,1:00,185,1,26.7,0.5,20.2,68.2,0,1012,0.011,0,0.004,0.004,18.2,6.4
1/01/2012,2:00,205,0.8,32.9,0.5,19.8,68.3,0,1011,0.012,0,0.003,0.003,16.6,5.1
1/01/2012,3:00,197,0.9,27.3,0.5,19.4,67.5,0,1011,0.014,0,0.002,0.002,14.3,2.8
1/01/2012,4:00,195,1.1,21.7,0.5,19,67.8,0,1011,0.015,0,0.001,0.001,13.8,3.2
1/01/2012,5:00,192,1.3,20.5,0.6,19.2,66.3,0,1012,0.015,0,0.001,0.001,14.2,3.9
1/01/2012,6:00,180,1.7,27.8,0.9,20.7,60.7,0,1012,0.016,0,0.001,0.001,12.1,2.5
1/01/2012,7:00,171,2.3,26.3,1.1,22.1,56.7,0,1013,0.017,0,0.002,0.002,13,2.6
1/01/2012,8:00,158,3.2,25.9,1.2,23.4,50.1,0,1013,0.021,0,0,0,15,4.5
1/01/2012,9:00,147,3,25.1,1.2,23.9,45.8,0,1013,0.022,0,0.001,0.001,14.8,4.8
1/01/2012,10:00,133,3,26.8,1.3,23.8,47.5,0,1013,0.023,0,0.001,0.001,14.8,4.9
1/01/2012,11:00,130,4.1,19.1,1.5,24.3,46.8,0,1012,0.024,0.001,0.001,0.001,14.4,2.9
1/01/2012,12:00,123,3.9,22.5,1.5,24.7,44.8,0,1012,0.023,0,0,0,14,4
1/01/2012,13:00,127,4.8,18.6,1.7,24.4,45.6,0,1012,0.021,0,0,0,10.9,2.1
1/01/2012,14:00,126,4.9,17.1,1.7,24.5,45.8,0,1011,0.02,0,0,0,11.2,2.8
1/01/2012,15:00,123,4.5,19.5,1.4,24.3,48.5,0,1011,0.018,0,0,0,7.8,0
1/01/2012,16:00,125,3.9,21.4,1.5,24.1,49.4,0,1011,0.018,0,0.001,0.001,11.5,3.8
1/01/2012,17:00,125,3.4,20.7,1.3,23.7,49.2,0,1012,0.018,0.001,0.001,0.001,8,0.4
1/01/2012,18:00,132,2.4,20.9,1,23.1,51,0,1012,0.018,0,0.002,0.002,9.8,2.6
1/01/2012,19:00,141,1.5,22,0.7,22.5,56,0,1013,0.016,0,0.003,0.003,9.7,1.5
