Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Sulfur Dioxide (SO2) (ppm),Nitrogen Dioxide (NO2) (ppm),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb),PM10 (µg/m^3)
1/01/2012,0:00,143,2.5,10.1,0.8,22.3,,,,,,,,39.5
1/01/2012,1:00,147,2.3,13.4,0.9,22.1,,,,,,,,5.6
1/01/2012,2:00,156,1.9,18.7,0.9,21.8,,,,,,,,13.1
1/01/2012,3:00,145,2.5,12.1,1,21.5,,,,,,,,42.6
1/01/2012,4:00,141,2.9,10.3,0.9,21.4,,,,,,,,27.7
1/01/2012,5:00,137,3.3,7.7,0.9,21.6,,,,,,,,29.3
1/01/2012,6:00,135,3.9,8.9,1.1,23.4,,,,,,,,51.2
1/01/2012,7:00,124,4.9,13.6,1.5,24.8,,,,,,,,31.4
1/01/2012,8:00,112,5.9,11.5,1.4,25.9,,,,,,,,16.1
1/01/2012,9:00,103,6.9,12.3,1.8,26.6,,,,,,,,15.5
1/01/2012,10:00,88,7.3,8.6,1.5,26.6,,,,,,,,18.3
1/01/2012,11:00,87,6.5,9.4,1.6,27.3,,,,,,,,20.6
1/01/2012,12:00,86,7.4,9.2,1.8,26.9,,,,,,,,32
1/01/2012,13:00,83,7.9,9.9,1.8,27.1,,,,,,,,24.3
1/01/2012,14:00,84,8.6,8.4,1.9,26.8,,,,,,,,23.5
1/01/2012,15:00,85,9,7,2,26.7,,,,,,,,18.1
1/01/2012,16:00,86,9.7,7,2,26.6,,,,,,,,19.1
1/01/2012,17:00,89,9.9,7.2,2,26.3,,,,,,,,24
1/01/2012,18:00,91,9.3,7,2,25.7,,,,,,,,32.5
1/01/2012,19:00,99,8.7,7.5,1.8,25.3,,,,,,,,32.2
1/01/2012,20:00,103,7.7,7.2,1.6,25.1,,,,,,,,20.1
1/01/2012,21:00,105,7.1,7.1,1.5,24.7,,,,,,,,24.9
1/01/2012,22:00,112,5.2,8.2,1.4,24.2,,,,,,,,19.3
1/01/2012,23:00,121,3.8,10.4,0.9,23.4,,,,,,,,19.5
2/01/2012,0:00,134,2.7,10.1,1,22.5,,,,,,,,131.4
2/01/2012,1:00,151,2.1,14.5,0.7,21.8,,,,,,,,84.4
2/01/2012,2:00,153,2.3,11.8,0.8,21.5,,,,,,,,5.3
2/01/2012,3:00,155,2.1,15.5,0.8,21.3,,,,,,,,12.3
2/01/2012,4:00,159,1.9,13.6,0.8,21,,,,,,,,15.8
2/01/2012,5:00,168,1.6,17.8,0.7,21.3,,,,,,,,17.3
2/01/2012,6:00,156,2.1,25.5,1.1,23.6,,,,,,,,23.3
2/01/2012,7:00,134,4.2,12.5,1.4,24.5,,,,,,,,72.9
2/01/2012,8:00,107,7,10.1,1.8,25.8,,,,,,,,19.7
2/01/2012,9:00,97,7.1,11,1.6,26.7,,,,,,,,12
2/01/2012,10:00,91,7.1,10.1,2,27.5,,,,,,,,10.2
2/01/2012,11:00,83,7.2,11.4,1.9,27.5,,,,,,,,38.3
2/01/2012,12:00,83,8.3,9.9,2,27.4,,,,,,,,25.6
2/01/2012,13:00,84,9,9.1,2.1,27.7,,,,,,,,28.9
2/01/2012,14:00,83,9.6,9.2,2.2,27.4,,,,,,,,40
2/01/2012,15:00,83,9.8,8.4,2.1,27.2,,,,,,,,28.3
2/01/2012,16:00,86,9.7,7.6,2.1,26.8,,,,,,,,38.4
2/01/2012,17:00,86,10.3,7.2,2,26.3,,,,,,,,27.2
2/01/2012,18:00,91,9.1,7.5,1.8,25.8,,,,,,,,27.2
2/01/2012,19:00,96,8.2,7.7,1.7,25.5,,,,,,,,36.4
2/01/2012,20:00,98,7.8,6.7,1.7,25.3,,,,,,,,35.8
