Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (µg/m^3),Visibility-reducing particles (Mm^-1)
1/01/2012,0:00,160,1.3,16.7,0.4,23.2,9.7,
1/01/2012,1:00,170,1.2,17.9,0.4,22.7,14.3,21
1/01/2012,2:00,156,1.7,19.8,0.7,22.8,18.5,27
1/01/2012,3:00,145,2,14.5,0.6,22.8,17.7,27
1/01/2012,4:00,157,2,16,0.8,22.3,15.6,27
1/01/2012,5:00,166,1.3,18.4,0.5,21.6,15.2,25
1/01/2012,6:00,156,1.8,18.8,0.7,24.8,19.2,25
1/01/2012,7:00,148,2.6,19.2,1,27,20.6,25
1/01/2012,8:00,137,3.1,19.6,1.1,28.3,19.7,22
1/01/2012,9:00,118,3.6,20.6,1.3,28.9,19.6,21
1/01/2012,10:00,103,3.5,19.9,1.2,30,25.7,17
1/01/2012,11:00,95,3.5,22.3,1.2,30.2,17.6,16
1/01/2012,12:00,82,3.6,23,1.2,30.4,25.1,16
1/01/2012,13:00,80,4.5,20.5,1.5,30,19.6,17
1/01/2012,14:00,83,4.7,16.1,1.4,29.6,13.5,16
1/01/2012,15:00,88,5,15.6,1.5,29.8,18.5,15
1/01/2012,16:00,85,4.9,16.2,1.5,29.1,20.3,17
1/01/2012,17:00,86,4.5,15.7,1.4,28.1,16.5,17
1/01/2012,18:00,85,4.2,15.7,1.5,27.3,16.3,18
1/01/2012,19:00,91,3.6,14,1,26.6,18,19
1/01/2012,20:00,94,3.7,13.7,1,26.2,11.1,18
1/01/2012,21:00,98,3.3,13.4,1,26,15.8,17
1/01/2012,22:00,99,3,13.3,0.9,25.6,20.9,18
1/01/2012,23:00,103,2.4,18.6,0.8,25,15.3,20
2/01/2012,0:00,185,0.8,49.4,0.5,23,13.7,
2/01/2012,1:00,236,0.8,23.1,0.3,21.5,13.7,23
2/01/2012,2:00,240,0.5,31.6,0.3,20.9,30.4,89
2/01/2012,3:00,230,0.7,23.6,0.3,20.5,35.5,84
2/01/2012,4:00,186,1,24.7,0.4,20.5,21.5,39
