Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),Carbon Monoxide (CO) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
1/01/2012,0:00,172,2,12.9,0.6,20.4,74.6,,,,,,118.5,102.2,
1/01/2012,1:00,162,2.6,12.5,0.7,20.2,73.8,0,0.01,0.01,0.002,0.8,149.7,131.5,396
1/01/2012,2:00,162,2.6,12.8,0.8,20.1,74.3,0,0.005,0.005,0.002,0.4,121.6,104.1,184
1/01/2012,3:00,157,2.7,11.3,0.7,19.8,74.5,0,0.008,0.008,0.002,0.5,54.4,39.5,402
1/01/2012,4:00,162,2.1,12.4,0.5,19.6,74.9,0.001,0.018,0.019,0.003,1.2,225.3,203,773
1/01/2012,5:00,159,2.4,12.8,0.6,19.6,74.7,0.001,0.006,0.007,0.002,0.5,196.4,174.7,291
1/01/2012,6:00,159,2.8,13.2,0.8,22,66.2,0.001,0.003,0.003,0.002,0.2,97.4,78.4,128
1/01/2012,7:00,148,2.9,17.1,0.9,24.2,57.6,0,0.001,0.001,0.001,0,34.5,19,16
1/01/2012,8:00,153,3.1,16.4,1.1,25.4,54.3,0,0,0,0.001,0,18.5,4.4,12
1/01/2012,9:00,146,2.9,25.2,1,26.3,51,0.001,0,0.001,0.001,0,24.3,9.3,12
1/01/2012,10:00,133,3,22.2,1.1,27.8,47.1,0.001,0.001,0.001,0.001,0,20.4,7.9,12
1/01/2012,11:00,95,3.1,26.3,1.2,27.1,50.6,0.001,0,0.001,0.001,0,22.8,9.8,12
1/01/2012,12:00,75,4,18.3,1.5,25.6,58.3,0,0,0,0.001,0,25,10,13
1/01/2012,13:00,71,5.5,14.3,1.5,25,61.1,0,0,0,0.001,0,22.4,3.9,13
1/01/2012,14:00,80,5.5,17,1.8,25.5,59,0,0,0,0.001,0,21.8,3.4,12
1/01/2012,15:00,75,5.2,16.9,1.8,25.3,58.9,0.001,0,0.001,0.001,0,18.4,2.5,12
1/01/2012,16:00,80,5.2,15.8,1.7,25.1,58.4,0,0,0,0.001,0,17.6,1.1,12
1/01/2012,17:00,93,4.7,19.2,1.8,24.9,58.4,0,0,0,0.001,0,23.3,7,12
1/01/2012,18:00,105,3.7,21.5,1.6,23.8,64.2,0,0,0,0.001,0,19.1,2.2,13
1/01/2012,19:00,131,2.2,25.9,1,23.1,65.4,0,0,0,0.001,0,16.7,-0.6,14
1/01/2012,20:00,141,1.7,17.9,0.7,22.5,65.4,0,0,0,0.001,0,16.3,1.8,13
1/01/2012,21:00,142,1.6,15.5,0.6,22,67.3,0,0,0,0.001,0,16.8,3.3,13
1/01/2012,22:00,177,1.1,22.5,0.3,21.3,70.7,0,0.001,0.001,0.001,0,14.9,0.8,14
1/01/2012,23:00,171,1.7,13.5,0.5,20.6,71.1,0,0.002,0.002,0.001,0.1,26.1,11.4,56
2/01/2012,0:00,167,1.7,14.1,0.5,20.2,70.5,,,,,,40.3,26.1,
2/01/2012,1:00,176,1.4,13.4,0.4,19.9,72,0.002,0.027,0.029,0.004,2.2,199.8,179.4,949
2/01/2012,2:00,177,1.7,13.7,0.4,19.7,72.9,0.001,0.024,0.025,0.004,2,366,336.8,967
2/01/2012,3:00,171,2.2,12.1,0.6,19.5,74.2,0.001,0.022,0.023,0.004,1.5,342.7,317,911
2/01/2012,4:00,173,2.2,13.5,0.7,19.3,75.8,0.001,0.021,0.022,0.004,1.7,279,256,849
2/01/2012,5:00,201,1.3,18.2,0.5,18.8,78.4,0.001,0.011,0.012,0.003,0.9,257.1,236.5,426
2/01/2012,6:00,178,2.2,18.6,0.7,20.9,72,0.001,0.004,0.004,0.002,0.5,79,63.8,229
2/01/2012,7:00,149,3.5,14.1,1,23.8,61.1,0.001,0.002,0.003,0.002,0.1,81.1,66.2,68
2/01/2012,8:00,148,3.3,15.1,1,25.6,54.6,0.001,0,0.001,0.001,0,25.2,13.5,23
2/01/2012,9:00,115,2.8,33.5,1.2,26.8,49.5,0.001,0.001,0.001,0.001,0,16.9,5.9,11
2/01/2012,10:00,84,3.5,20.1,1.3,26.7,49.5,0.001,0,0.001,0.001,0,14.3,4,8
2/01/2012,11:00,79,4.4,20.3,1.5,26.4,53.7,0.001,0,0.001,0.001,0,19.1,9.1,9
2/01/2012,12:00,75,5.1,16.4,1.6,26.6,53.2,0,0.001,0.001,0,0,13.9,0.9,9
2/01/2012,13:00,77,5.5,15.7,1.8,26.6,54.1,0.001,0,0.001,0.001,0,22.8,8.1,10
