Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC)
1/01/2012,0:00,,0,25,0,17.5
1/01/2012,1:00,,0,37.6,0,16.9
1/01/2012,2:00,,0,10,0,16.3
1/01/2012,3:00,271,0.2,54.2,0.3,15.1
1/01/2012,4:00,294,0.2,133.2,0.4,13.7
1/01/2012,5:00,286,0.3,119.4,0.5,16.3
1/01/2012,6:00,158,3.9,16.3,1.8,19.8
1/01/2012,7:00,163,5.4,18.6,1.6,21.5
1/01/2012,8:00,152,4.5,25.8,1.5,23.3
1/01/2012,9:00,144,4.2,21.1,1.8,24.5
1/01/2012,10:00,145,4.3,28.5,1.7,26.2
1/01/2012,11:00,145,5.4,22.1,2.1,26.5
1/01/2012,12:00,147,6.1,23,2.3,27.2
1/01/2012,13:00,131,6.5,19.6,2,27.7
1/01/2012,14:00,135,6.4,16.4,1.7,27.6
1/01/2012,15:00,128,5.7,21.5,1.8,27.5
1/01/2012,16:00,121,6.2,17.2,1.6,26.6
1/01/2012,17:00,112,7.6,11.4,1.7,24.3
1/01/2012,18:00,106,6.2,10.8,1.6,21.8
1/01/2012,19:00,101,5.3,12.1,1.6,20.3
1/01/2012,20:00,92,2.4,11.2,0.7,18.7
1/01/2012,21:00,109,0.1,35.3,0.3,16.6
1/01/2012,22:00,,0,14.2,0,14.8
1/01/2012,23:00,,0,7.7,0,13.7
2/01/2012,0:00,,0,16.3,0,14.3
2/01/2012,1:00,242,0.4,94.4,0.5,14.5
2/01/2012,2:00,283,1.4,12.4,1.1,13.3
2/01/2012,3:00,294,1.3,23.1,1.2,12.5
2/01/2012,4:00,289,2.5,7.9,0.6,11.9
2/01/2012,5:00,278,2.4,8.8,0.8,13.3
2/01/2012,6:00,268,1,58.5,0.9,17.4
2/01/2012,7:00,145,5,20.9,1.5,21.5
2/01/2012,8:00,129,4.6,20.5,1.7,23.4
2/01/2012,9:00,138,4.1,24.6,1.7,24.8
2/01/2012,10:00,135,3.6,36.5,1.6,26.5
2/01/2012,11:00,138,3.8,33.4,2.1,27.5
2/01/2012,12:00,129,3.3,43.1,1.8,28.5
2/01/2012,13:00,129,4.1,31.9,1.8,29.2
2/01/2012,14:00,109,3.7,40.5,1.9,29.5
2/01/2012,15:00,99,5.3,21.9,1.6,28.9
2/01/2012,16:00,99,4.9,17.2,1.5,27.8
2/01/2012,17:00,79,6,13.6,1.4,25.8
2/01/2012,18:00,76,4.7,13.7,1.4,22.7
2/01/2012,19:00,90,4.1,9.7,1.3,20.7
2/01/2012,20:00,111,1.9,13.8,0.7,19.5
2/01/2012,21:00,99,2.5,11.3,1.1,19.3
2/01/2012,22:00,119,0.9,10.4,0.7,18.8
2/01/2012,23:00,133,1.9,8.4,0.6,18.5
3/01/2012,0:00,152,1.9,12.1,0.4,17.9
3/01/2012,1:00,154,1.9,8.7,0.5,17.5
3/01/2012,2:00,153,1.7,9.8,0.5,17.5
3/01/2012,3:00,135,0.4,46,0.6,15.7
3/01/2012,4:00,271,0.1,112.5,0.2,14
3/01/2012,5:00,296,0.4,29.9,0.5,15.3
3/01/2012,6:00,155,1.6,39.7,1.4,19.9
3/01/2012,7:00,140,3.7,24.7,1.5,22.3
3/01/2012,8:00,114,2.9,36.1,2.1,24
3/01/2012,9:00,130,3.8,27.5,1.5,25.2
3/01/2012,10:00,135,2.7,43,1.6,25.9
3/01/2012,11:00,106,2.6,37.8,1.5,28.8
3/01/2012,12:00,118,2.5,50.1,1.7,29.1
3/01/2012,13:00,115,3.5,34,1.8,28.6
3/01/2012,14:00,122,3.4,35,1.9,29.4
3/01/2012,15:00,103,4.4,24.3,1.6,29.2
3/01/2012,16:00,102,5.3,15.4,1.2,28.1
3/01/2012,17:00,99,6.3,12.7,1.5,25.9
3/01/2012,18:00,98,5.7,10.8,1.4,22.9
3/01/2012,19:00,100,4.6,9.6,1,20.9
3/01/2012,20:00,120,3.2,19.2,0.9,19.6
3/01/2012,21:00,140,2.8,7.5,0.5,18.8
3/01/2012,22:00,155,2.3,3.7,0.4,18.1
3/01/2012,23:00,160,2,6.2,0.5,18.4
4/01/2012,0:00,163,0.1,55.2,0.3,18
4/01/2012,1:00,300,0.8,48.6,0.7,16.4
4/01/2012,2:00,271,0.2,13.6,0.5,15.2
4/01/2012,3:00,,0,9.3,0,14
4/01/2012,4:00,294,0.3,119.5,0.6,13.2
4/01/2012,5:00,281,1.3,4.6,1.2,15.5
4/01/2012,6:00,270,1.2,26,1.1,19.9
4/01/2012,7:00,56,0.5,72.3,1,23.8
4/01/2012,8:00,61,1,64.2,1.2,25.9
4/01/2012,9:00,64,1.4,64.2,1.5,26.8
4/01/2012,10:00,26,1.6,59,1.4,28
4/01/2012,11:00,348,1,159,1.2,29.4
4/01/2012,12:00,92,1.9,55.6,1.4,30.6
4/01/2012,13:00,92,1.5,64.5,1.5,32
4/01/2012,14:00,93,1.5,57,1.5,32.1
4/01/2012,15:00,91,1.2,64.5,1.4,32.8
4/01/2012,16:00,96,2.3,29.8,1.2,31.6
4/01/2012,17:00,86,3.2,14.1,1.4,29.7
4/01/2012,18:00,78,4.5,10,1.4,26.1
4/01/2012,19:00,122,3,15.3,0.6,23.9
4/01/2012,20:00,157,4.9,9.8,1,22.1
4/01/2012,21:00,151,3.2,9.6,0.9,21.7
4/01/2012,22:00,159,2.2,11.3,1.6,20.8
4/01/2012,23:00,,0,35.2,0.1,20.2
5/01/2012,0:00,172,1,17.8,0.8,20.3
5/01/2012,1:00,149,2.1,13.2,0.7,19.9
5/01/2012,2:00,142,0.7,45.5,0.8,18.8
5/01/2012,3:00,136,0.2,45.1,0.4,17.4
5/01/2012,4:00,157,1.7,14.6,1,17.7
5/01/2012,5:00,167,2.4,14.2,0.8,18.9
5/01/2012,6:00,159,4.4,10.3,1,20.6
5/01/2012,7:00,167,0.9,44.6,1,22.2
5/01/2012,8:00,174,1.1,47.8,1.1,24.3
5/01/2012,9:00,134,2.9,24.9,1.5,24.8
5/01/2012,10:00,139,3.7,23.9,1.4,25.7
5/01/2012,11:00,157,4.1,26.9,1.8,27.5
5/01/2012,12:00,125,3.3,43.2,2,29.6
5/01/2012,13:00,108,3.1,31.9,1.7,29.5
5/01/2012,14:00,103,5,19.9,1.4,28.4
5/01/2012,15:00,87,5.7,13,1.4,27.9
5/01/2012,16:00,93,6.6,13.2,1.5,26
5/01/2012,17:00,97,6.2,12.1,1.3,24.2
5/01/2012,18:00,102,4.5,11.8,1.2,22.9
5/01/2012,19:00,112,3.1,14.5,1.1,21.9
5/01/2012,20:00,113,2.3,11.7,0.9,21.3
5/01/2012,21:00,123,1.3,7,0.7,20.7
5/01/2012,22:00,122,1.4,15.8,0.7,20.3
5/01/2012,23:00,159,1,46.5,0.9,19.8
6/01/2012,0:00,169,0.3,35,0.5,18.7
6/01/2012,1:00,237,0.1,86,0.5,17.7
6/01/2012,2:00,297,0.1,121,0.2,16.4
6/01/2012,3:00,291,0.1,27.5,0.3,15.5
6/01/2012,4:00,288,0.2,16.5,0.5,15.1
6/01/2012,5:00,227,0.3,18.8,0.5,16.8
6/01/2012,6:00,265,0.3,28,0.5,20.4
6/01/2012,7:00,33,0.5,85.2,0.8,24.2
6/01/2012,8:00,288,0.3,146.9,1,26.3
6/01/2012,9:00,272,1.4,61.7,1.6,27.5
6/01/2012,10:00,290,2,51.8,1.7,29.2
6/01/2012,11:00,272,2.1,55,1.8,31.5
6/01/2012,12:00,266,1.7,56.1,1.6,33
6/01/2012,13:00,291,1.1,84.6,1.6,34.5
6/01/2012,14:00,42,1,143.9,1.4,33.7
6/01/2012,15:00,152,6.1,27.4,4.3,28.8
6/01/2012,16:00,150,5.9,41.8,3.3,22.8
6/01/2012,17:00,55,2.5,17.8,1,21.3
6/01/2012,18:00,65,0.1,42.5,0.4,20.7
6/01/2012,19:00,150,2.8,32.8,2.2,20.8
6/01/2012,20:00,93,2.3,28.6,1.6,19.5
6/01/2012,21:00,5,0.3,162,0.5,19.3
6/01/2012,22:00,,0,36.9,0,18.8
6/01/2012,23:00,,0,69.7,0,18.4
7/01/2012,0:00,217,0.3,82.7,0.7,17.9
7/01/2012,1:00,,0,0.8,0,18.2
7/01/2012,2:00,,0,35.2,0,18.5
7/01/2012,3:00,143,0.2,14,0.7,18.9
7/01/2012,4:00,133,0.1,40.1,0.4,19.1
7/01/2012,5:00,148,1.8,10.2,2,19.3
7/01/2012,6:00,129,2.8,10.8,1.5,19.9
7/01/2012,7:00,133,3.8,14.2,1.2,21.6
7/01/2012,8:00,95,2.6,30.9,1,22.9
7/01/2012,9:00,67,2.2,17.9,1,23.5
7/01/2012,10:00,93,3,23.4,1.2,24.8
7/01/2012,11:00,79,3.4,23.8,1.5,26.2
7/01/2012,12:00,94,3.6,14.6,1.4,27.2
7/01/2012,13:00,96,3.1,22.7,1.4,28.8
7/01/2012,14:00,84,3.9,17.2,1.8,27.8
7/01/2012,15:00,71,4.8,15.6,1.2,28.2
7/01/2012,16:00,60,3.7,17.8,1.1,28.6
7/01/2012,17:00,81,3.6,12.4,1.1,26.9
7/01/2012,18:00,93,4.4,9.8,1.1,23.9
7/01/2012,19:00,108,2.9,11,0.9,21.9
7/01/2012,20:00,111,1.9,12.8,1.1,20.7
7/01/2012,21:00,117,0.4,16.4,0.6,20.3
7/01/2012,22:00,111,0.4,7.8,0.5,19.7
7/01/2012,23:00,126,0.5,36.1,0.7,18.9
8/01/2012,0:00,154,1.2,10.5,1.1,19.1
8/01/2012,1:00,160,2.3,8.6,0.6,19.2
8/01/2012,2:00,158,1.6,8.4,0.7,19.3
8/01/2012,3:00,122,0.2,54.1,0.4,19.3
8/01/2012,4:00,129,0.1,39.7,0.1,19.5
8/01/2012,5:00,96,0.3,21.3,0.5,19.7
8/01/2012,6:00,102,0.1,12.7,0.3,20.3
8/01/2012,7:00,100,0.2,16,0.5,22
8/01/2012,8:00,85,0.9,29,0.9,24.5
8/01/2012,9:00,30,0.9,53.8,1.1,26.6
8/01/2012,10:00,70,1.3,54.5,1.4,28.8
8/01/2012,11:00,76,2.2,50.7,1.7,30.8
8/01/2012,12:00,83,2.8,42.7,1.8,32
8/01/2012,13:00,92,2.6,30.5,1.4,33.4
8/01/2012,14:00,102,3.4,23.5,1.8,33.3
8/01/2012,15:00,95,4.3,17.9,1.3,33
8/01/2012,16:00,101,4.9,14.2,1.2,32.1
8/01/2012,17:00,89,4.1,13.1,0.9,31.4
8/01/2012,18:00,93,4.7,9.3,1.3,27.7
8/01/2012,19:00,100,2,7,0.7,25.4
8/01/2012,20:00,116,2,23.1,0.6,24.1
8/01/2012,21:00,172,2.6,11.7,0.8,23.5
8/01/2012,22:00,176,3.1,8.6,0.7,22.8
8/01/2012,23:00,171,2.4,33.1,1.1,21.9
9/01/2012,0:00,180,0.3,54.5,0.7,21.3
9/01/2012,1:00,146,0.4,21.7,0.7,21.1
9/01/2012,2:00,138,0.6,42.9,0.7,20.6
9/01/2012,3:00,196,1.6,27,1.2,20.5
9/01/2012,4:00,277,0.9,22.8,1,19.8
9/01/2012,5:00,280,0.6,27.1,0.9,21.2
9/01/2012,6:00,270,0.2,39.1,0.4,24.6
9/01/2012,7:00,275,0.2,93.3,0.6,27.8
9/01/2012,8:00,274,0.2,145.1,0.7,30.4
9/01/2012,9:00,57,1.4,40,1.1,32.3
9/01/2012,10:00,336,1.7,137.5,2.2,34.4
9/01/2012,11:00,276,8.1,16.2,1.9,35.9
9/01/2012,12:00,289,8.4,15.2,2,36.7
9/01/2012,13:00,302,7.3,14.3,2.1,37.7
9/01/2012,14:00,280,6.9,18.2,1.7,38.2
9/01/2012,15:00,269,8.2,17.8,1.7,37
9/01/2012,16:00,267,7.3,13.9,1.5,36.1
9/01/2012,17:00,281,7.2,8.1,1.4,35.3
9/01/2012,18:00,283,5,6.4,1.1,33.1
9/01/2012,19:00,267,6.7,8.7,1.5,31.7
9/01/2012,20:00,271,5.6,6.1,1.1,30.1
9/01/2012,21:00,284,4.5,12.5,1.2,28.8
9/01/2012,22:00,286,3.1,23.6,1.7,26.9
9/01/2012,23:00,265,4.5,5.5,0.7,25.7
10/01/2012,0:00,271,4.3,27.9,1.5,24.9
10/01/2012,1:00,253,5.3,18.1,1.8,24.4
10/01/2012,2:00,213,2.1,16.5,1.2,23.2
10/01/2012,3:00,152,0.3,110,1,21.2
10/01/2012,4:00,348,0.1,149.5,0.3,19.2
10/01/2012,5:00,280,1.2,24.8,1.1,20.4
10/01/2012,6:00,287,2.3,15,0.8,24.2
10/01/2012,7:00,239,0.3,85.1,0.9,27.7
10/01/2012,8:00,135,0.5,73.6,0.8,30.2
10/01/2012,9:00,105,0.6,88.6,1.2,31.8
10/01/2012,10:00,360,0.8,145.4,1.3,33.4
10/01/2012,11:00,316,0.1,136,1.4,35.3
10/01/2012,12:00,311,0.5,126.1,1.6,36.5
10/01/2012,13:00,283,5.6,31,2.4,37.1
10/01/2012,14:00,274,7.9,18.3,1.9,37.1
10/01/2012,15:00,271,8.2,12,2,36.6
10/01/2012,16:00,265,7.7,14.8,1.8,35.6
10/01/2012,17:00,260,4.9,17.2,1.9,33.9
10/01/2012,18:00,91,4.4,12,1.4,28
10/01/2012,19:00,133,3.3,13.9,0.8,25.4
10/01/2012,20:00,154,3.5,10,0.7,24.1
10/01/2012,21:00,156,3.3,8.3,0.7,22.9
10/01/2012,22:00,158,1.6,12.1,0.8,22
10/01/2012,23:00,,0,42.6,0,20.6
11/01/2012,0:00,271,1.3,23,0.9,19.1
11/01/2012,1:00,279,2.9,8.2,1.3,18.4
11/01/2012,2:00,277,2.5,7.2,0.8,17
11/01/2012,3:00,292,1.7,8.3,1.3,16
11/01/2012,4:00,296,3,9,0.4,15.9
11/01/2012,5:00,302,3,9,0.7,16.6
11/01/2012,6:00,307,2.2,13.6,0.9,19.6
11/01/2012,7:00,287,1.8,22,1.2,25
11/01/2012,8:00,274,4.5,14.3,1.4,29.1
11/01/2012,9:00,268,5.7,17.3,1.9,31.4
11/01/2012,10:00,261,7.7,19.4,2.2,33
11/01/2012,11:00,267,8.8,19.7,2.2,32.4
11/01/2012,12:00,273,8.2,17,2.1,33.6
11/01/2012,13:00,284,8.5,17,2.3,34.9
11/01/2012,14:00,278,11.5,10.9,2.5,34.6
11/01/2012,15:00,274,10.8,12.6,2.3,34.2
11/01/2012,16:00,276,10.5,10.8,1.9,33.4
11/01/2012,17:00,267,9.5,11.1,1.8,32
11/01/2012,18:00,264,6.3,6.7,1.9,28.2
11/01/2012,19:00,297,4.6,18.3,0.9,25.3
11/01/2012,20:00,294,5.8,7,0.8,24.6
11/01/2012,21:00,294,4.5,6.4,1.2,23.8
11/01/2012,22:00,298,2.9,16.9,1.4,22.2
11/01/2012,23:00,287,2.8,12.7,1.7,22
12/01/2012,0:00,273,3.8,11.3,1.6,21.3
12/01/2012,1:00,290,5.2,12.3,0.6,19.6
12/01/2012,2:00,293,5.9,3.5,0.7,18.7
12/01/2012,3:00,289,5,5,0.6,18.3
12/01/2012,4:00,278,4.2,4.2,0.9,16.6
12/01/2012,5:00,271,4.4,16.8,0.7,18.6
12/01/2012,6:00,263,4.6,15.8,1.5,22
12/01/2012,7:00,242,1,70.8,1.7,24.3
12/01/2012,8:00,126,2.4,32.4,1.5,26.7
12/01/2012,9:00,125,1.4,70.5,1.4,28.4
12/01/2012,10:00,5,1.9,174.2,1.7,30.1
12/01/2012,11:00,138,1.1,77.8,1.8,31.5
12/01/2012,12:00,162,1,81.4,1.8,32.7
12/01/2012,13:00,39,0.6,149.9,1.4,34.4
12/01/2012,14:00,96,8.2,15.5,1.9,29.7
12/01/2012,15:00,99,8.2,13,1.8,27.6
12/01/2012,16:00,107,8,14.4,1.8,25.4
12/01/2012,17:00,122,8.5,10.8,1.8,23.1
12/01/2012,18:00,110,7.3,9.8,1.7,21.5
12/01/2012,19:00,110,6.2,11,1.4,20.6
12/01/2012,20:00,108,4.9,9.8,1.4,20.5
12/01/2012,21:00,106,2.9,12.7,1.5,20.2
12/01/2012,22:00,121,2.6,11.5,1.3,19.8
12/01/2012,23:00,129,2,7.6,1.2,19.2
13/01/2012,0:00,151,0.2,12.9,0.6,19
13/01/2012,1:00,154,0.3,6.6,0.7,18.5
13/01/2012,2:00,154,0.4,7.3,0.6,18.1
13/01/2012,3:00,147,0.4,9.8,0.7,18
13/01/2012,4:00,140,0.5,17.8,0.8,18
13/01/2012,5:00,109,0.3,13.8,0.6,18.6
13/01/2012,6:00,110,1.5,18.8,1.5,20.3
13/01/2012,7:00,94,3.3,19.6,1.6,22.1
13/01/2012,8:00,88,3.6,20.2,1.4,22.9
13/01/2012,9:00,80,3.5,20.1,1.3,24.3
13/01/2012,10:00,88,3.7,27.8,1.6,26.1
13/01/2012,11:00,80,3.1,34.4,1.9,27.4
13/01/2012,12:00,79,2.6,41.5,1.7,28.5
13/01/2012,13:00,112,3.2,48,2.1,28.7
13/01/2012,14:00,106,5,30.4,2.1,27.7
