Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm)
1/01/2012,0:00,220,0.5,24.5,0.3,18.5,71.6,0
1/01/2012,1:00,221,0.4,31.3,0.3,17.9,74,0
1/01/2012,2:00,196,0.5,22.9,0.3,18.3,72.8,0
1/01/2012,3:00,197,0.6,19.8,0.3,17.8,73.7,0
1/01/2012,4:00,204,0.6,17.4,0.4,17.4,75.6,0
1/01/2012,5:00,207,0.6,21.6,0.4,17.4,74.9,0
1/01/2012,6:00,207,1,22,0.6,19,69.1,0
1/01/2012,7:00,203,1.2,28.4,0.8,21,57.3,0
1/01/2012,8:00,206,1.1,35.4,0.8,22.4,50.3,0
1/01/2012,9:00,213,0.9,48.1,0.8,23.2,47,0
1/01/2012,10:00,188,0.7,52.7,0.7,24.7,42.5,0
1/01/2012,11:00,126,1,40,0.7,25,40.8,0
1/01/2012,12:00,146,0.7,54.5,0.6,25.5,38.9,0
1/01/2012,13:00,117,0.5,66,0.6,26.1,38.2,0
1/01/2012,14:00,95,0.9,52.5,0.6,26.1,39.3,0
1/01/2012,15:00,103,1.4,26.2,0.8,25.7,40.9,0
1/01/2012,16:00,101,2.3,15.5,0.8,25.2,41.8,0
1/01/2012,17:00,110,1.9,16.6,0.8,24.6,41.7,0
1/01/2012,18:00,106,1.4,17,0.6,23.2,46.5,0
1/01/2012,19:00,68,0.5,52.9,0.4,21.2,52.5,0
1/01/2012,20:00,39,0.3,127.5,0.3,20.3,57.2,0
1/01/2012,21:00,63,0.1,117.5,0.2,19.6,62.2,0
1/01/2012,22:00,221,0.5,52.2,0.4,18.4,66.8,0
1/01/2012,23:00,202,0.5,16.7,0.3,17.5,71.6,0
2/01/2012,0:00,218,0.7,16.7,0.4,17.4,71.7,0
2/01/2012,1:00,208,0.7,15.1,0.4,17.2,72.5,0
2/01/2012,2:00,202,0.7,23.8,0.3,16.7,74.4,0
2/01/2012,3:00,211,0.6,13.5,0.3,15.9,78.6,0
2/01/2012,4:00,215,1,12.9,0.4,15.6,80.2,0
2/01/2012,5:00,220,1.1,11.5,0.4,15.2,80.7,0
2/01/2012,6:00,220,1,13.5,0.4,17,75.6,0
2/01/2012,7:00,212,0.9,27.5,0.7,19.8,63.4,0
2/01/2012,8:00,208,0.9,30.4,0.6,22,52,0
2/01/2012,9:00,192,0.5,68.6,0.7,24.1,44.9,0
2/01/2012,10:00,103,0.3,93.4,0.5,25.5,41.1,0
2/01/2012,11:00,151,0.4,81.2,0.6,26,37.7,0
2/01/2012,12:00,167,0.3,83.7,0.7,26.6,36.5,0
2/01/2012,13:00,54,0.5,81.3,0.8,26.9,35.5,0
2/01/2012,14:00,80,1.5,47,1.1,27.3,38,0
2/01/2012,15:00,92,2.1,22.4,0.9,26.8,41.2,0
2/01/2012,16:00,81,2.2,22.5,0.8,26.1,43.3,0
2/01/2012,17:00,89,2.4,17.6,0.9,24.8,50,0
2/01/2012,18:00,87,2.1,15.6,0.8,23,55.3,0
2/01/2012,19:00,49,0.6,147.9,0.6,21.5,59.5,0
2/01/2012,20:00,353,0.1,152.8,0.2,20.2,65.5,0
2/01/2012,21:00,237,0.1,85.9,0.2,19.8,67.4,0
2/01/2012,22:00,248,0.3,32.1,0.2,19.3,68.4,0
2/01/2012,23:00,217,0.5,9.5,0.3,18.3,72.7,0
3/01/2012,0:00,210,0.4,20.3,0.3,17.1,77.8,0
3/01/2012,1:00,212,0.7,15.4,0.3,16.5,79.5,0
3/01/2012,2:00,218,0.8,11.3,0.3,15.7,82,0
3/01/2012,3:00,216,1,11.5,0.4,15.4,83.9,0
3/01/2012,4:00,212,0.8,13.1,0.3,15.1,84.3,0
3/01/2012,5:00,209,0.8,13,0.4,15,84.8,0
3/01/2012,6:00,199,0.8,20,0.5,16.2,81.2,0
3/01/2012,7:00,222,0.9,24.5,0.4,18.4,73.8,0
3/01/2012,8:00,226,0.5,68.9,0.6,22.5,57,0
3/01/2012,9:00,63,0.8,54.8,0.6,24.1,54.2,0
3/01/2012,10:00,61,0.6,73.1,0.6,24.8,49.8,0
3/01/2012,11:00,74,0.6,94.8,0.7,25.9,47.8,0
3/01/2012,12:00,70,1.1,43.2,0.7,26.3,45.3,0
3/01/2012,13:00,94,1.3,46.3,0.8,26.9,40.9,0
3/01/2012,14:00,87,1.5,44.3,0.9,27.7,40.4,0
3/01/2012,15:00,86,2.3,22.1,0.9,26.9,41.9,0
3/01/2012,16:00,99,2.3,17.4,0.9,26.2,44.5,0
3/01/2012,17:00,91,2.2,15.8,0.8,25.1,50.7,0
3/01/2012,18:00,84,1.4,19.1,0.7,23.4,57.5,0
3/01/2012,19:00,65,1,26.2,0.6,21.8,60.9,0
3/01/2012,20:00,354,0.7,12.4,0.2,20.5,65.6,0
3/01/2012,21:00,359,0.7,23.7,0.3,20,67.7,0
3/01/2012,22:00,34,0.1,84.6,0.1,18.9,70.8,0
3/01/2012,23:00,218,0.4,24.9,0.3,18.1,74.2,0
4/01/2012,0:00,209,0.2,25,0.1,18.3,74.2,0
4/01/2012,1:00,219,0.4,21.7,0.3,18,76.8,0
4/01/2012,2:00,222,0.4,35,0.3,17.5,79.7,0
4/01/2012,3:00,214,0.6,16.9,0.4,17,79.5,0
4/01/2012,4:00,214,0.6,18.2,0.4,16.6,82,0
4/01/2012,5:00,211,0.5,21.1,0.3,16.2,83.4,0
4/01/2012,6:00,207,0.4,24.2,0.2,18.2,74.9,0
4/01/2012,7:00,206,0.5,46.4,0.4,20.8,64.1,0
4/01/2012,8:00,301,0.3,81.7,0.4,23.1,51.6,0
4/01/2012,9:00,25,0.3,106,0.5,24.6,46,0
4/01/2012,10:00,104,0.8,57.6,0.7,25.6,43.6,0
4/01/2012,11:00,89,1.3,39.5,0.8,26.1,42.1,0
4/01/2012,12:00,45,0.6,130,0.8,27.5,40,0
4/01/2012,13:00,29,0.6,141.3,0.7,28.7,38,0
4/01/2012,14:00,60,0.9,55.1,0.7,29.7,37.5,0
4/01/2012,15:00,51,1,37.1,0.6,30.2,37,0
4/01/2012,16:00,63,1.9,25.1,0.9,29.2,39.9,0
4/01/2012,17:00,47,1.4,29.1,0.8,27.9,43,0
4/01/2012,18:00,50,1.1,24.2,0.5,25.9,50.4,0
4/01/2012,19:00,65,1.2,19.8,0.6,23.8,57,0
4/01/2012,20:00,65,1.3,21.8,0.6,22.5,59.9,0
4/01/2012,21:00,38,0.6,37.2,0.5,22.1,63.7,0
