Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),PM10 (µg/m^3),PM2.5 (µg/m^3)
1/01/2012,0:00,207,0.2,85.7,0.3,20.9,71.5,17.9,5.8
1/01/2012,1:00,159,0.3,77.8,0.4,20.6,70.7,24.7,12.2
1/01/2012,2:00,175,0.2,84.9,0.3,20.2,72.9,14.3,3.2
1/01/2012,3:00,167,0.3,73.2,0.3,19.7,73.9,18.8,4.4
1/01/2012,4:00,258,0.4,76.6,0.4,19.1,77.1,22.7,3.7
1/01/2012,5:00,239,0.3,75.9,0.4,18.9,78.5,13,2.5
1/01/2012,6:00,251,0.7,67.2,0.6,20.7,71.5,17.8,5.4
1/01/2012,7:00,152,0.6,80.2,0.7,23.6,58.7,18.3,4.7
1/01/2012,8:00,149,1,67.2,0.9,25.6,52.5,19.2,6.8
1/01/2012,9:00,130,1.5,40.3,1,26.3,50.1,14,4.2
1/01/2012,10:00,121,1.7,37.8,1,27.9,43.2,13.5,5.3
1/01/2012,11:00,125,1.8,36.8,1,27.9,42.2,12.6,3.7
1/01/2012,12:00,127,1.9,41.4,1.1,28.5,40.8,16.3,6.7
1/01/2012,13:00,126,2.1,32.4,1.2,28.2,41.1,13.5,4.8
1/01/2012,14:00,123,2.2,35,1.2,28.4,40.8,14.2,5.9
1/01/2012,15:00,120,2.2,32.4,1.1,28,43.3,11.4,2.9
1/01/2012,16:00,125,2.4,27.3,1.2,27,45.1,9.1,4.2
1/01/2012,17:00,122,2,28.4,1,25.5,50.5,10.7,3.3
1/01/2012,18:00,118,1.6,31.1,0.9,24,53.7,10.9,2.2
1/01/2012,19:00,125,1.2,28.1,0.6,23.2,57.4,8.6,1.5
1/01/2012,20:00,120,0.9,24.4,0.4,22.4,62.7,7.7,0.5
1/01/2012,21:00,122,0.8,27.6,0.4,21.8,66.7,9.5,1.5
1/01/2012,22:00,128,0.5,36.4,0.3,21.1,69.3,11.7,3.3
1/01/2012,23:00,136,0.5,38,0.3,20.6,71.1,12,5.1
