Date ,Time ,Ozone (ppm),Sulfur Dioxide (SO2) (ppm),Nitrogen Dioxide (NO2) (ppm),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
1/01/2012,0:00,,,,,,,
1/01/2012,1:00,,,,,,,
1/01/2012,2:00,,,,,,,
1/01/2012,3:00,,,,,,,
1/01/2012,4:00,,,,,,,
1/01/2012,5:00,,,,,,,
1/01/2012,6:00,,,,,,,
1/01/2012,7:00,,,,,,,
1/01/2012,8:00,,,,,,,
1/01/2012,9:00,,,,,,,
1/01/2012,10:00,,,,,,,
1/01/2012,11:00,,,,,,,
1/01/2012,12:00,,,,,,,
1/01/2012,13:00,,,,,,,
1/01/2012,14:00,,,,,,,
1/01/2012,15:00,,,,,,,
1/01/2012,16:00,,,,,,,
1/01/2012,17:00,,,,,,,
1/01/2012,18:00,,,,,,,
1/01/2012,19:00,,,,,,,
1/01/2012,20:00,,,,,,,
1/01/2012,21:00,,,,,,,
1/01/2012,22:00,,,,,,,
1/01/2012,23:00,,,,,,,
2/01/2012,0:00,,,,,,,
2/01/2012,1:00,,,,,,,
2/01/2012,2:00,,,,,,,
2/01/2012,3:00,,,,,,,
2/01/2012,4:00,,,,,,,
2/01/2012,5:00,,,,,,,
2/01/2012,6:00,,,,,,,
2/01/2012,7:00,,,,,,,
2/01/2012,8:00,,,,,,,
2/01/2012,9:00,,,,,,,
2/01/2012,10:00,,,,,,,
2/01/2012,11:00,,,,,,,
2/01/2012,12:00,,,,,,,
2/01/2012,13:00,,,,,,,
2/01/2012,14:00,,,,,,,
2/01/2012,15:00,,,,,,,
2/01/2012,16:00,,,,,,,
2/01/2012,17:00,,,,,,,
2/01/2012,18:00,,,,,,,
2/01/2012,19:00,,,,,,,
2/01/2012,20:00,,,,,,,
2/01/2012,21:00,,,,,,,
2/01/2012,22:00,,,,,,,
2/01/2012,23:00,,,,,,,
3/01/2012,0:00,,,,,,,
3/01/2012,1:00,,,,,,,
3/01/2012,2:00,,,,,,,
3/01/2012,3:00,,,,,,,
3/01/2012,4:00,,,,,,,
3/01/2012,5:00,,,,,,,
3/01/2012,6:00,,,,,,,
3/01/2012,7:00,,,,,,,
3/01/2012,8:00,,,,,,,
3/01/2012,9:00,,,,,,,
3/01/2012,10:00,,,,,,,
3/01/2012,11:00,,,,,,,
3/01/2012,12:00,,,,,,,
3/01/2012,13:00,,,,,,,
3/01/2012,14:00,,,,,,,
3/01/2012,15:00,,,,,,,
3/01/2012,16:00,,,,,,,
3/01/2012,17:00,,,,,,,
3/01/2012,18:00,,,,,,,
3/01/2012,19:00,,,,,,,
3/01/2012,20:00,,,,,,,
3/01/2012,21:00,,,,,,,
3/01/2012,22:00,,,,,,,
3/01/2012,23:00,,,,,,,
4/01/2012,0:00,,,,,,,
4/01/2012,1:00,,,,,,,
4/01/2012,2:00,,,,,,,
4/01/2012,3:00,,,,,,,
4/01/2012,4:00,,,,,,,
4/01/2012,5:00,,,,,,,
4/01/2012,6:00,,,,,,,
4/01/2012,7:00,,,,,,,
4/01/2012,8:00,,,,,,,
4/01/2012,9:00,,,,,,,
4/01/2012,10:00,,,,,,,
4/01/2012,11:00,,,,,,,
4/01/2012,12:00,,,,,,,
4/01/2012,13:00,,,,,,,
4/01/2012,14:00,,,,,,,
4/01/2012,15:00,,,,,,,
4/01/2012,16:00,,,,,,,
4/01/2012,17:00,,,,,,,
4/01/2012,18:00,,,,,,,
4/01/2012,19:00,,,,,,,
4/01/2012,20:00,,,,,,,
4/01/2012,21:00,,,,,,,
4/01/2012,22:00,,,,,,,
4/01/2012,23:00,,,,,,,
5/01/2012,0:00,,,,,,,
5/01/2012,1:00,,,,,,,
5/01/2012,2:00,,,,,,,
5/01/2012,3:00,,,,,,,
5/01/2012,4:00,,,,,,,
5/01/2012,5:00,,,,,,,
5/01/2012,6:00,,,,,,,
5/01/2012,7:00,,,,,,,
5/01/2012,8:00,,,,,,,
5/01/2012,9:00,,,,,,,
5/01/2012,10:00,0.005,0.005,0.001,,,,1.1
5/01/2012,11:00,0.01,0.005,0.001,,1,3.5,2.6
5/01/2012,12:00,0.018,0.006,0.001,,0.6,5.2,
5/01/2012,13:00,0.013,0.005,0.001,,1.1,6.1,0.8
5/01/2012,14:00,0.012,0.004,0.002,,1.8,8.3,1.1
5/01/2012,15:00,0.01,0.003,0.001,,1.3,8.3,1.8
5/01/2012,16:00,0.015,0.006,0.001,,1.5,3.1,2.1
5/01/2012,17:00,0.015,0.007,0.001,,,,
5/01/2012,18:00,0.013,0.005,0.002,,1.3,5.9,
5/01/2012,19:00,0.011,0.003,0.001,,2,5.6,3.6
5/01/2012,20:00,0.009,0.002,0,,,,
5/01/2012,21:00,0.014,0.001,0,,,,3.7
5/01/2012,22:00,0.014,0.005,0.001,,1.3,5.2,2
5/01/2012,23:00,0.01,0.009,0.004,,1.1,5.5,1.1
6/01/2012,0:00,,,,,,,
6/01/2012,1:00,,,,,,,
6/01/2012,2:00,,,,,,,
6/01/2012,3:00,0.01,0.005,0.001,,,8.9,2.6
6/01/2012,4:00,,,,,,,
6/01/2012,5:00,0.007,0.01,0.001,,2,5.5,0.6
6/01/2012,6:00,0.014,,0.002,,,,
6/01/2012,7:00,0.008,0.015,0.015,,,,1.6
6/01/2012,8:00,0.012,0.002,0.001,,1.1,5.9,1.6
6/01/2012,9:00,0.01,0.004,0.001,,1.6,6,1.4
6/01/2012,10:00,0.014,0.004,0.001,,,,
6/01/2012,11:00,0.015,0.005,0.002,,,,
6/01/2012,12:00,,0.005,,,,,
6/01/2012,13:00,,,,,,,
6/01/2012,14:00,0.015,0.005,0.002,,1.4,5.5,1.6
6/01/2012,15:00,0.007,0.005,0.001,,1.3,6,1.2
6/01/2012,16:00,0.011,0.005,0.001,,2.2,8.4,0.4
6/01/2012,17:00,0.009,0.006,0.001,,2.7,6.1,0.7
6/01/2012,18:00,0.013,0.005,0.001,,0.9,4.4,1.2
6/01/2012,19:00,0.007,0.005,0.002,,0.6,5.4,1.6
6/01/2012,20:00,0.007,0.004,0.001,,,9.3,2.3
6/01/2012,21:00,0.011,0.003,0.001,,1,6.3,2.1
6/01/2012,22:00,0.012,0.003,0.001,,1.1,5.7,2.5
6/01/2012,23:00,0.012,0.003,0.001,,0.4,3.3,1.5
7/01/2012,0:00,0.005,0.005,0.002,,1,,2.7
7/01/2012,1:00,0.009,0.006,0.001,,,4.9,1.6
7/01/2012,2:00,0.008,0.008,0.002,,,20.8,3.8
7/01/2012,3:00,0.011,0.007,0.006,,,20,2.9
7/01/2012,4:00,,,,,,,
7/01/2012,5:00,,,,,,,
7/01/2012,6:00,0.014,0.007,0.016,,,10.8,4.8
7/01/2012,7:00,0.009,0.01,0.012,,,,
7/01/2012,8:00,0.011,0.003,0.004,,,,
7/01/2012,9:00,0.008,0.003,0.001,,,,
7/01/2012,10:00,0.009,0.003,0.001,,1.2,8.2,
7/01/2012,11:00,0.012,0.002,0.001,,,,
7/01/2012,12:00,0.01,0.003,0.001,,,,
7/01/2012,13:00,0.01,0.002,0.002,,0.3,,
7/01/2012,14:00,,,,,,,
7/01/2012,15:00,0.011,0.004,0.002,,1,7.4,2.2
7/01/2012,16:00,0.009,0.005,0.002,,2,5.2,1.1
7/01/2012,17:00,0.01,0.007,0.004,,1.1,11,2.8
7/01/2012,18:00,0.009,0.007,0.004,,1.3,6.9,3.3
7/01/2012,19:00,0.008,0.01,0.008,,1,7.7,1.5
7/01/2012,20:00,0.01,0.005,0.003,,0.9,8.7,1.2
7/01/2012,21:00,0.011,0.006,0.004,,1,,1.5
7/01/2012,22:00,,,,,,,
7/01/2012,23:00,,,,,,,
8/01/2012,0:00,0.009,0.005,0.002,,1.9,4.9,1.5
8/01/2012,1:00,0.011,0.007,0.003,,1.5,9.9,1.3
8/01/2012,2:00,0.01,0.006,0.003,,1.4,4.7,3.3
8/01/2012,3:00,0.006,0.008,0.004,,1.2,7.8,1.2
8/01/2012,4:00,0.004,0.007,0.001,,1.4,10.4,3.9
8/01/2012,5:00,0.005,0.01,0,,1.1,10.4,2.2
8/01/2012,6:00,0.003,,0.003,,,,4.4
8/01/2012,7:00,0.006,0.001,0.002,,,,1.4
8/01/2012,8:00,,,0.004,,,,
8/01/2012,9:00,0.013,0.001,0.002,,1.3,,
8/01/2012,10:00,0.012,0.003,0.002,,1.1,8.8,
8/01/2012,11:00,0.008,0.002,0.003,,1.7,4.7,1.4
8/01/2012,12:00,0.01,0.004,0.003,,0.8,6.1,
8/01/2012,13:00,0.01,0.004,0.005,,,,
8/01/2012,14:00,0.01,0.005,0.002,,0.7,8.2,2.3
8/01/2012,15:00,,,,,,,
8/01/2012,16:00,,,,,,,
8/01/2012,17:00,0.009,0.001,0.002,,1.2,12.6,0.6
8/01/2012,18:00,0.005,0.003,0.001,,0.2,3.2,1.8
8/01/2012,19:00,0.006,0.003,0.001,,1.3,3.8,2.1
8/01/2012,20:00,0.008,0.005,0.002,,0.7,6.5,2
8/01/2012,21:00,0.007,0.003,0.001,,1.4,6,1.5
8/01/2012,22:00,0.006,0.003,0.001,,1.5,8.3,1.8
8/01/2012,23:00,0.009,0.002,0.001,,,,2.4
9/01/2012,0:00,0.009,0.003,0.001,,0.3,5,2.6
9/01/2012,1:00,0.012,,0.002,,0.6,6.7,2.4
9/01/2012,2:00,0.005,0.004,0.001,,1.4,5.5,
9/01/2012,3:00,,,,,,,
9/01/2012,4:00,0.01,0.003,0.003,,0.1,8.4,2
9/01/2012,5:00,0.004,0.013,0.005,,,,
9/01/2012,6:00,0.006,0.011,0.004,,,9.5,1.9
9/01/2012,7:00,0.005,0.01,0.002,,0.6,7,1.6
9/01/2012,8:00,0.01,0.007,0.002,,1.6,9.3,1.8
9/01/2012,9:00,0.008,0.006,0.003,,1,6,1.7
9/01/2012,10:00,,,,,,,
9/01/2012,11:00,,,,,,,
9/01/2012,12:00,0.012,0.007,0.006,,2.2,8.1,1
9/01/2012,13:00,0.009,0.009,0.02,,1.8,3.9,
9/01/2012,14:00,0.011,0.002,0.002,,0.7,,
9/01/2012,15:00,0.012,0.002,0.001,,,,
9/01/2012,16:00,0.01,0.001,0.002,,,6.6,2.3
9/01/2012,17:00,0.013,0.002,0.001,,1.2,2.6,2
9/01/2012,18:00,0.006,0.005,0,,1.1,7,0.4
9/01/2012,19:00,0.005,0.007,0.003,,1.1,,0.9
9/01/2012,20:00,0.006,0.008,0.002,,,,
9/01/2012,21:00,0.011,0.002,0.001,,1.3,1.1,1.9
9/01/2012,22:00,0.009,0.006,0.002,,1.1,9.2,1.1
9/01/2012,23:00,0.008,0.006,0.003,,,13,1.3
10/01/2012,0:00,0.007,0.006,0.004,,0.2,10,2.1
10/01/2012,1:00,0.009,0.01,0.001,,,3.2,3.1
10/01/2012,2:00,0.005,0.01,0.002,,0.7,13.7,2.3
10/01/2012,3:00,0.005,0.01,0.001,,2,5.2,0.9
10/01/2012,4:00,0.007,0.01,0.001,,,14.7,1.1
10/01/2012,5:00,0.003,0.012,0.001,,,,2.4
10/01/2012,6:00,0.002,0.01,0.001,,,,2
10/01/2012,7:00,0.009,0.009,0,,,,1
10/01/2012,8:00,0.007,0.007,0.001,,,,3.4
10/01/2012,9:00,0.015,0.009,0.002,,,7.6,3.2
10/01/2012,10:00,0.016,0.008,0.001,,,,2.5
10/01/2012,11:00,,,,,,,
10/01/2012,12:00,,,,,,,
10/01/2012,13:00,,,,,,,
10/01/2012,14:00,,,,,,,
10/01/2012,15:00,0.007,0.005,0.001,,0.7,8.3,0.9
10/01/2012,16:00,,,,,,,
10/01/2012,17:00,0.011,,0,,,,
10/01/2012,18:00,0.008,0.003,0.001,,0.5,9.4,1
10/01/2012,19:00,0.005,0.006,0,,,6,3.4
10/01/2012,20:00,0.006,0.008,0.001,,0.5,12.7,1.7
10/01/2012,21:00,,,,,,,
10/01/2012,22:00,,,,,,,
10/01/2012,23:00,0.003,0.006,0.003,,1.4,9.8,1.6
11/01/2012,0:00,0.008,0.008,0.001,,,10.2,1.3
11/01/2012,1:00,,,,,,,
11/01/2012,2:00,,,,,,,
11/01/2012,3:00,,,,,,,
11/01/2012,4:00,,,,,,,
11/01/2012,5:00,0.004,0.015,0.002,,,12.1,2.7
11/01/2012,6:00,0.012,,0.003,,,,
11/01/2012,7:00,0.006,0.012,0.001,,,,2.9
11/01/2012,8:00,0.01,0.008,0.001,,1.7,5.7,2.5
11/01/2012,9:00,,,,,,,
11/01/2012,10:00,0.016,0.006,0.001,,1.3,6.7,1.8
11/01/2012,11:00,0.015,0.007,0.001,,,,1.4
11/01/2012,12:00,0.008,0.004,0.002,,,,
11/01/2012,13:00,0.005,0.004,0.001,,,,
11/01/2012,14:00,0.012,0.005,0.001,,0.6,4.7,0.9
11/01/2012,15:00,0.012,0.005,0.001,,0.7,3.5,2
11/01/2012,16:00,,,,,,,
11/01/2012,17:00,,,,,,,
11/01/2012,18:00,0.009,0.002,0.002,,,8.2,2.7
11/01/2012,19:00,0.004,0.006,0.002,,1.2,7.8,0.5
11/01/2012,20:00,0.005,0.01,0.006,,0.5,7.6,1.7
11/01/2012,21:00,0.005,0.008,0.002,,,13.6,1.7
11/01/2012,22:00,0.009,0.002,0.001,,,4.8,
11/01/2012,23:00,0.006,0.005,0.001,,,5.4,
12/01/2012,0:00,0.001,0.011,0.001,,,,0.3
12/01/2012,1:00,0.003,0.01,0.001,,,,2.2
12/01/2012,2:00,,,,,1.6,11.5,
12/01/2012,3:00,,,,,,,
12/01/2012,4:00,,0.014,0.001,,,,
12/01/2012,5:00,,,,,,,
12/01/2012,6:00,,,,,,,
12/01/2012,7:00,,,,,,,
12/01/2012,8:00,,,,,,,
12/01/2012,9:00,,,,,,,
12/01/2012,10:00,0.023,0.012,0.006,,1.3,6.6,2.3
12/01/2012,11:00,,,,,,,
12/01/2012,12:00,0.027,,,,,,
12/01/2012,13:00,,,,,,,
12/01/2012,14:00,,,,,,,
12/01/2012,15:00,,,,,,,
12/01/2012,16:00,0.019,0.006,0.001,,1.8,,1
12/01/2012,17:00,0.016,0.006,0,,,,
12/01/2012,18:00,0.012,0.006,0.002,,2.9,6.8,
12/01/2012,19:00,0.017,0.005,0.001,,,,1.9
12/01/2012,20:00,0.021,0.003,0.001,,0.9,9.5,2.7
12/01/2012,21:00,0.019,0.004,0.001,,1.2,5.1,
12/01/2012,22:00,0.017,0.002,0.002,,,4,1.5
12/01/2012,23:00,0.016,0.002,0.001,,0.8,4.4,1.6
13/01/2012,0:00,0.02,0.002,0.001,,1,3.3,
13/01/2012,1:00,0.015,,0.001,,1.5,8.8,3
13/01/2012,2:00,0.015,0.002,0.001,,2.2,6.3,1.8
13/01/2012,3:00,0.012,0.009,0.003,,2.1,5.1,2.6
13/01/2012,4:00,0.01,0.003,0.002,,1.9,,2.1
13/01/2012,5:00,0.013,0.007,0.001,,0.3,5.4,2.2
13/01/2012,6:00,0.013,0.007,0.003,,1.8,5.9,1.1
13/01/2012,7:00,0.008,0.008,0.003,,,,1.6
13/01/2012,8:00,0.009,0.006,0,,,,
13/01/2012,9:00,,,,,,,
13/01/2012,10:00,0.009,0.006,0.001,,1.6,,1
13/01/2012,11:00,0.01,0.005,0.002,,0.5,5.7,
13/01/2012,12:00,0.013,0.006,0.001,,1,7.4,
13/01/2012,13:00,0.013,0.006,0.001,,0.1,6.2,
13/01/2012,14:00,0.011,0.007,0.002,,1.2,5,0.8
13/01/2012,15:00,0.013,0.005,0.001,,0.8,4.1,1.1
13/01/2012,16:00,0.01,0.004,0.001,,1.4,2.9,1.8
13/01/2012,17:00,0.016,0.007,0.001,,1.3,5,
13/01/2012,18:00,0.009,0.005,0.001,,1.7,4.4,0.9
13/01/2012,19:00,,,,,,,
13/01/2012,20:00,,,,,,,
13/01/2012,21:00,0.008,0.002,0.001,,,,
13/01/2012,22:00,0.006,0.003,0.001,,,,
13/01/2012,23:00,0.011,0.003,0.001,,1.6,1.2,1.1
14/01/2012,0:00,0.009,0.002,0.001,,1.8,4.1,1.8
14/01/2012,1:00,0.011,0.003,0.001,,0.4,2.7,3.5
14/01/2012,2:00,0.01,0.003,0.001,,,7.7,1.7
14/01/2012,3:00,0.008,0.006,0.001,,1.9,6.9,
14/01/2012,4:00,0.005,0.004,0.001,,,2.3,1.8
14/01/2012,5:00,0.008,0.004,0.001,,1.4,9.1,0.8
