Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (µg/m^3)
1/01/2012,0:00,125,1.7,12.5,0.4,20.7,23.5
1/01/2012,1:00,141,1.9,9.9,0.3,20.1,22.4
1/01/2012,2:00,143,2.1,14.7,0.4,19,15.6
1/01/2012,3:00,131,2.2,9.2,0.4,18.5,15
1/01/2012,4:00,128,2.3,9.2,0.5,18.2,18.1
1/01/2012,5:00,138,2.1,9.2,0.5,18,17.5
1/01/2012,6:00,138,2.3,9.1,0.5,19.6,17.4
1/01/2012,7:00,121,3,15.3,0.9,22.5,19.3
1/01/2012,8:00,104,3.8,19.2,1.3,25.5,14.8
1/01/2012,9:00,102,3.6,20.9,1.2,27.2,16.4
1/01/2012,10:00,112,4.2,20.4,1.4,28.3,19.8
1/01/2012,11:00,111,3.9,23,1.4,29.5,14
1/01/2012,12:00,114,3.7,28.2,1.3,30.3,13.7
1/01/2012,13:00,123,4.1,21.2,1.4,31.3,6.1
1/01/2012,14:00,129,4.2,19.4,1.3,31.8,6.8
1/01/2012,15:00,114,3.8,20.2,1.4,32.1,11.1
1/01/2012,16:00,107,3.7,16.1,1.1,31.4,9.3
1/01/2012,17:00,112,3.1,19,1.2,31.5,13.5
1/01/2012,18:00,92,2.4,15.4,1,28.6,24.6
1/01/2012,19:00,87,1.8,18.8,0.8,26.1,25.9
1/01/2012,20:00,58,1.9,20.4,0.8,24.6,46.7
1/01/2012,21:00,47,1.2,29.6,0.6,23.3,35.3
1/01/2012,22:00,64,0.9,31.4,0.5,22.1,20
1/01/2012,23:00,89,1.1,26.5,0.6,21.2,13.5
2/01/2012,0:00,123,1.7,16.7,0.5,20.7,18.9
2/01/2012,1:00,130,2.1,7.7,0.4,19.8,22.8
2/01/2012,2:00,144,2.2,8.7,0.3,19.5,32.7
2/01/2012,3:00,155,1.8,6.9,0.3,18.7,19.2
2/01/2012,4:00,140,1.7,13.3,0.5,18.1,13.1
2/01/2012,5:00,120,1,15.8,0.3,17.5,14.6
2/01/2012,6:00,127,1.6,17.3,0.9,19.8,15.7
2/01/2012,7:00,116,2.7,16.6,0.9,23.1,17
2/01/2012,8:00,101,3.1,23,1,25.6,17.9
2/01/2012,9:00,95,3.1,29.3,1.2,27.3,22.3
2/01/2012,10:00,122,3.6,22.8,1.4,28.2,18.9
2/01/2012,11:00,121,3.9,21,1.5,29.2,8.6
2/01/2012,12:00,119,4.2,20.7,1.5,30.2,14
2/01/2012,13:00,119,4.2,24,1.6,30.6,8.8
2/01/2012,14:00,118,4,22.6,1.3,31.9,11.4
2/01/2012,15:00,118,4.2,22.3,1.5,32.3,11.2
2/01/2012,16:00,113,4.2,17.3,1.3,32.1,18.7
2/01/2012,17:00,115,3.4,20,1.2,31.2,25.8
2/01/2012,18:00,107,2.8,14.1,0.9,28.8,16.6
2/01/2012,19:00,88,2.1,14.7,0.7,26,31.7
2/01/2012,20:00,56,2.3,17.8,0.9,24.3,61.4
2/01/2012,21:00,53,1.5,24.2,0.7,22.7,41.6
2/01/2012,22:00,93,1.1,34.3,0.5,21.6,30.7
2/01/2012,23:00,82,1.4,17.3,0.5,21,25
3/01/2012,0:00,132,1.2,28.7,0.6,20.5,20.7
3/01/2012,1:00,161,1.9,13.3,0.3,19.5,26.3
3/01/2012,2:00,152,2,6.4,0.4,18.9,17.8
3/01/2012,3:00,152,1.8,7.6,0.4,18.7,14.4
3/01/2012,4:00,143,1.2,15.8,0.6,18,8.3
3/01/2012,5:00,144,1.7,9.1,0.3,17.8,14.3
3/01/2012,6:00,139,2.3,11.4,1.1,19.7,14
3/01/2012,7:00,126,3.3,17.4,0.9,22.6,17.6
3/01/2012,8:00,115,3.2,19.7,1.1,25.7,16.6
3/01/2012,9:00,111,3.4,18.7,1.3,27.5,
3/01/2012,10:00,112,3.6,20.6,1.3,28.7,
3/01/2012,11:00,121,3.6,25.9,1.3,29.5,
3/01/2012,12:00,121,3.8,24.8,1.3,30.1,3.7
3/01/2012,13:00,109,2.6,39.8,1.3,31.2,11.9
3/01/2012,14:00,103,3,27.8,1.3,32.1,16.5
3/01/2012,15:00,123,3.6,23.1,1.2,32.5,16.8
3/01/2012,16:00,114,3.5,24.3,1.3,32,19.1
3/01/2012,17:00,119,3.2,17.1,1,31.2,14.6
3/01/2012,18:00,99,2.2,18.1,0.8,28.9,18.7
3/01/2012,19:00,87,1.3,12.3,0.5,25.6,20.3
3/01/2012,20:00,66,2.2,19.3,1,24.2,40.3
3/01/2012,21:00,66,2.2,17.6,0.9,23,25.6
3/01/2012,22:00,68,1.8,16.5,0.7,21.9,29.4
3/01/2012,23:00,79,1.1,41.3,0.7,21,28.9
4/01/2012,0:00,107,0.8,28.5,0.4,20.3,21.9
4/01/2012,1:00,140,1.2,13.9,0.3,19.7,21.7
4/01/2012,2:00,152,2.2,7.3,0.4,19.1,16
4/01/2012,3:00,149,2.5,6.6,0.4,18.5,13
4/01/2012,4:00,137,1.8,10.7,0.4,17.8,11.5
4/01/2012,5:00,137,2.1,9.4,0.5,17.7,10.6
4/01/2012,6:00,122,1.6,14.4,0.5,19.7,17.1
4/01/2012,7:00,128,2,19.4,0.6,22.8,17.1
4/01/2012,8:00,129,2,34.3,1,25.6,17.2
4/01/2012,9:00,70,1.8,36.2,0.9,27.4,12.8
4/01/2012,10:00,99,2.6,34.3,1.3,29.1,4
4/01/2012,11:00,110,3.6,25.3,1.4,30,10.3
4/01/2012,12:00,115,3,38.5,1.4,30.9,16.8
4/01/2012,13:00,109,2.9,31.7,1.2,32,18.6
4/01/2012,14:00,120,3.3,24.2,1.2,33.1,9.2
4/01/2012,15:00,106,2.8,34.8,1.2,33.7,19.7
4/01/2012,16:00,96,2.7,24.1,1,33.7,19
4/01/2012,17:00,105,2.7,20.7,0.9,33,14.8
4/01/2012,18:00,92,1.8,13.9,0.7,30,20.2
4/01/2012,19:00,80,1.1,14.9,0.3,26.4,26.4
4/01/2012,20:00,55,1.2,20.4,0.5,24.7,41.1
4/01/2012,21:00,64,1.2,23.3,0.5,23.2,47.9
4/01/2012,22:00,21,0.8,32.7,0.4,22.5,46.9
4/01/2012,23:00,93,0.7,31.4,0.4,21.9,37.7
5/01/2012,0:00,139,1.4,14.4,0.5,21.1,24.3
5/01/2012,1:00,153,1.4,19.4,0.4,20.2,17.4
5/01/2012,2:00,164,1.8,11.8,0.4,19.1,34.8
5/01/2012,3:00,174,1.1,16.8,0.3,18.5,25.2
5/01/2012,4:00,186,0.8,37.2,0.3,17.7,18.9
5/01/2012,5:00,219,0.4,46.2,0.3,16.9,18.7
5/01/2012,6:00,228,0.2,89.1,0.3,19.9,44
5/01/2012,7:00,299,1.6,23.2,0.8,24.1,32.5
5/01/2012,8:00,298,2.3,26.2,0.7,26.8,24.6
5/01/2012,9:00,299,1.7,38.3,0.8,28.7,23.8
