Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3)
1/01/2012,0:00,132,0.8,51.5,0.8,24.6,,,,,,5
1/01/2012,1:00,125,0.8,44.9,0.6,24.4,0.011,0.003,0.005,0.007,0.002,11.7
1/01/2012,2:00,143,0.6,45.8,0.5,24.1,0.012,0.003,0.003,0.006,0.001,14.7
1/01/2012,3:00,161,0.6,41.3,0.4,23.8,0.013,0.002,0.003,0.005,0.001,12.3
1/01/2012,4:00,153,0.6,52.2,0.5,23.6,0.014,0.002,0.002,0.004,0,13.1
1/01/2012,5:00,143,0.7,50,0.6,23.4,0.014,0.003,0.002,0.005,0,13.2
1/01/2012,6:00,142,0.7,53.5,0.6,24,0.015,0.003,0.002,0.005,0,14.9
1/01/2012,7:00,120,0.9,60.9,0.8,27.8,0.017,0.004,0.002,0.005,0,19.3
1/01/2012,8:00,94,0.9,70.9,0.9,29.1,0.02,0.003,0.002,0.005,0.001,19.4
1/01/2012,9:00,90,1.6,48.4,1.2,29.5,0.021,0.003,0.001,0.004,0.001,15.4
1/01/2012,10:00,80,1.7,40.1,1.3,30.5,0.023,0.002,0.002,0.004,0.001,17.1
1/01/2012,11:00,53,2.4,26.2,1.4,29.6,0.022,0.001,0.002,0.003,0.001,23.3
1/01/2012,12:00,62,3.1,21.1,1.7,31,0.021,0.002,0.002,0.003,0.001,11.4
1/01/2012,13:00,55,3.1,20.8,1.5,31.2,0.022,0.001,0.002,0.003,0,17.4
1/01/2012,14:00,55,3.2,20.9,1.5,30.7,0.021,0.002,0.001,0.003,0,20.1
1/01/2012,15:00,66,2.9,18.9,1.5,30.5,0.02,0.001,0.001,0.002,0,16.9
1/01/2012,16:00,68,2.9,19.3,1.6,29.4,0.02,0.002,0.001,0.003,0,14.4
1/01/2012,17:00,70,2.7,18.9,1.5,28.4,0.021,0.001,0.002,0.003,0,14.8
1/01/2012,18:00,71,2.5,18,1.3,27.2,0.02,0.002,0.002,0.003,0.001,20.4
1/01/2012,19:00,85,2.1,18.7,1.1,26.6,0.02,0.002,0.002,0.004,0,15.4
1/01/2012,20:00,88,1.6,25.7,1,26.2,0.02,0.002,0.002,0.004,0,11.3
1/01/2012,21:00,87,1.2,21.1,0.7,25.5,0.018,0.001,0.003,0.004,0,13.8
1/01/2012,22:00,85,1.1,22,0.6,24.8,0.018,0.002,0.002,0.004,0,12.6
1/01/2012,23:00,103,0.8,39.7,0.5,24.7,0.018,0.002,0.002,0.004,0.001,13.1
2/01/2012,0:00,251,0.2,85.4,0.4,23.8,,,,,,14.2
2/01/2012,1:00,61,0.2,73.1,0.2,22.7,0.015,0.002,0.003,0.005,0.003,12.8
2/01/2012,2:00,101,0.1,112.1,0.2,21.8,0.014,0.002,0.003,0.005,0.001,13.4
2/01/2012,3:00,82,0.3,46.7,0.2,21.7,0.015,0.002,0.003,0.004,0.001,11.6
2/01/2012,4:00,134,0.3,53,0.3,21.1,0.013,0.003,0.002,0.005,0.001,13.2
