Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Carbon Monoxide (CO) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3)
1/01/2012,0:00,223,1.1,27.8,0.5,20.5,75.4,,,,,22.2,8.3
1/01/2012,1:00,215,0.9,28.5,0.5,20,76.3,0.025,0.012,0.037,0.1,24,10
1/01/2012,2:00,208,1.7,20.5,0.7,20,75.6,0.017,0.008,0.025,0.1,19.7,6.2
1/01/2012,3:00,213,1.3,21.1,0.5,19.2,78.6,0.011,0.005,0.016,0,19.9,8.2
1/01/2012,4:00,222,1.4,21.6,0.6,18.5,81.8,0.009,0.004,0.013,0,16.4,4.9
1/01/2012,5:00,216,1.5,26.5,0.7,18.5,81.8,0.011,0.006,0.017,0,13.9,2.6
1/01/2012,6:00,211,2,26.4,0.9,20.5,74.7,0.009,0.004,0.012,0,15.2,4.1
1/01/2012,7:00,198,2.3,30.1,1,23,63.9,0.009,0.003,0.011,0,14.3,4.3
1/01/2012,8:00,178,2.5,33.5,1.1,24.7,57.2,0.008,0.004,0.012,0,13.5,2.5
1/01/2012,9:00,141,2.2,32.5,1.1,26.1,51.7,0.005,0.001,0.006,0,18.2,7.4
1/01/2012,10:00,144,2.5,26.9,1.1,26.5,47.8,0.006,0.003,0.009,0,15.7,5.7
1/01/2012,11:00,143,2.6,26.3,1.2,27.3,44,0.005,0.002,0.007,0,12.6,2.7
1/01/2012,12:00,125,2.7,27.1,1.2,28.4,42.5,0.005,0.002,0.007,0,13.6,4.3
1/01/2012,13:00,130,3.4,23.4,1.4,28,43.6,0.006,0.001,0.007,0,15.9,5.7
1/01/2012,14:00,126,3.2,25,1.4,27.9,43.2,0.005,0.002,0.007,0,18.6,4.8
1/01/2012,15:00,115,3.2,27.6,1.4,27.5,46.5,0.005,0.001,0.006,0,15.6,4.3
1/01/2012,16:00,118,3.2,25.2,1.4,26.8,47.4,0.004,0.001,0.005,0,16.6,7.4
1/01/2012,17:00,122,2.9,24.4,1.4,25.6,51,0.006,0.002,0.008,0,10.9,2.2
1/01/2012,18:00,114,2.1,26.6,1,24.1,55.6,0.003,0.002,0.005,0,,
1/01/2012,19:00,114,1.2,28.5,0.6,22.7,60.8,0.003,0.005,0.007,0,14.3,7.5
1/01/2012,20:00,111,1.2,23.2,0.5,22,65.5,0.002,0.003,0.005,0,12.2,3.4
1/01/2012,21:00,111,1,20.2,0.4,21.4,68.7,0.003,0.005,0.008,0,11.8,1.9
1/01/2012,22:00,123,1,20.8,0.4,20.9,70.7,0.003,0.005,0.008,0,8.7,-1
1/01/2012,23:00,187,0.8,32.6,0.4,20.5,72.1,0.015,0.012,0.026,0,12.4,3.3
2/01/2012,0:00,227,1.1,20.1,0.4,19.8,75.6,,,,,11.9,2.8
2/01/2012,1:00,218,1,36.2,0.6,19,79.5,0.004,0.008,0.012,0,10.6,1.5
2/01/2012,2:00,216,0.8,32.1,0.4,18.5,80,0.002,0.005,0.007,0,10.6,2.3
2/01/2012,3:00,212,1,30.1,0.6,18.1,81.6,0.005,0.009,0.013,0,11.6,4.5
2/01/2012,4:00,211,0.9,41.1,0.6,18.1,80.4,0.005,0.006,0.01,0,9.2,2.3
2/01/2012,5:00,213,1,39.4,0.7,18.4,79.8,0.006,0.005,0.011,0,10.9,4.4
2/01/2012,6:00,216,1.7,26.7,0.8,20.6,72.1,0.008,0.003,0.011,0,9.3,2.7
2/01/2012,7:00,193,1.8,33.7,0.8,23.2,63.5,0.01,0.003,0.013,0,9.8,2.3
2/01/2012,8:00,141,2.4,27.9,1,25.4,53.3,0.006,0.003,0.009,0,11,4
2/01/2012,9:00,136,2.1,33.9,1,26.2,50.1,0.006,0.003,0.009,0,15.4,8.1
2/01/2012,10:00,120,2.1,38.6,1.1,27.6,46,0.004,0.001,0.005,0,11.5,4
2/01/2012,11:00,133,1.9,36.5,1,27.3,46.7,0.007,0.005,0.011,0,9.3,2.4
2/01/2012,12:00,120,2.1,35.3,1.1,28.4,45.3,0.004,0.002,0.006,0,6.1,-0.8
2/01/2012,13:00,113,2.5,31.5,1.2,28.2,46.3,0.004,0.002,0.006,0,6.6,0.3
2/01/2012,14:00,95,2.5,30.4,1.2,28.3,45.6,0.003,0.001,0.004,0,9.5,3.1
2/01/2012,15:00,106,2.7,33.4,1.2,28.2,46.8,0.005,0.002,0.006,0,3.9,-2.8
2/01/2012,16:00,96,2.9,25.4,1.3,26.9,53.6,0.004,0.001,0.005,0,9.2,2.4
2/01/2012,17:00,88,2.9,25.2,1.3,26,56.5,0.003,0.001,0.004,0,16.9,7
2/01/2012,18:00,100,2.2,25.7,1.1,24.2,61.8,0.003,0.002,0.005,0,16,5.6
2/01/2012,19:00,96,1.3,29,0.7,23.1,67.4,0.003,0.003,0.006,0,11.1,1.1
2/01/2012,20:00,83,0.7,36.6,0.5,22.5,70.7,0.002,0.007,0.009,0,8.5,0.7
2/01/2012,21:00,103,1.4,28.5,0.7,22.2,73.5,0.001,0.003,0.004,0,8.4,0.4
2/01/2012,22:00,97,1.2,30.3,0.7,21.9,74.9,0.001,0.003,0.004,0,7,0.2
