Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm),Solar Radiation (w/m^2),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
1/01/2012,1:00,165,2,17.7,0.7,21.8,68,0,0,1012,,,,,57.6,48.1,
1/01/2012,0:00,156,2.1,14,0.7,21.5,67.1,0,0,1011,0.001,0.002,0.003,0,17.6,7.4,13
1/01/2012,2:00,154,1.8,14.9,0.7,21.2,68.4,0,0,1011,0,0.004,0.004,0,17.4,5.6,28
1/01/2012,3:00,158,2.7,14.4,0.8,21,68.8,0,0,1011,0,0.002,0.002,0,19.8,8.8,33
1/01/2012,4:00,156,2.4,12.5,0.7,20.8,69.2,0,0,1011,0,0.001,0.001,0,13.8,2.7,17
1/01/2012,5:00,145,2.3,14.2,0.7,20.6,68.8,0,23,1012,0.001,0.003,0.004,0,19.4,8.4,29
1/01/2012,6:00,151,2.8,16.4,1,21.7,64.2,0,212,1012,0.001,0.003,0.004,0,29.6,17.1,86
1/01/2012,7:00,132,3.4,17.1,1.4,23.6,55.1,0,469,1013,0.002,0.003,0.005,0.004,45.6,32.9,67
1/01/2012,8:00,122,3.9,17.5,1.3,24.6,51.3,0,713,1013,0.004,0.003,0.007,0.006,23.1,11.2,14
1/01/2012,9:00,107,4.4,15.4,1.3,25.6,48.6,0,915,1013,0.002,0.002,0.004,0.001,11.9,1,11
1/01/2012,10:00,94,4.1,14.8,1.2,26.1,48.3,0,775,1012,0.036,0.008,0.043,0.012,9.6,-1.5,13
1/01/2012,11:00,82,4,15.9,1.3,26.2,49.2,0,574,1012,0.069,0.014,0.082,0.026,16.2,4.1,13
1/01/2012,12:00,74,4.4,13.4,1.3,26.1,51.8,0,602,1011,0.018,0.005,0.023,0.009,22.1,7,13
1/01/2012,13:00,70,5.5,12.5,1.7,26.4,50.3,0,832,1010,0.003,0.002,0.004,0.002,23.3,6,13
1/01/2012,14:00,77,4.7,11.9,1.4,26.4,50.5,0,570,1010,0.017,0.006,0.023,0.005,26.9,6.8,13
1/01/2012,15:00,78,5.5,12.4,1.6,26.3,49.6,0,624,1009,0.034,0.009,0.042,0.014,25.4,3.2,13
1/01/2012,16:00,79,5.6,12.5,1.6,26.2,49.4,0,434,1010,0.044,0.011,0.055,0.017,24.2,0.9,13
1/01/2012,17:00,92,5.3,11,1.7,26,51,0,183,1010,0.046,0.015,0.061,0.022,28.5,5,14
