Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
1/01/2012,0:00,181,0.8,21.7,19,0.007,,0.012,0,20.5,7.6,,3.3,12.9,
1/01/2012,1:00,175,0.7,16.7,18.7,0.008,,0.01,0,21.7,8.1,,1.7,12.3,1.3
1/01/2012,2:00,195,0.8,13.7,18.7,0.007,,0.009,0,21.3,9.1,,3,13.7,
1/01/2012,3:00,196,1,9.8,18,0.008,,0.007,0,20.3,8.2,,3.1,17.7,3
1/01/2012,4:00,184,1.1,11,17.3,0.006,,0.005,0,18.6,7,,2.5,11.8,2.2
1/01/2012,5:00,178,0.9,15.1,17.3,0.007,,0.004,,18.5,7.5,,2.3,13.6,2.1
1/01/2012,6:00,195,1.5,8.8,20.4,0.012,,0.004,0,22.3,10.8,,1.8,13.7,1.5
1/01/2012,7:00,205,1.9,14,23.3,0.016,,0.001,0,12.8,4.2,,2.3,14.2,3.2
1/01/2012,8:00,167,1.9,32.5,25.4,0.016,,0.002,0,14.3,4.8,,2.5,13.6,1.6
1/01/2012,9:00,129,3,19.1,26.5,0.02,,0.002,0,12.1,2,,1.8,8.9,1.1
1/01/2012,10:00,129,2.8,25.5,27.7,0.021,,0.001,0,11.5,2.6,,1,14.9,1.5
1/01/2012,11:00,118,3.8,25,28.7,0.022,,0.002,0,14.8,3.3,,1.6,7.9,1.2
1/01/2012,12:00,119,4.3,19.5,28.9,0.023,,0.001,0,15.5,3.7,,1.8,9.5,1.2
1/01/2012,13:00,105,4.7,11.2,28.1,0.021,,0.001,0,12.9,2.2,,0.4,13.4,1.7
1/01/2012,14:00,106,5.2,14,27.7,0.019,,0.001,0,14.7,3.3,,2,13.8,2.3
