Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
1/01/2012,0:00,151,0.6,46.8,0.5,21.9,68.7,0,1010,,,,,33.9,21.7,
1/01/2012,1:00,148,0.6,46.1,0.5,21.4,69.1,0,1009,0.001,0.001,0.001,0.001,17.4,6.4,11
1/01/2012,2:00,172,0.8,46.5,0.7,21.4,67.9,0,1009,0.001,0.001,0.001,0.001,14.1,2.3,10
1/01/2012,3:00,157,0.7,48.3,0.6,21.2,68.4,0,1009,0,0.001,0.001,0.001,11.3,-0.7,11
1/01/2012,4:00,153,0.7,46.3,0.6,20.8,69.2,0,1009,0,0.001,0.001,0.001,15.9,3.7,11
1/01/2012,5:00,147,0.8,41.1,0.6,20.9,68,0,1010,0,0.001,0.001,0,14.4,1.6,11
1/01/2012,6:00,158,1,40.1,0.7,22.4,61.6,0,1010,0.001,0.001,0.002,0.001,15.9,2.9,12
1/01/2012,7:00,123,1.8,32.9,1.2,24,54.8,0,1011,0.002,0.002,0.003,0.001,17.2,3.8,21
1/01/2012,8:00,113,3.2,17.6,1.3,25.1,46,0,1011,0.005,0.007,0.012,0.006,24.9,13,53
1/01/2012,9:00,103,3.5,18.8,1.5,25.8,44.5,0,1011,0.008,0.009,0.017,0.011,24.4,14.8,29
1/01/2012,10:00,87,4.5,17.5,1.4,25.8,49.2,0,1010,0.003,0.004,0.007,0.005,21.5,9.2,13
1/01/2012,11:00,97,3.6,15.7,1.2,25.8,50.2,0,1010,0.001,0.002,0.003,0.002,19.9,6.8,18
1/01/2012,12:00,91,3.6,16.6,1.3,26.1,50.1,0,1009,0.001,0.001,0.001,0.001,19.6,6.3,16
1/01/2012,13:00,101,3.9,15.1,1.2,26.6,49.8,0,1008,0.001,0.001,0.001,0.001,18.9,5.8,12
1/01/2012,14:00,88,4.1,20.4,1.4,26.7,48.7,0,1008,0.001,0,0.001,0.001,20.2,6,11
1/01/2012,15:00,92,4.4,16.4,1.3,26.3,50.2,0,1008,0.001,0,0.001,0.001,21.1,5.6,11
1/01/2012,16:00,95,4.3,15,1.3,26,50.5,0,1008,0.001,0.001,0.001,0.001,19.2,3.6,10
1/01/2012,17:00,94,4.6,12,1.4,25.6,50.8,0,1008,0.001,0.001,0.001,0.001,18.5,3.9,9
1/01/2012,18:00,101,4.3,11.9,1.2,24.8,55.5,0,1009,0.001,0,0.001,0.001,17.4,2.4,10
1/01/2012,19:00,106,4.1,11.8,1.2,24.5,59.2,0,1010,0.002,0.006,0.008,0.002,19.4,3.8,11
1/01/2012,20:00,111,3.2,11.2,1.2,24.2,58.2,0,1011,0.001,0.006,0.007,0.002,19.5,3.3,11
1/01/2012,21:00,121,1.8,16.9,0.8,23.6,59.8,0,1011,0.006,0.015,0.021,0.012,20.8,6,11
1/01/2012,22:00,126,1.5,21.2,0.6,23.2,61.5,0,1011,0.035,0.021,0.056,0.03,19.9,5.5,11
1/01/2012,23:00,125,1.2,25.3,0.6,22.6,62.7,0,1011,0.005,0.013,0.018,0.01,19.5,4.9,68
2/01/2012,0:00,142,0.7,36.3,0.5,21.8,63.7,0,1010,,,,,56.8,41.4,
2/01/2012,1:00,147,0.5,48.7,0.5,21.4,64.2,0,1010,0,0.002,0.002,0.001,41,27.1,24
2/01/2012,2:00,162,0.7,51.3,0.7,21.1,65.9,0,1010,0,0.001,0.001,0.001,16.1,3.9,11
2/01/2012,3:00,168,1,42.1,0.7,21,66.8,0,1009,0,0.001,0.001,0.001,14,2.8,10
2/01/2012,4:00,170,1,40.2,0.8,20.8,68.1,0,1010,0,0.001,0.001,0.001,14.8,3.9,9
2/01/2012,5:00,159,0.8,45,0.7,20.7,67.1,0,1011,0.001,0.001,0.001,0.001,13.4,2.8,10
2/01/2012,6:00,159,0.9,42.2,0.7,21.9,63.1,0,1011,0.001,0.001,0.001,0,13.8,3.8,12
2/01/2012,7:00,159,1.2,44.8,0.9,23.3,58.5,0,1012,0.001,0.001,0.001,0.001,11.9,0.7,13
2/01/2012,8:00,114,2.6,36.5,1.7,25,50.6,0,1012,0.007,0.007,0.014,0.006,16.6,5,49
2/01/2012,9:00,99,4.4,19.6,1.7,26,46.5,0,1012,0.01,0.008,0.018,0.008,26.4,13.9,13
2/01/2012,10:00,88,5.7,12.5,1.3,26.1,46.1,0,1011,0.002,0.002,0.004,0.002,18.7,5.6,8
2/01/2012,11:00,90,5.3,16.1,1.5,26.8,43.8,0,1011,0.001,0,0.001,0.001,13.4,4.2,7
2/01/2012,12:00,95,4.8,16.1,1.5,27,46.2,0,1011,0.001,0,0.001,0.001,12,2.6,7
2/01/2012,13:00,93,4.8,15.9,1.3,27.3,42.7,0,1010,0.001,0.001,0.001,0.001,16,5.1,7
2/01/2012,14:00,92,4.9,16.8,1.5,27.2,43.9,0,1010,0.001,0,0.001,0.001,15.4,4.3,7
2/01/2012,15:00,88,4.8,16.2,1.5,27.2,41.5,0,1009,0.001,0,0.001,0.001,15.3,4,7
2/01/2012,16:00,94,4.7,14.9,1.4,26.5,49.1,0,1010,0.001,0,0.001,0.001,12.8,1.7,8
2/01/2012,17:00,96,4.5,13.1,1.5,25.6,54.5,0,1010,0.001,0,0.001,0.001,17.3,3.8,9
2/01/2012,18:00,99,3.7,13.4,1.2,24.9,57.6,0,1011,0.001,0,0.001,0.001,16.9,2.9,9
2/01/2012,19:00,102,3.6,12.2,1.4,24.6,56.8,0,1011,0.002,0.005,0.006,0.001,16.3,2.4,9
2/01/2012,20:00,109,3.1,15.3,1.2,24.4,56,0,1012,0.004,0.01,0.014,0.001,17.6,2.3,8
2/01/2012,21:00,115,2.1,19.5,1.2,24,59.7,0,1013,0.003,0.008,0.011,0.004,18.1,3.3,9
2/01/2012,22:00,123,1.5,24.2,0.8,23.4,63.2,0,1013,0.007,0.016,0.022,0.01,16.1,2.3,10
2/01/2012,23:00,124,1.1,32,0.8,22.8,62.7,0,1012,0.022,0.017,0.039,0.022,17.5,4.5,33
3/01/2012,0:00,136,0.8,44.3,0.6,22.2,62.1,0,1012,,,,,28,13.3,
3/01/2012,1:00,154,0.7,44.3,0.6,21.6,63.6,0,1011,0.001,0.002,0.002,0.001,18.9,6.8,12
3/01/2012,2:00,133,0.8,38.7,0.5,21.1,65,0,1011,0,0.001,0.001,0,8.5,0.3,8
3/01/2012,3:00,145,0.7,41.2,0.5,20.9,65.8,0,1011,0,0.002,0.002,0.001,6.9,-0.8,7
3/01/2012,4:00,140,0.7,41,0.4,20.9,66.6,0,1011,0.001,0.001,0.001,0.001,6.4,-0.5,6
3/01/2012,5:00,155,0.8,44.2,0.6,21.1,65.9,0,1012,0.001,0.001,0.001,0.001,3.1,-4,6
3/01/2012,6:00,167,1.1,40.3,0.8,22.7,59.7,0,1013,0.001,0,0.001,0,5,-3.6,6
3/01/2012,7:00,156,1,46.1,0.7,23.7,56.8,0,1013,0.001,0.001,0.002,0.001,7.7,-1.3,7
3/01/2012,8:00,110,2.4,23.8,1.2,25.5,51.3,0,1013,0.013,0.012,0.025,0.011,17.9,6.3,16
3/01/2012,9:00,97,3.8,16.7,1.3,26.3,47.1,0,1013,0.007,0.005,0.012,0.004,22.9,8,8
3/01/2012,10:00,86,4.3,16.6,1.3,26.5,46.4,0,1013,0.001,0.002,0.003,0.002,24,6.5,8
3/01/2012,11:00,94,4.8,13.8,1.3,26.9,46.9,0,1013,0.002,0.001,0.002,0.001,19.4,5.9,8
3/01/2012,12:00,91,4.5,16.1,1.3,27.5,46.2,0,1012,0.002,0.001,0.002,0.001,16.8,5.3,7
3/01/2012,13:00,94,4.5,16.7,1.6,27.6,46.3,0,1011,0.001,0.001,0.001,0.001,14.7,3.2,7
3/01/2012,14:00,92,4.9,16.6,1.5,27.6,43.1,0,1011,0.001,0.001,0.002,0.001,14.1,1.5,7
3/01/2012,15:00,90,4.7,16.5,1.3,27.6,43,0,1011,0.001,0.002,0.003,0.002,15,2.5,7
3/01/2012,16:00,95,4.1,14.6,1.2,27.1,45.4,0,1011,0.001,0.001,0.002,0.001,20.4,5.7,7
3/01/2012,17:00,94,4.4,13.4,1.3,26.1,53,0,1011,0.001,0.002,0.003,0.002,19.3,7.4,7
3/01/2012,18:00,92,3.6,12.9,1.2,25,60.9,0,1011,0.001,0.002,0.003,0.002,16.4,3.9,8
3/01/2012,19:00,91,2.8,11.4,0.9,24.5,65.4,0,1012,0.001,0.005,0.006,0.003,15.3,3.1,9
3/01/2012,20:00,96,2.9,13,1.1,24.5,63,0,1012,0.001,0.001,0.002,0.001,14.6,3.1,8
3/01/2012,21:00,114,2.1,17.8,1.1,24.4,63.5,0,1013,0.001,0.003,0.004,0.001,14.3,1.8,9
3/01/2012,22:00,118,1.5,18.1,0.8,23.9,65.2,0,1013,0,0.003,0.003,0.001,14.6,1.3,8
3/01/2012,23:00,130,0.8,35.2,0.5,23.2,67.8,0,1012,0.003,0.014,0.017,0.005,12.8,1,8
4/01/2012,0:00,140,0.6,43,0.5,22.7,69,0,1012,,,,,13.4,1.3,
4/01/2012,1:00,157,0.5,52.2,0.4,22.4,69.8,0,1011,0.01,0.018,0.028,0.015,23.7,7.1,27
4/01/2012,2:00,173,0.7,39.7,0.6,22.2,69.8,0,1011,0.001,0.005,0.006,0.006,17.2,4.2,12
4/01/2012,3:00,177,1,38.2,0.7,21.8,70.6,0,1010,0.001,0.001,0.001,0.003,11.9,1.9,9
4/01/2012,4:00,166,0.9,40.3,0.7,21.5,71.8,0,1011,0,0.001,0.001,0.001,11.3,2.1,8
