Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3)
1/01/2012,0:00,162,0.6,13.3,0.3,28.6,,39.2
1/01/2012,1:00,152,0.4,67.7,0.4,27.8,0,26.3
1/01/2012,2:00,144,0.6,26.5,0.3,27.2,0,27.3
1/01/2012,3:00,149,0.2,111.6,0.2,26.7,0,22.8
1/01/2012,4:00,19,0.5,173.3,0.4,26.9,0,22.1
1/01/2012,5:00,69,0.5,29.3,0.3,26.3,0,32.3
1/01/2012,6:00,134,0.4,42.9,0.2,27.3,0,34.3
1/01/2012,7:00,168,0.6,29.1,0.3,30.8,0.004,36.8
1/01/2012,8:00,148,0.2,111.1,0.3,33.4,0.057,37.8
1/01/2012,9:00,337,0.2,112.8,0.6,36.1,0.06,33.9
1/01/2012,10:00,330,0.9,69.6,0.7,38.1,0.001,10.4
1/01/2012,11:00,345,0.7,83.5,0.9,40,0,6.8
1/01/2012,12:00,29,0.9,65.4,0.7,41.7,0.003,5.7
1/01/2012,13:00,326,1.1,60,0.9,42,0.012,14.6
1/01/2012,14:00,2,0.8,128.4,0.7,42.4,0.015,20.6
1/01/2012,15:00,132,1.5,36.2,0.9,39.4,0.005,16.7
1/01/2012,16:00,222,1.6,54.7,1.3,40.1,0.031,28.1
1/01/2012,17:00,264,1.7,62.7,1.5,37.3,0.059,50.2
1/01/2012,18:00,286,0.8,63.1,0.7,36.4,0.061,27.4
1/01/2012,19:00,253,0.3,101.6,0.5,35.1,0.071,58.2
1/01/2012,20:00,66,0.6,34.2,0.3,33.2,0.031,59.2
1/01/2012,21:00,44,1.1,32.4,0.5,32.6,0.023,29.6
1/01/2012,22:00,32,0.6,165.3,0.6,31.4,0.015,34.4
1/01/2012,23:00,20,0.2,149.2,0.2,30.5,0.013,26
2/01/2012,0:00,12,0.3,123.2,0.5,30,,26.2
2/01/2012,1:00,8,0.2,184.7,0.3,28.9,0.003,23.3
2/01/2012,2:00,9,0.7,163.3,0.3,28.6,0.001,18.9
2/01/2012,3:00,12,0.8,167.1,0.4,28.8,0,15.5
2/01/2012,4:00,8,0.6,151.4,0.3,28.3,0,17.9
2/01/2012,5:00,42,0.3,42.1,0.2,27.4,0,18.5
2/01/2012,6:00,52,0.4,37.3,0.3,28.6,0,17.2
2/01/2012,7:00,21,0.9,27.8,0.5,33.2,0,14.8
2/01/2012,8:00,351,1.8,25.8,0.8,34.5,0,16.2
2/01/2012,9:00,336,2.6,24.1,1,36.7,0,13.5
2/01/2012,10:00,320,2.8,30.6,1.1,38.8,0,8.9
2/01/2012,11:00,311,2.9,30,1.3,39.6,0,17.7
2/01/2012,12:00,332,2.5,28.3,1.1,40.4,0,12.8
2/01/2012,13:00,341,2.1,34.9,1,39.5,0,13.5
2/01/2012,14:00,334,3.3,24.1,1.4,40.2,0,19.2
