Date ,Time ,Air Temperature (degC),Total Suspended Particles (µg/m^3)
1/01/2012,0:00,25.1,5.5
1/01/2012,1:00,25,18.4
1/01/2012,2:00,25,24.4
1/01/2012,3:00,24.9,20.6
1/01/2012,4:00,24.7,16.8
1/01/2012,5:00,24.1,18.4
1/01/2012,6:00,25.6,23.8
1/01/2012,7:00,27,39
1/01/2012,8:00,27.6,56.4
1/01/2012,9:00,28.5,38.6
1/01/2012,10:00,28.9,33.3
1/01/2012,11:00,28.9,10.3
1/01/2012,12:00,29.2,17.5
1/01/2012,13:00,30.2,44.7
1/01/2012,14:00,30.7,36.9
1/01/2012,15:00,30.3,36
1/01/2012,16:00,29.8,12.5
1/01/2012,17:00,28.7,38.3
1/01/2012,18:00,27.5,18.7
1/01/2012,19:00,27.1,27.5
1/01/2012,20:00,27.1,22.2
1/01/2012,21:00,26.9,17.6
1/01/2012,22:00,26.2,27.3
1/01/2012,23:00,26,24.8
2/01/2012,0:00,25.1,19.4
2/01/2012,1:00,25,18.6
2/01/2012,2:00,24.3,21.3
2/01/2012,3:00,23.6,19.4
2/01/2012,4:00,23.3,19.5
2/01/2012,5:00,23,21.2
2/01/2012,6:00,25,48.3
2/01/2012,7:00,26.9,25.8
2/01/2012,8:00,27.6,24.8
2/01/2012,9:00,28.4,19.5
2/01/2012,10:00,29.4,15.1
2/01/2012,11:00,28.8,23.4
2/01/2012,12:00,29.5,12.2
2/01/2012,13:00,30.5,
2/01/2012,14:00,31.5,41.2
2/01/2012,15:00,31.5,16.2
2/01/2012,16:00,31.2,36.6
2/01/2012,17:00,30.2,33.5
2/01/2012,18:00,28.1,23.8
2/01/2012,19:00,27.1,27
2/01/2012,20:00,26.8,11.6
2/01/2012,21:00,26.6,13.3
2/01/2012,22:00,26.4,19.8
2/01/2012,23:00,25.7,28
3/01/2012,0:00,25.2,36.9
3/01/2012,1:00,24.8,22.9
3/01/2012,2:00,24.5,22.1
3/01/2012,3:00,23.9,12.9
3/01/2012,4:00,23,20.4
