Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC)
01/01/2013,00:00,127,1.9,32.1,1,23
01/01/2013,01:00,137,1.4,39.3,1,22.8
01/01/2013,02:00,143,1.3,40.2,0.9,22.7
01/01/2013,03:00,112,1.2,38.5,1,22
01/01/2013,04:00,146,0.6,45.6,0.8,21.9
01/01/2013,05:00,129,1.3,50.3,1.1,22.3
01/01/2013,06:00,134,1.1,51.4,1.1,22.4
01/01/2013,07:00,133,1.8,42.3,1.2,23.7
01/01/2013,08:00,122,1.4,40,1,23.7
01/01/2013,09:00,124,1.9,40,1.3,24.8
01/01/2013,10:00,93,3.1,32.5,1.5,26.8
01/01/2013,11:00,79,4.8,16.3,1.8,26.8
01/01/2013,12:00,78,3.4,14.3,1.4,24.5
01/01/2013,13:00,99,1.5,24.8,0.8,25.5
01/01/2013,14:00,73,1.7,33.5,1.4,26.4
01/01/2013,15:00,73,3.7,36.7,2,22.5
01/01/2013,16:00,255,0.2,124.4,0.5,21.8
01/01/2013,17:00,213,0.9,10.9,0.5,22.1
01/01/2013,18:00,207,0.5,31.7,0.4,22
01/01/2013,19:00,202,0.8,36.8,0.5,22
01/01/2013,20:00,222,0.6,40.1,0.5,21.7
01/01/2013,21:00,218,0.3,38.9,0.4,21.6
01/01/2013,22:00,151,0.2,31.1,0.4,21.7
01/01/2013,23:00,197,0.7,31.3,0.7,21.6
02/01/2013,00:00,185,0.6,53.4,0.7,21.3
02/01/2013,01:00,,0,78.8,0,20.6
02/01/2013,02:00,,0,78.3,0.2,20.4
02/01/2013,03:00,,0,33.8,0,20.4
02/01/2013,04:00,,0,44.7,0,19.9
02/01/2013,05:00,197,0.1,96,0.2,19.6
02/01/2013,06:00,186,0.5,19.3,0.6,21.8
02/01/2013,07:00,170,1.3,34,0.8,24
02/01/2013,08:00,176,1.8,36.1,1,24.8
02/01/2013,09:00,181,1.7,36.5,0.9,26.2
02/01/2013,10:00,132,1.2,58.7,1,28.2
02/01/2013,11:00,124,1.6,64.6,1.7,30.2
02/01/2013,12:00,73,2.5,43.4,1.5,31.8
02/01/2013,13:00,81,3,42.2,1.7,32.7
02/01/2013,14:00,88,5.1,22.3,1.7,32
02/01/2013,15:00,87,6,18.7,1.8,30
02/01/2013,16:00,85,5,18.2,1.5,28.7
02/01/2013,17:00,80,3.6,20.7,1.5,28.3
02/01/2013,18:00,80,2.8,15.6,1,26.5
02/01/2013,19:00,87,1.6,19,0.7,24.8
02/01/2013,20:00,101,1.3,26.2,0.8,24.1
02/01/2013,21:00,117,0.6,37.3,0.6,23.4
02/01/2013,22:00,173,0.4,9.2,0.5,22.1
02/01/2013,23:00,194,0.2,70.8,0.3,20.9
03/01/2013,00:00,184,0.6,23.9,0.6,20.7
03/01/2013,01:00,154,0.5,34.7,0.6,21.6
03/01/2013,02:00,130,0.9,35.1,0.7,21.6
03/01/2013,03:00,138,1.1,36.4,0.9,21.5
03/01/2013,04:00,146,1.1,40.6,0.8,21.3
03/01/2013,05:00,172,1.2,37.2,0.7,21.5
03/01/2013,06:00,150,1.8,41.8,1.1,22.8
03/01/2013,07:00,149,2,40.7,1.2,25
03/01/2013,08:00,121,3.1,40.7,1.7,27.2
03/01/2013,09:00,82,5.3,28,2.4,29.3
03/01/2013,10:00,78,6,21.4,2,30
03/01/2013,11:00,71,6.7,17,1.7,30.6
03/01/2013,12:00,68,7.9,15.1,1.8,30.7
03/01/2013,13:00,71,8.8,14.2,2,30.3
03/01/2013,14:00,67,9.1,12.8,2,30
03/01/2013,15:00,75,9.1,13,2.2,29.1
