Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3)
01/01/2013,00:00,129,2.5,14.9,0.8,24.4,15.5
01/01/2013,01:00,124,3.2,11.3,1.0,24.7,16.5
01/01/2013,02:00,114,2.8,13.1,1.0,24.5,24.3
01/01/2013,03:00,135,2.0,15.1,0.8,24.2,22.2
01/01/2013,04:00,126,3.1,12.0,1.2,24.0,23.2
01/01/2013,05:00,123,3.3,10.9,1.1,23.5,20.8
01/01/2013,06:00,122,3.7,10.4,1.1,24.0,19.4
01/01/2013,07:00,123,3.8,11.2,1.2,24.5,19.2
01/01/2013,08:00,130,2.7,18.9,1.2,24.7,22.4
01/01/2013,09:00,118,4.1,12.1,1.2,26.3,20.3
01/01/2013,10:00,103,6.0,9.5,1.7,27.6,24.7
01/01/2013,11:00,94,6.3,9.1,1.3,27.2,32.1
01/01/2013,12:00,87,5.8,9.5,1.4,27.9,32.8
01/01/2013,13:00,94,5.2,12.8,1.3,28.8,20.5
01/01/2013,14:00,76,5.9,11.5,1.5,28.6,23.1
01/01/2013,15:00,77,6.6,10.5,1.8,27.7,33.4
01/01/2013,16:00,81,6.2,9.8,1.4,26.5,32.1
01/01/2013,17:00,78,4.6,8.0,1.1,26.2,31.7
01/01/2013,18:00,87,5.8,7.3,1.4,26.5,23.3
01/01/2013,19:00,83,6.7,7.0,1.3,26.7,24.5
01/01/2013,20:00,80,6.5,6.3,1.3,26.6,27.8
01/01/2013,21:00,84,6.0,6.8,1.2,26.7,17.1
01/01/2013,22:00,93,5.1,7.8,1.0,26.6,20.3
01/01/2013,23:00,101,4.1,9.4,1.3,26.2,23.7
02/01/2013,00:00,119,2.3,10.4,0.7,25.5,20.7
02/01/2013,01:00,114,2.0,15.8,0.7,24.9,15.4
02/01/2013,02:00,193,0.5,58.2,0.5,24.4,17.5
02/01/2013,03:00,195,0.8,46.2,0.6,24.0,16.2
02/01/2013,04:00,241,0.6,35.1,0.3,23.7,14.8
02/01/2013,05:00,144,0.4,82.4,0.6,23.8,19.2
02/01/2013,06:00,117,2.1,17.6,0.9,26.3,22.5
02/01/2013,07:00,116,2.8,12.9,1.0,27.0,23.5
02/01/2013,08:00,113,2.3,23.5,1.0,28.5,20.4
02/01/2013,09:00,93,2.4,40.1,1.2,29.8,24.5
02/01/2013,10:00,68,4.1,15.4,1.2,29.7,24.1
02/01/2013,11:00,74,5.6,16.0,1.9,30.6,16.2
02/01/2013,12:00,65,5.4,17.9,3.3,30.7,51.5
02/01/2013,13:00,53,2.8,27.5,1.1,30.3,34.1
02/01/2013,14:00,61,3.3,23.3,1.1,30.1,53.7
02/01/2013,15:00,75,5.2,15.7,1.8,29.1,31.6
02/01/2013,16:00,70,3.3,19.0,1.3,29.3,34.1
02/01/2013,17:00,53,2.4,16.1,1.0,28.3,29.8
02/01/2013,18:00,74,3.7,12.5,1.1,27.6,33.9
02/01/2013,19:00,72,4.7,7.3,0.7,27.0,37.6
02/01/2013,20:00,75,4.5,7.3,0.8,26.8,33.0
02/01/2013,21:00,79,4.5,8.6,0.9,26.7,29.0
02/01/2013,22:00,82,4.8,7.4,1.0,26.7,22.8
02/01/2013,23:00,86,4.7,6.9,1.0,26.6,24.4
03/01/2013,00:00,98,4.9,6.9,1.0,26.1,15.2
03/01/2013,01:00,101,5.0,6.8,1.1,25.6,9.4
03/01/2013,02:00,111,3.5,14.1,1.5,25.1,5.4
03/01/2013,03:00,125,2.5,11.8,0.7,24.4,6.0
03/01/2013,04:00,130,2.3,14.1,0.9,24.3,7.7
03/01/2013,05:00,135,2.0,17.3,0.8,24.3,10.4
03/01/2013,06:00,120,4.0,11.8,1.2,26.1,11.1
03/01/2013,07:00,108,5.7,12.1,1.9,27.7,7.4
03/01/2013,08:00,101,6.6,10.0,1.7,28.6,10.2
03/01/2013,09:00,94,7.0,10.3,1.6,29.4,23.3
03/01/2013,10:00,86,7.0,13.7,1.7,30.2,27.1
03/01/2013,11:00,81,8.2,12.2,3.2,30.2,37.4
03/01/2013,12:00,76,7.3,13.9,2.0,30.2,46.0
03/01/2013,13:00,69,7.9,11.3,1.9,29.7,30.3
03/01/2013,14:00,71,8.7,10.3,1.8,29.3,45.7
03/01/2013,15:00,70,8.0,11.0,1.8,29.0,31.9
03/01/2013,16:00,75,8.2,11.3,2.0,28.7,38.5
03/01/2013,17:00,75,8.1,10.3,1.8,28.1,36.8
03/01/2013,18:00,80,8.8,7.8,2.2,27.7,38.2
03/01/2013,19:00,82,8.9,7.8,2.1,27.5,44.1
03/01/2013,20:00,85,9.7,6.9,2.1,27.3,41.7
03/01/2013,21:00,92,9.1,7.2,2.0,27.1,39.4
03/01/2013,22:00,95,9.6,6.7,1.8,26.8,33.2
03/01/2013,23:00,99,9.7,6.2,1.7,26.5,19.9
04/01/2013,00:00,113,5.9,14.3,2.2,25.9,17.2
04/01/2013,01:00,119,4.8,7.9,1.3,24.7,8.9
04/01/2013,02:00,123,3.6,9.8,1.0,24.1,15.1
04/01/2013,03:00,132,2.4,12.3,0.8,23.6,19.9
04/01/2013,04:00,135,2.4,12.3,0.9,23.3,21.4
04/01/2013,05:00,135,2.9,11.2,0.9,23.7,26.0
04/01/2013,06:00,133,3.5,14.5,1.4,25.1,26.3
04/01/2013,07:00,121,5.6,11.5,1.6,26.6,28.4
04/01/2013,08:00,106,6.6,12.7,2.0,28.0,33.2
04/01/2013,09:00,94,7.2,10.9,1.9,28.7,37.0
04/01/2013,10:00,87,7.0,11.1,1.9,29.5,28.7
04/01/2013,11:00,78,6.5,13.9,1.7,29.8,37.6
04/01/2013,12:00,78,7.7,11.9,2.2,29.8,51.6
04/01/2013,13:00,79,8.5,9.7,2.2,29.5,68.1
04/01/2013,14:00,78,8.5,10.8,2.4,29.2,57.1
04/01/2013,15:00,80,9.7,8.7,2.4,28.9,67.4
04/01/2013,16:00,81,9.9,8.2,2.5,28.4,49.2
04/01/2013,17:00,83,10.6,7.0,2.5,27.8,41.8
04/01/2013,18:00,87,11.2,6.3,2.2,27.3,40.9
04/01/2013,19:00,90,10.7,6.3,2.2,27.0,33.6
04/01/2013,20:00,92,10.5,6.0,2.2,26.8,29.6
04/01/2013,21:00,97,10.0,5.8,1.8,26.5,28.3
04/01/2013,22:00,101,9.0,6.2,1.7,26.3,27.2
04/01/2013,23:00,105,7.6,7.1,1.6,25.9,21.4
05/01/2013,00:00,116,4.6,22.8,2.1,25.4,17.4
05/01/2013,01:00,158,2.0,17.4,0.9,24.2,9.7
05/01/2013,02:00,142,2.3,13.6,0.9,23.9,22.0
05/01/2013,03:00,131,2.1,11.0,0.7,23.4,27.1
05/01/2013,04:00,122,2.3,10.5,0.7,23.2,28.3
05/01/2013,05:00,127,2.9,9.4,0.8,23.5,29.4
05/01/2013,06:00,110,4.7,11.5,1.8,25.4,30.6
05/01/2013,07:00,104,7.9,7.9,1.5,26.4,25.3
05/01/2013,08:00,100,8.2,8.8,1.8,27.4,23.0
05/01/2013,09:00,92,6.7,9.8,1.9,28.5,21.7
05/01/2013,10:00,87,6.0,14.0,1.8,29.2,28.6
05/01/2013,11:00,78,6.6,13.2,1.9,29.4,30.7
05/01/2013,12:00,77,7.1,13.9,1.9,29.5,39.0
05/01/2013,13:00,81,9.7,8.1,2.4,28.7,58.8
05/01/2013,14:00,88,9.7,8.4,2.6,28.2,33.9
05/01/2013,15:00,86,9.1,9.1,2.6,28.2,25.1
05/01/2013,16:00,87,10.1,7.7,2.1,28.0,14.6
05/01/2013,17:00,87,10.0,7.2,2.3,27.8,22.9
05/01/2013,18:00,86,10.2,6.4,2.1,27.3,28.8
05/01/2013,19:00,88,9.5,6.4,1.9,27.0,29.2
05/01/2013,20:00,88,9.3,6.9,2.1,26.9,25.5
05/01/2013,21:00,92,8.8,7.7,2.1,26.7,32.3
05/01/2013,22:00,97,8.1,6.4,1.8,26.6,23.3
05/01/2013,23:00,101,7.3,7.3,1.9,26.3,16.2
06/01/2013,00:00,110,5.5,9.0,1.6,25.9,13.7
06/01/2013,01:00,136,2.8,11.6,1.0,25.0,3.6
06/01/2013,02:00,157,1.7,19.3,0.8,24.1,3.7
06/01/2013,03:00,148,1.9,17.4,0.9,23.8,11.0
06/01/2013,04:00,136,2.1,13.9,0.9,23.8,11.3
06/01/2013,05:00,129,3.1,9.5,1.0,24.3,13.3
06/01/2013,06:00,121,3.5,17.7,1.5,24.8,20.8
06/01/2013,07:00,112,5.8,9.6,1.6,26.3,17.4
06/01/2013,08:00,115,5.0,17.0,1.8,27.1,17.3
06/01/2013,09:00,101,6.7,11.4,2.0,28.1,21.2
06/01/2013,10:00,97,7.9,9.2,2.1,28.5,16.9
06/01/2013,11:00,91,7.9,10.9,2.1,28.5,27.9
06/01/2013,12:00,83,8.2,10.2,2.6,28.5,29.3
06/01/2013,13:00,85,9.6,8.8,2.6,28.6,31.2
06/01/2013,14:00,87,10.1,8.8,2.8,27.9,34.0
06/01/2013,15:00,89,9.8,7.9,2.7,28.0,12.0
06/01/2013,16:00,90,9.4,7.4,2.2,27.8,7.4
06/01/2013,17:00,88,10.2,6.4,2.1,27.4,19.7
06/01/2013,18:00,87,11.4,5.8,2.3,26.9,25.7
06/01/2013,19:00,92,10.0,6.3,2.1,26.6,37.7
06/01/2013,20:00,99,10.0,7.0,1.8,26.7,11.8
06/01/2013,21:00,100,10.2,5.8,1.9,26.5,20.3
06/01/2013,22:00,97,10.2,6.4,1.9,26.4,19.2
06/01/2013,23:00,98,9.1,7.0,1.9,26.2,19.8
07/01/2013,00:00,108,7.5,7.1,1.7,25.6,10.9
07/01/2013,01:00,131,2.8,12.5,1.0,24.3,6.7
07/01/2013,02:00,126,3.0,9.6,0.8,23.9,5.7
07/01/2013,03:00,137,2.5,11.0,0.9,23.6,8.7
07/01/2013,04:00,126,3.3,10.2,1.0,24.2,14.0
07/01/2013,05:00,140,2.7,10.9,0.9,23.9,15.5
07/01/2013,06:00,132,3.6,10.4,1.2,24.5,15.7
07/01/2013,07:00,111,6.6,9.4,2.1,25.9,23.5
07/01/2013,08:00,107,7.5,9.5,1.7,26.6,22.6
07/01/2013,09:00,99,9.2,8.3,2.0,27.7,24.2
07/01/2013,10:00,89,9.0,8.6,2.6,28.9,31.5
07/01/2013,11:00,84,9.7,8.1,2.6,29.0,64.8
07/01/2013,12:00,83,10.5,8.3,2.8,28.7,57.1
07/01/2013,13:00,84,10.4,8.3,2.6,28.7,64.2
07/01/2013,14:00,83,9.8,8.9,2.8,28.8,54.6
07/01/2013,15:00,82,10.2,7.7,2.8,28.5,46.3
07/01/2013,16:00,83,11.1,7.0,2.8,28.0,56.9
07/01/2013,17:00,87,11.3,6.5,2.5,27.6,33.1
07/01/2013,18:00,89,11.2,6.3,2.2,27.0,35.9
07/01/2013,19:00,91,9.5,6.5,2.2,26.6,27.1
07/01/2013,20:00,95,9.1,7.3,1.8,26.5,31.7
07/01/2013,21:00,101,8.6,6.4,1.8,26.4,19.3
07/01/2013,22:00,102,7.7,5.5,1.6,26.3,18.4
07/01/2013,23:00,103,7.4,6.4,1.4,25.9,16.4
08/01/2013,00:00,118,4.1,15.3,1.7,25.1,14.8
08/01/2013,01:00,130,3.3,9.1,0.9,24.5,12.2
08/01/2013,02:00,130,3.0,9.5,0.9,24.0,12.3
08/01/2013,03:00,132,2.6,10.8,0.8,23.9,19.5
08/01/2013,04:00,129,2.7,10.9,1.0,23.4,25.1
08/01/2013,05:00,147,1.5,24.5,0.8,22.9,20.4
08/01/2013,06:00,120,1.8,15.2,0.6,23.9,22.3
08/01/2013,07:00,103,4.4,8.8,1.1,25.9,25.2
08/01/2013,08:00,95,4.9,10.9,1.3,27.3,23.6
08/01/2013,09:00,86,4.5,15.0,1.5,28.2,26.9
08/01/2013,10:00,72,4.7,14.0,1.4,28.7,10.2
08/01/2013,11:00,70,4.5,15.4,1.2,28.8,22.4
08/01/2013,12:00,75,4.9,14.0,1.3,29.0,10.7
08/01/2013,13:00,78,5.9,8.3,1.3,28.7,13.9
08/01/2013,14:00,74,5.6,11.5,1.4,28.8,20.1
08/01/2013,15:00,81,6.9,6.8,1.4,28.3,22.8
08/01/2013,16:00,84,6.8,6.6,1.5,27.9,25.4
08/01/2013,17:00,83,6.2,7.3,1.4,27.5,31.4
08/01/2013,18:00,80,3.9,12.5,1.3,27.0,35.4
08/01/2013,19:00,76,3.2,12.7,0.9,26.5,49.5
08/01/2013,20:00,75,3.3,13.7,1.0,26.5,41.7
08/01/2013,21:00,67,2.6,15.8,1.0,26.3,29.9
08/01/2013,22:00,50,0.8,28.3,0.3,26.0,14.3
08/01/2013,23:00,29,0.7,41.1,0.4,25.6,12.6
09/01/2013,00:00,353,0.5,58.8,0.4,24.9,13.0
09/01/2013,01:00,330,0.6,32.3,0.3,24.5,14.6
09/01/2013,02:00,277,0.9,14.5,0.4,24.1,24.0
09/01/2013,03:00,271,0.8,13.7,0.2,22.5,16.4
09/01/2013,04:00,269,0.8,15.4,0.2,22.3,17.8
09/01/2013,05:00,275,0.8,15.4,0.2,22.7,24.4
09/01/2013,06:00,262,0.9,22.5,0.4,25.1,31.1
09/01/2013,07:00,296,0.9,27.6,0.4,27.0,44.0
09/01/2013,08:00,304,1.2,35.0,0.6,28.9,32.1
09/01/2013,09:00,307,1.2,53.2,0.8,31.0,26.1
09/01/2013,10:00,52,2.4,28.1,1.7,31.4,64.0
09/01/2013,11:00,43,2.6,27.4,1.4,31.2,51.8
09/01/2013,12:00,35,2.5,24.6,1.2,31.4,29.5
09/01/2013,13:00,16,2.0,28.1,0.9,32.0,28.6
09/01/2013,14:00,7,1.8,173.8,0.9,32.0,26.4
09/01/2013,15:00,349,1.6,28.9,0.7,32.8,19.0
09/01/2013,16:00,345,2.5,15.3,1.1,32.1,17.3
09/01/2013,17:00,354,2.8,15.8,1.2,30.2,16.8
09/01/2013,18:00,9,2.3,179.9,1.0,28.3,25.8
09/01/2013,19:00,20,2.0,21.2,1.0,27.1,21.8
09/01/2013,20:00,22,1.6,16.0,0.7,26.6,19.8
09/01/2013,21:00,23,1.4,16.4,0.5,26.2,20.9
09/01/2013,22:00,19,1.2,16.6,0.5,26.1,18.2
09/01/2013,23:00,17,0.9,28.6,0.5,25.9,16.2
10/01/2013,00:00,19,0.8,175.2,0.5,25.7,9.8
10/01/2013,01:00,20,1.0,44.0,0.7,25.7,9.8
10/01/2013,02:00,46,0.3,59.5,0.3,25.4,12.7
10/01/2013,03:00,29,0.6,29.4,0.3,25.3,17.2
10/01/2013,04:00,40,0.3,64.0,0.3,25.3,19.6
10/01/2013,05:00,74,0.3,90.2,0.3,25.5,30.7
10/01/2013,06:00,16,0.5,159.2,0.4,28.1,36.1
10/01/2013,07:00,46,1.4,37.6,0.8,29.0,40.1
10/01/2013,08:00,52,2.3,28.5,1.0,29.2,24.2
10/01/2013,09:00,45,2.9,22.9,1.1,29.8,30.3
10/01/2013,10:00,46,3.2,21.4,1.2,29.8,25.0
10/01/2013,11:00,47,3.2,21.7,1.2,29.9,30.7
10/01/2013,12:00,48,3.4,19.5,1.1,29.8,24.4
10/01/2013,13:00,49,3.7,19.2,1.3,30.0,20.9
10/01/2013,14:00,52,4.2,19.5,1.4,29.8,19.6
10/01/2013,15:00,51,3.4,22.3,1.3,29.8,24.8
10/01/2013,16:00,49,3.2,20.0,1.2,29.2,31.8
10/01/2013,17:00,51,2.8,19.6,1.2,28.7,29.3
10/01/2013,18:00,49,2.0,17.0,1.0,28.0,23.8
10/01/2013,19:00,51,2.4,12.7,1.1,27.2,24.0
10/01/2013,20:00,58,3.1,13.0,1.1,27.1,34.0
10/01/2013,21:00,55,3.0,14.6,1.2,27.1,33.7
10/01/2013,22:00,45,2.1,14.2,0.7,27.1,36.3
10/01/2013,23:00,49,2.6,14.0,0.8,27.4,31.3
11/01/2013,00:00,67,3.7,11.7,0.9,27.3,26.4
11/01/2013,01:00,71,4.6,8.1,0.9,27.1,22.6
11/01/2013,02:00,69,4.7,7.4,0.9,27.0,21.4
11/01/2013,03:00,70,3.8,8.5,0.7,27.1,18.9
11/01/2013,04:00,71,2.9,9.9,0.8,27.1,26.8
11/01/2013,05:00,82,3.2,12.9,0.8,27.0,14.5
11/01/2013,06:00,109,2.1,15.0,0.8,27.0,20.6
11/01/2013,07:00,86,2.7,22.4,0.6,27.8,26.4
11/01/2013,08:00,76,3.3,17.6,1.1,29.5,31.0
11/01/2013,09:00,67,2.9,28.9,1.2,30.3,28.0
11/01/2013,10:00,83,4.7,10.4,1.2,30.0,70.6
11/01/2013,11:00,84,5.4,8.3,1.3,30.0,85.5
11/01/2013,12:00,68,3.2,23.9,1.2,31.1,105.4
11/01/2013,13:00,42,2.5,26.9,1.1,30.9,42.6
11/01/2013,14:00,40,2.7,27.7,1.0,30.7,29.3
11/01/2013,15:00,41,2.8,23.4,1.0,30.5,23.3
11/01/2013,16:00,46,3.0,21.4,1.0,29.9,23.6
11/01/2013,17:00,47,3.2,17.6,1.1,29.1,27.1
11/01/2013,18:00,50,3.0,16.1,1.0,28.4,19.5
11/01/2013,19:00,54,2.9,14.9,0.9,28.0,24.2
11/01/2013,20:00,58,3.1,15.1,0.8,27.9,25.4
11/01/2013,21:00,71,3.5,11.8,0.8,27.8,18.7
11/01/2013,22:00,70,3.8,10.9,1.0,27.8,14.3
11/01/2013,23:00,54,2.9,12.3,0.8,27.8,14.0
12/01/2013,00:00,49,2.7,14.7,0.9,27.8,8.8
12/01/2013,01:00,41,2.1,12.8,0.8,27.4,14.5
12/01/2013,02:00,31,1.5,12.3,0.4,27.1,13.8
12/01/2013,03:00,31,1.3,12.2,0.4,26.8,12.4
12/01/2013,04:00,24,1.4,14.2,0.4,26.5,16.2
12/01/2013,05:00,29,1.2,15.9,0.4,26.5,20.7
12/01/2013,06:00,359,1.1,147.9,0.3,28.1,29.0
12/01/2013,07:00,332,0.9,36.2,0.6,29.9,19.5
12/01/2013,08:00,44,1.4,35.7,0.9,31.9,18.1
12/01/2013,09:00,86,3.4,12.8,1.1,30.7,31.3
12/01/2013,10:00,69,2.8,26.2,1.1,31.2,66.7
12/01/2013,11:00,47,2.4,25.0,1.0,31.4,37.7
12/01/2013,12:00,47,3.0,21.6,1.1,30.8,26.9
12/01/2013,13:00,43,2.6,23.8,1.2,31.3,19.1
12/01/2013,14:00,46,2.8,23.8,1.2,31.0,23.0
12/01/2013,15:00,44,2.9,25.1,1.2,30.5,27.8
12/01/2013,16:00,37,2.3,30.6,1.1,30.3,24.6
12/01/2013,17:00,44,2.2,26.5,1.2,29.4,7.1
12/01/2013,18:00,39,1.4,20.8,0.6,28.6,22.4
12/01/2013,19:00,45,1.6,15.4,0.6,27.8,19.5
12/01/2013,20:00,39,1.5,17.4,0.6,27.6,14.5
12/01/2013,21:00,33,1.4,13.1,0.4,27.3,18.9
12/01/2013,22:00,31,1.3,13.2,0.4,27.2,14.0
12/01/2013,23:00,28,1.6,16.7,0.6,27.2,12.7
13/01/2013,00:00,25,1.3,14.2,0.5,26.6,6.9
13/01/2013,01:00,35,1.3,15.7,0.5,26.6,12.7
13/01/2013,02:00,42,1.5,19.3,0.5,26.4,14.6
13/01/2013,03:00,68,3.0,11.2,0.8,26.8,9.6
13/01/2013,04:00,62,2.6,14.7,0.8,26.7,32.7
13/01/2013,05:00,39,1.2,19.4,0.5,26.5,16.1
13/01/2013,06:00,321,0.5,48.6,0.4,28.1,26.5
13/01/2013,07:00,14,1.1,172.2,0.5,30.3,16.6
13/01/2013,08:00,77,2.9,17.6,1.2,29.6,20.5
13/01/2013,09:00,79,4.5,9.7,1.0,29.3,12.6
13/01/2013,10:00,62,2.6,26.1,1.2,31.2,19.1
13/01/2013,11:00,67,3.1,26.5,1.2,30.8,51.9
13/01/2013,12:00,42,2.3,26.3,1.0,31.3,37.0
13/01/2013,13:00,39,2.4,23.8,1.0,31.0,35.2
13/01/2013,14:00,47,3.3,22.0,1.2,30.5,51.8
13/01/2013,15:00,51,3.3,23.0,1.3,30.0,32.5
13/01/2013,16:00,49,3.0,22.1,1.3,29.7,23.0
13/01/2013,17:00,40,2.0,25.4,1.0,29.3,24.9
13/01/2013,18:00,47,1.9,18.3,0.9,28.1,14.1
13/01/2013,19:00,50,1.7,14.6,0.7,27.3,5.2
13/01/2013,20:00,40,1.3,18.7,0.4,27.1,18.5
13/01/2013,21:00,21,1.4,21.7,0.5,26.7,19.0
13/01/2013,22:00,20,1.6,20.2,0.6,26.3,18.1
13/01/2013,23:00,18,1.6,14.3,0.5,26.4,5.5
14/01/2013,00:00,14,1.5,19.2,0.6,26.0,12.5
14/01/2013,01:00,18,1.3,24.1,0.6,25.8,8.1
14/01/2013,02:00,16,1.4,21.3,0.7,25.5,7.5
14/01/2013,03:00,26,0.9,23.3,0.4,23.9,13.9
14/01/2013,04:00,29,0.9,24.2,0.5,23.9,11.8
14/01/2013,05:00,307,0.7,71.6,0.7,24.7,18.7
14/01/2013,06:00,293,0.4,65.8,0.6,26.7,22.0
14/01/2013,07:00,319,1.2,28.8,0.6,28.6,26.6
14/01/2013,08:00,288,2.3,15.6,0.7,29.1,44.2
14/01/2013,09:00,42,0.9,121.4,2.2,31.2,39.9
14/01/2013,10:00,71,3.9,20.7,1.9,30.4,85.6
14/01/2013,11:00,46,3.1,21.3,1.1,30.5,101.0
14/01/2013,12:00,46,3.3,18.0,1.2,30.5,59.2
14/01/2013,13:00,41,3.3,21.3,1.2,30.6,26.7
14/01/2013,14:00,37,2.8,25.6,1.3,30.6,18.2
14/01/2013,15:00,5,1.6,170.2,0.8,32.0,15.6
14/01/2013,16:00,347,1.5,20.4,0.7,31.8,20.9
14/01/2013,17:00,28,1.7,25.5,0.9,29.4,43.7
14/01/2013,18:00,44,1.5,16.5,0.6,28.2,26.0
14/01/2013,19:00,33,1.4,20.3,0.5,27.9,20.5
14/01/2013,20:00,61,2.3,18.2,1.2,27.8,31.9
14/01/2013,21:00,73,5.4,7.1,0.9,27.8,12.6
14/01/2013,22:00,74,5.5,10.8,1.3,26.6,28.8
14/01/2013,23:00,78,6.6,7.2,1.3,27.4,0.9
15/01/2013,00:00,,,,,,
15/01/2013,01:00,,,,,,
15/01/2013,02:00,62,2.4,21.7,1.8,25.2,
15/01/2013,03:00,265,0.4,70.5,0.5,24.7,28.8
15/01/2013,04:00,159,0.4,82.6,0.5,24.5,18.2
15/01/2013,05:00,203,0.3,82.4,0.4,24.4,13.7
15/01/2013,06:00,170,0.5,78.4,0.7,24.6,14.1
15/01/2013,07:00,105,4.6,10.2,1.5,26.3,11.7
15/01/2013,08:00,101,6.1,8.5,1.6,26.9,
15/01/2013,09:00,100,5.8,9.2,1.6,28.4,15.0
15/01/2013,10:00,100,7.6,8.3,1.8,28.0,16.8
15/01/2013,11:00,100,7.6,8.3,1.8,27.6,18.9
15/01/2013,12:00,68,4.1,28.1,2.6,24.8,13.4
15/01/2013,13:00,96,7.3,14.9,2.5,25.6,24.6
15/01/2013,14:00,88,7.6,8.0,2.1,25.1,13.7
15/01/2013,15:00,100,6.6,7.9,1.5,25.2,17.6
15/01/2013,16:00,102,7.6,6.8,1.9,25.4,20.6
15/01/2013,17:00,96,8.4,10.2,2.0,24.9,17.5
15/01/2013,18:00,95,8.9,7.7,2.0,24.6,20.3
15/01/2013,19:00,101,7.6,10.2,2.3,26.0,18.6
15/01/2013,20:00,111,7.8,7.1,1.9,25.3,14.7
15/01/2013,21:00,106,9.0,6.4,1.7,25.2,5.9
15/01/2013,22:00,114,5.9,9.2,1.8,25.5,2.9
15/01/2013,23:00,119,5.7,8.6,1.8,25.3,6.9
16/01/2013,00:00,120,6.0,7.8,1.6,25.2,6.9
16/01/2013,01:00,131,3.5,9.8,1.1,24.4,12.8
16/01/2013,02:00,127,3.2,9.2,0.9,23.9,13.1
16/01/2013,03:00,129,2.8,10.5,0.8,23.7,19.2
16/01/2013,04:00,130,2.7,8.8,0.7,23.7,23.3
16/01/2013,05:00,141,2.2,10.9,0.7,23.5,21.3
16/01/2013,06:00,130,3.0,11.7,0.9,24.8,20.3
16/01/2013,07:00,108,6.2,10.2,1.9,26.1,33.8
16/01/2013,08:00,103,8.0,8.1,1.8,27.0,34.1
16/01/2013,09:00,102,7.9,9.2,1.8,28.0,33.7
16/01/2013,10:00,89,6.2,13.0,1.7,28.7,31.5
16/01/2013,11:00,77,6.7,12.4,1.9,29.3,35.2
16/01/2013,12:00,77,7.4,12.1,1.9,29.4,20.2
16/01/2013,13:00,73,7.8,12.3,2.0,29.0,38.4
16/01/2013,14:00,71,8.1,11.2,1.9,28.7,31.9
16/01/2013,15:00,73,7.9,11.7,2.1,28.6,31.4
16/01/2013,16:00,74,8.3,10.0,1.9,28.0,51.8
16/01/2013,17:00,82,9.3,8.8,2.0,27.5,29.9
16/01/2013,18:00,85,9.6,7.8,2.0,26.9,25.7
16/01/2013,19:00,89,9.2,6.5,1.8,26.7,25.6
16/01/2013,20:00,93,8.0,6.6,1.6,26.6,27.6
16/01/2013,21:00,99,6.4,7.4,1.5,26.3,22.6
16/01/2013,22:00,101,6.2,7.2,1.5,26.2,18.9
16/01/2013,23:00,126,2.9,12.6,1.0,25.2,20.2
17/01/2013,00:00,140,1.9,12.1,0.7,24.3,5.5
17/01/2013,01:00,137,1.8,9.0,0.5,24.0,13.5
17/01/2013,02:00,150,1.7,17.7,0.7,23.6,15.2
17/01/2013,03:00,151,1.5,23.6,0.9,23.0,19.2
17/01/2013,04:00,132,2.8,8.9,0.8,23.1,17.0
17/01/2013,05:00,133,3.0,9.1,1.0,22.9,16.2
17/01/2013,06:00,128,3.4,10.8,0.9,24.6,23.0
17/01/2013,07:00,119,4.3,14.3,1.4,26.0,26.7
17/01/2013,08:00,100,6.2,8.9,1.5,27.1,29.4
17/01/2013,09:00,94,5.4,12.0,1.6,27.9,25.5
17/01/2013,10:00,76,4.8,16.0,1.2,28.6,30.0
17/01/2013,11:00,74,4.8,14.1,1.1,29.1,18.7
17/01/2013,12:00,68,5.7,14.2,3.1,29.3,38.3
