Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3),Bsp (Mm^-1)
01/01/2013,00:00,162,2.4,20.5,1.0,24.3,5.0,
01/01/2013,01:00,144,3.1,16.3,0.9,24.4,2.6,9
01/01/2013,02:00,140,2.2,15.2,0.9,24.2,2.3,7
01/01/2013,03:00,203,1.5,27.9,0.6,24.1,6.4,6
01/01/2013,04:00,196,2.1,25.4,0.8,24.4,3.8,6
01/01/2013,05:00,176,1.9,21.6,0.7,24.8,4.7,6
01/01/2013,06:00,159,1.7,18.4,0.7,26.3,12.0,6
01/01/2013,07:00,164,1.7,24.7,0.8,29.1,10.0,8
01/01/2013,08:00,138,3.2,17.9,1.1,29.8,,9
01/01/2013,09:00,144,2.8,22.2,1.1,31.4,7.4,11
01/01/2013,10:00,121,3.6,19.2,1.1,31.6,8.5,16
01/01/2013,11:00,103,3.5,20.9,1.1,32.2,20.8,18
01/01/2013,12:00,92,3.5,17.4,1.2,32.1,18.8,17
01/01/2013,13:00,85,4.0,18.2,1.3,32.6,,17
01/01/2013,14:00,86,4.9,15.6,1.4,32.1,19.4,20
01/01/2013,15:00,86,5.2,15.7,1.4,31.8,16.2,22
01/01/2013,16:00,86,4.7,15.5,1.3,31.4,27.2,20
01/01/2013,17:00,90,4.6,13.9,1.5,30.4,27.2,19
01/01/2013,18:00,87,3.4,14.1,1.0,28.9,27.4,21
01/01/2013,19:00,84,3.2,14.2,1.0,28.4,14.2,21
01/01/2013,20:00,94,2.9,14.4,0.8,28.0,28.0,22
01/01/2013,21:00,110,2.5,18.8,1.0,28.0,20.4,21
01/01/2013,22:00,131,2.1,15.7,0.8,27.4,18.2,22
01/01/2013,23:00,131,2.8,12.3,0.8,27.1,11.5,19
02/01/2013,00:00,136,1.9,20.7,0.9,26.4,10.9,
02/01/2013,01:00,180,1.0,20.5,0.4,25.1,11.6,17
02/01/2013,02:00,170,1.0,19.3,0.4,24.6,10.8,15
02/01/2013,03:00,181,1.4,20.3,0.6,24.6,9.3,16
02/01/2013,04:00,186,1.2,20.3,0.5,24.4,6.2,16
02/01/2013,05:00,191,1.1,19.2,0.4,24.2,11.4,15
02/01/2013,06:00,194,1.1,23.5,0.4,28.0,15.1,15
02/01/2013,07:00,174,1.7,24.6,0.8,30.0,8.1,15
02/01/2013,08:00,143,2.2,23.7,0.9,30.9,17.1,18
02/01/2013,09:00,122,2.7,20.9,0.8,31.4,13.3,17
02/01/2013,10:00,113,2.6,21.8,0.9,32.3,16.1,16
02/01/2013,11:00,79,3.1,22.0,1.1,32.3,14.9,16
02/01/2013,12:00,69,3.5,20.9,1.2,32.4,10.5,16
02/01/2013,13:00,66,3.5,20.0,1.2,32.9,23.9,14
02/01/2013,14:00,68,3.5,19.7,1.2,32.7,17.6,13
02/01/2013,15:00,56,2.8,20.8,1.2,32.9,26.1,15
02/01/2013,16:00,51,2.6,21.1,1.0,32.6,22.5,17
02/01/2013,17:00,54,3.0,20.6,1.1,31.3,22.2,16
02/01/2013,18:00,59,2.5,18.9,0.9,29.6,20.7,18
02/01/2013,19:00,65,1.6,17.9,0.6,28.3,20.3,18
02/01/2013,20:00,70,0.9,23.5,0.4,27.8,25.1,19
02/01/2013,21:00,60,1.3,14.3,0.4,27.5,18.2,18
02/01/2013,22:00,60,1.2,17.0,0.5,27.2,22.2,19
02/01/2013,23:00,57,0.7,16.8,0.3,26.7,17.0,19
03/01/2013,00:00,77,0.2,65.2,0.2,26.0,14.0,
03/01/2013,01:00,11,0.2,136.3,0.3,25.7,12.0,18
03/01/2013,02:00,242,0.7,23.0,0.3,25.0,19.8,17
03/01/2013,03:00,246,0.7,23.5,0.2,24.6,14.5,16
03/01/2013,04:00,218,0.4,49.7,0.3,24.3,,18
