Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2013,00:00,165,2.1,12.7,0.5,23.7,84.1,,,,,,9.2,-0.3,
01/01/2013,01:00,163,2.4,12.8,0.7,23.7,82.6,0.000,0.000,0.000,0.000,0.0,15.1,4.6,16
01/01/2013,02:00,156,2.3,13.7,0.7,23.5,84.3,0.000,0.000,0.000,0.000,0.0,16.5,4.2,16
01/01/2013,03:00,164,2.3,12.1,0.8,23.5,84.6,0.000,0.000,0.000,0.000,0.0,22.1,9.1,17
01/01/2013,04:00,171,2.3,15.3,0.8,22.6,90.3,0.000,0.000,0.000,0.000,0.0,15.3,2.8,15
01/01/2013,05:00,171,2.5,12.7,0.7,22.2,92.2,0.000,0.000,0.000,0.000,0.0,13.7,3.6,16
01/01/2013,06:00,165,2.6,12.4,0.7,22.7,90.4,0.001,0.001,0.002,0.000,0.0,13.6,3.1,16
01/01/2013,07:00,163,2.8,14.1,0.8,23.2,88.3,0.001,0.001,0.001,0.000,0.0,14.2,2.6,16
01/01/2013,08:00,170,3.0,13.3,0.9,23.9,85.8,0.000,0.000,0.000,0.000,0.0,14.4,4.6,15
01/01/2013,09:00,158,3.1,15.3,0.9,26.8,75.2,0.000,0.001,0.001,0.000,0.0,15.1,4.7,16
01/01/2013,10:00,127,2.5,26.9,1.0,28.0,70.4,0.000,0.000,0.000,0.000,0.0,19.4,6.5,17
01/01/2013,11:00,101,3.0,21.1,1.2,27.8,71.7,0.000,0.000,0.000,0.000,0.0,22.8,9.5,16
01/01/2013,12:00,101,2.6,21.8,1.1,27.1,75.3,0.000,0.000,0.000,0.000,0.0,16.9,3.3,15
01/01/2013,13:00,109,2.9,23.8,1.2,28.6,69.7,0.000,0.000,0.000,0.000,0.0,20.5,7.2,14
01/01/2013,14:00,90,3.5,22.4,1.3,28.4,69.7,0.000,0.000,0.000,0.000,0.0,13.7,1.2,13
01/01/2013,15:00,77,3.8,16.1,1.3,27.2,76.8,0.001,0.001,0.002,0.000,0.0,18.6,4.9,16
01/01/2013,16:00,82,2.6,18.3,1.1,26.1,82.4,0.000,0.000,0.000,0.000,0.0,21.7,6.2,17
01/01/2013,17:00,88,2.4,20.7,1.0,25.7,83.9,0.000,0.000,0.000,0.000,0.0,20.9,5.0,17
01/01/2013,18:00,112,1.8,21.2,0.9,25.7,83.8,0.000,0.001,0.001,0.000,0.0,18.9,3.3,20
01/01/2013,19:00,111,2.2,20.5,0.9,25.8,83.3,0.000,0.000,0.000,0.000,0.0,21.5,3.8,20
01/01/2013,20:00,125,1.5,22.2,0.7,25.6,84.0,0.000,0.001,0.001,0.000,0.0,22.8,3.5,20
01/01/2013,21:00,124,1.5,24.7,0.8,25.7,83.0,0.000,0.000,0.000,0.000,0.0,23.6,5.7,18
01/01/2013,22:00,175,1.0,23.1,0.3,25.2,85.3,0.000,0.001,0.001,0.000,0.0,21.5,5.4,17
01/01/2013,23:00,177,1.1,13.5,0.3,24.4,88.7,0.000,0.001,0.001,0.000,0.0,16.4,3.3,17
02/01/2013,00:00,190,0.8,25.4,0.3,24.3,87.8,,,,,,16.0,4.3,
02/01/2013,01:00,197,1.2,14.7,0.3,24.2,86.8,0.000,0.001,0.001,0.000,0.0,18.0,7.0,14
02/01/2013,02:00,199,1.4,16.9,0.5,24.2,86.4,0.000,0.001,0.001,0.000,0.0,14.7,3.0,14
02/01/2013,03:00,198,1.5,14.3,0.4,23.9,87.5,0.000,0.000,0.000,0.000,0.0,17.9,7.9,14
02/01/2013,04:00,198,1.1,16.6,0.3,23.6,87.8,0.000,0.001,0.001,0.000,0.0,16.5,5.6,17
02/01/2013,05:00,194,1.1,22.5,0.5,23.5,87.9,0.001,0.002,0.002,0.000,0.0,15.7,4.0,16
02/01/2013,06:00,171,1.8,17.5,0.5,25.6,81.1,0.000,0.001,0.001,0.000,0.0,15.9,3.8,14
02/01/2013,07:00,175,1.8,18.9,0.5,26.8,76.7,0.000,0.001,0.001,0.000,0.0,15.3,2.6,14
02/01/2013,08:00,169,1.9,21.4,0.7,28.8,68.5,0.000,0.000,0.000,0.000,0.0,17.3,5.3,13
02/01/2013,09:00,102,2.1,41.5,1.3,30.8,58.9,0.000,0.000,0.000,0.000,0.0,16.3,5.7,12
