Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2013,00:00,139,2.6,15.0,0.8,24.3,75.5,,1010,,,,,14.3,5.0,
01/01/2013,01:00,148,2.4,14.9,0.8,24.4,74.3,,1010,0.000,0.001,0.001,0.001,19.0,5.9,15
01/01/2013,02:00,137,2.2,19.4,0.9,24.1,76.2,,1009,0.000,0.000,0.000,0.000,21.2,6.2,16
01/01/2013,03:00,148,2.2,14.3,0.8,23.9,78.6,,1009,0.000,0.000,0.000,0.000,23.1,7.8,17
01/01/2013,04:00,141,3.4,12.3,1.1,23.7,79.7,,1009,0.000,0.000,0.000,0.000,24.3,6.7,16
01/01/2013,05:00,138,3.2,13.4,1.1,23.1,83.5,,1010,0.000,0.001,0.001,0.000,21.0,7.3,15
01/01/2013,06:00,143,3.3,13.2,1.1,23.5,81.7,,1010,0.000,0.000,0.000,0.000,16.4,5.0,15
01/01/2013,07:00,135,3.9,12.0,1.1,24.4,76.6,,1011,0.000,0.000,0.000,0.000,19.3,8.0,14
01/01/2013,08:00,143,3.3,15.8,1.1,24.5,77.8,,1011,0.000,0.000,0.000,0.000,19.4,9.6,13
01/01/2013,09:00,130,3.2,17.1,1.1,25.7,71.8,,1011,0.000,0.001,0.001,0.000,12.7,3.2,15
01/01/2013,10:00,123,4.3,13.5,1.1,27.3,63.7,,1011,0.000,0.002,0.002,0.000,20.1,6.6,14
01/01/2013,11:00,96,5.4,9.9,0.9,27.4,65.3,,1010,0.000,0.001,0.001,0.002,18.5,4.7,15
01/01/2013,12:00,96,3.9,12.4,1.0,26.6,73.8,,1010,0.001,0.002,0.003,0.000,19.5,3.8,16
01/01/2013,13:00,100,4.6,13.0,1.0,27.8,65.7,,1010,0.000,0.002,0.002,0.002,21.3,5.9,14
01/01/2013,14:00,82,5.5,13.3,1.1,27.9,64.1,,1009,0.001,0.000,0.001,0.002,21.9,7.2,12
01/01/2013,15:00,88,5.8,10.4,1.1,27.4,65.5,,1009,0.005,0.005,0.010,0.002,21.1,6.6,12
01/01/2013,16:00,87,3.5,12.0,1.2,26.4,75.2,,1009,0.000,0.002,0.002,0.001,21.3,5.9,15
01/01/2013,17:00,100,1.6,28.5,0.7,25.7,80.8,,1009,0.001,0.005,0.006,0.001,23.8,9.0,18
01/01/2013,18:00,109,2.3,14.0,0.6,25.7,81.5,,1009,0.001,0.005,0.006,0.001,24.1,9.6,17
01/01/2013,19:00,107,2.6,10.2,0.7,25.8,79.8,,1009,0.001,0.004,0.005,0.001,24.8,7.2,20
01/01/2013,20:00,115,1.9,14.4,0.7,25.9,78.2,,1009,0.000,0.001,0.001,0.000,29.1,9.5,18
01/01/2013,21:00,119,1.8,14.4,0.7,25.8,77.9,,1009,0.000,0.001,0.001,0.000,25.5,3.9,17
01/01/2013,22:00,119,2.2,16.3,0.7,25.9,76.1,,1009,0.000,0.001,0.001,0.000,23.9,3.6,16
