Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2013,00:00,74,2.1,21.2,0.8,,,,
01/01/2013,01:00,73,1.9,20.7,0.7,0.021,0.001,0.000,0.001
01/01/2013,02:00,70,0.9,92.0,1.0,0.017,0.001,0.001,0.002
01/01/2013,03:00,230,1.5,9.7,0.3,0.003,0.001,0.010,0.011
01/01/2013,04:00,203,2.2,12.4,0.6,0.007,0.001,0.007,0.008
01/01/2013,05:00,201,2.1,11.6,0.5,0.008,0.002,0.006,0.007
01/01/2013,06:00,202,2.5,15.2,0.7,0.012,0.002,0.004,0.006
01/01/2013,07:00,163,1.2,45.7,0.8,0.016,0.002,0.003,0.005
01/01/2013,08:00,64,1.2,27.9,0.6,0.021,0.001,0.003,0.004
01/01/2013,09:00,64,1.6,17.9,0.6,0.025,0.001,0.002,0.003
01/01/2013,10:00,58,2.4,14.2,0.8,0.023,0.001,0.001,0.001
01/01/2013,11:00,63,2.6,14.6,0.8,0.025,0.001,0.000,0.001
01/01/2013,12:00,61,2.8,13.8,0.9,0.023,0.001,0.001,0.001
01/01/2013,13:00,56,3.2,13.4,0.8,0.022,0.001,0.001,0.001
01/01/2013,14:00,52,3.7,10.6,1.0,0.023,0.001,0.000,0.001
01/01/2013,15:00,50,4.0,10.2,1.0,0.021,0.000,0.001,0.001
01/01/2013,16:00,44,4.0,10.4,0.9,0.019,0.000,0.001,0.001
01/01/2013,17:00,31,4.7,9.1,0.9,0.018,0.001,0.000,0.001
01/01/2013,18:00,29,4.2,10.4,0.8,0.017,0.000,0.001,0.001
01/01/2013,19:00,12,3.1,169.9,0.9,0.017,0.000,0.001,0.001
01/01/2013,20:00,335,1.8,9.5,0.6,0.015,0.001,0.001,0.002
01/01/2013,21:00,320,0.8,35.0,0.5,0.013,0.001,0.002,0.003
01/01/2013,22:00,283,0.5,28.5,0.3,0.011,0.001,0.003,0.004
01/01/2013,23:00,265,0.8,24.3,0.4,0.007,0.001,0.007,0.008
02/01/2013,00:00,252,1.2,9.4,0.2,,,,
