Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC)
01/01/2013,00:00,132,2.0,13.3,0.4,19.5
01/01/2013,01:00,147,2.2,7.2,0.5,19.1
01/01/2013,02:00,143,0.9,71.7,1.1,18.4
01/01/2013,03:00,,0.0,63.1,0.1,17.1
01/01/2013,04:00,,0.0,53.1,0.0,16.2
01/01/2013,05:00,267,0.8,18.7,0.7,16.7
01/01/2013,06:00,238,0.7,43.7,0.8,20.4
01/01/2013,07:00,145,1.0,60.2,1.0,23.5
01/01/2013,08:00,70,1.6,52.4,1.3,25.1
01/01/2013,09:00,49,1.9,58.0,1.5,26.7
01/01/2013,10:00,25,2.4,40.1,1.3,28.4
01/01/2013,11:00,4,1.9,57.4,1.6,29.9
01/01/2013,12:00,5,2.4,41.9,1.6,29.5
01/01/2013,13:00,123,1.0,77.6,1.2,30.8
01/01/2013,14:00,248,0.7,78.7,0.9,30.1
01/01/2013,15:00,289,1.5,38.3,0.9,30.0
01/01/2013,16:00,47,1.4,108.5,1.7,30.5
01/01/2013,17:00,20,3.1,15.8,1.0,29.0
01/01/2013,18:00,61,4.5,12.5,1.1,25.8
01/01/2013,19:00,63,3.3,8.6,1.2,24.3
01/01/2013,20:00,88,1.5,13.9,0.4,23.1
01/01/2013,21:00,128,1.1,19.7,1.1,21.9
01/01/2013,22:00,130,1.9,14.8,1.1,21.3
01/01/2013,23:00,338,0.2,142.9,0.5,19.4
02/01/2013,00:00,,0.0,0.1,0.0,18.5
02/01/2013,01:00,,0.0,1.5,0.0,17.8
02/01/2013,02:00,250,1.1,23.4,0.9,16.5
02/01/2013,03:00,272,2.0,8.9,0.4,16.3
02/01/2013,04:00,251,2.4,12.5,0.5,15.8
02/01/2013,05:00,269,2.7,10.1,0.5,16.1
02/01/2013,06:00,251,2.9,13.8,0.7,19.2
02/01/2013,07:00,254,2.5,20.0,1.1,22.5
02/01/2013,08:00,262,1.4,45.7,1.3,25.9
02/01/2013,09:00,286,1.5,51.5,1.1,28.6
02/01/2013,10:00,255,1.4,58.0,1.4,31.8
02/01/2013,11:00,258,0.9,116.5,1.6,34.0
