Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa)
01/01/2013,00:00,188,1.2,12.3,0.3,20.5,80.0,0.0,
01/01/2013,01:00,191,1.7,17.8,0.4,19.5,84.1,0.0,
01/01/2013,02:00,205,1.9,7.4,0.3,19.2,84.2,0.0,
01/01/2013,03:00,180,1.8,15.5,0.4,18.8,86.1,0.0,
01/01/2013,04:00,188,2.1,13.0,0.4,18.5,87.5,0.0,
01/01/2013,05:00,174,1.8,14.0,0.5,18.5,86.2,0.0,
01/01/2013,06:00,194,2.1,15.5,0.6,19.9,81.3,0.0,
01/01/2013,07:00,191,1.6,24.2,0.7,22.4,70.7,0.0,
01/01/2013,08:00,268,0.3,88.7,0.7,25.0,59.6,0.0,
01/01/2013,09:00,19,1.4,45.7,0.9,26.1,55.5,0.0,
01/01/2013,10:00,20,1.1,182.8,0.9,27.5,51.4,0.0,
01/01/2013,11:00,4,1.3,170.5,0.8,28.4,47.3,0.0,
01/01/2013,12:00,359,1.1,57.1,0.8,29.1,44.1,0.0,
01/01/2013,13:00,339,1.2,51.3,0.8,29.6,42.8,0.0,
01/01/2013,14:00,29,1.5,36.8,0.8,29.7,43.1,0.0,
01/01/2013,15:00,44,3.0,19.2,1.1,28.4,52.4,0.0,
01/01/2013,16:00,49,2.6,15.9,0.8,27.4,55.8,0.0,
01/01/2013,17:00,53,2.4,12.7,0.9,26.6,59.6,0.0,
01/01/2013,18:00,51,2.1,12.9,0.7,25.3,64.9,0.0,
01/01/2013,19:00,54,1.6,13.2,0.6,24.3,68.8,0.0,
01/01/2013,20:00,31,0.7,24.8,0.3,23.4,73.0,0.0,
01/01/2013,21:00,17,0.6,171.2,0.3,23.0,75.7,0.0,
01/01/2013,22:00,11,0.5,179.3,0.3,22.8,77.4,0.0,
01/01/2013,23:00,213,0.8,41.4,0.3,21.7,81.8,0.0,
02/01/2013,00:00,184,1.1,18.8,0.3,20.8,86.0,0.0,
02/01/2013,01:00,200,1.7,6.8,0.3,20.0,88.8,0.0,
02/01/2013,02:00,192,1.6,6.9,0.2,19.6,90.3,0.0,
02/01/2013,03:00,188,1.7,11.7,0.3,19.2,91.7,0.0,
02/01/2013,04:00,197,1.8,8.7,0.4,18.7,93.1,0.0,
02/01/2013,05:00,197,1.9,7.4,0.3,18.5,93.4,0.0,
02/01/2013,06:00,186,1.5,18.4,0.4,20.0,88.3,0.0,
02/01/2013,07:00,175,0.9,53.5,0.6,22.8,77.4,0.0,
02/01/2013,08:00,124,0.9,62.9,0.7,25.1,68.8,0.0,
