Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3)
01/01/2013,00:00,139,0.4,73.3,0.5,25.1,,,,,,5.5
01/01/2013,01:00,129,0.2,99.8,0.4,25.2,0.010,0.002,0.002,0.004,0.000,
01/01/2013,02:00,345,0.1,139.0,0.4,24.5,0.008,0.002,0.002,0.004,0.000,12.4
01/01/2013,03:00,204,0.2,84.8,0.3,24.2,0.009,0.002,0.001,0.003,0.000,2.4
01/01/2013,04:00,281,0.3,53.5,0.2,24.2,0.007,0.002,0.001,0.003,0.000,
01/01/2013,05:00,,0.0,117.7,0.3,23.9,0.006,0.003,0.003,0.005,0.000,7.6
01/01/2013,06:00,143,0.2,89.0,0.3,24.2,0.008,0.003,0.002,0.005,0.000,14.5
01/01/2013,07:00,241,0.3,91.0,0.4,28.4,0.011,0.003,0.000,0.003,0.000,
01/01/2013,08:00,261,0.5,79.6,0.5,31.3,0.015,0.002,0.001,0.002,0.000,4.2
01/01/2013,09:00,19,0.6,154.7,0.9,32.8,0.015,0.001,0.000,0.001,0.000,
01/01/2013,10:00,51,1.8,44.7,1.3,33.3,0.017,0.001,0.000,0.001,0.000,10.7
01/01/2013,11:00,53,2.4,23.3,1.1,34.0,0.018,0.001,0.000,0.001,0.000,6.0
01/01/2013,12:00,51,2.2,31.5,1.2,34.5,0.018,0.001,0.001,0.001,0.000,16.1
01/01/2013,13:00,44,3.5,15.7,1.5,33.3,0.017,0.001,0.000,0.001,0.000,15.9
01/01/2013,14:00,43,3.7,14.8,1.7,33.6,0.016,0.000,0.000,0.000,0.000,
01/01/2013,15:00,48,3.4,16.2,1.4,32.8,0.016,0.000,0.000,0.000,0.000,16.5
01/01/2013,16:00,61,3.1,18.3,1.5,30.8,0.016,0.000,0.000,0.000,0.000,9.3
01/01/2013,17:00,71,3.1,16.2,1.4,30.4,0.016,0.000,0.000,0.000,0.000,23.6
01/01/2013,18:00,67,2.4,20.0,1.3,28.9,0.016,0.000,0.000,0.000,0.000,27.1
01/01/2013,19:00,70,1.7,24.0,1.0,28.3,0.015,0.000,0.000,0.000,0.000,26.2
01/01/2013,20:00,82,1.2,28.8,0.8,28.0,0.012,0.000,0.001,0.001,0.000,14.3
01/01/2013,21:00,90,1.0,34.2,0.6,27.6,0.011,0.000,0.001,0.001,0.000,23.4
01/01/2013,22:00,79,0.7,48.1,0.5,27.3,0.011,0.001,0.002,0.003,0.000,16.5
01/01/2013,23:00,68,0.9,30.4,0.6,27.1,0.012,0.001,0.001,0.002,0.000,14.0
02/01/2013,00:00,82,0.7,48.7,0.6,26.8,,,,,,6.9
02/01/2013,01:00,159,0.2,90.5,0.3,26.1,0.010,0.001,0.001,0.002,0.000,8.5
02/01/2013,02:00,238,0.3,61.8,0.2,25.6,0.010,0.001,0.001,0.002,0.000,4.7
02/01/2013,03:00,291,0.6,35.1,0.3,25.3,0.008,0.001,0.002,0.003,0.000,9.9
02/01/2013,04:00,3,0.4,40.5,0.2,24.7,0.007,0.002,0.002,0.004,0.000,10.1
02/01/2013,05:00,292,0.2,74.0,0.2,24.4,0.005,0.003,0.003,0.006,0.000,13.0
02/01/2013,06:00,344,0.2,139.9,0.2,25.2,0.006,0.005,0.003,0.008,0.000,13.8
02/01/2013,07:00,321,0.5,63.7,0.4,29.5,0.012,0.003,0.001,0.004,0.000,5.8
02/01/2013,08:00,328,0.4,78.0,0.4,31.9,0.015,0.002,0.001,0.003,0.000,2.1
02/01/2013,09:00,55,0.5,82.9,0.7,34.0,0.017,0.002,0.001,0.002,0.000,11.1
02/01/2013,10:00,26,2.0,30.9,1.1,33.4,0.019,0.001,0.001,0.002,0.000,11.1
02/01/2013,11:00,36,3.1,16.5,1.2,33.8,0.019,0.001,0.001,0.002,0.000,6.0
02/01/2013,12:00,34,3.8,15.2,1.4,33.6,0.022,0.001,0.001,0.002,0.000,12.9
02/01/2013,13:00,34,3.6,17.9,1.4,33.4,0.021,0.001,0.002,0.002,0.000,23.2
02/01/2013,14:00,32,3.5,16.4,1.4,33.1,0.017,0.001,0.001,0.002,0.000,10.9
02/01/2013,15:00,32,3.8,14.9,1.4,32.3,0.016,0.000,0.001,0.001,0.000,
02/01/2013,16:00,34,3.6,15.4,1.1,31.3,0.015,0.000,0.001,0.001,0.000,14.6
02/01/2013,17:00,36,3.0,15.3,1.1,30.3,0.017,0.000,0.001,0.001,0.000,14.9
02/01/2013,18:00,33,2.2,15.8,0.9,29.1,0.013,0.000,0.002,0.002,0.001,22.1
