Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),RAD (w/m^2),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2013,00:00,236,1.0,20.8,0.3,21.4,77.1,0.0,0.0,1014,,,,,16.7,5.4,
01/01/2013,01:00,237,1.2,17.4,0.6,20.7,79.4,0.0,0.0,1013,0.003,0.000,0.009,0.009,19.9,8.6,41
01/01/2013,02:00,217,1.3,18.9,0.5,20.4,80.5,0.0,0.0,1014,0.004,0.000,0.008,0.008,21.4,9.9,51
01/01/2013,03:00,177,0.5,41.6,0.3,19.8,83.0,0.0,0.0,1013,0.004,0.000,0.007,0.007,21.2,10.0,49
01/01/2013,04:00,183,0.6,25.2,0.2,20.0,82.1,0.0,1.0,1013,0.004,0.000,0.005,0.005,23.4,14.9,50
01/01/2013,05:00,200,0.9,13.3,0.2,20.1,82.6,0.0,68.0,1014,0.005,0.001,0.005,0.005,22.4,13.2,45
01/01/2013,06:00,201,1.7,15.4,0.6,21.6,75.6,0.0,183.0,1014,0.010,0.001,0.002,0.003,20.5,10.2,32
01/01/2013,07:00,182,1.1,32.9,0.6,23.8,66.0,0.0,402.0,1014,0.016,0.001,0.000,0.001,18.7,6.3,26
01/01/2013,08:00,106,1.2,55.2,1.0,25.5,59.9,0.0,706.0,1015,0.021,0.001,0.000,0.000,21.6,7.3,23
01/01/2013,09:00,56,1.8,44.8,1.0,26.4,57.5,0.0,771.0,1014,0.023,0.000,0.000,0.000,20.9,5.0,24
01/01/2013,10:00,50,2.4,29.5,1.0,27.3,53.4,0.0,878.0,1014,0.026,0.000,0.000,0.000,19.3,4.8,24
01/01/2013,11:00,64,2.7,32.3,1.1,28.0,50.6,0.0,832.0,1013,0.030,0.000,0.000,0.000,21.1,6.1,27
01/01/2013,12:00,67,2.7,33.5,1.2,28.2,48.6,0.0,946.0,1012,0.034,0.000,0.001,0.001,22.4,6.3,30
01/01/2013,13:00,72,3.0,30.8,1.1,28.7,46.8,0.0,1019.0,1012,0.034,0.000,0.001,0.001,23.0,9.2,27
01/01/2013,14:00,73,4.0,16.3,1.1,28.4,47.6,0.0,637.0,1011,0.028,0.000,0.001,0.001,20.4,8.2,24
01/01/2013,15:00,78,4.5,16.1,1.0,27.7,48.4,0.0,375.0,1011,0.023,0.000,0.000,0.000,20.0,7.3,23
01/01/2013,16:00,72,3.9,18.0,1.0,27.2,51.1,0.0,220.0,1011,0.020,0.001,0.001,0.002,19.4,5.9,26
01/01/2013,17:00,66,4.0,13.2,1.0,26.6,54.9,0.0,89.0,1011,0.017,0.001,0.003,0.004,22.9,8.3,27
01/01/2013,18:00,66,3.8,12.6,0.9,25.9,60.4,0.0,15.0,1011,0.015,0.000,0.004,0.004,19.3,6.3,24
01/01/2013,19:00,62,3.6,12.4,0.9,25.5,63.3,0.0,0.0,1011,0.015,0.000,0.002,0.002,17.7,4.2,22
01/01/2013,20:00,45,2.3,13.8,0.8,25.2,66.0,0.0,0.0,1012,0.016,0.000,0.001,0.001,19.9,8.1,23
01/01/2013,21:00,29,1.7,15.9,0.7,24.9,68.2,0.0,0.0,1012,0.012,0.000,0.003,0.003,17.3,5.4,24
01/01/2013,22:00,18,1.0,174.3,0.5,24.4,71.9,0.0,0.0,1012,0.009,0.001,0.006,0.006,17.9,6.9,23
01/01/2013,23:00,8,0.9,170.8,0.3,23.8,73.5,0.0,0.0,1011,0.008,0.001,0.005,0.006,15.8,3.7,26
02/01/2013,00:00,37,0.2,130.8,0.3,23.1,77.2,0.0,0.0,1011,,,,,15.5,3.8,
02/01/2013,01:00,228,0.9,16.0,0.4,22.3,81.5,0.0,0.0,1010,0.004,0.000,0.004,0.004,12.0,3.6,22
02/01/2013,02:00,248,0.8,14.0,0.3,21.7,82.9,0.0,0.0,1009,0.002,0.000,0.007,0.007,12.0,3.2,26
02/01/2013,03:00,225,0.8,20.5,0.3,21.0,85.8,0.0,0.0,1009,0.001,0.001,0.008,0.008,15.5,6.6,23
02/01/2013,04:00,220,0.8,21.5,0.2,20.6,87.1,0.0,1.0,1009,0.000,0.002,0.007,0.009,7.9,1.2,22
02/01/2013,05:00,208,0.8,26.4,0.3,20.6,86.9,0.0,60.0,1010,0.002,0.009,0.007,0.016,8.5,2.5,32
02/01/2013,06:00,242,1.3,26.6,0.7,22.3,78.8,0.0,251.0,1010,0.008,0.003,0.003,0.005,15.8,6.7,34
02/01/2013,07:00,252,1.4,28.1,0.7,24.7,67.7,0.0,514.0,1010,0.014,0.002,0.002,0.004,20.7,9.3,31
02/01/2013,08:00,257,0.8,80.8,0.8,26.5,59.1,0.0,772.0,1010,0.021,0.001,0.000,0.001,23.2,9.9,29
02/01/2013,09:00,257,0.9,66.2,0.8,28.3,52.8,0.0,982.0,1009,0.029,0.001,0.001,0.001,22.9,11.6,33
02/01/2013,10:00,270,0.7,70.6,0.7,29.9,47.2,0.0,1130.0,1009,0.034,0.000,0.001,0.001,21.0,11.0,32
02/01/2013,11:00,192,0.6,99.2,1.0,31.6,39.9,0.0,1208.0,1008,0.041,0.000,0.001,0.001,23.5,11.4,29
02/01/2013,12:00,165,1.1,69.8,1.0,33.2,33.5,0.0,1199.0,1007,0.052,0.000,0.001,0.001,25.3,12.1,29
02/01/2013,13:00,76,1.6,67.2,1.7,34.0,33.1,0.0,1120.0,1006,0.060,0.000,0.003,0.003,24.7,11.0,34
02/01/2013,14:00,52,3.9,15.0,1.1,33.7,37.6,0.0,974.0,1006,0.070,0.000,0.006,0.006,38.7,18.1,40
02/01/2013,15:00,68,5.1,15.7,1.2,32.6,42.9,0.0,760.0,1006,0.069,0.001,0.008,0.009,34.9,17.6,45
02/01/2013,16:00,69,5.0,13.9,1.1,31.2,48.9,0.0,462.0,1006,0.048,0.001,0.004,0.004,34.6,15.3,35
02/01/2013,17:00,76,5.3,11.2,1.0,29.5,56.1,0.0,145.0,1007,0.030,0.001,0.003,0.004,27.0,10.5,30
02/01/2013,18:00,81,4.3,13.8,1.1,27.8,64.6,0.0,22.0,1009,0.018,0.001,0.003,0.003,25.3,10.3,24
02/01/2013,19:00,98,3.5,16.2,1.0,27.0,65.2,0.0,0.0,1010,0.016,0.000,0.002,0.002,19.5,7.1,20
02/01/2013,20:00,130,4.3,12.7,1.0,26.8,65.2,0.0,0.0,1011,0.020,0.000,0.001,0.001,13.3,2.1,24
02/01/2013,21:00,143,3.9,14.2,1.0,26.7,61.2,0.0,0.0,1012,0.026,0.000,0.002,0.002,15.7,5.2,34
02/01/2013,22:00,153,3.9,15.8,1.3,26.2,64.5,0.0,0.0,1012,0.025,0.000,0.002,0.002,22.1,8.6,44
02/01/2013,23:00,167,4.1,13.9,1.1,25.5,65.2,0.0,0.0,1012,0.022,0.000,0.001,0.001,33.8,13.3,49
03/01/2013,00:00,172,4.6,10.1,1.2,25.2,61.2,0.0,0.0,1012,,,,,33.3,12.4,
03/01/2013,01:00,173,3.8,10.7,1.3,24.6,63.1,0.0,0.0,1011,0.023,0.000,0.000,0.000,28.6,10.3,43
03/01/2013,02:00,190,2.1,12.2,0.7,24.0,64.9,0.0,0.0,1011,0.021,0.000,0.000,0.000,29.1,10.4,50
03/01/2013,03:00,182,2.5,10.8,0.8,23.7,66.8,0.0,0.0,1011,0.021,0.000,0.000,0.000,28.0,9.9,46
03/01/2013,04:00,190,2.4,8.3,0.5,23.4,68.4,0.0,1.0,1012,0.020,0.000,0.001,0.001,28.3,10.2,50
03/01/2013,05:00,196,2.4,12.4,0.6,23.3,69.1,0.0,48.0,1012,0.018,0.000,0.003,0.003,28.9,11.1,50
03/01/2013,06:00,175,3.7,14.1,1.2,24.5,63.5,0.0,227.0,1013,0.021,0.001,0.003,0.004,29.8,9.1,43
03/01/2013,07:00,160,5.1,13.3,1.4,25.6,56.0,0.0,456.0,1014,0.026,0.001,0.001,0.002,29.6,8.6,43
03/01/2013,08:00,169,4.6,15.8,1.2,26.0,53.5,0.0,503.0,1014,0.028,0.001,0.001,0.001,23.9,8.1,38
03/01/2013,09:00,149,4.8,21.8,1.4,27.2,49.3,0.0,943.0,1013,0.031,0.001,0.001,0.002,33.4,12.9,38
03/01/2013,10:00,139,5.0,19.7,1.4,27.7,47.5,0.0,1133.0,1013,0.033,0.001,0.000,0.001,29.3,6.9,39
03/01/2013,11:00,138,4.0,26.9,1.7,28.4,46.3,0.0,1228.0,1013,0.037,0.001,0.002,0.002,32.0,9.9,38
03/01/2013,12:00,141,3.6,26.7,1.5,28.9,44.8,0.0,1168.0,1012,0.038,0.000,0.001,0.001,37.0,13.4,40
03/01/2013,13:00,134,5.2,20.8,1.5,28.9,46.8,0.0,1127.0,1011,0.034,0.001,0.001,0.001,37.8,14.3,36
03/01/2013,14:00,132,5.9,15.2,1.3,28.1,49.1,0.0,956.0,1011,0.029,0.001,0.001,0.001,32.3,10.3,33
03/01/2013,15:00,124,6.3,14.3,1.4,27.4,50.2,0.0,747.0,1011,0.027,0.000,0.001,0.001,33.1,11.1,29
03/01/2013,16:00,133,6.0,14.8,1.4,26.8,51.4,0.0,464.0,1011,0.026,0.000,0.001,0.001,30.8,10.0,31
03/01/2013,17:00,142,6.4,14.5,1.6,26.2,53.8,0.0,171.0,1012,0.024,0.000,0.001,0.001,28.0,6.8,34
03/01/2013,18:00,139,5.6,15.2,1.3,25.0,58.6,0.0,24.0,1013,0.022,0.000,0.001,0.001,29.9,8.8,33
03/01/2013,19:00,142,4.8,12.7,1.4,24.3,59.7,0.0,0.0,1013,0.021,0.000,0.001,0.001,24.7,7.0,31
03/01/2013,20:00,144,4.6,13.2,1.4,24.0,60.3,0.0,0.0,1014,0.021,0.000,0.001,0.001,23.0,7.6,30
03/01/2013,21:00,153,4.0,11.9,1.0,23.9,60.4,0.0,0.0,1014,0.020,0.000,0.001,0.001,20.1,5.4,29
03/01/2013,22:00,156,3.7,13.1,1.1,24.1,60.6,0.0,0.0,1014,0.020,0.000,0.001,0.001,17.6,2.6,30
03/01/2013,23:00,150,4.2,12.9,1.1,23.9,60.1,0.0,0.0,1014,0.021,0.000,0.000,0.000,22.1,6.9,28
04/01/2013,00:00,175,2.3,27.9,0.6,23.3,62.4,0.0,0.0,1013,,,,,22.7,5.7,
04/01/2013,01:00,181,2.3,15.9,0.6,23.0,63.2,0.0,0.0,1013,0.018,0.000,0.001,0.001,23.8,7.9,25
04/01/2013,02:00,168,2.3,11.5,0.7,23.1,62.2,0.0,0.0,1013,0.019,0.000,0.000,0.000,18.2,4.7,24
04/01/2013,03:00,174,2.8,9.8,0.7,22.7,62.1,0.0,0.0,1013,0.019,0.000,0.000,0.000,16.9,3.8,23
04/01/2013,04:00,189,2.4,8.7,0.5,21.9,63.8,0.0,1.0,1013,0.017,0.000,0.001,0.001,17.8,4.5,24
04/01/2013,05:00,205,2.6,8.8,0.7,22.0,63.7,0.0,48.0,1014,0.016,0.000,0.002,0.002,19.2,8.5,23
04/01/2013,06:00,204,4.1,11.6,0.8,22.9,58.7,0.0,233.0,1014,0.019,0.001,0.001,0.002,17.4,6.4,22
04/01/2013,07:00,202,4.1,21.9,1.1,23.9,54.6,0.0,503.0,1014,0.021,0.001,0.001,0.001,18.1,6.5,19
04/01/2013,08:00,160,3.4,27.2,1.3,25.2,51.1,0.0,672.0,1014,0.022,0.001,0.001,0.001,21.9,6.0,19
04/01/2013,09:00,150,4.2,26.7,1.5,26.5,47.8,0.0,869.0,1014,0.024,0.001,0.001,0.002,23.2,4.9,19
04/01/2013,10:00,142,4.4,23.1,1.3,27.0,46.0,0.0,878.0,1014,0.025,0.001,0.000,0.001,21.7,4.1,20
04/01/2013,11:00,147,4.9,18.4,1.7,27.6,43.0,0.0,1169.0,1014,0.025,0.001,0.000,0.001,23.0,7.2,19
