Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2013,00:00,112,0.7,24.7,0.3,21.6,74.6,,,,,20.3,6.2
01/01/2013,01:00,144,0.5,59.0,0.4,21.3,75.7,0.015,0.014,0.029,0.2,21.6,6.5
01/01/2013,02:00,231,1.4,21.5,0.6,20.3,81.8,0.021,0.012,0.033,0.2,22.8,8.1
01/01/2013,03:00,240,1.4,24.6,0.6,20.0,82.5,0.014,0.009,0.022,0.2,27.0,12.8
01/01/2013,04:00,220,1.3,21.9,0.6,19.7,82.8,0.012,0.007,0.019,0.1,26.7,11.6
01/01/2013,05:00,211,1.1,26.5,0.5,19.8,82.6,0.012,0.006,0.018,0.1,22.7,9.9
01/01/2013,06:00,224,1.7,22.7,0.6,21.3,76.7,0.013,0.005,0.017,0.0,19.2,7.3
01/01/2013,07:00,195,1.0,45.9,0.5,22.7,72.0,0.010,0.005,0.015,0.0,18.7,6.0
01/01/2013,08:00,122,0.7,66.3,0.6,25.9,63.0,0.005,0.002,0.006,0.0,16.7,4.0
01/01/2013,09:00,62,1.4,50.8,1.0,26.6,60.9,0.005,0.003,0.008,0.0,21.4,6.2
01/01/2013,10:00,57,2.2,31.1,1.1,27.9,55.3,0.002,0.003,0.005,0.0,23.8,6.3
01/01/2013,11:00,67,2.3,37.6,1.2,28.4,53.1,0.000,0.004,0.004,0.0,24.0,7.4
01/01/2013,12:00,71,2.5,29.4,1.1,28.7,50.8,0.000,0.005,0.005,0.0,26.5,9.3
01/01/2013,13:00,71,2.7,29.0,1.3,28.8,50.0,0.000,0.005,0.005,0.0,27.0,10.7
01/01/2013,14:00,69,2.9,24.1,1.2,28.2,51.4,0.000,0.004,0.004,0.0,22.7,9.3
01/01/2013,15:00,70,3.6,16.8,1.3,26.9,54.0,0.000,0.006,0.006,0.0,21.2,8.1
01/01/2013,16:00,72,3.3,18.1,1.2,26.1,58.4,0.001,0.006,0.007,0.0,24.3,8.3
01/01/2013,17:00,70,3.1,18.6,1.1,25.3,64.5,0.001,0.005,0.006,0.0,22.4,7.2
01/01/2013,18:00,62,2.2,24.3,0.9,24.8,66.6,0.001,0.006,0.007,0.0,22.9,8.4
01/01/2013,19:00,48,1.8,27.6,0.9,24.2,70.0,0.002,0.005,0.007,0.0,21.0,6.9
01/01/2013,20:00,47,1.7,23.5,0.7,24.0,72.4,0.002,0.005,0.007,0.0,19.4,4.8
01/01/2013,21:00,32,1.4,28.9,0.6,23.9,73.7,0.004,0.006,0.010,0.1,23.2,7.2
01/01/2013,22:00,34,1.0,34.5,0.5,23.5,76.4,0.005,0.006,0.011,0.1,20.4,5.3
01/01/2013,23:00,322,0.9,36.2,0.5,23.0,77.6,0.007,0.009,0.015,0.1,19.6,6.0
02/01/2013,00:00,324,0.8,43.8,0.5,22.7,78.8,,,,,24.2,6.8
02/01/2013,01:00,291,0.9,31.6,0.5,22.5,79.4,0.006,0.004,0.010,0.1,23.0,9.2
02/01/2013,02:00,294,0.7,44.0,0.4,22.0,81.2,0.004,0.005,0.009,0.1,31.8,17.7
02/01/2013,03:00,250,0.7,40.7,0.4,21.6,82.4,0.006,0.005,0.011,0.1,30.7,15.8
02/01/2013,04:00,224,0.8,35.7,0.5,20.5,87.0,0.026,0.011,0.036,0.2,24.0,12.5
02/01/2013,05:00,222,0.8,33.5,0.5,20.2,87.9,0.029,0.010,0.038,0.2,24.0,11.6
02/01/2013,06:00,217,1.4,28.3,0.6,22.3,79.9,0.027,0.009,0.035,0.1,22.5,11.5
02/01/2013,07:00,219,1.2,34.8,0.5,25.4,68.8,0.034,0.010,0.044,0.1,24.0,12.5
02/01/2013,08:00,273,0.6,84.1,0.7,27.4,60.7,0.021,0.010,0.031,0.1,23.6,12.4
02/01/2013,09:00,340,1.1,54.2,0.7,28.7,54.7,0.009,0.010,0.018,0.0,17.2,7.8
02/01/2013,10:00,237,0.6,104.5,0.8,30.8,48.5,0.008,0.011,0.019,0.0,18.9,10.0
02/01/2013,11:00,214,1.3,54.5,0.9,32.5,42.2,0.008,0.011,0.019,0.0,21.4,10.5
02/01/2013,12:00,169,0.6,88.2,1.0,34.2,36.5,0.003,0.012,0.015,0.0,22.7,11.7
02/01/2013,13:00,62,2.7,25.4,1.1,33.2,44.2,0.000,0.009,0.009,0.0,27.7,12.4
02/01/2013,14:00,59,2.9,25.8,1.2,33.5,43.4,0.001,0.013,0.013,0.0,30.3,15.6
02/01/2013,15:00,70,3.8,19.3,1.3,31.6,50.7,0.000,0.013,0.013,0.0,36.2,17.4
02/01/2013,16:00,68,3.1,22.0,1.3,30.9,55.5,0.001,0.014,0.014,0.1,42.0,19.8
02/01/2013,17:00,69,3.7,16.8,1.2,28.6,64.0,0.004,0.013,0.017,0.1,38.6,17.1
02/01/2013,18:00,76,2.6,23.9,1.2,26.7,70.3,0.003,0.006,0.009,0.1,30.4,10.9
02/01/2013,19:00,83,1.6,30.9,0.8,25.4,74.4,0.003,0.005,0.008,0.0,18.8,6.6
02/01/2013,20:00,115,1.9,35.1,1.1,25.4,73.4,0.004,0.005,0.009,0.0,16.2,5.8
02/01/2013,21:00,126,2.4,22.9,1.1,25.4,69.9,0.003,0.007,0.010,0.0,20.0,7.1
02/01/2013,22:00,140,2.5,21.9,1.1,25.0,71.9,0.004,0.008,0.012,0.1,24.2,9.4
02/01/2013,23:00,146,3.3,21.9,1.6,24.6,68.4,0.002,0.005,0.007,0.0,28.4,11.1
03/01/2013,00:00,145,2.4,21.9,1.1,24.1,68.7,,,,,33.8,11.6
03/01/2013,01:00,152,2.8,19.6,1.2,23.7,69.5,0.000,0.002,0.002,0.0,33.1,11.6
03/01/2013,02:00,162,1.7,28.7,0.8,23.1,70.8,0.000,0.003,0.003,0.0,30.1,8.6
03/01/2013,03:00,156,2.2,21.7,0.9,22.8,72.9,0.000,0.002,0.002,0.0,27.4,6.6
03/01/2013,04:00,154,2.6,18.5,1.0,22.5,74.6,0.000,0.003,0.003,0.0,29.6,7.4
03/01/2013,05:00,160,2.7,18.5,1.1,22.6,74.3,0.003,0.008,0.011,0.0,33.4,9.4
03/01/2013,06:00,146,3.5,18.8,1.4,23.8,69.1,0.006,0.009,0.015,0.0,34.6,11.2
03/01/2013,07:00,139,4.0,19.5,1.5,25.3,61.4,0.018,0.013,0.031,0.0,35.1,12.5
03/01/2013,08:00,136,3.2,21.1,1.4,26.7,55.6,0.015,0.014,0.029,0.0,30.0,11.2
03/01/2013,09:00,142,3.1,28.5,1.4,27.0,54.3,0.012,0.011,0.023,0.0,29.1,11.2
03/01/2013,10:00,139,3.2,28.8,1.4,27.6,51.9,0.008,0.010,0.018,0.0,31.7,10.1
03/01/2013,11:00,124,2.4,32.7,1.3,29.1,47.7,0.005,0.010,0.015,0.0,32.4,8.7
03/01/2013,12:00,117,2.4,38.0,1.2,29.9,47.4,0.004,0.008,0.012,0.0,33.5,10.7
03/01/2013,13:00,104,3.2,28.8,1.6,29.6,50.2,0.002,0.006,0.008,0.0,34.1,11.5
03/01/2013,14:00,99,3.3,28.6,1.6,28.8,51.8,0.003,0.006,0.008,0.0,32.2,10.9
03/01/2013,15:00,116,3.3,27.9,1.5,27.9,52.8,0.006,0.008,0.014,0.0,30.5,10.7
03/01/2013,16:00,113,2.9,30.1,1.4,27.4,54.1,0.009,0.010,0.018,0.0,27.9,9.7
03/01/2013,17:00,116,2.9,31.7,1.5,26.4,56.7,0.016,0.013,0.029,0.0,26.5,8.8
03/01/2013,18:00,121,3.1,26.5,1.7,24.2,63.9,0.009,0.010,0.018,0.0,27.6,7.2
03/01/2013,19:00,122,3.0,25.9,1.5,23.3,65.2,0.004,0.007,0.010,0.0,26.8,8.8
03/01/2013,20:00,124,2.7,24.1,1.3,22.9,66.3,0.006,0.008,0.014,0.0,23.3,6.4
03/01/2013,21:00,127,2.2,23.8,1.0,22.8,66.0,0.013,0.012,0.025,0.0,22.1,6.2
03/01/2013,22:00,132,1.8,24.7,0.8,23.0,66.6,0.017,0.014,0.030,0.1,23.5,6.9
03/01/2013,23:00,126,1.9,23.8,0.9,22.9,66.3,0.003,0.004,0.007,0.0,21.4,4.4
04/01/2013,00:00,133,1.8,23.1,0.9,22.6,66.8,,,,,20.3,4.4
04/01/2013,01:00,157,2.0,25.0,0.8,22.4,67.1,0.001,0.004,0.005,0.0,20.8,5.2
04/01/2013,02:00,161,2.0,19.4,0.7,22.1,68.2,0.001,0.003,0.004,0.0,20.3,5.5
04/01/2013,03:00,164,1.9,18.0,0.7,21.5,69.3,0.001,0.005,0.006,0.0,17.9,2.8
04/01/2013,04:00,174,2.0,20.3,0.8,21.1,68.9,0.003,0.007,0.010,0.0,17.6,3.1
04/01/2013,05:00,171,1.8,27.8,0.9,21.0,68.5,0.010,0.011,0.021,0.0,18.1,4.6
04/01/2013,06:00,168,2.4,21.5,1.1,22.7,62.9,0.019,0.012,0.030,0.0,19.5,6.3
04/01/2013,07:00,163,2.9,24.5,1.0,24.2,57.8,0.031,0.014,0.045,0.0,21.3,7.3
04/01/2013,08:00,150,2.4,33.1,1.2,25.5,54.9,0.026,0.013,0.039,0.0,21.6,6.9
04/01/2013,09:00,145,3.0,26.5,1.3,26.3,52.7,0.016,0.010,0.026,0.0,23.6,9.1
04/01/2013,10:00,132,2.8,26.9,1.3,27.7,49.4,0.010,0.009,0.018,0.0,24.4,7.5
04/01/2013,11:00,131,3.0,26.2,1.3,27.6,48.3,0.008,0.009,0.017,0.0,27.2,6.5
04/01/2013,12:00,120,3.0,28.8,1.3,28.4,46.7,0.008,0.007,0.015,0.0,25.7,6.6
04/01/2013,13:00,116,3.2,30.5,1.5,28.5,46.0,0.006,0.005,0.011,0.0,24.0,7.2
04/01/2013,14:00,109,2.8,31.6,1.2,28.5,45.6,0.005,0.006,0.011,0.0,21.6,5.6
04/01/2013,15:00,115,2.7,32.0,1.2,27.9,47.0,0.008,0.009,0.017,0.0,24.3,7.8
04/01/2013,16:00,110,2.7,31.6,1.5,27.2,50.3,0.011,0.008,0.019,0.0,21.0,7.7
04/01/2013,17:00,107,2.7,30.0,1.3,26.0,55.5,0.015,0.010,0.025,0.0,18.2,4.7
04/01/2013,18:00,103,2.1,31.1,1.2,24.0,62.0,0.005,0.006,0.011,0.0,16.9,1.7
04/01/2013,19:00,113,2.1,26.6,1.1,23.1,66.7,0.003,0.005,0.008,0.0,18.5,3.9
04/01/2013,20:00,109,1.6,29.1,0.9,22.5,71.0,0.003,0.006,0.009,0.0,18.3,4.4
04/01/2013,21:00,102,1.4,27.6,0.8,22.3,73.6,0.004,0.005,0.009,0.0,18.5,3.9
04/01/2013,22:00,109,1.1,27.1,0.6,21.9,75.6,0.005,0.006,0.011,0.0,17.8,2.4
04/01/2013,23:00,117,0.9,24.4,0.4,21.8,76.1,0.006,0.006,0.011,0.0,20.9,3.8
05/01/2013,00:00,135,1.2,27.5,0.5,21.9,75.7,,,,,18.2,3.6
05/01/2013,01:00,116,1.2,22.6,0.6,21.6,77.9,0.005,0.003,0.008,0.0,16.4,2.7
05/01/2013,02:00,152,1.6,17.4,0.6,21.7,77.2,0.004,0.003,0.007,0.0,14.1,1.8
05/01/2013,03:00,156,1.7,17.6,0.7,21.9,74.8,0.004,0.003,0.007,0.0,14.7,2.8
05/01/2013,04:00,172,1.5,22.5,0.7,21.2,77.7,0.006,0.007,0.013,0.0,14.4,2.3
05/01/2013,05:00,205,1.3,33.0,0.7,21.1,78.3,0.009,0.006,0.015,0.0,14.3,3.7
05/01/2013,06:00,212,1.2,33.8,0.6,21.5,76.2,0.015,0.008,0.022,0.0,13.8,4.6
05/01/2013,07:00,140,1.3,39.8,0.8,23.3,69.8,0.009,0.005,0.013,0.0,14.0,3.9
05/01/2013,08:00,144,1.7,34.1,0.8,25.1,61.6,0.010,0.006,0.016,0.0,16.2,5.3
05/01/2013,09:00,112,2.1,34.8,1.0,25.2,63.6,0.006,0.005,0.010,0.0,16.3,4.9
05/01/2013,10:00,132,1.6,43.7,1.0,25.0,68.9,0.007,0.007,0.013,0.0,12.0,2.6
05/01/2013,11:00,96,1.7,44.3,1.1,26.5,60.9,0.005,0.005,0.010,0.0,14.4,4.6
05/01/2013,12:00,90,2.7,31.0,1.3,27.0,57.4,0.004,0.005,0.008,0.0,10.0,2.6
05/01/2013,13:00,85,2.2,31.1,1.2,26.3,60.2,0.003,0.004,0.007,0.0,8.5,2.1
05/01/2013,14:00,84,2.4,35.8,1.3,26.5,59.3,0.004,0.005,0.009,0.0,9.1,2.4
05/01/2013,15:00,76,2.5,30.8,1.4,26.0,61.2,0.003,0.004,0.006,0.0,9.4,1.9
05/01/2013,16:00,89,2.2,29.5,1.0,25.8,60.9,0.003,0.004,0.007,0.0,6.0,-0.9
05/01/2013,17:00,100,2.1,29.5,1.0,25.4,61.1,0.005,0.005,0.009,0.0,9.9,3.4
05/01/2013,18:00,96,2.0,28.9,1.0,24.1,67.8,0.004,0.004,0.008,0.0,7.2,1.0
05/01/2013,19:00,100,1.7,30.0,1.0,23.6,70.1,0.004,0.004,0.008,0.0,13.4,3.8
05/01/2013,20:00,98,1.3,31.5,0.7,23.2,72.0,0.004,0.005,0.009,0.0,11.7,4.1
05/01/2013,21:00,101,1.0,32.2,0.6,22.9,73.3,0.005,0.005,0.010,0.0,7.0,0.1
05/01/2013,22:00,94,0.9,32.3,0.5,22.5,75.4,0.006,0.007,0.012,0.0,8.2,1.0
05/01/2013,23:00,103,0.8,33.2,0.5,22.0,79.6,0.006,0.005,0.011,0.0,9.0,1.8
06/01/2013,00:00,119,0.9,24.6,0.4,21.5,82.2,,,,,7.7,1.7
06/01/2013,01:00,122,0.9,25.6,0.4,21.4,82.8,0.006,0.004,0.009,0.0,7.6,1.2
06/01/2013,02:00,157,0.9,24.9,0.4,21.4,82.5,0.005,0.003,0.008,0.0,9.2,1.1
06/01/2013,03:00,213,1.0,20.4,0.4,20.9,84.4,0.009,0.007,0.016,0.1,8.6,0.1
06/01/2013,04:00,213,0.8,30.2,0.4,20.4,87.1,0.011,0.007,0.018,0.1,9.9,1.9
06/01/2013,05:00,223,1.2,23.8,0.6,20.4,88.6,0.014,0.007,0.021,0.1,8.7,2.6
06/01/2013,06:00,200,0.7,60.5,0.6,21.0,86.8,0.014,0.006,0.020,0.1,7.7,1.4
06/01/2013,07:00,160,1.5,37.2,0.8,20.8,88.3,0.013,0.005,0.017,0.1,6.2,2.5
06/01/2013,08:00,173,1.6,31.5,0.9,21.8,85.4,0.018,0.006,0.024,0.1,7.0,3.6
06/01/2013,09:00,156,1.7,27.9,0.8,24.5,74.1,0.012,0.006,0.017,0.0,9.8,4.3
06/01/2013,10:00,129,2.8,25.3,1.3,25.5,65.5,0.008,0.005,0.012,0.0,8.8,2.5
06/01/2013,11:00,109,2.6,31.5,1.2,26.9,58.4,0.006,0.004,0.009,0.0,10.1,2.2
06/01/2013,12:00,109,2.5,29.6,1.3,27.1,56.5,0.004,0.004,0.008,0.0,5.3,0.5
06/01/2013,13:00,102,3.2,28.1,1.5,28.2,51.5,0.003,0.003,0.006,0.0,5.9,1.8
06/01/2013,14:00,108,2.6,29.7,1.3,28.0,54.3,0.003,0.004,0.007,0.0,5.2,-0.5
06/01/2013,15:00,110,2.8,29.5,1.2,27.1,54.5,0.004,0.005,0.009,0.0,11.7,4.9
06/01/2013,16:00,110,2.3,27.7,1.1,26.3,55.7,0.002,0.005,0.007,0.0,10.2,3.2
06/01/2013,17:00,131,2.5,21.9,1.2,24.2,68.2,0.004,0.007,0.011,0.0,10.3,2.7
06/01/2013,18:00,122,2.1,23.6,1.0,23.9,69.1,0.003,0.006,0.009,0.0,11.2,4.1
06/01/2013,19:00,116,1.9,24.5,0.8,23.4,67.8,0.003,0.004,0.007,0.0,10.9,2.1
06/01/2013,20:00,127,1.4,25.2,0.7,23.0,71.6,0.004,0.006,0.010,0.0,13.7,5.7
06/01/2013,21:00,125,1.3,25.0,0.7,22.5,77.8,0.004,0.006,0.010,0.0,13.1,4.6
06/01/2013,22:00,121,1.0,24.6,0.5,22.1,76.8,0.004,0.006,0.010,0.0,12.4,3.5
06/01/2013,23:00,119,1.0,25.1,0.5,22.1,74.9,0.005,0.005,0.010,0.0,11.9,3.1
07/01/2013,00:00,142,1.1,24.2,0.5,21.8,75.8,,,,,9.6,2.1
07/01/2013,01:00,156,1.4,20.5,0.6,21.9,74.2,0.005,0.004,0.008,0.0,10.4,2.8
07/01/2013,02:00,154,1.4,18.0,0.5,21.6,75.2,0.003,0.003,0.006,0.0,11.1,2.6
07/01/2013,03:00,155,1.2,23.7,0.5,21.1,77.6,0.003,0.005,0.008,0.0,11.1,3.0
07/01/2013,04:00,149,0.8,28.8,0.4,20.6,78.8,0.004,0.006,0.010,0.0,14.2,4.8
07/01/2013,05:00,157,1.2,28.3,0.5,20.8,76.7,0.026,0.013,0.039,0.2,13.1,4.0
07/01/2013,06:00,148,1.5,22.6,0.6,22.7,70.0,0.030,0.014,0.044,0.2,12.9,2.9
07/01/2013,07:00,132,2.4,23.6,1.0,24.3,66.3,0.021,0.010,0.031,0.1,13.8,3.2
07/01/2013,08:00,129,2.7,26.7,1.2,26.2,58.3,0.021,0.006,0.027,0.0,17.4,5.3
07/01/2013,09:00,128,3.2,25.2,1.4,27.8,49.6,0.016,0.008,0.024,0.0,13.1,4.4
07/01/2013,10:00,121,3.0,29.5,1.5,28.1,49.6,0.010,0.007,0.016,0.0,16.8,6.3
07/01/2013,11:00,123,3.1,29.8,1.4,27.9,49.2,0.008,0.008,0.016,0.0,16.1,4.5
07/01/2013,12:00,129,3.5,24.9,1.5,28.2,46.3,0.009,0.007,0.016,0.0,17.3,6.3
07/01/2013,13:00,116,3.1,27.4,1.4,28.1,46.8,0.007,0.007,0.013,0.0,11.9,3.5
07/01/2013,14:00,115,2.5,31.5,1.2,27.9,48.1,0.010,0.008,0.018,0.0,11.5,4.2
07/01/2013,15:00,113,2.6,29.6,1.2,27.2,52.4,0.007,0.007,0.014,0.0,13.2,4.2
07/01/2013,16:00,107,2.5,28.6,1.2,26.4,56.3,0.009,0.009,0.018,0.1,15.2,5.8
07/01/2013,17:00,119,2.4,29.2,1.2,25.3,62.1,0.026,0.012,0.038,0.1,16.1,6.4
07/01/2013,18:00,122,2.3,26.2,1.1,24.5,64.9,0.018,0.010,0.028,0.1,16.7,7.0
07/01/2013,19:00,125,2.4,21.1,1.1,23.8,69.0,0.008,0.007,0.015,0.0,14.3,4.8
07/01/2013,20:00,117,1.6,26.3,0.8,23.0,72.8,0.006,0.006,0.011,0.0,14.2,5.2
07/01/2013,21:00,135,1.7,20.2,0.8,23.0,74.8,0.024,0.011,0.035,0.1,15.9,6.6
07/01/2013,22:00,123,1.1,28.7,0.6,22.3,78.3,0.014,0.010,0.024,0.1,16.1,6.4
07/01/2013,23:00,111,1.0,23.7,0.5,21.7,80.4,0.007,0.007,0.014,0.1,13.8,3.5
08/01/2013,00:00,129,0.8,32.5,0.4,21.2,81.4,,,,,13.7,3.1
08/01/2013,01:00,180,0.9,20.8,0.4,21.0,81.8,0.010,0.007,0.017,0.0,15.8,4.1
08/01/2013,02:00,191,0.9,29.2,0.4,20.8,82.3,0.010,0.008,0.018,0.0,14.8,2.7
08/01/2013,03:00,222,1.1,24.5,0.5,19.9,85.9,0.014,0.009,0.022,0.1,15.8,4.8
08/01/2013,04:00,235,1.4,21.0,0.6,19.4,87.5,0.016,0.007,0.023,0.1,16.2,6.1
08/01/2013,05:00,216,1.0,32.2,0.5,19.6,87.6,0.035,0.008,0.043,0.2,15.4,6.1
08/01/2013,06:00,216,1.4,32.4,0.6,21.6,80.5,0.046,0.011,0.057,0.3,18.9,8.7
08/01/2013,07:00,218,1.5,30.0,0.7,23.2,73.9,0.058,0.016,0.074,0.3,22.0,9.2
08/01/2013,08:00,216,0.6,84.8,0.7,24.6,69.4,0.039,0.013,0.052,0.2,27.0,10.7
08/01/2013,09:00,338,0.7,175.3,0.8,25.7,65.9,0.024,0.012,0.036,0.1,23.4,8.0
08/01/2013,10:00,64,1.8,45.9,1.2,27.3,60.0,0.012,0.007,0.018,0.1,28.5,11.0
08/01/2013,11:00,70,2.8,31.6,1.4,28.5,55.6,0.005,0.006,0.011,0.0,29.8,9.9
08/01/2013,12:00,75,2.9,27.0,1.3,28.5,55.3,0.004,0.006,0.010,0.0,26.8,6.8
08/01/2013,13:00,74,3.6,21.6,1.5,28.3,54.9,0.003,0.006,0.009,0.0,27.3,9.4
08/01/2013,14:00,65,3.7,22.3,1.6,28.6,53.9,0.003,0.007,0.010,0.0,23.6,7.5
08/01/2013,15:00,48,3.0,28.4,1.4,29.4,47.9,0.007,0.008,0.015,0.0,25.2,7.6
08/01/2013,16:00,43,3.4,23.4,1.4,28.2,53.4,0.007,0.007,0.014,0.0,20.8,7.2
08/01/2013,17:00,41,3.2,27.9,1.3,26.8,59.8,0.009,0.007,0.016,0.1,20.9,8.0
08/01/2013,18:00,43,2.8,25.0,1.3,25.1,67.5,0.005,0.006,0.010,0.1,20.4,6.7
08/01/2013,19:00,38,2.7,25.0,1.1,24.3,71.6,0.003,0.005,0.008,0.1,19.5,6.2
08/01/2013,20:00,40,2.4,28.0,1.1,24.1,73.0,0.003,0.007,0.009,0.3,25.2,12.5
08/01/2013,21:00,38,2.5,25.6,1.1,23.7,75.3,0.003,0.006,0.009,0.4,77.3,64.0
08/01/2013,22:00,37,2.4,30.5,1.3,23.4,75.9,0.003,0.003,0.005,0.0,31.4,19.0
08/01/2013,23:00,24,1.5,38.8,0.8,23.0,75.6,0.003,0.004,0.007,0.1,18.5,5.8
09/01/2013,00:00,16,1.2,38.3,0.7,22.5,77.3,,,,,25.1,13.8
09/01/2013,01:00,34,1.4,27.6,0.6,21.9,78.5,0.003,0.003,0.006,0.0,26.1,15.3
09/01/2013,02:00,38,1.2,33.1,0.6,21.6,79.6,0.002,0.003,0.005,0.1,27.0,16.4
09/01/2013,03:00,358,0.8,44.6,0.5,21.1,81.1,0.004,0.004,0.008,0.0,21.4,11.9
09/01/2013,04:00,49,1.1,30.4,0.5,20.9,81.9,0.005,0.006,0.011,0.1,21.8,12.4
09/01/2013,05:00,25,0.8,34.9,0.4,21.0,81.7,0.014,0.010,0.024,0.2,21.8,12.4
09/01/2013,06:00,359,1.1,42.6,0.7,23.1,73.8,0.023,0.010,0.033,0.2,20.8,10.9
09/01/2013,07:00,343,1.3,154.8,0.9,25.5,65.3,0.028,0.011,0.039,0.2,19.1,9.8
09/01/2013,08:00,346,1.4,48.0,0.7,27.4,58.9,0.030,0.012,0.042,0.2,19.8,9.6
09/01/2013,09:00,348,1.1,60.3,0.7,29.2,53.2,0.016,0.011,0.026,0.0,20.5,10.4
09/01/2013,10:00,16,1.8,177.1,1.0,31.3,47.5,0.009,0.010,0.018,0.0,20.3,10.1
09/01/2013,11:00,63,3.7,26.0,1.6,31.2,50.2,0.003,0.008,0.010,0.0,19.8,7.5
09/01/2013,12:00,50,3.1,29.8,1.3,31.8,51.2,0.003,0.008,0.011,0.0,33.1,10.3
09/01/2013,13:00,63,3.8,24.9,1.5,31.0,55.2,0.001,0.007,0.007,0.1,42.2,16.8
09/01/2013,14:00,51,3.8,25.6,1.5,30.0,59.5,0.002,0.009,0.010,0.1,53.2,29.5
09/01/2013,15:00,47,3.7,26.8,1.7,29.6,61.6,0.003,0.007,0.010,0.1,44.1,20.5
09/01/2013,16:00,47,3.5,24.8,1.5,29.1,64.7,0.006,0.008,0.014,0.1,35.1,15.1
09/01/2013,17:00,49,4.0,23.9,1.8,28.3,66.3,0.007,0.007,0.014,0.1,35.8,15.7
09/01/2013,18:00,43,3.0,21.7,1.2,26.9,71.6,0.005,0.009,0.014,0.1,35.7,13.9
