Date,Time,Wind Direction (degTN),Wind Speed (m/s),Air Temperature (degC),Rainfall (mm),PM10 (ug/m^3),TSP (ug/m^3)
01/01/2013,00:00,,,25.0,,,11.2
01/01/2013,01:00,,,24.5,,,7.2
01/01/2013,02:00,,,23.0,,,14.3
01/01/2013,03:00,,,23.1,,,3.7
01/01/2013,04:00,,,23.3,,,5.1
01/01/2013,05:00,,,23.5,,,6.9
01/01/2013,06:00,,,24.5,,,9.8
01/01/2013,07:00,,,27.4,,,8.8
01/01/2013,08:00,,,29.2,,,5.3
01/01/2013,09:00,,,29.7,,,16.1
01/01/2013,10:00,,,30.8,,,16.8
01/01/2013,11:00,,,31.5,,,20.6
01/01/2013,12:00,,,31.6,,,24.2
01/01/2013,13:00,,,32.3,,,46.8
01/01/2013,14:00,,,33.4,,,25.5
01/01/2013,15:00,,,33.0,,,33.7
01/01/2013,16:00,,,30.9,,,42.4
01/01/2013,17:00,,,30.6,,,47.5
01/01/2013,18:00,,,28.8,,,27.4
01/01/2013,19:00,,,28.2,,,42.0
01/01/2013,20:00,,,28.1,,,33.0
01/01/2013,21:00,,,27.9,,,40.2
01/01/2013,22:00,,,27.4,,,36.7
01/01/2013,23:00,,,27.4,,,26.7
02/01/2013,00:00,,,26.8,,,15.9
02/01/2013,01:00,,,26.2,,,7.8
02/01/2013,02:00,,,25.7,,,3.9
02/01/2013,03:00,,,25.4,,,8.7
02/01/2013,04:00,,,25.4,,,12.2
02/01/2013,05:00,,,25.0,,,23.8
02/01/2013,06:00,,,27.2,,,16.9
02/01/2013,07:00,,,28.7,,,16.0
02/01/2013,08:00,,,29.9,,,17.8
02/01/2013,09:00,,,31.1,,,20.2
02/01/2013,10:00,,,31.7,,,25.0
02/01/2013,11:00,,,32.1,,,47.2
02/01/2013,12:00,,,31.8,,,50.9
02/01/2013,13:00,,,31.9,,,30.9
02/01/2013,14:00,,,33.2,,,17.8
02/01/2013,15:00,,,33.5,,,41.5
02/01/2013,16:00,,,33.1,,,26.7
02/01/2013,17:00,,,31.6,,,38.1
02/01/2013,18:00,,,29.8,,,45.3
02/01/2013,19:00,,,28.4,,,40.7
02/01/2013,20:00,,,28.2,,,24.1
02/01/2013,21:00,,,28.1,,,16.3
02/01/2013,22:00,,,28.2,,,25.5
02/01/2013,23:00,,,28.0,,,22.8
03/01/2013,00:00,,,27.7,,,28.1
03/01/2013,01:00,,,26.8,,,19.8
03/01/2013,02:00,,,26.2,,,14.1
03/01/2013,03:00,,,25.9,,,17.7
03/01/2013,04:00,,,25.7,,,16.8
03/01/2013,05:00,,,25.6,,,18.8
03/01/2013,06:00,,,27.6,,,26.5
03/01/2013,07:00,,,28.8,,,22.4
03/01/2013,08:00,,,29.8,,,28.7
03/01/2013,09:00,,,30.8,,,
03/01/2013,10:00,,,31.0,,,
03/01/2013,11:00,,,32.1,,,49.7
03/01/2013,12:00,,,31.7,,,59.7
03/01/2013,13:00,,,32.6,,,54.5
03/01/2013,14:00,,,33.0,,,75.5
03/01/2013,15:00,,,33.1,,,55.2
03/01/2013,16:00,,,32.5,,,37.7
03/01/2013,17:00,,,31.7,,,41.2
03/01/2013,18:00,,,29.9,,,37.3
