Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2013,00:00,78,3.2,11.6,24.3,64.7,0.0,1013,0.001,0.000,0.000,,15.6,2.6
01/01/2013,01:00,86,2.3,15.1,24.0,66.9,0.0,1013,0.001,0.001,0.001,0.001,15.4,1.7
01/01/2013,02:00,83,1.9,13.6,23.7,68.0,0.0,1012,,,,,16.5,2.4
01/01/2013,03:00,125,1.2,41.3,23.3,72.5,0.0,1011,,,,,19.4,4.3
01/01/2013,04:00,193,1.5,33.8,21.5,79.9,0.0,1011,0.001,0.005,0.006,0.001,18.4,5.9
01/01/2013,05:00,213,1.9,12.1,20.3,86.7,0.0,1011,0.003,0.011,0.014,0.002,22.8,9.6
01/01/2013,06:00,214,1.8,13.0,20.0,88.0,0.0,1012,0.003,0.008,0.011,0.001,26.5,11.2
01/01/2013,07:00,199,1.7,18.0,21.9,79.5,0.0,1012,0.003,0.005,0.008,0.001,23.0,10.1
01/01/2013,08:00,181,1.5,26.0,23.8,71.4,0.0,1013,0.001,0.003,0.004,0.001,20.7,7.0
01/01/2013,09:00,105,1.2,58.5,25.6,65.9,0.0,1013,0.001,0.000,0.001,0.001,22.8,5.9
01/01/2013,10:00,60,1.9,37.7,26.2,64.2,0.0,1013,0.001,0.000,0.001,0.000,23.8,5.6
01/01/2013,11:00,69,3.0,20.2,26.2,65.0,0.0,1012,0.000,0.001,0.001,0.000,21.8,4.8
01/01/2013,12:00,61,3.3,22.9,26.9,60.2,0.0,1012,0.000,0.000,0.000,0.001,16.4,2.6
01/01/2013,13:00,65,3.8,18.6,27.3,58.2,0.0,1012,0.001,0.000,0.001,0.001,17.0,3.1
01/01/2013,14:00,63,4.4,14.8,27.4,56.2,0.0,1011,0.001,0.000,0.001,0.001,14.5,2.7
01/01/2013,15:00,68,4.6,14.6,27.6,54.4,0.0,1010,0.001,0.000,0.001,0.001,14.2,2.7
01/01/2013,16:00,59,4.4,14.5,26.8,57.7,0.0,1010,0.001,0.000,0.001,0.001,17.0,3.1
01/01/2013,17:00,54,3.8,16.6,26.3,62.2,0.0,1009,0.001,0.000,0.001,0.001,18.6,4.7
01/01/2013,18:00,51,4.0,15.2,25.6,67.4,0.0,1009,0.001,0.000,0.001,0.001,18.0,4.4
01/01/2013,19:00,43,2.9,16.7,25.1,70.0,0.0,1010,0.001,0.000,0.001,0.001,17.8,5.0
01/01/2013,20:00,43,2.5,13.9,24.7,72.9,0.0,1010,0.001,0.000,0.001,0.001,17.2,4.2
01/01/2013,21:00,43,2.2,13.1,24.4,75.0,0.0,1010,0.001,0.003,0.004,0.002,17.0,4.3
01/01/2013,22:00,40,2.0,15.1,24.4,76.4,0.0,1010,0.001,0.002,0.003,0.002,18.6,5.0
01/01/2013,23:00,42,2.1,12.8,24.2,77.7,0.0,1010,0.002,0.004,0.006,0.002,16.7,3.6
02/01/2013,00:00,38,2.3,12.1,24.0,79.9,0.0,1010,0.002,0.004,0.005,,15.9,3.1
02/01/2013,01:00,33,1.8,19.2,23.8,81.2,0.0,1009,0.002,0.004,0.006,0.000,13.4,1.8
02/01/2013,02:00,155,0.1,143.2,23.6,80.9,0.0,1008,,,,,13.5,2.4
02/01/2013,03:00,246,0.9,49.1,23.1,83.4,0.0,1008,,,,,16.6,3.9
02/01/2013,04:00,247,0.6,100.5,22.5,84.8,0.0,1007,0.002,0.008,0.010,0.003,22.9,9.9
02/01/2013,05:00,215,1.6,9.2,22.0,87.7,0.0,1007,0.002,0.008,0.010,0.001,25.8,10.9
02/01/2013,06:00,210,1.7,11.3,21.5,90.2,0.0,1008,0.008,0.009,0.016,0.001,22.5,9.9
02/01/2013,07:00,217,1.7,14.7,22.7,84.2,0.0,1008,0.008,0.007,0.015,0.001,24.1,9.1
02/01/2013,08:00,253,1.4,36.9,25.0,74.0,0.0,1008,0.008,0.006,0.014,0.001,29.1,8.3
02/01/2013,09:00,291,1.2,51.4,26.8,64.2,0.0,1008,0.004,0.006,0.010,0.004,17.9,7.2
02/01/2013,10:00,340,1.9,125.1,28.1,57.5,0.0,1008,0.003,0.004,0.007,0.005,15.9,5.0
02/01/2013,11:00,39,3.3,25.0,28.6,58.7,0.0,1008,0.004,0.004,0.007,0.004,19.3,7.0
02/01/2013,12:00,58,4.1,17.3,29.0,55.7,0.0,1007,0.002,0.002,0.004,0.002,17.5,5.5
02/01/2013,13:00,52,4.1,18.7,29.2,53.3,0.0,1006,0.001,0.001,0.002,0.001,12.1,3.7
02/01/2013,14:00,59,4.2,17.1,29.7,52.9,0.0,1006,0.001,0.001,0.002,0.002,24.8,10.4
02/01/2013,15:00,56,4.0,16.5,30.1,54.7,0.0,1005,0.001,0.000,0.001,0.001,24.1,8.7
02/01/2013,16:00,60,4.4,15.6,29.5,64.7,0.0,1005,0.002,0.000,0.002,0.001,29.6,9.3
02/01/2013,17:00,62,4.3,14.1,28.5,68.4,0.0,1005,0.001,0.001,0.002,0.001,18.2,4.8
02/01/2013,18:00,62,4.0,15.0,27.5,72.3,0.0,1006,0.001,0.000,0.001,0.001,17.3,5.2
02/01/2013,19:00,66,3.9,13.8,26.6,74.0,0.0,1007,0.000,0.000,0.000,0.001,13.6,4.5
02/01/2013,20:00,76,3.3,13.0,26.2,74.7,0.0,1009,0.000,0.000,0.000,0.001,13.2,4.5
02/01/2013,21:00,95,2.5,16.5,26.3,74.7,0.0,1009,0.001,0.001,0.001,0.001,13.2,3.9
02/01/2013,22:00,142,2.9,25.4,26.4,73.2,0.0,1010,0.000,0.001,0.001,0.001,16.6,5.3
02/01/2013,23:00,149,4.0,23.5,26.0,72.3,0.0,1010,0.001,0.001,0.001,0.001,24.8,7.1
03/01/2013,00:00,152,4.6,20.5,25.5,68.0,0.0,1010,0.001,0.000,0.001,,27.6,7.7
03/01/2013,01:00,156,4.2,22.2,25.0,69.9,0.0,1010,0.001,0.001,0.001,0.001,30.6,8.3
03/01/2013,02:00,161,3.4,24.0,24.4,72.9,0.0,1010,,,,,28.7,8.1
03/01/2013,03:00,155,3.6,23.1,23.8,75.4,0.0,1009,,,,,27.0,7.3
03/01/2013,04:00,152,4.2,20.2,23.6,76.9,0.0,1009,0.001,0.000,0.001,0.001,26.2,7.1
03/01/2013,05:00,158,3.9,21.4,23.4,76.7,0.0,1010,0.001,0.001,0.001,0.001,27.9,8.0
03/01/2013,06:00,152,4.5,20.1,23.4,77.3,0.0,1010,0.001,0.001,0.001,0.001,30.3,8.6
03/01/2013,07:00,156,3.9,22.7,24.0,72.7,0.0,1011,0.001,0.001,0.002,0.001,29.4,8.5
03/01/2013,08:00,152,3.7,22.8,25.3,64.7,0.0,1012,0.001,0.001,0.002,0.001,26.5,8.1
03/01/2013,09:00,143,3.8,29.7,27.0,55.7,0.0,1012,0.001,0.001,0.002,0.001,25.4,6.8
03/01/2013,10:00,129,4.0,31.1,27.5,53.0,0.0,1012,0.001,0.001,0.002,0.001,25.5,6.7
03/01/2013,11:00,123,4.2,31.0,27.4,51.2,0.0,1012,0.001,0.001,0.001,0.001,21.7,5.6
03/01/2013,12:00,110,5.1,24.3,27.7,50.3,0.0,1011,0.001,0.000,0.001,0.001,22.7,5.6
03/01/2013,13:00,104,5.7,20.4,27.7,55.5,0.0,1011,0.001,0.001,0.001,0.001,28.9,6.9
03/01/2013,14:00,104,6.8,19.8,27.2,58.9,0.0,1010,0.001,0.000,0.001,0.000,26.2,5.7
03/01/2013,15:00,107,6.7,17.5,26.9,58.4,0.0,1010,0.001,0.000,0.001,0.001,21.5,4.2
03/01/2013,16:00,111,5.6,26.6,26.7,57.7,0.0,1010,0.001,0.000,0.001,0.001,20.8,4.0
03/01/2013,17:00,112,5.0,28.6,26.4,56.9,0.0,1009,0.001,0.000,0.001,0.001,18.3,4.2
03/01/2013,18:00,113,4.4,28.7,25.9,62.0,0.0,1010,0.001,0.000,0.001,0.001,28.2,8.5
03/01/2013,19:00,120,3.8,30.9,24.9,64.0,0.0,1011,0.001,0.001,0.001,0.001,21.9,5.3
03/01/2013,20:00,126,3.4,31.4,24.3,64.7,0.0,1011,0.001,0.000,0.001,0.001,19.9,4.9
03/01/2013,21:00,124,3.2,29.9,24.1,63.9,0.0,1012,0.001,0.001,0.001,0.001,16.8,3.6
