Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),Bsp (Mm^-1)
01/01/2014,00:00,152,0.4,40.3,0.3,23.0,85.6,,,,,,19.4,
01/01/2014,01:00,192,0.4,37.1,0.2,22.2,87.9,0.007,0.002,0.006,0.007,0.000,12.9,22
01/01/2014,02:00,160,0.3,31.9,0.2,21.2,90.4,0.009,0.001,0.004,0.005,0.000,11.1,21
01/01/2014,03:00,135,0.1,77.3,0.1,20.7,91.6,0.006,0.002,0.006,0.008,0.000,11.5,19
01/01/2014,04:00,149,0.3,40.5,0.2,20.2,92.3,0.006,0.002,0.005,0.007,0.000,11.6,18
01/01/2014,05:00,157,0.4,29.0,0.3,20.1,92.9,0.006,0.002,0.004,0.006,0.000,19.4,17
01/01/2014,06:00,172,0.6,27.2,0.3,22.4,86.0,0.013,0.002,0.001,0.003,0.000,15.7,19
01/01/2014,07:00,115,1.1,39.0,0.7,24.8,70.6,0.020,0.001,0.000,0.001,0.000,11.8,18
01/01/2014,08:00,112,1.7,31.8,0.9,26.5,58.8,0.024,0.001,0.000,0.001,0.000,11.6,17
01/01/2014,09:00,76,1.1,60.9,1.0,27.6,52.8,0.027,0.002,0.001,0.002,0.000,11.6,17
01/01/2014,10:00,66,1.8,37.1,0.9,29.4,43.7,0.031,0.001,0.001,0.002,0.000,9.0,14
01/01/2014,11:00,59,2.7,29.3,1.3,30.7,35.6,0.038,0.001,0.001,0.002,0.000,9.1,13
01/01/2014,12:00,59,3.3,23.1,1.3,31.2,34.0,0.038,0.002,0.002,0.003,0.001,17.7,14
01/01/2014,13:00,74,3.1,25.4,1.1,31.5,31.7,0.036,0.001,0.001,0.002,0.001,12.1,13
01/01/2014,14:00,68,3.4,23.6,1.3,31.5,32.4,0.034,0.002,0.002,0.003,0.000,16.6,12
01/01/2014,15:00,51,3.9,19.6,1.3,30.4,36.6,0.046,0.001,0.003,0.004,0.001,59.5,168
01/01/2014,16:00,47,3.9,17.4,1.2,29.1,42.6,0.050,0.001,0.004,0.005,0.001,107.7,315
01/01/2014,17:00,46,4.1,14.9,1.3,27.1,52.4,0.038,0.001,0.004,0.005,0.001,89.2,226
01/01/2014,18:00,52,3.5,12.2,1.0,25.5,57.3,0.028,0.001,0.003,0.004,0.000,36.7,75
01/01/2014,19:00,56,2.7,13.8,0.9,24.4,60.9,0.022,0.002,0.003,0.004,0.000,16.3,20
01/01/2014,20:00,77,1.4,16.0,0.5,23.7,64.3,0.018,0.002,0.006,0.007,0.002,15.2,12
01/01/2014,21:00,99,1.1,20.9,0.5,23.2,67.1,0.017,0.001,0.005,0.006,0.001,15.2,12
01/01/2014,22:00,136,0.6,21.4,0.3,22.2,71.4,0.013,0.002,0.008,0.009,0.000,16.1,29
01/01/2014,23:00,119,0.6,33.1,0.3,21.2,75.6,0.010,0.002,0.009,0.011,0.000,25.2,56
02/01/2014,00:00,128,0.5,23.2,0.3,20.6,78.9,,,,,,30.0,
02/01/2014,01:00,166,0.3,84.8,0.4,20.5,79.8,0.007,0.003,0.008,0.011,0.001,31.0,80
02/01/2014,02:00,230,0.5,40.7,0.2,20.1,81.5,0.007,0.001,0.007,0.008,0.000,32.5,99
02/01/2014,03:00,184,0.2,66.6,0.2,19.5,83.5,0.003,0.005,0.010,0.015,0.001,34.2,102
02/01/2014,04:00,91,0.1,75.2,0.2,18.9,86.2,0.002,0.012,0.011,0.023,0.001,34.5,102
02/01/2014,05:00,202,0.2,87.6,0.2,19.3,87.1,0.004,0.011,0.010,0.021,0.001,35.6,94
