Air quality standard,Airshed,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
24 hour PM10 concentrations exceeded (days),South East Queensland,16,6,18,4,9,13,4,11,10,19,3,6,6,2,15
24 hour PM2.5 concentrations exceeded (days),South East Queensland,9,4,5,3,7,1,1,0,0,11,3,4,1,0,2
Annual average PM2.5 concentrations (micrograms/m3),South East Queensland,6.2,5.6,6.4,6.6,7.8,6.6,6.4,5.8,5.9,8.3,5.9,7,5.7,6.3,5.8
24 hour PM10 concentrations exceeded (days),Gladstone,4,8,14,0,1,5,1,0,2,26,0,15,11,3,7
24 hour PM2.5 concentrations exceeded (days),Gladstone,,,,,,,,,,21,0,17,5,4,1
Annual average PM2.5 concentrations (micrograms/m3),Gladstone,,,,,,,,,,7.2,4.8,8,5.2,5.9,4.9
24 hour PM10 concentrations exceeded (days),Mackay,2,1,5,7,0,7,1,2,8,18,0,1,1,0,0
24 hour PM2.5 concentrations exceeded (days),Mackay,,,,,,,,,,,,,,,
Annual average PM2.5 concentrations (micrograms/m3),Mackay,,,,,,,,,,,,,,,
24 hour PM10 concentrations exceeded (days),Townsville,6,4,9,3,2,7,3,3,3,13,0,1,0,0,0
24 hour PM2.5 concentrations exceeded (days),Townsville,,,,,,,,,,,,,,,
Annual average PM2.5 concentrations (micrograms/m3),Townsville,,,,,,,,,,,,,,,
24 hour PM10 concentrations exceeded (days),Mt Isa,,,,,,,,,,19,0,13,16,13,12
24 hour PM2.5 concentrations exceeded (days),Mt Isa,,,,,,,,,,,,,,,
Annual average PM2.5 concentrations (micrograms/m3),Mt Isa,,,,,,,,,,,,,,,
24 hour PM10 concentrations exceeded (days),Moranbah,,,,,,,,,,,,5,36,1,0
24 hour PM2.5 concentrations exceeded (days),Moranbah,,,,,,,,,,,,,,,
Annual average PM2.5 concentrations (micrograms/m3),Moranbah,,,,,,,,,,,,,,,
24 hour PM10 concentrations exceeded (days),Ayr,,,,,,,,,,,,1,0,0,0
24 hour PM2.5 concentrations exceeded (days),Ayr,,,,,,,,,,,,,,,
Annual average PM2.5 concentrations (micrograms/m3),Ayr,,,,,,,,,,,,,,,
