Year,Month,SEQ major road,SEQ suburban,Mt Isa residential,Townsville peak (industrial),NEPM standard
1980,12,2.15,0.76,,,0.5
1981,1,2.2,0.78,,,0.5
1981,2,2.27,0.8,,,0.5
1981,3,2.31,0.8,,,0.5
1981,4,2.33,0.8,,,0.5
1981,5,2.34,0.81,,,0.5
1981,6,2.36,0.81,,,0.5
1981,7,2.43,0.83,,,0.5
1981,8,2.52,0.85,,,0.5
1981,9,2.6,0.87,,,0.5
1981,10,2.66,0.88,,,0.5
1981,11,2.7,0.89,,,0.5
1981,12,2.73,0.9,,,0.5
1982,1,2.74,0.89,,,0.5
1982,2,2.72,0.88,,,0.5
1982,3,2.71,0.87,,,0.5
1982,4,2.68,0.85,,,0.5
1982,5,2.65,0.84,,,0.5
1982,6,2.6,0.82,,,0.5
1982,7,2.57,0.81,,,0.5
1982,8,2.52,0.79,,,0.5
1982,9,2.49,0.74,,,0.5
1982,10,2.45,0.69,,,0.5
1982,11,2.42,0.65,,,0.5
1982,12,2.39,0.62,,,0.5
1983,1,2.34,0.6,,,0.5
1983,2,2.32,0.58,,,0.5
1983,3,2.31,0.58,,,0.5
1983,4,2.32,0.57,,,0.5
1983,5,2.33,0.58,,,0.5
1983,6,2.31,0.58,,,0.5
1983,7,2.29,0.59,,,0.5
1983,8,2.26,0.59,,,0.5
1983,9,2.24,0.6,,,0.5
1983,10,2.21,0.61,,,0.5
1983,11,2.2,0.62,,,0.5
1983,12,2.2,0.63,,,0.5
1984,1,2.24,0.64,,,0.5
1984,2,2.31,0.66,,,0.5
1984,3,2.37,0.67,,,0.5
1984,4,2.43,0.67,,,0.5
1984,5,2.45,0.67,,,0.5
1984,6,2.47,0.68,,,0.5
1984,7,2.45,0.67,,,0.5
1984,8,2.45,0.69,,,0.5
1984,9,2.43,0.71,,,0.5
1984,10,2.46,0.73,,,0.5
1984,11,2.49,0.76,,,0.5
1984,12,2.54,0.79,,,0.5
1985,1,2.55,0.81,,,0.5
1985,2,2.52,0.81,,,0.5
1985,3,2.49,0.8,,,0.5
1985,4,2.43,0.79,,,0.5
1985,5,2.4,0.79,,,0.5
1985,6,2.41,0.81,,,0.5
1985,7,2.45,0.83,,,0.5
1985,8,2.47,0.83,,,0.5
1985,9,2.47,0.84,,,0.5
1985,10,2.46,0.85,,,0.5
1985,11,2.43,0.85,,,0.5
1985,12,2.39,0.83,,,0.5
1986,1,2.36,0.81,,,0.5
1986,2,2.37,0.82,,,0.5
1986,3,2.36,0.82,,,0.5
1986,4,2.38,0.83,,,0.5
1986,5,2.35,0.81,,,0.5
1986,6,2.31,0.78,,,0.5
1986,7,2.24,0.75,,,0.5
1986,8,2.17,0.72,,,0.5
1986,9,2.11,0.69,,,0.5
1986,10,2.03,0.64,,,0.5
1986,11,1.98,0.61,,,0.5
1986,12,1.94,0.6,,,0.5
1987,1,1.92,0.6,,,0.5
1987,2,1.89,0.6,,,0.5
1987,3,1.86,0.59,,,0.5
1987,4,1.82,0.59,,,0.5
1987,5,1.82,0.59,,,0.5
1987,6,1.82,0.59,,,0.5
1987,7,1.85,0.59,,,0.5
1987,8,1.9,0.58,,,0.5
1987,9,1.94,0.59,,,0.5
1987,10,1.97,0.59,,,0.5
1987,11,1.95,0.59,,,0.5
1987,12,1.93,0.59,,,0.5
1988,1,1.91,0.58,,,0.5
1988,2,1.88,0.57,,,0.5
1988,3,1.88,0.57,,,0.5
1988,4,1.87,0.57,,,0.5
1988,5,1.87,0.58,,,0.5
1988,6,1.91,0.59,,,0.5
1988,7,1.95,0.6,,,0.5
1988,8,2.01,0.62,,,0.5
1988,9,2.03,0.61,,,0.5
1988,10,2.08,0.62,,,0.5
1988,11,2.11,0.62,,,0.5
1988,12,2.13,0.62,,,0.5
1989,1,2.12,0.61,,,0.5
1989,2,2.12,0.61,,,0.5
1989,3,2.12,0.6,,,0.5
1989,4,2.15,0.59,,,0.5
1989,5,2.19,0.58,,,0.5
1989,6,2.18,0.57,,,0.5
1989,7,2.17,0.55,,,0.5
1989,8,2.12,0.53,,,0.5
1989,9,2.1,0.52,,,0.5
1989,10,2.06,0.51,,,0.5
1989,11,2.03,0.5,,,0.5
1989,12,2.01,0.5,,,0.5
1990,1,1.99,0.5,,,0.5
1990,2,1.96,0.5,,,0.5
1990,3,1.95,0.5,,,0.5
1990,4,1.93,0.5,,,0.5
1990,5,1.92,0.51,,,0.5
1990,6,1.93,0.51,,,0.5
1990,7,1.93,0.51,,,0.5
1990,8,1.91,0.5,,,0.5
1990,9,1.86,0.49,,,0.5
1990,10,1.82,0.47,,,0.5
1990,11,1.8,0.46,,,0.5
1990,12,1.79,0.45,,,0.5
1991,1,1.8,0.44,,,0.5
1991,2,1.8,0.44,,,0.5
1991,3,1.77,0.43,,,0.5
1991,4,1.72,0.42,,,0.5
1991,5,1.63,0.39,,,0.5
1991,6,1.54,0.36,,,0.5
1991,7,1.45,0.33,,,0.5
1991,8,1.39,0.31,,,0.5
1991,9,1.38,0.3,,,0.5
1991,10,1.37,0.29,,,0.5
1991,11,1.34,0.29,,,0.5
1991,12,1.3,0.28,,,0.5
1992,1,1.24,0.28,,,0.5
1992,2,1.19,0.27,,,0.5
1992,3,1.16,0.27,,,0.5
1992,4,1.15,0.27,,,0.5
1992,5,1.15,0.27,,,0.5
1992,6,1.12,0.27,,,0.5
1992,7,1.08,0.27,,,0.5
1992,8,1.02,0.28,,,0.5
1992,9,0.97,0.27,,,0.5
1992,10,0.93,0.27,,,0.5
1992,11,0.9,0.27,,,0.5
1992,12,0.89,0.27,,,0.5
