Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2014,00:00,,,,,,,,,,
01/01/2014,01:00,,,,,,,,,,
01/01/2014,02:00,,,,,,,,,,
01/01/2014,03:00,,,,,,,,,,
01/01/2014,04:00,,,,,,,,,,
01/01/2014,05:00,,,,,,,,,,
01/01/2014,06:00,,,,,,,,,,
01/01/2014,07:00,,,,,,,,,,
01/01/2014,08:00,,,,,,,,,,
01/01/2014,09:00,,,,,,,,,,
01/01/2014,10:00,,,,,,,,,,
01/01/2014,11:00,,,,,,,,,,
01/01/2014,12:00,,,,,,,,,,
01/01/2014,13:00,,,,,,,,,,
01/01/2014,14:00,,,,,,,,,,
01/01/2014,15:00,,,,,,,,,,
01/01/2014,16:00,,,,,,,,,,
01/01/2014,17:00,,,,,,,,,,
01/01/2014,18:00,,,,,,,,,,
01/01/2014,19:00,,,,,,,,,,
01/01/2014,20:00,,,,,,,,,,
01/01/2014,21:00,,,,,,,,,,
01/01/2014,22:00,,,,,,,,,,
01/01/2014,23:00,,,,,,,,,,
02/01/2014,00:00,,,,,,,,,,
02/01/2014,01:00,,,,,,,,,,
02/01/2014,02:00,,,,,,,,,,
02/01/2014,03:00,,,,,,,,,,
02/01/2014,04:00,,,,,,,,,,
02/01/2014,05:00,,,,,,,,,,
02/01/2014,06:00,,,,,,,,,,
02/01/2014,07:00,,,,,,,,,,
02/01/2014,08:00,,,,,,,,,,
02/01/2014,09:00,,,,,,,,,,
02/01/2014,10:00,,,,,,,,,,
02/01/2014,11:00,,,,,,,,,,
02/01/2014,12:00,,,,,,,,,,
02/01/2014,13:00,,,,,,,,,,
02/01/2014,14:00,,,,,,,,,,
02/01/2014,15:00,,,,,,,,,,
02/01/2014,16:00,,,,,,,,,,
02/01/2014,17:00,,,,,,,,,,
02/01/2014,18:00,,,,,,,,,,
02/01/2014,19:00,,,,,,,,,,
02/01/2014,20:00,,,,,,,,,,
02/01/2014,21:00,,,,,,,,,,
02/01/2014,22:00,,,,,,,,,,
02/01/2014,23:00,,,,,,,,,,
03/01/2014,00:00,,,,,,,,,,
03/01/2014,01:00,,,,,,,,,,
03/01/2014,02:00,,,,,,,,,,
03/01/2014,03:00,,,,,,,,,,
03/01/2014,04:00,,,,,,,,,,
03/01/2014,05:00,,,,,,,,,,
03/01/2014,06:00,,,,,,,,,,
03/01/2014,07:00,,,,,,,,,,
03/01/2014,08:00,,,,,,,,,,
03/01/2014,09:00,,,,,,,,,,
03/01/2014,10:00,,,,,,,,,,
03/01/2014,11:00,,,,,,,,,,
03/01/2014,12:00,,,,,,,,,,
03/01/2014,13:00,,,,,,,,,,
03/01/2014,14:00,,,,,,,,,,
03/01/2014,15:00,,,,,,,,,,
03/01/2014,16:00,,,,,,,,,,
03/01/2014,17:00,,,,,,,,,,
03/01/2014,18:00,,,,,,,,,,
03/01/2014,19:00,,,,,,,,,,
03/01/2014,20:00,,,,,,,,,,
03/01/2014,21:00,,,,,,,,,,
03/01/2014,22:00,,,,,,,,,,
03/01/2014,23:00,,,,,,,,,,
04/01/2014,00:00,,,,,,,,,,
04/01/2014,01:00,,,,,,,,,,
04/01/2014,02:00,,,,,,,,,,
04/01/2014,03:00,,,,,,,,,,
04/01/2014,04:00,,,,,,,,,,
04/01/2014,05:00,,,,,,,,,,
04/01/2014,06:00,,,,,,,,,,
04/01/2014,07:00,,,,,,,,,,
04/01/2014,08:00,,,,,,,,,,
04/01/2014,09:00,,,,,,,,,,
04/01/2014,10:00,,,,,,,,,,
04/01/2014,11:00,,,,,,,,,,
04/01/2014,12:00,,,,,,,,,,
04/01/2014,13:00,,,,,,,,,,
04/01/2014,14:00,,,,,,,,,,
04/01/2014,15:00,,,,,,,,,,
04/01/2014,16:00,,,,,,,,,,
04/01/2014,17:00,,,,,,,,,,
04/01/2014,18:00,,,,,,,,,,
04/01/2014,19:00,,,,,,,,,,
04/01/2014,20:00,,,,,,,,,,
04/01/2014,21:00,,,,,,,,,,
04/01/2014,22:00,,,,,,,,,,
04/01/2014,23:00,,,,,,,,,,
05/01/2014,00:00,,,,,,,,,,
05/01/2014,01:00,,,,,,,,,,
05/01/2014,02:00,,,,,,,,,,
05/01/2014,03:00,,,,,,,,,,
05/01/2014,04:00,,,,,,,,,,
05/01/2014,05:00,,,,,,,,,,
05/01/2014,06:00,,,,,,,,,,
05/01/2014,07:00,,,,,,,,,,
05/01/2014,08:00,,,,,,,,,,
05/01/2014,09:00,,,,,,,,,,
05/01/2014,10:00,,,,,,,,,,
05/01/2014,11:00,,,,,,,,,,
05/01/2014,12:00,,,,,,,,,,
05/01/2014,13:00,,,,,,,,,,
05/01/2014,14:00,,,,,,,,,,
05/01/2014,15:00,,,,,,,,,,
05/01/2014,16:00,,,,,,,,,,
05/01/2014,17:00,,,,,,,,,,
05/01/2014,18:00,,,,,,,,,,
05/01/2014,19:00,,,,,,,,,,
