Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),PM10 (ug/m^3),Bsp (Mm^-1)
01/01/2014,00:00,134,1.5,22.3,0.6,24.1,,,,,10.9,
01/01/2014,01:00,140,2.1,20.2,0.9,24.3,0.022,0.000,0.001,0.001,17.1,15
01/01/2014,02:00,139,2.5,20.8,1.0,24.2,0.024,0.000,0.000,0.000,10.1,14
01/01/2014,03:00,137,2.9,20.6,1.2,23.9,0.022,0.000,0.000,0.000,6.2,15
01/01/2014,04:00,137,2.9,21.1,1.2,23.7,0.022,0.000,0.001,0.001,6.9,15
01/01/2014,05:00,138,2.4,21.5,1.1,23.8,0.024,0.000,0.000,0.000,9.8,15
01/01/2014,06:00,137,2.7,21.7,1.1,25.2,0.024,0.000,0.000,0.000,15.2,14
01/01/2014,07:00,137,2.7,23.2,1.3,25.9,0.025,0.000,0.000,0.000,11.8,13
01/01/2014,08:00,135,2.8,27.0,1.3,27.4,0.025,0.001,0.000,0.001,16.4,12
01/01/2014,09:00,133,3.4,25.0,1.4,28.1,0.025,0.001,0.001,0.002,12.7,11
01/01/2014,10:00,123,3.1,24.5,1.4,28.7,0.027,0.001,0.000,0.001,8.6,11
01/01/2014,11:00,127,2.7,31.5,1.3,29.5,0.024,0.001,0.000,0.001,17.3,10
01/01/2014,12:00,132,3.3,25.9,1.4,29.0,0.022,0.001,0.000,0.001,5.4,9
01/01/2014,13:00,112,2.7,31.0,1.3,29.5,0.023,0.001,0.001,0.002,16.2,9
01/01/2014,14:00,99,2.6,27.6,1.2,29.1,0.021,0.002,0.000,0.002,11.2,9
01/01/2014,15:00,98,2.7,23.8,1.1,28.4,0.021,0.001,0.000,0.001,15.5,9
01/01/2014,16:00,88,2.3,23.7,1.0,27.5,0.022,0.001,0.001,0.002,9.7,9
01/01/2014,17:00,83,2.1,21.3,0.9,25.4,0.022,0.001,0.001,0.002,15.8,10
01/01/2014,18:00,78,1.5,18.5,0.7,24.1,0.021,0.001,0.002,0.002,11.9,9
01/01/2014,19:00,81,1.3,19.9,0.6,23.2,0.021,0.000,0.002,0.002,15.8,9
01/01/2014,20:00,75,1.3,18.4,0.6,23.1,0.021,0.000,0.001,0.001,19.4,9
01/01/2014,21:00,65,1.3,18.4,0.6,22.9,0.022,0.000,0.001,0.001,14.1,9
01/01/2014,22:00,60,0.9,21.8,0.5,22.6,0.022,0.000,0.000,0.000,16.3,10
01/01/2014,23:00,62,0.8,27.2,0.4,22.5,0.022,0.000,0.001,0.001,14.4,9
02/01/2014,00:00,233,1.0,28.2,0.6,20.6,,,,,15.4,
02/01/2014,01:00,236,0.4,49.0,0.2,19.4,0.008,0.000,0.002,0.002,10.1,10
02/01/2014,02:00,271,0.4,29.5,0.2,18.8,0.005,0.001,0.003,0.003,7.3,12
02/01/2014,03:00,208,0.3,60.3,0.2,18.4,0.003,0.000,0.003,0.003,11.6,11
02/01/2014,04:00,240,0.2,127.4,0.3,18.6,0.002,0.001,0.003,0.004,12.1,8
02/01/2014,05:00,282,0.4,69.2,0.5,18.8,0.004,0.003,0.003,0.005,20.1,9
02/01/2014,06:00,311,2.0,14.0,0.5,21.9,0.017,0.001,0.002,0.003,13.1,9
02/01/2014,07:00,320,2.7,20.3,0.8,24.6,0.022,0.001,0.001,0.002,16.1,9
02/01/2014,08:00,331,3.0,21.7,1.1,26.1,0.024,0.001,0.001,0.002,16.3,10
02/01/2014,09:00,353,1.9,160.5,1.1,28.0,0.026,0.002,0.001,0.002,25.1,11
02/01/2014,10:00,45,2.0,34.0,1.0,29.3,0.025,0.002,0.001,0.002,27.4,11
02/01/2014,11:00,44,2.6,28.4,1.1,29.8,0.025,0.001,0.001,0.002,26.5,12
02/01/2014,12:00,41,2.6,24.8,1.2,29.6,0.024,0.002,0.001,0.003,16.4,11
02/01/2014,13:00,43,2.7,29.2,1.4,29.3,0.023,0.002,0.001,0.002,23.3,10
02/01/2014,14:00,42,2.8,26.3,1.3,29.2,0.022,0.001,0.001,0.002,19.7,11
02/01/2014,15:00,30,2.5,32.7,1.3,27.8,0.023,0.001,0.001,0.002,25.4,14
02/01/2014,16:00,26,2.3,37.4,1.3,27.1,0.023,0.001,0.001,0.002,22.1,12
02/01/2014,17:00,17,1.9,178.2,1.2,26.0,0.022,0.001,0.001,0.002,26.4,12
02/01/2014,18:00,9,1.9,183.1,1.1,24.9,0.022,0.001,0.001,0.002,30.2,13
02/01/2014,19:00,0,1.9,46.6,1.3,24.7,0.026,0.000,0.001,0.001,19.7,13
02/01/2014,20:00,340,2.4,36.6,1.3,24.5,0.023,0.000,0.001,0.001,17.2,13
02/01/2014,21:00,343,2.0,32.8,1.0,24.0,0.019,0.000,0.003,0.003,17.7,12
02/01/2014,22:00,334,1.4,63.7,1.2,23.8,0.019,0.000,0.001,0.001,16.9,11
02/01/2014,23:00,355,0.5,100.9,1.0,23.2,0.016,0.000,0.002,0.002,26.9,12
03/01/2014,00:00,326,2.4,22.2,0.9,23.0,,,,,12.2,
03/01/2014,01:00,336,1.3,38.5,0.7,22.7,0.015,0.000,0.002,0.002,13.6,15
03/01/2014,02:00,335,1.7,31.6,0.9,22.8,0.015,0.000,0.001,0.001,12.5,15
03/01/2014,03:00,334,3.4,20.5,1.4,23.0,0.016,0.000,0.001,0.001,12.9,12
03/01/2014,04:00,335,3.1,20.9,1.1,22.9,0.016,0.000,0.001,0.001,16.1,11
03/01/2014,05:00,324,2.8,19.1,1.0,23.3,0.017,0.000,0.001,0.001,18.0,11
03/01/2014,06:00,312,2.5,18.9,0.9,24.8,0.019,0.001,0.001,0.001,17.9,13
03/01/2014,07:00,315,2.5,20.7,1.0,27.1,0.021,0.001,0.001,0.001,17.2,14
03/01/2014,08:00,327,2.7,23.2,1.0,29.2,0.024,0.001,0.002,0.003,11.0,14
03/01/2014,09:00,339,2.4,159.0,1.4,31.5,0.027,0.001,0.002,0.003,,15
03/01/2014,10:00,37,2.3,33.5,1.3,31.0,0.022,0.002,0.002,0.003,38.2,15
03/01/2014,11:00,38,2.5,31.5,1.4,31.4,0.022,0.001,0.001,0.002,38.7,17
03/01/2014,12:00,27,3.4,32.7,1.7,30.0,0.021,0.001,0.001,0.002,22.5,15
03/01/2014,13:00,20,2.7,173.5,1.5,30.5,0.021,0.001,0.001,0.001,29.6,16
03/01/2014,14:00,358,2.1,43.2,1.4,31.0,0.022,0.001,0.000,0.001,17.0,17
03/01/2014,15:00,21,2.9,37.1,1.6,30.3,0.023,0.001,0.001,0.002,18.3,18
03/01/2014,16:00,16,3.1,36.1,1.7,29.3,0.025,0.001,0.001,0.002,40.9,33
03/01/2014,17:00,12,2.6,182.5,1.6,28.1,0.025,0.001,0.001,0.002,46.1,47
03/01/2014,18:00,359,2.6,39.9,1.5,26.7,0.023,0.001,0.001,0.001,36.2,37
03/01/2014,19:00,12,2.2,182.8,1.3,26.1,0.022,0.000,0.001,0.001,47.9,36
03/01/2014,20:00,333,2.4,27.6,1.1,27.6,0.021,0.000,0.002,0.002,,24
03/01/2014,21:00,346,3.6,31.6,1.8,28.8,0.025,0.000,0.001,0.001,,14
03/01/2014,22:00,339,2.5,34.9,1.4,27.6,0.022,0.000,0.001,0.001,53.4,18
03/01/2014,23:00,332,2.0,31.4,1.1,27.1,0.021,0.000,0.001,0.001,12.9,14
04/01/2014,00:00,338,2.0,33.3,1.2,26.7,,,,,14.4,
04/01/2014,01:00,331,3.0,20.9,1.5,27.0,0.024,0.000,0.001,0.001,,17
04/01/2014,02:00,335,3.6,23.9,1.5,27.0,0.022,0.000,0.000,0.000,9.6,10
04/01/2014,03:00,332,2.7,21.7,1.2,26.3,0.020,0.000,0.000,0.000,17.8,9
04/01/2014,04:00,336,2.1,28.1,0.9,25.7,0.019,0.000,0.000,0.000,20.3,9
04/01/2014,05:00,345,1.7,39.0,0.9,25.4,0.018,0.000,0.001,0.001,21.0,9
04/01/2014,06:00,354,1.5,41.1,0.9,26.6,0.017,0.001,0.001,0.001,22.3,10
04/01/2014,07:00,332,3.1,27.9,1.5,28.5,0.020,0.001,0.000,0.001,9.9,12
04/01/2014,08:00,327,4.3,17.4,1.4,30.8,0.026,0.001,0.002,0.003,14.1,20
04/01/2014,09:00,326,4.6,17.5,1.5,33.3,0.033,0.001,0.001,0.002,8.1,27
04/01/2014,10:00,322,4.3,20.0,1.3,35.5,0.038,0.000,0.002,0.002,18.5,26
