Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Rainfall (mm),PM10 (ug/m^3),TSP (ug/m^3)
01/01/2014,00:00,301,0.9,,,,0.0,11.6,
01/01/2014,01:00,320,1.0,,,,0.0,15.1,
01/01/2014,02:00,315,0.9,,,,0.0,8.5,
01/01/2014,03:00,336,1.0,,,,0.0,6.5,
01/01/2014,04:00,333,0.9,,,,0.0,13.4,
01/01/2014,05:00,324,0.8,,,,0.0,20.9,
01/01/2014,06:00,334,1.1,,,,0.0,18.5,
01/01/2014,07:00,340,1.2,,,,0.0,10.0,
01/01/2014,08:00,342,1.3,,,,0.0,7.3,
01/01/2014,09:00,350,1.3,,,,0.0,14.1,
01/01/2014,10:00,3,1.8,,,,0.0,18.4,
01/01/2014,11:00,18,3.2,,,,0.0,16.6,
01/01/2014,12:00,21,3.8,,,,0.0,13.7,
01/01/2014,13:00,21,3.6,,,,0.0,14.8,
01/01/2014,14:00,20,3.5,,,,0.0,21.7,
01/01/2014,15:00,19,3.2,,,,0.0,13.8,
01/01/2014,16:00,18,3.1,,,,0.0,11.9,
01/01/2014,17:00,18,3.0,,,,0.0,15.1,
01/01/2014,18:00,20,3.0,,,,0.0,17.1,
01/01/2014,19:00,19,3.2,,,,0.0,15.0,
01/01/2014,20:00,19,2.9,,,,0.0,12.7,
01/01/2014,21:00,18,2.9,,,,0.0,8.6,
01/01/2014,22:00,19,2.9,,,,0.0,11.7,
01/01/2014,23:00,16,2.4,,,,0.0,9.8,
02/01/2014,00:00,21,3.0,,,,0.0,9.6,
02/01/2014,01:00,22,2.8,,,,0.0,14.3,
02/01/2014,02:00,18,2.4,,,,0.0,6.2,
02/01/2014,03:00,12,2.1,,,,0.0,6.0,
02/01/2014,04:00,6,1.7,,,,0.0,9.5,
02/01/2014,05:00,5,1.7,,,,0.0,7.4,
02/01/2014,06:00,356,1.8,,,,0.0,13.4,
02/01/2014,07:00,3,1.6,,,,0.0,10.3,
02/01/2014,08:00,17,2.0,,,,0.0,13.5,
02/01/2014,09:00,28,2.6,,,,0.0,14.5,
02/01/2014,10:00,29,2.8,,,,0.0,17.4,
02/01/2014,11:00,24,2.6,,,,0.0,8.3,
02/01/2014,12:00,24,2.7,,,,0.0,20.9,
02/01/2014,13:00,23,3.0,,,,0.0,10.5,
02/01/2014,14:00,24,3.5,,,32.0,0.0,10.4,
02/01/2014,15:00,23,3.1,,,32.9,0.0,11.9,
02/01/2014,16:00,23,3.2,,,32.1,0.0,13.1,
02/01/2014,17:00,21,3.2,,,30.8,0.0,14.9,
02/01/2014,18:00,20,2.8,,,28.7,0.0,12.9,
02/01/2014,19:00,14,2.0,,,27.7,0.0,9.1,
02/01/2014,20:00,13,1.7,,,27.5,0.0,9.7,
02/01/2014,21:00,4,1.7,,,27.5,0.0,8.0,
02/01/2014,22:00,351,1.8,,,27.4,0.0,23.4,
02/01/2014,23:00,350,1.4,,,27.2,0.0,7.3,
03/01/2014,00:00,351,1.2,,,,0.0,7.8,
03/01/2014,01:00,348,1.3,,,,0.0,5.0,
03/01/2014,02:00,350,1.5,,,,0.0,3.6,
03/01/2014,03:00,349,1.4,,,,0.0,12.7,
03/01/2014,04:00,348,1.1,,,,0.0,9.2,
03/01/2014,05:00,346,1.3,,,,0.0,11.2,
03/01/2014,06:00,354,1.6,,,,0.0,13.5,
03/01/2014,07:00,347,1.4,,,,0.0,12.6,
03/01/2014,08:00,336,1.0,,,,0.0,10.8,
03/01/2014,09:00,323,1.1,,,,0.0,14.4,
03/01/2014,10:00,294,1.5,,,,0.0,9.5,
03/01/2014,11:00,295,1.8,,,,0.0,20.4,
03/01/2014,12:00,301,1.5,,,,0.0,13.3,
03/01/2014,13:00,340,1.3,,,,0.0,15.7,
03/01/2014,14:00,22,2.8,,,,0.0,22.8,
03/01/2014,15:00,25,3.5,,,,0.0,,
03/01/2014,16:00,17,2.4,,,,0.0,22.9,
03/01/2014,17:00,296,1.6,,,,0.0,6.8,
03/01/2014,18:00,355,1.1,,,,0.0,6.9,
03/01/2014,19:00,294,1.3,,,,0.0,20.2,
03/01/2014,20:00,327,0.9,,,,0.0,13.1,
03/01/2014,21:00,292,1.1,,,,0.0,10.3,
03/01/2014,22:00,297,1.1,,,,0.0,12.1,
03/01/2014,23:00,339,1.3,,,,0.0,,
04/01/2014,00:00,336,0.8,,,,0.0,9.6,
04/01/2014,01:00,326,0.9,,,,0.0,3.5,
04/01/2014,02:00,316,0.9,,,,0.0,9.2,
04/01/2014,03:00,327,0.9,,,,0.0,17.5,
04/01/2014,04:00,342,1.2,,,,0.0,8.8,
04/01/2014,05:00,339,1.3,,,,0.0,16.4,
04/01/2014,06:00,340,1.3,,,,0.0,18.7,
04/01/2014,07:00,322,1.0,,,,0.0,14.3,
