Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3)
01/01/2015,00:00,77,5.5,7.1,0.7,26.6,,,,
01/01/2015,01:00,79,6.1,6.2,0.7,26.4,,,,20.5
01/01/2015,02:00,80,6.3,6.7,0.8,26.3,,,,5.7
01/01/2015,03:00,76,6.2,6.0,0.7,26.2,,,,1.4
01/01/2015,04:00,74,5.6,6.4,0.8,26.0,,,,10.6
01/01/2015,05:00,74,5.4,7.0,0.7,26.3,,,,11.7
01/01/2015,06:00,67,6.3,9.6,0.8,27.4,,,,8.0
01/01/2015,07:00,66,6.2,9.2,0.8,27.3,,,,7.3
01/01/2015,08:00,71,5.0,14.0,1.4,28.2,,,,4.8
01/01/2015,09:00,68,5.7,11.8,0.9,29.0,,,,10.3
01/01/2015,10:00,66,6.0,11.8,0.9,29.1,,,,11.7
01/01/2015,11:00,67,6.4,11.5,1.0,29.1,,,,6.3
01/01/2015,12:00,66,6.7,10.5,0.9,29.0,,,,5.3
01/01/2015,13:00,67,8.0,8.1,1.0,28.6,,,,7.0
01/01/2015,14:00,68,7.8,9.8,1.0,28.7,,,,11.5
01/01/2015,15:00,70,7.7,11.4,1.2,28.7,,,,12.6
01/01/2015,16:00,75,8.3,10.6,1.2,28.0,,,,10.1
01/01/2015,17:00,75,8.7,9.8,1.4,27.2,,,,18.2
01/01/2015,18:00,78,8.9,8.9,1.5,27.0,,,,17.4
01/01/2015,19:00,80,9.0,7.9,1.4,26.7,,,,19.3
01/01/2015,20:00,78,8.6,8.0,1.2,26.6,,,,15.9
01/01/2015,21:00,76,8.8,9.0,1.3,26.6,,,,12.8
01/01/2015,22:00,80,8.7,8.1,1.3,26.5,,,,15.4
01/01/2015,23:00,83,8.8,7.1,1.4,26.5,,,,18.8
02/01/2015,00:00,83,8.7,7.5,1.3,26.4,,,,24.7
02/01/2015,01:00,80,8.3,7.8,1.2,26.3,,,,11.8
02/01/2015,02:00,80,7.7,7.7,1.1,26.2,,,,12.6
02/01/2015,03:00,81,8.0,6.8,1.1,26.2,,,,13.3
02/01/2015,04:00,83,6.3,8.5,2.3,25.8,,,,15.4
02/01/2015,05:00,86,4.4,8.0,0.8,25.1,,,,15.5
02/01/2015,06:00,71,6.7,8.8,1.5,26.8,,,,18.5
02/01/2015,07:00,73,7.3,10.8,1.0,27.5,,,,29.7
02/01/2015,08:00,74,6.7,11.7,1.3,27.8,,,,24.3
02/01/2015,09:00,71,7.5,9.3,1.1,28.0,,,,15.8
02/01/2015,10:00,74,7.3,10.2,1.3,28.1,,,,18.5
02/01/2015,11:00,75,7.4,11.4,1.4,28.1,,,,16.3
02/01/2015,12:00,78,7.5,12.6,1.5,28.8,,,,22.9
02/01/2015,13:00,76,7.8,11.4,1.4,28.7,,,,30.0
02/01/2015,14:00,71,8.0,12.0,1.3,28.5,,,,28.5
02/01/2015,15:00,71,7.9,11.0,1.4,28.2,,,,17.1
02/01/2015,16:00,75,8.1,10.2,1.2,27.9,,,,18.5
02/01/2015,17:00,81,8.3,8.9,1.6,27.4,,,,23.7
02/01/2015,18:00,78,9.0,10.2,1.7,26.7,,,,29.6
02/01/2015,19:00,80,9.9,8.9,1.6,26.6,,,,24.4
02/01/2015,20:00,82,9.8,7.5,1.6,26.6,,,,27.7
02/01/2015,21:00,81,9.7,8.4,1.6,26.4,,,,29.9
02/01/2015,22:00,85,10.0,7.3,1.6,26.5,,,,25.1
02/01/2015,23:00,82,10.4,7.8,1.5,26.3,,,,19.1
03/01/2015,00:00,82,10.3,7.2,1.5,26.2,,,,17.2
03/01/2015,01:00,79,10.1,9.0,1.6,26.1,,,,13.5
03/01/2015,02:00,75,10.3,7.8,1.3,26.0,,,,15.6
03/01/2015,03:00,77,9.8,8.4,1.5,26.0,,,,19.0
03/01/2015,04:00,80,9.8,8.0,1.4,26.0,,,,19.8
03/01/2015,05:00,82,10.2,6.9,1.3,26.1,,,,19.1
03/01/2015,06:00,80,9.9,7.9,1.4,26.6,,,,18.6
03/01/2015,07:00,83,8.7,9.9,1.6,27.1,,,,22.0
03/01/2015,08:00,79,7.9,12.1,1.4,27.5,,,,19.1
03/01/2015,09:00,80,7.7,11.1,1.4,28.0,,,,16.8
03/01/2015,10:00,83,8.0,11.1,1.3,28.1,,,,17.9
03/01/2015,11:00,78,8.1,11.3,1.3,28.4,,,,16.4
03/01/2015,12:00,79,8.2,10.9,1.5,28.3,,,,13.8
03/01/2015,13:00,75,8.2,11.3,1.4,28.2,,,,14.2
03/01/2015,14:00,78,8.0,10.6,1.4,28.3,,,,19.6
03/01/2015,15:00,76,8.6,10.3,1.5,27.8,,,,17.2
03/01/2015,16:00,80,8.2,10.4,1.6,27.6,,,,25.5
03/01/2015,17:00,84,9.0,9.1,1.8,27.1,,,,27.7
03/01/2015,18:00,89,9.5,9.7,2.0,26.6,,,,43.4
03/01/2015,19:00,91,10.5,10.1,2.5,26.1,,,,33.4
03/01/2015,20:00,85,10.4,9.8,2.0,25.9,,,,27.2
