Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2015,00:00,75,1.5,19.8,0.6,27.2,87.5,,,,,12.9,5.4,
01/01/2015,01:00,66,0.9,28.1,0.6,26.6,88.0,0.001,0.002,0.003,0.000,4.3,-1.4,10
01/01/2015,02:00,78,2.2,15.4,0.8,27.0,86.8,0.001,0.000,0.001,0.000,13.3,6.7,11
01/01/2015,03:00,77,1.8,15.2,0.7,26.9,84.4,0.001,0.001,0.002,0.000,17.5,11.2,12
01/01/2015,04:00,68,1.1,27.4,0.6,26.5,85.7,0.001,0.001,0.001,0.000,4.4,-0.2,11
01/01/2015,05:00,85,1.0,36.3,0.5,26.3,87.5,0.002,0.002,0.003,0.000,2.1,-2.6,11
01/01/2015,06:00,100,1.1,98.0,1.4,27.3,85.8,0.004,0.003,0.007,0.000,10.7,4.1,12
01/01/2015,07:00,98,2.8,18.5,0.9,29.6,76.6,0.001,0.001,0.002,0.000,10.5,4.5,14
01/01/2015,08:00,107,2.0,32.6,0.9,29.2,77.7,0.009,0.006,0.015,0.000,8.1,2.6,15
01/01/2015,09:00,96,2.9,30.0,1.1,30.9,70.9,0.004,0.004,0.008,0.003,8.6,2.1,13
01/01/2015,10:00,77,3.8,20.5,1.1,32.0,66.4,0.001,0.000,0.001,0.000,12.4,7.6,10
01/01/2015,11:00,70,3.9,19.9,1.0,32.1,67.1,0.001,0.000,0.001,0.000,9.9,5.9,11
01/01/2015,12:00,77,4.0,21.0,1.2,32.2,64.5,0.001,0.000,0.001,0.000,9.9,5.8,11
01/01/2015,13:00,75,4.2,20.2,1.2,32.2,64.3,0.001,0.000,0.001,0.000,8.2,3.9,10
01/01/2015,14:00,84,4.4,18.1,1.3,31.8,65.8,0.001,0.000,0.001,0.000,9.4,4.0,11
01/01/2015,15:00,84,4.1,20.4,1.3,31.6,67.6,0.001,0.000,0.001,0.000,12.1,6.2,12
01/01/2015,16:00,86,3.9,18.8,1.2,30.6,69.4,0.001,0.000,0.001,0.000,12.4,5.7,12
01/01/2015,17:00,87,4.1,16.4,1.4,29.0,76.0,0.001,0.001,0.001,0.000,11.4,4.5,14
01/01/2015,18:00,92,3.9,17.1,1.1,28.4,78.5,0.001,0.001,0.001,0.000,14.0,5.6,14
01/01/2015,19:00,93,3.8,15.7,1.2,28.0,78.4,0.001,0.001,0.002,0.000,9.8,2.2,13
01/01/2015,20:00,89,3.6,15.1,1.0,27.8,78.3,0.001,0.000,0.001,0.000,12.2,4.8,13
01/01/2015,21:00,91,3.8,15.6,1.1,27.8,79.1,0.001,0.001,0.001,0.000,13.1,5.1,13
01/01/2015,22:00,96,3.6,15.5,1.1,27.6,79.9,0.001,0.000,0.001,0.000,,,13
01/01/2015,23:00,100,3.1,15.9,1.1,27.5,80.1,0.001,0.001,0.002,0.000,,,12
02/01/2015,00:00,98,3.3,15.9,1.2,27.2,81.9,,,,,14.7,2.8,
02/01/2015,01:00,99,3.0,15.4,1.0,27.2,81.4,0.001,0.002,0.003,0.000,,,9
02/01/2015,02:00,98,2.6,15.9,0.9,27.1,81.8,0.001,0.000,0.001,0.000,17.4,7.5,11
02/01/2015,03:00,130,1.3,29.2,0.7,26.3,85.4,0.001,0.006,0.007,0.000,17.7,6.9,13
02/01/2015,04:00,156,1.6,21.9,0.7,26.0,86.3,0.002,0.005,0.007,0.000,,,15
02/01/2015,05:00,162,1.8,18.4,0.6,25.7,86.3,0.003,0.004,0.007,0.000,12.6,1.2,12
02/01/2015,06:00,164,1.6,24.9,0.7,26.5,84.5,0.008,0.006,0.014,0.001,9.2,-0.2,14
02/01/2015,07:00,148,1.9,28.9,0.9,27.6,81.9,0.008,0.007,0.015,0.002,21.6,11.8,15
02/01/2015,08:00,78,3.9,18.1,1.2,30.3,72.0,0.001,0.001,0.002,0.001,19.5,9.3,16
02/01/2015,09:00,82,4.6,17.0,1.4,30.9,68.2,0.001,0.000,0.001,0.000,25.6,13.9,16
02/01/2015,10:00,87,4.6,19.1,1.4,31.6,64.9,0.001,0.000,0.001,0.000,19.3,7.6,15
02/01/2015,11:00,85,4.9,17.3,1.4,31.7,65.7,0.000,0.001,0.001,0.000,20.5,7.8,16
02/01/2015,12:00,80,4.6,18.3,1.3,31.8,65.2,0.001,0.001,0.001,0.000,23.6,9.8,17
02/01/2015,13:00,77,4.7,19.4,1.4,31.7,65.4,0.001,0.000,0.001,0.000,18.5,5.0,18
02/01/2015,14:00,80,4.6,18.2,1.4,31.5,65.9,0.001,0.000,0.001,0.000,17.8,4.7,17
02/01/2015,15:00,79,4.2,20.1,1.5,31.0,66.1,0.001,0.000,0.001,0.000,20.1,6.6,17
02/01/2015,16:00,84,4.1,19.2,1.3,30.8,67.5,0.001,0.000,0.001,0.000,18.5,6.1,17
02/01/2015,17:00,90,3.8,17.2,1.4,29.1,73.4,0.001,0.001,0.001,0.000,19.3,6.0,18
02/01/2015,18:00,95,4.1,15.6,1.3,28.0,78.1,0.001,0.001,0.001,0.000,24.9,10.0,19
02/01/2015,19:00,91,4.4,16.3,1.4,27.7,79.5,0.001,0.001,0.001,0.000,22.0,8.5,19
