Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa)
01/01/2015,00:00,120,1.8,7.3,0.2,27.0,75.5,0.0,1007
01/01/2015,01:00,126,1.8,11.8,0.5,26.9,78.5,0.0,1006
01/01/2015,02:00,111,1.9,14.2,0.3,26.7,80.3,0.0,1006
01/01/2015,03:00,119,2.1,6.5,0.3,26.5,81.5,0.0,1006
01/01/2015,04:00,119,2.4,6.6,0.6,26.4,81.7,0.0,1005
01/01/2015,05:00,132,2.9,5.0,0.4,26.1,84.4,0.0,1006
01/01/2015,06:00,132,3.5,5.4,0.5,26.4,82.7,0.0,1007
01/01/2015,07:00,130,3.8,8.9,0.7,27.3,78.1,0.0,1007
01/01/2015,08:00,109,3.3,44.1,1.6,28.2,74.0,0.4,1008
01/01/2015,09:00,78,5.8,11.3,1.3,28.1,72.4,0.0,1008
01/01/2015,10:00,69,6.7,7.6,0.9,28.6,69.2,0.0,1008
01/01/2015,11:00,68,7.5,8.5,1.0,29.3,65.7,0.0,1008
01/01/2015,12:00,68,7.6,9.7,1.1,29.1,67.5,0.0,1007
01/01/2015,13:00,69,7.4,7.2,1.0,29.2,61.6,0.0,1007
01/01/2015,14:00,70,7.3,9.8,1.1,29.5,61.1,0.0,1006
01/01/2015,15:00,71,7.9,8.2,1.1,29.3,65.9,0.0,1006
01/01/2015,16:00,72,8.9,6.8,1.2,29.1,67.9,0.0,1005
01/01/2015,17:00,74,8.0,6.7,1.1,28.9,65.5,0.0,1006
01/01/2015,18:00,76,6.8,6.0,1.2,28.5,67.9,0.0,1006
01/01/2015,19:00,85,5.3,6.6,1.1,28.1,67.8,0.0,1007
01/01/2015,20:00,102,3.5,6.9,0.5,27.9,67.6,0.0,1008
01/01/2015,21:00,105,3.9,6.3,0.6,27.6,71.7,0.0,1008
01/01/2015,22:00,110,4.1,9.0,0.8,27.5,72.2,0.0,1009
01/01/2015,23:00,121,3.9,10.8,0.8,26.5,76.0,0.9,1008
02/01/2015,00:00,132,3.8,6.0,0.8,25.3,83.7,0.1,1008
02/01/2015,01:00,127,3.7,3.7,0.4,25.3,82.5,0.0,1007
02/01/2015,02:00,124,3.3,7.5,0.4,25.4,81.8,0.0,1007
02/01/2015,03:00,125,3.6,7.0,0.4,25.2,82.7,0.0,1007
02/01/2015,04:00,132,3.7,8.4,0.5,25.4,81.7,0.0,1007
02/01/2015,05:00,123,2.4,13.1,0.6,25.3,82.1,0.0,1008
02/01/2015,06:00,132,3.9,6.6,0.7,26.3,77.6,0.0,1009
02/01/2015,07:00,131,4.7,8.6,0.8,27.4,73.4,0.0,1010
02/01/2015,08:00,95,4.3,25.8,1.3,27.8,70.8,0.0,1010
02/01/2015,09:00,92,4.7,15.7,0.9,28.7,67.1,0.0,1010
02/01/2015,10:00,63,5.6,12.7,2.1,26.3,80.3,3.7,1010
02/01/2015,11:00,69,6.7,10.2,1.4,28.6,68.7,0.0,1010
02/01/2015,12:00,68,8.1,9.9,1.2,29.0,66.5,0.0,1009
02/01/2015,13:00,75,8.1,9.6,1.3,28.9,63.6,0.0,1008
02/01/2015,14:00,71,7.3,8.6,1.2,28.7,65.6,0.0,1008
02/01/2015,15:00,132,4.6,14.5,1.1,27.1,74.4,0.3,1008
02/01/2015,16:00,78,5.6,13.1,1.3,28.5,66.3,0.0,1007
02/01/2015,17:00,74,6.0,8.4,1.2,28.5,67.0,0.0,1007
02/01/2015,18:00,78,5.3,7.3,0.8,28.3,69.7,0.0,1008
02/01/2015,19:00,89,4.2,7.9,0.9,27.9,69.9,0.0,1009
02/01/2015,20:00,104,4.6,23.7,1.6,26.0,77.5,0.2,1010
02/01/2015,21:00,124,3.6,4.7,0.5,25.7,79.4,0.0,1010
02/01/2015,22:00,125,3.5,4.5,0.4,25.5,78.5,0.0,1010
02/01/2015,23:00,124,4.3,4.7,0.6,25.6,81.1,0.0,1009
03/01/2015,00:00,124,4.0,4.7,0.5,25.5,82.3,0.0,1009
03/01/2015,01:00,124,4.5,7.2,0.6,25.5,82.7,0.1,1008
03/01/2015,02:00,117,3.9,7.1,0.5,25.1,85.8,0.0,1007
03/01/2015,03:00,117,3.6,8.7,0.5,24.8,86.7,0.0,1007
03/01/2015,04:00,130,4.9,5.4,0.6,24.5,85.1,0.0,1008
03/01/2015,05:00,124,5.0,5.8,0.6,24.6,81.8,0.0,1008
03/01/2015,06:00,119,5.0,8.7,1.0,24.6,85.7,2.3,1009
03/01/2015,07:00,108,4.6,14.2,0.8,24.2,91.0,4.5,1010
03/01/2015,08:00,107,6.5,12.4,1.2,24.9,89.0,2.4,1010
03/01/2015,09:00,121,6.1,7.1,0.9,26.0,83.0,0.0,1010
03/01/2015,10:00,114,6.7,8.6,1.0,27.5,73.5,0.0,1010
03/01/2015,11:00,96,6.3,12.8,1.1,28.4,68.7,0.0,1010
03/01/2015,12:00,81,6.8,15.0,1.2,29.0,66.8,0.0,1009
03/01/2015,13:00,71,6.6,8.1,1.3,28.5,71.3,0.0,1008
03/01/2015,14:00,94,6.6,23.7,1.0,28.4,70.7,0.0,1008
03/01/2015,15:00,124,6.5,13.6,1.4,25.8,83.4,0.1,1007
03/01/2015,16:00,96,5.5,8.6,1.7,24.3,90.3,7.5,1008
03/01/2015,17:00,114,6.0,6.9,1.0,24.0,91.3,24.4,1008
03/01/2015,18:00,82,6.5,10.8,1.5,24.3,91.7,14.2,1009
03/01/2015,19:00,96,6.3,7.1,0.9,24.3,89.4,2.1,1009
03/01/2015,20:00,114,6.4,13.3,1.1,24.4,86.6,0.4,1010
03/01/2015,21:00,133,6.7,6.5,1.0,23.3,88.9,1.9,1010
03/01/2015,22:00,134,5.3,5.7,1.0,23.7,84.6,0.0,1010
03/01/2015,23:00,130,5.7,9.3,1.1,23.9,84.0,0.4,1010
04/01/2015,00:00,132,5.1,3.9,0.6,24.2,81.7,0.0,1009
04/01/2015,01:00,124,4.3,6.3,0.6,24.4,82.4,0.0,1008
04/01/2015,02:00,127,4.2,5.0,0.6,24.6,82.4,0.0,1007
04/01/2015,03:00,132,4.8,4.0,0.5,24.7,78.9,0.0,1007
04/01/2015,04:00,130,4.6,4.5,0.5,24.8,80.2,0.0,1007
04/01/2015,05:00,127,4.4,4.3,0.5,25.0,80.2,0.0,1008
04/01/2015,06:00,132,3.9,22.6,1.1,25.3,79.2,0.0,1009
04/01/2015,07:00,124,4.1,5.1,0.6,26.1,76.3,0.0,1009
04/01/2015,08:00,119,4.5,13.5,0.7,27.5,70.7,0.0,1009
04/01/2015,09:00,107,4.7,12.1,0.9,28.3,66.5,0.0,1009
04/01/2015,10:00,95,6.0,10.0,1.1,28.9,62.1,0.0,1009
04/01/2015,11:00,85,6.1,11.5,1.1,29.3,58.4,0.0,1009
04/01/2015,12:00,65,6.6,11.4,1.2,29.3,59.4,0.0,1008
04/01/2015,13:00,63,7.3,8.4,1.0,29.2,60.2,0.0,1007
04/01/2015,14:00,70,7.6,6.7,1.0,29.0,60.2,0.0,1007
04/01/2015,15:00,97,6.5,20.5,1.4,29.1,58.6,0.0,1006
04/01/2015,16:00,90,7.5,8.0,1.1,29.1,55.0,0.0,1006
04/01/2015,17:00,96,7.2,8.0,1.0,28.5,61.7,0.0,1006
04/01/2015,18:00,98,6.8,6.3,1.0,27.7,65.0,0.0,1007
04/01/2015,19:00,100,5.1,5.7,0.8,27.2,67.8,0.0,1008
04/01/2015,20:00,116,5.4,6.6,1.0,26.3,71.4,0.0,1008
04/01/2015,21:00,119,4.7,7.1,0.6,25.9,70.9,0.0,1009
04/01/2015,22:00,119,4.5,16.6,1.7,24.6,77.5,0.0,1009
04/01/2015,23:00,130,4.5,5.8,1.2,24.5,80.7,0.0,1008
05/01/2015,00:00,132,3.9,5.7,0.5,24.5,80.3,0.0,1007
05/01/2015,01:00,124,4.0,8.2,0.6,24.9,78.7,0.0,1007
05/01/2015,02:00,123,3.3,6.9,0.5,24.7,79.1,0.0,1006
05/01/2015,03:00,127,4.1,4.0,0.6,24.8,78.2,0.0,1006
05/01/2015,04:00,125,4.0,4.4,0.5,24.8,77.1,0.0,1006
05/01/2015,05:00,125,3.6,5.4,0.4,24.6,78.6,0.0,1007
05/01/2015,06:00,127,4.2,7.3,0.6,25.6,74.3,0.0,1007
05/01/2015,07:00,124,5.2,9.7,1.1,26.9,68.8,0.1,1008
05/01/2015,08:00,108,5.4,12.4,0.9,27.7,65.9,0.0,1008
05/01/2015,09:00,111,5.1,11.7,1.1,28.3,63.7,0.0,1008
05/01/2015,10:00,96,6.4,12.8,1.1,29.1,59.1,0.2,1007
