Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
01/01/2015,00:00,75,2.1,18.3,0.8,27.2,76.6,0.0,1012,8.8,3.4,13.5
01/01/2015,01:00,66,1.8,21.6,0.8,26.9,77.8,0.0,1011,12.0,5.9,19.3
01/01/2015,02:00,77,1.0,23.6,0.4,26.5,79.1,0.0,1011,14.9,8.3,14.8
01/01/2015,03:00,75,0.8,30.0,0.5,26.4,80.3,0.0,1012,13.9,7.4,18.9
01/01/2015,04:00,80,1.1,24.4,0.4,26.4,80.2,0.0,1012,9.2,2.8,16.3
01/01/2015,05:00,137,1.0,30.8,0.5,26.0,81.1,0.0,1012,8.3,2.5,14.6
01/01/2015,06:00,122,0.5,68.3,0.5,26.3,81.4,3.5,1013,8.2,2.7,21.2
01/01/2015,07:00,87,2.7,15.9,1.0,27.9,72.1,0.0,1013,10.4,4.6,6.2
01/01/2015,08:00,60,2.0,21.7,0.8,28.6,67.3,0.0,1014,11.0,5.6,14.1
01/01/2015,09:00,68,2.2,20.8,0.8,29.2,62.9,0.0,1014,10.6,3.7,14.9
01/01/2015,10:00,80,2.3,21.4,0.8,29.5,61.3,0.0,1014,11.5,4.5,20.4
01/01/2015,11:00,79,2.7,17.8,0.8,29.8,62.1,0.0,1013,15.7,8.4,22.2
01/01/2015,12:00,77,3.0,21.1,1.1,30.1,61.0,0.0,1013,16.4,8.8,20.3
01/01/2015,13:00,68,2.8,24.1,1.0,30.4,59.7,0.0,1012,14.5,7.8,17.5
01/01/2015,14:00,81,3.3,20.3,1.1,30.0,59.9,0.0,1012,15.4,8.3,15.0
01/01/2015,15:00,75,3.0,18.5,1.1,29.9,57.4,0.0,1012,16.4,10.3,13.0
01/01/2015,16:00,83,3.6,15.9,1.1,29.2,58.5,0.0,1012,13.0,7.0,13.3
01/01/2015,17:00,82,3.3,14.2,1.0,28.1,63.8,0.0,1012,19.3,14.7,18.1
01/01/2015,18:00,81,2.9,14.2,0.9,27.5,67.8,0.0,1013,17.2,12.9,16.1
01/01/2015,19:00,73,2.5,15.7,0.8,27.1,69.4,0.0,1014,7.7,2.2,15.4
01/01/2015,20:00,75,2.4,18.1,0.8,26.8,69.9,0.0,1014,8.2,1.9,17.1
01/01/2015,21:00,77,2.0,15.8,0.7,26.7,70.3,0.0,1015,10.8,5.4,14.5
01/01/2015,22:00,80,1.8,18.0,0.6,26.6,71.2,0.0,1015,10.3,5.2,13.3
01/01/2015,23:00,73,1.7,16.9,0.7,26.4,73.1,0.0,1014,7.5,1.1,16.8
02/01/2015,00:00,73,2.0,15.5,0.7,26.3,73.3,0.0,1014,11.7,5.0,15.3
02/01/2015,01:00,67,1.5,19.1,0.6,26.2,74.0,0.0,1014,13.1,7.5,18.3
02/01/2015,02:00,71,1.4,19.8,0.7,25.9,76.2,0.0,1013,10.5,3.6,14.5
02/01/2015,03:00,74,1.5,17.7,0.7,25.9,75.6,0.0,1014,9.0,1.8,19.1
02/01/2015,04:00,70,1.1,19.1,0.5,25.9,75.1,0.0,1014,13.1,5.9,20.3
02/01/2015,05:00,70,0.9,35.5,0.6,25.9,74.6,0.0,1015,15.4,7.4,24.0
02/01/2015,06:00,90,2.0,26.8,1.2,27.0,70.1,0.0,1016,13.2,2.7,26.5
02/01/2015,07:00,83,2.8,17.5,0.9,28.0,64.9,0.0,1016,17.6,6.8,22.4
02/01/2015,08:00,,,,,,,,,,,
02/01/2015,09:00,,,,,,,,,,,
02/01/2015,10:00,,,,,,,,,,,
02/01/2015,11:00,,,,,,,,,,,
02/01/2015,12:00,,,,,,,,,,,
02/01/2015,13:00,,,,,,,,,,,
02/01/2015,14:00,,,,,,,,,,,
02/01/2015,15:00,,,,,,,,,,,
02/01/2015,16:00,,,,,,,,,,,
02/01/2015,17:00,,,,,,,,,,,
02/01/2015,18:00,,,,,,,,,,,
02/01/2015,19:00,,,,,,,,,,,
02/01/2015,20:00,,,,,,,,,,,
02/01/2015,21:00,,,,,,,,,,,
02/01/2015,22:00,,,,,,,,,,,
02/01/2015,23:00,,,,,,,,,,,
03/01/2015,00:00,,,,,,,,,,,
03/01/2015,01:00,,,,,,,,,,,
03/01/2015,02:00,,,,,,,,,,,
03/01/2015,03:00,,,,,,,,,,,
03/01/2015,04:00,,,,,,,,,,,
03/01/2015,05:00,,,,,,,,,,,
03/01/2015,06:00,,,,,,,,,,,
03/01/2015,07:00,,,,,,,,,,,
03/01/2015,08:00,,,,,,,,,,,
03/01/2015,09:00,,,,,,,,,,,
03/01/2015,10:00,,,,,,,,,,,
03/01/2015,11:00,,,,,,,,,,,
03/01/2015,12:00,,,,,,,,,,,
03/01/2015,13:00,,,,,,,,,,,
03/01/2015,14:00,,,,,,,,,,,
03/01/2015,15:00,,,,,,,,,,,
03/01/2015,16:00,,,,,,,,,,,
03/01/2015,17:00,,,,,,,,,,,
03/01/2015,18:00,,,,,,,,,,,
03/01/2015,19:00,,,,,,,,,,,
03/01/2015,20:00,,,,,,,,,,,
03/01/2015,21:00,,,,,,,,,,,
03/01/2015,22:00,,,,,,,,,,,
03/01/2015,23:00,,,,,,,,,,,
04/01/2015,00:00,,,,,,,,,,,
04/01/2015,01:00,,,,,,,,,,,
04/01/2015,02:00,,,,,,,,,,,
04/01/2015,03:00,,,,,,,,,,,
04/01/2015,04:00,,,,,,,,,,,
04/01/2015,05:00,,,,,,,,,,,
04/01/2015,06:00,,,,,,,,,,,
